,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from
0,"['c#', 'visual-studio', '.net-core', '.net-5']","{'account_id': 23489136, 'reputation': 11, 'user_id': 17540375, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GitUC7J_7Im80wJh8TM8CeVQXLF8CtHBK6eIYvY-A=k-s256', 'display_name': 'Margaret Kyselgova', 'link': 'https://stackoverflow.com/users/17540375/margaret-kyselgova'}",False,252,1,1,1669389010,1638303956,70175633,CC BY-SA 4.0,https://stackoverflow.com/questions/70175633/c-net-5-where-are-bindingnavigator-and-dataset-controls-in-design-mode,C# .Net 5: Where are bindingNavigator and DataSet controls in Design Mode?,,,,,
1,"['c#', 'asp.net-core', '.net-6.0']","{'account_id': 281481, 'reputation': 34842, 'user_id': 577805, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/dbbe0a475e6a151f0595b83e55475f34?s=256&d=identicon&r=PG', 'display_name': 'Miguel Moura', 'link': 'https://stackoverflow.com/users/577805/miguel-moura'}",True,2123,2,6,1669330122,1638881010,70260354,CC BY-SA 4.0,https://stackoverflow.com/questions/70260354/net-6-minimal-api-no-public-static-bool-request-tryparsestring-out-request,"NET 6 Minimal API -&#39;No public static bool Request.TryParse(string, out Request) method found for request",70260503.0,1638883070.0,,,
2,"['c#', '.net-core', 'pipe', '.net-6.0']","{'account_id': 2519374, 'reputation': 1205, 'user_id': 2190035, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/efcb19df4ff78ab26426b9fefb63f83f?s=256&d=identicon&r=PG&f=1', 'display_name': 'user11909', 'link': 'https://stackoverflow.com/users/2190035/user11909'}",True,752,1,5,1669262844,1639920704,70411880,CC BY-SA 4.0,https://stackoverflow.com/questions/70411880/how-to-create-named-pipe-mkfifo-with-net6-in-linux,How to create named pipe (mkfifo) with .net6 in linux?,70413487.0,,,,
3,"['c#', 'asp.net', 'razor']","{'account_id': 17329320, 'reputation': 98, 'user_id': 12552830, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5abccf51ce6dea9174b943bb64cd5593?s=256&d=identicon&r=PG&f=1', 'display_name': 'Colin-G-Davidson', 'link': 'https://stackoverflow.com/users/12552830/colin-g-davidson'}",False,428,2,0,1669132145,1640640549,70500600,CC BY-SA 4.0,https://stackoverflow.com/questions/70500600/razor-pages-app-believes-pages-namespace-doesnt-exist-anymore,Razor Pages app believes Pages Namespace doesn&#39;t exist anymore,,,,,
4,"['c#', '.net-6.0', 'maui']","{'account_id': 15763558, 'reputation': 113, 'user_id': 11374650, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-i4DcLL8w-eM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdDJd99q2ka64qJJrvYBrbFhftIXQ/mo/photo.jpg?sz=256', 'display_name': 'Dollar Bread', 'link': 'https://stackoverflow.com/users/11374650/dollar-bread'}",True,3701,5,5,1669126125,1638989384,70280264,CC BY-SA 4.0,https://stackoverflow.com/questions/70280264/maui-what-build-action-for-appsettings-json-and-how-to-access-the-file-on-andro,MAUI: What build action for appsettings.json and how to access the file on Android?,70284083.0,1638991597.0,,,
5,"['c#', 'asp.net-core', '.net-6.0']","{'account_id': 8780292, 'reputation': 1436, 'user_id': 6564107, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/u6sfV.jpg?s=256&g=1', 'display_name': 'Vishal modi', 'link': 'https://stackoverflow.com/users/6564107/vishal-modi'}",True,22589,3,22,1669125482,1639390018,70332897,CC BY-SA 4.0,https://stackoverflow.com/questions/70332897/how-to-change-default-port-no-of-my-net-core-6-api,How to change default port no of my .NET core 6 API,70333729.0,1639392176.0,,,
6,"['c#', 'blazor', 'blazor-server-side', 'visual-studio-2022']","{'account_id': 187629, 'reputation': 31034, 'user_id': 425823, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/00d813f85062c23d43043e6132278610?s=256&d=identicon&r=PG', 'display_name': 'Greg Gum', 'link': 'https://stackoverflow.com/users/425823/greg-gum'}",True,1061,1,2,1668782542,1640710051,70510032,CC BY-SA 4.0,https://stackoverflow.com/questions/70510032/how-to-clean-up-memory-in-blazor-server-app-when-using-navigates-away-from-a-pag,How to clean up memory in Blazor Server app when using navigates away from a page,74491356.0,,,,
7,"['c#', 'gpu', 'artificial-intelligence', 'yolo', 'yolov5']","{'account_id': 19274916, 'reputation': 1, 'user_id': 14088156, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhuHh_YI_AYvFpR2tnodUs8Ec8mR7lEuM_Js1jELg=k-s256', 'display_name': 'XC4LIFE', 'link': 'https://stackoverflow.com/users/14088156/xc4life'}",False,399,1,0,1668699979,1639598542,70369664,CC BY-SA 4.0,https://stackoverflow.com/questions/70369664/guide-to-use-yolo-with-gpu-c,Guide to use Yolo with gpu c#,,,,,
8,"['c#', 'c#-9.0']","{'account_id': 6484953, 'reputation': 95, 'user_id': 5020841, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b07d915020073786d8e36dc5244e19b8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Guil75 ', 'link': 'https://stackoverflow.com/users/5020841/guil75'}",True,2266,2,8,1668527327,1640195287,70453145,CC BY-SA 4.0,https://stackoverflow.com/questions/70453145/how-do-i-add-code-outside-the-scope-of-main-when-using-c-9-top-level-statements,How do I add code outside the scope of Main when using C# 9 Top Level Statements?,70453334.0,1644449421.0,,,
9,"['c#', 'visual-studio', 'nuget', 'csproj']","{'account_id': 414894, 'reputation': 4037, 'user_id': 789380, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/72057542449335a3415a06359cbca217?s=256&d=identicon&r=PG', 'display_name': 'Victor Chelaru', 'link': 'https://stackoverflow.com/users/789380/victor-chelaru'}",True,598,1,2,1668524487,1640197304,70453538,CC BY-SA 4.0,https://stackoverflow.com/questions/70453538/can-two-csproj-exist-in-the-same-folder-if-they-both-use-nuget-files,Can two CSPROJ exist in the same folder if they both use nuget files?,,1668524487.0,,,
10,"['c#', '.net', 'windows', 'amazon-web-services', 'tls1.2']","{'account_id': 152470, 'reputation': 619, 'user_id': 2686793, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'lenniep', 'link': 'https://stackoverflow.com/users/2686793/lenniep'}",True,1391,2,4,1668181125,1639418162,70338951,CC BY-SA 4.0,https://stackoverflow.com/questions/70338951/tls-v1-2-cipher-suites-in-net-6-get-request-timeout,TLS v1.2 Cipher Suites in .NET 6 / GET Request Timeout,71677592.0,1639461310.0,,,
11,"['c#', 'mqtt', 'mqttnet']","{'account_id': 10375541, 'reputation': 253, 'user_id': 7651802, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/77b0d60d50baf4c32b4319fac1972d6a?s=256&d=identicon&r=PG&f=1', 'display_name': 'EvaHHHH', 'link': 'https://stackoverflow.com/users/7651802/evahhhh'}",True,1094,1,0,1668162779,1639656359,70378748,CC BY-SA 4.0,https://stackoverflow.com/questions/70378748/how-to-connect-mqtt-with-websocket-in-c,How to connect mqtt with websocket in c#?,,1639672100.0,,,
12,"['c#', 'vector', 'simd', 'intrinsics', 'bitmask']","{'account_id': 2490942, 'reputation': 1085, 'user_id': 2799848, 'user_type': 'registered', 'accept_rate': 22, 'profile_image': 'https://i.stack.imgur.com/9KCGD.jpg?s=256&g=1', 'display_name': 'Elaskanator', 'link': 'https://stackoverflow.com/users/2799848/elaskanator'}",True,148,2,3,1668054155,1640092560,70436093,CC BY-SA 4.0,https://stackoverflow.com/questions/70436093/c-construct-a-signal-vectort-from-an-integer-bitmask,C# - Construct a signal Vector&lt;T&gt; from an integer bitmask,,1668054155.0,,,
13,"['c#', 'azure', '.net-5', 'msal', 'windows-server-2016']","{'account_id': 5356886, 'reputation': 1169, 'user_id': 4269328, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dd689c4446e95aff1feffd6d5a7230ca?s=256&d=identicon&r=PG&f=1', 'display_name': 'msporek', 'link': 'https://stackoverflow.com/users/4269328/msporek'}",False,288,1,0,1668007593,1639580018,70365767,CC BY-SA 4.0,https://stackoverflow.com/questions/70365767/azure-login-desktop-error-on-net-5-with-msal-wam-windows-server-2016,Azure login Desktop Error on .NET 5 with MSAL WAM (Windows Server 2016),,1639580258.0,,,
14,"['c#', 'visual-studio-code', 'archlinux']","{'account_id': 22956438, 'reputation': 11, 'user_id': 17086941, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ebefa1c4b8a57474cc823c7d380c2091?s=256&d=identicon&r=PG', 'display_name': 'GAP', 'link': 'https://stackoverflow.com/users/17086941/gap'}",True,2760,2,0,1667921159,1638830591,70252868,CC BY-SA 4.0,https://stackoverflow.com/questions/70252868/cant-install-the-visual-studio-code-c-extension,Can&#39;t install the visual studio code C# extension,,,,,
15,['c#'],"{'account_id': 21536773, 'reputation': 1, 'user_id': 15875183, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiZ6VGGDyShrxCCvZt90EH4GZT3iklhoYoJV7fbzA=k-s256', 'display_name': 'Evangeline Drink', 'link': 'https://stackoverflow.com/users/15875183/evangeline-drink'}",True,157,4,-1,1667856658,1640200820,70454133,CC BY-SA 4.0,https://stackoverflow.com/questions/70454133/understanding-why-my-code-for-the-two-sum-leetcode-problem-in-c-does-not-work,"Understanding why my code for the Two Sum (LeetCode problem) in C# does not work for expected answer of [1,2]",70454307.0,,,,
