,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,community_owned_date
0,"['c#', 'sql', 'sql-server-2005', 'stored-procedures']","{'account_id': 337344, 'reputation': 23597, 'user_id': 665557, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/10b31574b457051a4f033e149a10da81?s=256&d=identicon&r=PG', 'display_name': 'cdub', 'link': 'https://stackoverflow.com/users/665557/cdub'}",True,6207,2,0,1669286368,1341533810,1341535074.0,11354287,CC BY-SA 3.0,https://stackoverflow.com/questions/11354287/sql-in-clause-in-stored-procedure,SQL IN Clause In Stored Procedure,,,,,
1,"['c#', '.net', 'ilist']","{'account_id': 6679, 'reputation': 88755, 'user_id': 11333, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/90bcee050c16e0c5a7e9f955968d5f9c?s=256&d=identicon&r=PG', 'display_name': 'Boris Callens', 'link': 'https://stackoverflow.com/users/11333/boris-callens'}",True,26897,4,101,1669283561,1342603656,1342605017.0,11538259,CC BY-SA 3.0,https://stackoverflow.com/questions/11538259/why-doesnt-ilist-support-addrange,Why doesn&#39;t IList support AddRange,11538444.0,,,,
2,"['c#', 'asp.net', 'string', 'linq']","{'account_id': 888065, 'reputation': 5712, 'user_id': 927002, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/85807436966e6eba19e84e2f7fb930b2?s=256&d=identicon&r=PG', 'display_name': 'patel.milanb', 'link': 'https://stackoverflow.com/users/927002/patel-milanb'}",True,40915,9,29,1669133808,1341839574,1669133392.0,11395775,CC BY-SA 4.0,https://stackoverflow.com/questions/11395775/better-way-to-clean-a-string,Better way to clean a string?,11396039.0,,,,
3,"['c#', 'unit-testing', 'mocking', 'moq']","{'account_id': 157476, 'reputation': 4297, 'user_id': 375460, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/ebd1dd11bae3886777c7985b2fe47897?s=256&d=identicon&r=PG', 'display_name': 'Florian', 'link': 'https://stackoverflow.com/users/375460/florian'}",True,56443,7,91,1668958129,1341308783,1628549286.0,11308328,CC BY-SA 4.0,https://stackoverflow.com/questions/11308328/setupsequence-in-moq,SetupSequence in Moq,11308543.0,,,,
4,"['c#', '.net', 'object', 'ienumerable']","{'account_id': 44381, 'reputation': 3592, 'user_id': 130230, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/AWkwm.gif?s=256&g=1', 'display_name': 'DefenestrationDay', 'link': 'https://stackoverflow.com/users/130230/defenestrationday'}",True,74919,10,80,1668564291,1342603595,1507733575.0,11538243,CC BY-SA 3.0,https://stackoverflow.com/questions/11538243/why-doesnt-any-work-on-a-c-null-object,Why doesn&#39;t Any() work on a c# null object,11538303.0,,,,
5,"['c#', 'charts']","{'account_id': 1474739, 'reputation': 113, 'user_id': 1385434, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/KV8I8.jpg?s=256&g=1', 'display_name': 'WillKraemer  ', 'link': 'https://stackoverflow.com/users/1385434/willkraemer'}",True,1231,4,3,1668151538,1342635763,1343152956.0,11547877,CC BY-SA 3.0,https://stackoverflow.com/questions/11547877/what-library-for-c-to-use-for-the-graphs-of-a-roundness-meter-software,What library for c# to use for the graphs of a Roundness-meter software?,11548043.0,,,,
6,"['c#', '.net', 'regex']","{'account_id': 319393, 'reputation': 32864, 'user_id': 637142, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e048b74ce81d0005ce82b0ef5b85b48a?s=256&d=identicon&r=PG', 'display_name': 'Tono Nam', 'link': 'https://stackoverflow.com/users/637142/tono-nam'}",True,5754,3,5,1668115431,1342188870,1592644375.0,11472250,CC BY-SA 4.0,https://stackoverflow.com/questions/11472250/net-regex-match-line,.net regex match line,11472330.0,,,,
7,"['c#', '.net', 'wpf']","{'account_id': 1051196, 'reputation': 8207, 'user_id': 1055090, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/5a487ee73e2c2274084acddd1a874fa2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Adnan', 'link': 'https://stackoverflow.com/users/1055090/adnan'}",True,44453,2,23,1667919040,1342754595,1667919040.0,11572411,CC BY-SA 4.0,https://stackoverflow.com/questions/11572411/sendkeys-send-method-in-wpf-application,SendKeys.Send Method in WPF application,11572570.0,,,,
8,"['c#', '.net', 'types', 'typeof', 'gettype']","{'account_id': 996050, 'reputation': 45806, 'user_id': 1011959, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/QgmjS.png?s=256&g=1', 'display_name': 'Nikhil Agrawal', 'link': 'https://stackoverflow.com/users/1011959/nikhil-agrawal'}",True,159628,4,91,1667473249,1341322470,1493267511.0,11312111,,https://stackoverflow.com/questions/11312111/when-and-where-to-use-gettype-or-typeof,When and where to use GetType() or typeof()?,11312152.0,1493496183.0,Duplicate,,
9,"['c#', 'linq', 'hashset']","{'account_id': 927751, 'reputation': 219, 'user_id': 958185, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/70a4100735a0edc1084f4a63ea4d5678?s=256&d=identicon&r=PG', 'display_name': 'Suresh', 'link': 'https://stackoverflow.com/users/958185/suresh'}",True,591,2,0,1667157399,1343211867,1343222444.0,11647650,CC BY-SA 3.0,https://stackoverflow.com/questions/11647650/linq-extended-set-operations,Linq extended set operations,11648194.0,,,,
