,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason
0,"['c#', 'entity-framework', 'entity-framework-core', 'ef-core-2.2']","{'account_id': 10090968, 'reputation': 616, 'user_id': 7457982, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/0b0eb652cc1873aa88531798112e7007?s=256&d=identicon&r=PG&f=1', 'display_name': 'Pr.Dumbledor', 'link': 'https://stackoverflow.com/users/7457982/pr-dumbledor'}",True,6674,55917552.0,2,10,1669503006,1556052400,1556803462.0,55819175,CC BY-SA 4.0,https://stackoverflow.com/questions/55819175/how-to-use-adddbcontextpool-if-all-configuration-in-onconfiguring-method-of-dbco,How to use AddDbContextPool if all configuration in OnConfiguring method of DbContext,,,
1,"['javascript', 'c#', 'jquery']","{'account_id': 15667360, 'reputation': 11, 'user_id': 11304805, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0343bc224304f3c787cac75f47ef45a9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anamika Bhatt', 'link': 'https://stackoverflow.com/users/11304805/anamika-bhatt'}",True,1359,,2,-1,1669481527,1554285905,,55492451,CC BY-SA 4.0,https://stackoverflow.com/questions/55492451/how-to-validate-pan-card-number-format-using-jquery-client-side-or-c-server-sid,How to Validate Pan Card Number Format Using Jquery Client Side Or C# Server side,,,
2,"['c#', 'json.net', 'nuget', 'assembly-binding-redirect']","{'account_id': 2373047, 'reputation': 7940, 'user_id': 2077201, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/BiYVI.jpg?s=256&g=1', 'display_name': 'Adam', 'link': 'https://stackoverflow.com/users/2077201/adam'}",True,2087,55619466.0,2,1,1669302041,1554919277,1592644375.0,55618738,CC BY-SA 4.0,https://stackoverflow.com/questions/55618738/why-is-an-assembly-binding-redirect-required-for-this-project,Why is an assembly binding redirect required for this project?,,,
3,"['c#', 'enums', 'dropdown']","{'account_id': 12610681, 'reputation': 353, 'user_id': 9169938, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4cb83d369ca8ec0d225c9c8b7f31d50d?s=256&d=identicon&r=PG&f=1', 'display_name': 'szkut', 'link': 'https://stackoverflow.com/users/9169938/szkut'}",True,1083,,2,0,1669285231,1554341428,,55506586,CC BY-SA 4.0,https://stackoverflow.com/questions/55506586/html-getenumselectlist-and-pre-selected-values-edit-page,Html.GetEnumSelectList and pre selected values (edit page),,,
4,"['c#', 'ssis', 'winscp-net']","{'account_id': 1439794, 'reputation': 305, 'user_id': 1360268, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/0dd99f925ec371a0f3c524f60574009d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kross', 'link': 'https://stackoverflow.com/users/1360268/kross'}",True,6017,,1,4,1669196820,1554127446,1554211841.0,55457058,CC BY-SA 4.0,https://stackoverflow.com/questions/55457058/how-to-fix-nuget-winscp-net-in-ssis-script-task,How to fix NuGet WinSCP.NET in SSIS Script Task?,,,
5,"['c#', '.net-core', 'streamreader']","{'account_id': 15470768, 'reputation': 181, 'user_id': 11160922, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-ZbnwgJxZ2-M/AAAAAAAAAAI/AAAAAAAAAOA/mGRpfD8gnso/photo.jpg?sz=256', 'display_name': 'Anushree', 'link': 'https://stackoverflow.com/users/11160922/anushree'}",True,658,,2,1,1668957467,1555799669,,55778329,CC BY-SA 4.0,https://stackoverflow.com/questions/55778329/the-end-of-stream-is-not-being-detected-by-reader-endofstream,The end of stream is not being detected by reader.EndOfStream,,,
6,"['c#', 'entity-framework', 'asp.net-core', 'entity-framework-core']","{'account_id': 296730, 'reputation': 6246, 'user_id': 601862, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://lh6.googleusercontent.com/-2Y6YEzkNuKo/AAAAAAAAAAI/AAAAAAAAIsI/fpM-2_aHwnk/photo.jpg?sz=256', 'display_name': 'Franva', 'link': 'https://stackoverflow.com/users/601862/franva'}",True,1843,,1,2,1668805748,1555485916,1668805748.0,55722087,CC BY-SA 4.0,https://stackoverflow.com/questions/55722087/why-does-services-adddbcontextdbcontext-make-dbcontext-a-scoped-service-sho,Why does services.AddDbContext&lt;dbContext&gt;() make dbContext a Scoped service? Shouldn&#39;t it be a Singleton service?,,,
7,"['c#', 'azure', '.net-core', 'asp.net-core-2.0', 'azure-servicebus-queues']","{'account_id': 119879, 'reputation': 832, 'user_id': 2044660, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1c0c1b9dfea70ccdb5b483c43dd66aa8?s=256&d=identicon&r=PG', 'display_name': 'iKnowNothing', 'link': 'https://stackoverflow.com/users/2044660/iknownothing'}",True,5035,55710958.0,5,12,1668780968,1555068029,1555493485.0,55650497,CC BY-SA 4.0,https://stackoverflow.com/questions/55650497/creating-an-azure-servicebus-queue-via-code,Creating an Azure ServiceBus Queue via code,,,
8,"['c#', 'docker', 'asp.net-core', '.net-core', 'docker-for-windows']","{'account_id': 2517265, 'reputation': 9644, 'user_id': 2188407, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/91520392c871d17d8f36ae5b0ea5ffce?s=256&d=identicon&r=PG&f=1', 'display_name': 'Justin Lessard', 'link': 'https://stackoverflow.com/users/2188407/justin-lessard'}",True,7844,55540622.0,3,5,1668680191,1554151514,1554472362.0,55463316,CC BY-SA 4.0,https://stackoverflow.com/questions/55463316/error-when-connecting-to-sql-server-in-docker-container,Error when connecting to SQL Server in docker container,,,
9,"['c#', 'asp.net']","{'account_id': 4390746, 'reputation': 23, 'user_id': 3579221, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4813ff9dfe099de2cfab73b9f217b268?s=256&d=identicon&r=PG&f=1', 'display_name': 'FreedomByFire', 'link': 'https://stackoverflow.com/users/3579221/freedombyfire'}",False,92,,0,1,1668679687,1554932359,,55621676,CC BY-SA 4.0,https://stackoverflow.com/questions/55621676/onitemcommand-not-firing-in-repeater,OnItemCommand Not Firing in Repeater,,,
