,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['c#', 'asp.net-core', 'blazor', 'blazor-server-side', 'blazor-client-side']","{'account_id': 9293421, 'reputation': 340, 'user_id': 6901169, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10154346689201154/picture?type=large', 'display_name': 'Guilherme Flores', 'link': 'https://stackoverflow.com/users/6901169/guilherme-flores'}",False,1055,1,2,1669391872,1587657551,61391642,CC BY-SA 4.0,https://stackoverflow.com/questions/61391642/blazor-pass-variable-and-call-event-from-razor-on-a-html-created-using-rendertr,Blazor pass variable and call event from .razor on a html created using RenderTreeBuilder on a C# class,,,,,,
1,"['c#', 'windows']","{'account_id': 14242178, 'reputation': 103, 'user_id': 10288206, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-KCD3bqE8M4M/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaNo-e2vid3eTtv_q5JsUU2VcKa9IA/mo/photo.jpg?sz=256', 'display_name': 'Kiran', 'link': 'https://stackoverflow.com/users/10288206/kiran'}",False,746,2,1,1669356764,1586942805,61225374,CC BY-SA 4.0,https://stackoverflow.com/questions/61225374/webbrowser-document-execcommand-with-copy-parameter-is-not-working-in-c-windo,WebBrowser.Document.ExecCommand with &quot;Copy&quot; parameter is not working in C# windows application,,,,,,
2,"['c#', 'asp.net-core', 'generics', 'abp']","{'account_id': 14992570, 'reputation': 13, 'user_id': 10823108, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-K-JYTxGkHa4/AAAAAAAAAAI/AAAAAAAAAh8/H0qfUbJYHF0/photo.jpg?sz=256', 'display_name': 'UDAY SONI', 'link': 'https://stackoverflow.com/users/10823108/uday-soni'}",True,1076,3,0,1669216101,1588233049,61518422,CC BY-SA 4.0,https://stackoverflow.com/questions/61518422/the-type-cannot-be-used-as-type-parameter-tentitydto-in-the-generic-type-i,The type &#39;&#39; cannot be used as type parameter &#39;TEntityDto&#39; in the generic type &#39;ICrudAppService&#39;,61543375.0,1588340938.0,,,,
3,"['c#', '.net', 'runtime-error', 'clr']","{'account_id': 16743440, 'reputation': 131, 'user_id': 12102428, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a401f63ae060f3375a519def995fea6b?s=256&d=identicon&r=PG&f=1', 'display_name': 'gamer', 'link': 'https://stackoverflow.com/users/12102428/gamer'}",False,7514,1,9,1669129480,1587036165,61249001,,https://stackoverflow.com/questions/61249001/what-is-the-meaning-of-the-runtime-error-internal-clr-error-0x80131506,What is the meaning of the runtime error - internal CLR error 0x80131506,,,1669129830.0,Duplicate,,
4,"['c#', 'php', 'laravel', 'laravel-7']","{'account_id': 18355185, 'reputation': 11, 'user_id': 13368390, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc90ae40e91120839a575959b48fe5e8?s=256&d=identicon&r=PG&f=1', 'display_name': 'CSHelper', 'link': 'https://stackoverflow.com/users/13368390/cshelper'}",True,327,2,-1,1668677016,1587453488,61337938,CC BY-SA 4.0,https://stackoverflow.com/questions/61337938/tostringx2-method-from-c-to-laravel,toString(&quot;X2&quot;) method from C# to Laravel,,1587454042.0,,,,
5,"['c#', 'c', '.net', 'visual-studio', 'xamarin']","{'account_id': 18256492, 'reputation': 65, 'user_id': 13290327, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8c35a26a5bbf296b1cab73cecb70501e?s=256&d=identicon&r=PG&f=1', 'display_name': 'pybll', 'link': 'https://stackoverflow.com/users/13290327/pybll'}",True,3858,5,1,1668575420,1586645382,61164680,CC BY-SA 4.0,https://stackoverflow.com/questions/61164680/visual-studio-2019-installer-doesnt-start,Visual Studio 2019 Installer doesn&#39;t start,,1616877332.0,,,,
6,"['c#', 'visual-studio', 'reference', 'assemblies']","{'account_id': 7188880, 'reputation': 131, 'user_id': 13357004, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6cf995ae3ef70a34750f56dfd4585b69?s=256&d=identicon&r=PG&f=1', 'display_name': 'ShynnSup', 'link': 'https://stackoverflow.com/users/13357004/shynnsup'}",False,7557,1,13,1668564275,1587328607,61311296,CC BY-SA 4.0,https://stackoverflow.com/questions/61311296/missing-assemblies-tab-in-reference-manager-dialog-box,Missing Assemblies Tab in Reference Manager dialog box,,1587336299.0,,,,
7,"['c#', 'wpf']","{'account_id': 15392746, 'reputation': 11, 'user_id': 11104869, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-ZUgXgdvre4c/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQNzA77FzyvsakCiYcUHCqeVkfw-Gg/mo/photo.jpg?sz=256', 'display_name': 'Stanley Ngugi', 'link': 'https://stackoverflow.com/users/11104869/stanley-ngugi'}",True,716,1,0,1668411442,1586614485,61158159,,https://stackoverflow.com/questions/61158159/handling-a-custom-control-event-from-the-parent-window,Handling a custom control event from the parent window,61159773.0,1668411442.0,1586622560.0,Duplicate,,
8,"['c#', 'class', 'nested', 'reset']","{'user_type': 'does_not_exist', 'display_name': 'user13051425'}",True,210,4,1,1668263642,1585901682,61007636,CC BY-SA 4.0,https://stackoverflow.com/questions/61007636/how-to-reset-members-of-an-instance-class-without-recreate-a-new-instance,How to Reset members of an instance Class without recreate a new instance?,61011334.0,1586082960.0,,,,
9,"['c#', 'mysql', 'entity-framework-core', 'asp.net-core-mvc', 'pomelo-entityframeworkcore-mysql']","{'account_id': 7944129, 'reputation': 211, 'user_id': 5997148, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-5XUCnJjjFZw/AAAAAAAAAAI/AAAAAAAA0Fk/7fFNj6rkWuU/photo.jpg?sz=256', 'display_name': 'hardik patel', 'link': 'https://stackoverflow.com/users/5997148/hardik-patel'}",False,2986,1,3,1668154550,1587921472,61444923,CC BY-SA 4.0,https://stackoverflow.com/questions/61444923/mysqlexception-field-id-doesnt-have-a-default-value-entity-framework-core,MySqlException: Field &#39;id&#39; doesn&#39;t have a default value - Entity Framework Core 2.1,,1589694061.0,,,,
