,tags,migrated_from,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,title,accepted_answer_id,content_license,protected_date,closed_date,closed_reason,community_owned_date
0,"['c#', 'sql', 'visual-studio-2012']","{'other_site': {'styling': {'tag_background_color': '#FFFFFF', 'tag_foreground_color': '#1087A4', 'link_color': '#1086A4'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'meta.superuser', 'site_url': 'https://meta.superuser.com', 'name': 'Meta Super User'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=superuser.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1250553600, 'open_beta_date': 1247529600, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/apple-touch-icon@2.png', 'twitter_account': 'super_user', 'favicon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/apple-touch-icon.png', 'audience': 'computer enthusiasts and power users', 'site_url': 'https://superuser.com', 'api_site_parameter': 'superuser', 'logo_url': 'https://cdn.sstatic.net/Sites/superuser/Img/logo.png', 'name': 'Super User', 'site_type': 'main_site'}, 'on_date': 1353939847, 'question_id': 510781}","{'account_id': 11366, 'reputation': 3082, 'user_id': 21880, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/d14d680ebcc7acfcfb4e60d28c430805?s=256&d=identicon&r=PG', 'display_name': 'MrVimes', 'link': 'https://stackoverflow.com/users/21880/mrvimes'}",False,27040,2,4,1669557665,1353937722,1482767803.0,13566815,https://stackoverflow.com/questions/13566815/how-to-add-edit-retrieve-data-using-local-database-file-in-microsoft-visual-stud,How to add/edit/retrieve data using Local Database file in Microsoft Visual Studio 2012,,,,,,
1,"['c#', 'winforms', 'forms', 'minimize', 'maximize-window']",,"{'account_id': 1955770, 'reputation': 127, 'user_id': 1758797, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/dcd6999b8139ba51e8ff09a788112d05?s=256&d=identicon&r=PG', 'display_name': 'Oktay', 'link': 'https://stackoverflow.com/users/1758797/oktay'}",True,45941,5,6,1669461695,1352123352,1469997194.0,13233451,https://stackoverflow.com/questions/13233451/how-to-show-a-form-again-after-hiding-it,How to show a form again after hiding it?,13233493.0,CC BY-SA 3.0,,,,
2,"['c#', 'concurrency', 'task-parallel-library', 'tpl-dataflow']",,"{'account_id': 1011431, 'reputation': 6770, 'user_id': 1023928, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/0f1373fbc48fce33158d19ed1a398132?s=256&d=identicon&r=PG', 'display_name': 'Matt', 'link': 'https://stackoverflow.com/users/1023928/matt'}",True,17906,5,32,1669292590,1353578457,1353579054.0,13510094,https://stackoverflow.com/questions/13510094/tpl-dataflow-guarantee-completion-only-when-all-source-data-blocks-completed,"TPL Dataflow, guarantee completion only when ALL source data blocks completed",13536141.0,CC BY-SA 3.0,,,,
3,"['c#', 'lcm']",,"{'account_id': 2063539, 'reputation': 337, 'user_id': 1839589, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1c1f5aa25b46a6a4dd8e706090cea0a?s=256&d=identicon&r=PG', 'display_name': 'Tristan M.', 'link': 'https://stackoverflow.com/users/1839589/tristan-m'}",True,30116,7,23,1669259187,1353950217,1353953963.0,13569810,https://stackoverflow.com/questions/13569810/least-common-multiple,Least Common Multiple,13569863.0,CC BY-SA 3.0,,,,
4,"['c#', 'asp.net', 'asp.net-mvc', 'asp.net-mvc-3']",,"{'account_id': 1360949, 'reputation': 1718, 'user_id': 1298342, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/b36ceb7253a9cf66a5967ee73255a2c2?s=256&d=identicon&r=PG&f=1', 'display_name': 'kk1076', 'link': 'https://stackoverflow.com/users/1298342/kk1076'}",False,9042,3,5,1669035790,1353402426,1353407271.0,13469746,https://stackoverflow.com/questions/13469746/countdown-timer-in-mvc,Countdown Timer in MVC,,CC BY-SA 3.0,,,,
5,"['c#', 'linq']",,"{'account_id': 229063, 'reputation': 1598, 'user_id': 491766, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/489fD.jpg?s=256&g=1', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/491766/ali'}",True,1585,3,1,1668994281,1354123220,1354125165.0,13610833,https://stackoverflow.com/questions/13610833/remove-multi-indexes-from-linq-list,Remove multi indexes from linq list,13610884.0,CC BY-SA 3.0,,,,
6,"['c#', 'pdf', 'usb', 'itextsharp', 'sign']",,"{'account_id': 2005593, 'reputation': 147, 'user_id': 1795589, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/145df80ef0aad5310b6e6390967e2223?s=256&d=identicon&r=PG', 'display_name': 'Kaloyan Iliev', 'link': 'https://stackoverflow.com/users/1795589/kaloyan-iliev'}",True,23867,3,7,1668979979,1351903650,1351905574.0,13204940,https://stackoverflow.com/questions/13204940/sign-pdf-with-itextsharp-5-3-3-and-usb-token,Sign PDF with iTextSharp 5.3.3 and USB token,13361647.0,CC BY-SA 3.0,1598527755.0,,,
7,"['c#', 'crystal-reports', 'c#-3.0']",,"{'account_id': 1839364, 'reputation': 1, 'user_id': 1669102, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/4177053fc2a1f9a241c923f773b6302a?s=256&d=identicon&r=PG', 'display_name': 'Nabin', 'link': 'https://stackoverflow.com/users/1669102/nabin'}",False,7546,1,0,1668682810,1354180854,1354181096.0,13622436,https://stackoverflow.com/questions/13622436/how-to-install-crystal-reports-viewer-on-client-machine-when-client-install-wind,How to install Crystal Reports viewer on client machine when client install windows installer,,CC BY-SA 3.0,,,,
8,"['c#', 'asp.net', '.net', 'wcf']",,"{'account_id': 79579, 'reputation': 3827, 'user_id': 225537, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/04b84967d828551db995e592be3fab8b?s=256&d=identicon&r=PG', 'display_name': 'Costa', 'link': 'https://stackoverflow.com/users/225537/costa'}",True,19684,4,5,1668619084,1352034446,1668619084.0,13218777,https://stackoverflow.com/questions/13218777/can-i-edit-resource-file-at-runtime,Can I edit Resource file at runtime,,CC BY-SA 4.0,,,,
9,"['c#', 'decimal', 'cultureinfo']",,"{'account_id': 1446490, 'reputation': 18866, 'user_id': 1364771, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/wI3aU.jpg?s=256&g=1', 'display_name': 'Jesse Carter', 'link': 'https://stackoverflow.com/users/1364771/jesse-carter'}",True,131750,20,114,1668076258,1353429100,1353429501.0,13477689,https://stackoverflow.com/questions/13477689/find-number-of-decimal-places-in-decimal-value-regardless-of-culture,Find number of decimal places in decimal value regardless of culture,13493771.0,CC BY-SA 3.0,,,,
10,"['c#', 'datagridview', 'windows-applications']",,"{'account_id': 1987002, 'reputation': 85, 'user_id': 1781928, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/f56b3b8b988f6359dfaf49f331fbdb7f?s=256&d=identicon&r=PG', 'display_name': 'sanu j', 'link': 'https://stackoverflow.com/users/1781928/sanu-j'}",False,7609,2,0,1667707721,1352819667,,13363312,https://stackoverflow.com/questions/13363312/display-sum-the-values-of-the-cells-of-last-column-in-datagridview,Display sum the values of the cells of last column in datagridview,,CC BY-SA 3.0,,,,
