,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,community_owned_date
0,"['c#', 'events', 'mvvm', '.net-4.5', 'async-await']","{'account_id': 9214, 'reputation': 134559, 'user_id': 16940, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/7fc2db839382b30434539fbc967c498e?s=256&d=identicon&r=PG', 'display_name': 'Simon_Weaver', 'link': 'https://stackoverflow.com/users/16940/simon-weaver'}",True,112302,12453199.0,13,76,1669389560,1347838554,1347847204.0,12451609,CC BY-SA 3.0,https://stackoverflow.com/questions/12451609/how-to-await-raising-an-eventhandler-event,How to &#39;await&#39; raising an EventHandler event,,,,,
1,"['c#', 'if-statement', 'return']","{'account_id': 1610579, 'reputation': 149, 'user_id': 1489627, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/b6720c7b4b63b6f538a12f6d7f0834bd?s=256&d=identicon&r=PG', 'display_name': 'Parys Bernard', 'link': 'https://stackoverflow.com/users/1489627/parys-bernard'}",True,168234,12624721.0,7,5,1669346136,1348758920,1348759445.0,12624666,CC BY-SA 3.0,https://stackoverflow.com/questions/12624666/method-with-a-bool-return,Method with a bool return,,,,,
2,"['c#', 'compiler-errors']","{'account_id': 1337743, 'reputation': 13, 'user_id': 1280053, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/259a40bd930f389e044de36ec7e23076?s=256&d=identicon&r=PG', 'display_name': 'arnel', 'link': 'https://stackoverflow.com/users/1280053/arnel'}",True,13615,,1,-2,1669260341,1347824186,1347825012.0,12450071,CC BY-SA 3.0,https://stackoverflow.com/questions/12450071/issue-in-c-identifier-expected,Issue in C#: Identifier expected,,,,,
3,"['c#', 'asp.net', 'methods']","{'account_id': 1699145, 'reputation': 375, 'user_id': 1559747, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/6ae3cf49f75e55b0ef16b0b999ce01c4?s=256&d=identicon&r=PG', 'display_name': 'vanilla161', 'link': 'https://stackoverflow.com/users/1559747/vanilla161'}",True,125322,12475189.0,10,19,1669132397,1347964103,,12475142,CC BY-SA 3.0,https://stackoverflow.com/questions/12475142/class-does-not-contain-a-definition-for-method,&#39;Class&#39; does not contain a definition for &#39;Method&#39;,,,,,
4,"['c#', 'asp.net-mvc', 'gridview']","{'account_id': 1424452, 'reputation': 2584, 'user_id': 1348351, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/d91e3488ea70c8c6fb8876491ad93b09?s=256&d=identicon&r=PG', 'display_name': 'aruni', 'link': 'https://stackoverflow.com/users/1348351/aruni'}",False,25797,,4,8,1669042980,1346991288,1519196348.0,12311626,CC BY-SA 3.0,https://stackoverflow.com/questions/12311626/show-data-from-sql-database-in-gridview,Show data from SQL database in Gridview,,,,,
5,"['c#', 'asp.net', 'iis', 'batch-file']","{'account_id': 1707423, 'reputation': 719, 'user_id': 1566209, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/111f26569ccd9d8273def0084c88e74b?s=256&d=identicon&r=PG', 'display_name': 'FEST', 'link': 'https://stackoverflow.com/users/1566209/fest'}",False,13233,,2,1,1668898955,1347617704,1645443307.0,12422495,CC BY-SA 4.0,https://stackoverflow.com/questions/12422495/running-bat-file-on-iis-server,Running bat file on IIS server,,,,,
6,"['c#', 'restsharp']","{'account_id': 331575, 'reputation': 16805, 'user_id': 656348, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/2dc61e1358e191095d2a2a3df0e2008a?s=256&d=identicon&r=PG', 'display_name': 'Nil Pun', 'link': 'https://stackoverflow.com/users/656348/nil-pun'}",True,27055,,4,19,1668800750,1346547930,1668800750.0,12232653,CC BY-SA 4.0,https://stackoverflow.com/questions/12232653/example-of-restsharp-async-client-executeasynct-works,Example of RestSharp ASYNC client.ExecuteAsync&lt;T&gt; () works,,,,,
7,"['c#', 'sql', 'parsing', 'antlr']","{'account_id': 1096709, 'reputation': 293, 'user_id': 1090155, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/gP2z7.jpg?s=256&g=1', 'display_name': 'Houshang.Karami', 'link': 'https://stackoverflow.com/users/1090155/houshang-karami'}",True,15782,12487956.0,4,4,1668612205,1347994309,1668612205.0,12483173,CC BY-SA 4.0,https://stackoverflow.com/questions/12483173/parsing-sql-query-and-pull-out-column-name-and-table-name,Parsing SQL Query and pull out column name and Table name,,,,,
8,"['c#', 'string', 'hash', 'sha256']","{'account_id': 1840563, 'reputation': 1951, 'user_id': 1670056, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/6db03e6378aa7022a32d547baab71747?s=256&d=identicon&r=PG', 'display_name': 'Nattfrosten', 'link': 'https://stackoverflow.com/users/1670056/nattfrosten'}",True,311140,12416380.0,9,171,1668556978,1347579144,1470886126.0,12416249,CC BY-SA 3.0,https://stackoverflow.com/questions/12416249/hashing-a-string-with-sha256,Hashing a string with Sha256,,,,,
9,"['c#', 'url']","{'account_id': 1700467, 'reputation': 7794, 'user_id': 1560697, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/411727338a09452ec333619185e5a81b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Thanh Nguyen', 'link': 'https://stackoverflow.com/users/1560697/thanh-nguyen'}",True,102075,12240902.0,4,35,1667978363,1346632911,,12240857,CC BY-SA 3.0,https://stackoverflow.com/questions/12240857/how-to-get-content-from-file-from-this-url,How to get content from file from this URL?,,,,,
10,"['c#', 'excel']","{'account_id': 942594, 'reputation': 4555, 'user_id': 970404, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/rut9w.jpg?s=256&g=1', 'display_name': 'ar.gorgin', 'link': 'https://stackoverflow.com/users/970404/ar-gorgin'}",False,8119,,2,2,1667887320,1347518559,,12400789,CC BY-SA 3.0,https://stackoverflow.com/questions/12400789/how-to-insert-data-into-excel-using-oledbconnection,How to insert data into excel using OleDbConnection,,,,,
11,"['c#', 'permission-denied']","{'account_id': 1819376, 'reputation': 31, 'user_id': 1653744, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dedd39ea76735233bccad7974bf0c057?s=256&d=identicon&r=PG', 'display_name': 'Shane', 'link': 'https://stackoverflow.com/users/1653744/shane'}",False,9185,,2,0,1667883805,1346994376,1349535192.0,12312025,CC BY-SA 3.0,https://stackoverflow.com/questions/12312025/access-to-the-path-c-windows-system32-inetsrv-config-is-denied,Access to the path &#39;c:\windows\system32\inetsrv\config\&#39; is denied,,,,,
12,"['c#', 'design-patterns', 'uml', 'class-design']","{'account_id': 1787680, 'reputation': 1157, 'user_id': 1628789, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/f59baadae4c3678ce91d69532b417a74?s=256&d=identicon&r=PG', 'display_name': 'silla', 'link': 'https://stackoverflow.com/users/1628789/silla'}",True,39605,12636913.0,4,16,1667576632,1348821831,,12636575,CC BY-SA 3.0,https://stackoverflow.com/questions/12636575/uml-class-diagram-is-this-how-to-write-abstract-method-and-property,UML class diagram: is this how to write abstract method and property?,,,,,
13,"['c#', 'wpf', 'visual-studio-2010']","{'account_id': 239768, 'reputation': 16867, 'user_id': 509600, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/b28cfca4046ffeb1503a27b18a6acfb3?s=256&d=identicon&r=PG', 'display_name': 'katit', 'link': 'https://stackoverflow.com/users/509600/katit'}",True,519,12377880.0,2,5,1667575472,1347394467,1347398302.0,12377229,CC BY-SA 3.0,https://stackoverflow.com/questions/12377229/one-file-keeps-opening-in-visual-studio-ide,One file keeps opening in visual studio IDE,,,,,
14,"['c#', 'dynamic-invoke']","{'account_id': 32628, 'reputation': 52253, 'user_id': 90678, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/D2Lfc.jpg?s=256&g=1', 'display_name': 'Jamie Dixon', 'link': 'https://stackoverflow.com/users/90678/jamie-dixon'}",True,28237,12552079.0,3,195,1667415439,1348387924,,12550749,CC BY-SA 3.0,https://stackoverflow.com/questions/12550749/what-is-the-dynamicallyinvokable-attribute-for,What is the __DynamicallyInvokable attribute for?,,,,,
15,"['c#', 'parallel-processing']","{'account_id': 1726623, 'reputation': 1926, 'user_id': 1581132, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/6fd26d3646e07199b4e69d4d3fba4501?s=256&d=identicon&r=PG', 'display_name': 'Alagesan Palani', 'link': 'https://stackoverflow.com/users/1581132/alagesan-palani'}",True,13976,12434434.0,6,25,1667284573,1347681203,1347682584.0,12434369,CC BY-SA 3.0,https://stackoverflow.com/questions/12434369/what-is-the-relation-between-asynchronous-and-parallel-programming-in-c,what is the relation between Asynchronous and parallel programming in c#?,,,,,
16,"['c#', 'string', 'newline', 'declare']","{'account_id': 1722520, 'reputation': 5455, 'user_id': 1577959, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/8vgub.jpg?s=256&g=1', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/1577959/ben'}",True,31268,12548403.0,3,14,1667216171,1348355056,,12548391,CC BY-SA 3.0,https://stackoverflow.com/questions/12548391/c-declare-a-string-that-spans-on-multiple-lines,C# Declare a string that spans on multiple lines,,,,,
17,"['c#', 'tuples']","{'account_id': 200177, 'reputation': 2114, 'user_id': 445894, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/952e49a2305db81f023dfb2d45efc512?s=256&d=identicon&r=PG', 'display_name': 'Paul Matthews', 'link': 'https://stackoverflow.com/users/445894/paul-matthews'}",True,4830,,7,3,1666899053,1347450235,,12387413,CC BY-SA 3.0,https://stackoverflow.com/questions/12387413/why-cant-we-give-names-to-properties-in-tuples,Why can&#39;t we give names to properties in Tuples?,,,,,
