,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date
0,"['c#', 'asp.net', 'asp-literal']","{'account_id': 2500178, 'reputation': 51, 'user_id': 2175526, 'user_type': 'registered', 'accept_rate': 12, 'profile_image': 'https://www.gravatar.com/avatar/93cd8da51c2ab41fbe76b6dc7e1f9c57?s=256&d=identicon&r=PG', 'display_name': 'pmcs', 'link': 'https://stackoverflow.com/users/2175526/pmcs'}",False,135,1,0,1669232173,1604073871,64611856,CC BY-SA 4.0,https://stackoverflow.com/questions/64611856/i-have-an-asp-textbox-expressed-as-the-text-property-of-an-asp-literal-how-do-i,I have an asp Textbox expressed as the text property of an ASP Literal. How do I get the Text value of the TextBox?,,,,,
1,"['c#', 'asp.net', '.net', 'curl', 'httpclient']","{'account_id': 4912990, 'reputation': 1143, 'user_id': 3957758, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://graph.facebook.com/100000357674663/picture?type=large', 'display_name': 'Liran Revivo', 'link': 'https://stackoverflow.com/users/3957758/liran-revivo'}",False,157,0,0,1669129028,1603980909,64592918,CC BY-SA 4.0,https://stackoverflow.com/questions/64592918/multipart-file-upload-via-httpclient-c,Multipart file upload via HTTPClient C#,,,,,
2,"['c#', 'printing', 'printdocument', 'print-preview']","{'account_id': 19795282, 'reputation': 11, 'user_id': 14497361, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/20874becca7290c14f1796ddee70b1fa?s=256&d=identicon&r=PG&f=1', 'display_name': 'SamiTareen', 'link': 'https://stackoverflow.com/users/14497361/samitareen'}",False,172,2,1,1669055224,1603344499,64475829,CC BY-SA 4.0,https://stackoverflow.com/questions/64475829/print-multiple-pages-from-sqlserver-database-using-c-printdocuments,Print Multiple Pages from SqlServer Database using C# PrintDocuments,,,,,
3,"['c#', 'angular', 'report', 'devexpress', 'asp.net-core-webapi']","{'account_id': 12034661, 'reputation': 63, 'user_id': 8803675, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-WT3ZAjbdvS0/AAAAAAAAAAI/AAAAAAAAACg/IA_Hjaa9zdo/photo.jpg?sz=256', 'display_name': 'Bilal G&#214;ZET', 'link': 'https://stackoverflow.com/users/8803675/bilal-g%c3%96zet'}",True,2313,2,2,1669013558,1603802187,64554577,CC BY-SA 4.0,https://stackoverflow.com/questions/64554577/how-to-use-devexpress-report-designer-and-report-viewer-in-angular-10,How to use DevExpress report designer and report viewer in Angular 10,64571482.0,,,,
4,"['c#', 'unity3d', 'text']","{'account_id': 19813310, 'reputation': 1, 'user_id': 14511603, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiZfSdwQYP2OtjMaEdE7iAJ_TCOe6I-S80qFlr9gA=k-s256', 'display_name': 'Lolscrubs', 'link': 'https://stackoverflow.com/users/14511603/lolscrubs'}",True,3287,4,0,1668858207,1603537371,64512659,CC BY-SA 4.0,https://stackoverflow.com/questions/64512659/unity-cant-drag-gameobject-with-text-on-script-reference,Unity : Can&#39;t drag GameObject with Text on Script reference,,,,,
5,"['c#', '.net']","{'account_id': 14523233, 'reputation': 325, 'user_id': 13917801, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e60e0473ec6687d2f647398ebd94442?s=256&d=identicon&r=PG', 'display_name': 'Carlos Herrera', 'link': 'https://stackoverflow.com/users/13917801/carlos-herrera'}",True,161,2,4,1668791280,1601749313,64187540,CC BY-SA 4.0,https://stackoverflow.com/questions/64187540/validation-with-data-annotations-does-not-work,Validation with data annotations does not work,64188108.0,,,,
6,"['c#', 'class', '.net-core', 'dependency-injection', 'static-classes']","{'account_id': 4029290, 'reputation': 33, 'user_id': 3316109, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/579101844/picture?type=large', 'display_name': 'NeveN', 'link': 'https://stackoverflow.com/users/3316109/neven'}",True,4056,4,2,1668695841,1603370270,64482399,CC BY-SA 4.0,https://stackoverflow.com/questions/64482399/how-to-use-iwebhostenvironment-inside-static-class-in-asp-core,How to use &quot;IWebHostEnvironment&quot; inside static class in ASP Core,64482987.0,1603397406.0,,,
7,"['c#', '.net-core', '.net-core-3.1']","{'account_id': 3659064, 'reputation': 793, 'user_id': 3049362, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/fa33da28a756ccedbec0e052aa7867d4?s=256&d=identicon&r=PG', 'display_name': 'Marc Selis', 'link': 'https://stackoverflow.com/users/3049362/marc-selis'}",True,1531,2,1,1668515345,1603123595,64431162,CC BY-SA 4.0,https://stackoverflow.com/questions/64431162/host-is-not-stopped-when-backgroundservice-crashes,Host is not stopped when BackgroundService crashes,74445640.0,,,,
8,"['c#', 'asp.net', 'wpf', 'registry']","{'account_id': 17804748, 'reputation': 198, 'user_id': 12930670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1a514b9e1fe5e900d61c662f753c4867?s=256&d=identicon&r=PG&f=1', 'display_name': 'harili', 'link': 'https://stackoverflow.com/users/12930670/harili'}",True,1032,1,0,1668344670,1603874839,64569286,CC BY-SA 4.0,https://stackoverflow.com/questions/64569286/system-unauthorizedaccessexception-access-to-the-path-denied,System.UnauthorizedAccessException: Access to the path denied,64926050.0,1668344670.0,,,
9,"['javascript', 'c#', 'dom', 'cefsharp']","{'account_id': 10712475, 'reputation': 26837, 'user_id': 7884305, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7f582791bc217379415cc2bc54abc718?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chayim Friedman', 'link': 'https://stackoverflow.com/users/7884305/chayim-friedman'}",True,175,2,-1,1667854324,1602819886,64382641,CC BY-SA 4.0,https://stackoverflow.com/questions/64382641/cefsharp-does-not-marshal-dom-nodes,CefSharp does not marshal DOM nodes,64387686.0,,,,
