,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['c#', 'asp.net-core']","{'account_id': 8669726, 'reputation': 2187, 'user_id': 6489036, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/3c1c530c3d4afd8e5e0302cdc5edc236?s=256&d=identicon&r=PG&f=1', 'display_name': 'rbr94', 'link': 'https://stackoverflow.com/users/6489036/rbr94'}",True,4191,56807387.0,2,7,1669168000,1561723317,56806595,CC BY-SA 4.0,https://stackoverflow.com/questions/56806595/use-scripts-and-styles-in-asp-net-core-which-originates-from-microsoft-aspne,Use &quot;Scripts&quot; and &quot;Styles&quot; in ASP.NET Core which originates from Microsoft.AspNet.Web.Optimization (.net-framework),,,,,
1,"['c#', '.net-core']","{'account_id': 13812040, 'reputation': 71, 'user_id': 9969554, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ac01494730a8da1ba633669e4c2d87b9?s=256&d=identicon&r=PG&f=1', 'display_name': 'DylanT', 'link': 'https://stackoverflow.com/users/9969554/dylant'}",True,11731,56775533.0,2,3,1669055942,1561559234,56775156,CC BY-SA 4.0,https://stackoverflow.com/questions/56775156/cant-run-code-using-the-dotnet-run-command-in-visual-studio-couldnt-find-a,Can&#39;t run code using the &#39;dotnet&#39; run command in Visual Studio. &quot;Couldn&#39;t find a project to run&quot;,1669055081.0,,,,
2,"['c#', 'redis']","{'account_id': 2179503, 'reputation': 109, 'user_id': 1929316, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e50e8680c0741bb16fa7ee7f293621f?s=256&d=identicon&r=PG', 'display_name': 'LuxC', 'link': 'https://stackoverflow.com/users/1929316/luxc'}",True,3958,,2,0,1669044228,1560747040,56624879,CC BY-SA 4.0,https://stackoverflow.com/questions/56624879/fast-way-to-insert-50-million-records-in-redis,Fast way to insert 50 million records in Redis,,,,,
3,"['c#', 'http-status-code-404', 'github-pages', 'blazor']","{'account_id': 3494687, 'reputation': 73, 'user_id': 2923315, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'billybillyjim', 'link': 'https://stackoverflow.com/users/2923315/billybillyjim'}",True,2327,56741392.0,6,5,1668732415,1561241559,56719533,CC BY-SA 4.0,https://stackoverflow.com/questions/56719533/why-does-my-blazor-page-result-in-404-errors-on-github-pages,Why does my blazor page result in 404 errors on github pages?,,,,,
4,"['c#', 'sqlite', 'xaml', 'xamarin.forms']","{'account_id': 14274045, 'reputation': 49, 'user_id': 10310767, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/21bca8a794e25a8ae5366b754554a34e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vanessa Malone', 'link': 'https://stackoverflow.com/users/10310767/vanessa-malone'}",True,4119,,2,1,1668309519,1560203232,56533945,CC BY-SA 4.0,https://stackoverflow.com/questions/56533945/table-doesnt-exist-error-trying-to-query-database,&quot;table doesn&#39;t exist&quot; -error trying to query database,1668307317.0,,,,
5,"['c#', 'asp.net-core', 'ssl-certificate']","{'account_id': 9445559, 'reputation': 83, 'user_id': 7024456, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/21ae04272aaa084c5010765575313719?s=256&d=identicon&r=PG&f=1', 'display_name': 'AhsanAzeem', 'link': 'https://stackoverflow.com/users/7024456/ahsanazeem'}",True,5862,56409783.0,4,8,1668142371,1559415417,56409580,CC BY-SA 4.0,https://stackoverflow.com/questions/56409580/trouble-trusting-local-https-certificate-in-asp-net-core,Trouble trusting local HTTPs certificate in ASP.NET Core,1600323517.0,,,,
6,"['c#', 'asp.net', 'google-api', 'google-places-api']","{'account_id': 2091257, 'reputation': 1065, 'user_id': 1861044, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/ktRkI.png?s=256&g=1', 'display_name': 'fix', 'link': 'https://stackoverflow.com/users/1861044/fix'}",True,1047,,2,8,1668070903,1560541154,56604236,CC BY-SA 4.0,https://stackoverflow.com/questions/56604236/how-can-i-forward-the-clients-ip-address-to-google-places-autocomplete-api,How can I forward the client&#39;s IP Address to Google Places Autocomplete API,,,,,
7,"['c#', 'blazor']","{'account_id': 16137912, 'reputation': 383, 'user_id': 11649893, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/I97TW.jpg?s=256&g=1', 'display_name': 'David23g', 'link': 'https://stackoverflow.com/users/11649893/david23g'}",True,40454,56675814.0,8,38,1668067527,1560544873,56604886,CC BY-SA 4.0,https://stackoverflow.com/questions/56604886/display-wait-or-spinner-on-api-call,Display wait or spinner on API call,1665173143.0,,,,
8,"['c#', 'asp.net-core']","{'account_id': 14195626, 'reputation': 329, 'user_id': 10255020, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f61040e3696bdab4220c86e44c68fd50?s=256&d=identicon&r=PG&f=1', 'display_name': 'mm98', 'link': 'https://stackoverflow.com/users/10255020/mm98'}",True,7512,56495545.0,3,20,1667868089,1559914906,56495475,CC BY-SA 4.0,https://stackoverflow.com/questions/56495475/asp-net-core-its-possible-to-configure-an-action-in-controller-only-in-developm,ASP.NET core it&#39;s possible to configure an action in controller only in development mode?,1559915644.0,,,,
9,"['c#', 'image', 'ms-word', 'openxml', 'openxml-sdk']","{'account_id': 13295653, 'reputation': 5, 'user_id': 11612613, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-AFx0G0Dz-h4/AAAAAAAAAAI/AAAAAAAAABw/K0IflMSPTKI/photo.jpg?sz=256', 'display_name': 'Alex B', 'link': 'https://stackoverflow.com/users/11612613/alex-b'}",False,1380,,2,0,1667801344,1559896497,56490771,CC BY-SA 4.0,https://stackoverflow.com/questions/56490771/how-to-add-anchor-images-in-open-xml-wordprocessing-document,How to add &#39;&#39;anchor&#39;&#39; images in open-xml wordprocessing document?,1563357386.0,,,,
10,"['c#', 'excel', 'npoi']","{'account_id': 15649934, 'reputation': 349, 'user_id': 11291508, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/U4MG4.png?s=256&g=1', 'display_name': 'wren', 'link': 'https://stackoverflow.com/users/11291508/wren'}",True,945,56620523.0,2,-1,1667398705,1560502009,56594606,CC BY-SA 4.0,https://stackoverflow.com/questions/56594606/how-to-get-excel-column-with-the-column-index-in-npoi-c,How to get excel column with the column index in NPOI C#,,,,,
11,"['c#', 'visual-studio-2019', 'blazor']","{'account_id': 12144536, 'reputation': 577, 'user_id': 8867318, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-nYgdQfIoTPM/AAAAAAAAAAI/AAAAAAAAAAo/jEjObZvuaEU/photo.jpg?sz=256', 'display_name': 'Momin Shahzad', 'link': 'https://stackoverflow.com/users/8867318/momin-shahzad'}",True,17613,56576992.0,14,24,1667388651,1560414922,56576553,CC BY-SA 4.0,https://stackoverflow.com/questions/56576553/blazor-the-type-or-namespace-name-app-could-not-be-found-are-you-missing-a-us,Blazor the type or namespace name &#39;App&#39; could not be found (are you missing a using directive or an assembly reference?),1571121854.0,,,,
