,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,migrated_from,community_owned_date
0,"['c#', 'asp.net', 'xml', 'excel', 'pdf']","{'account_id': 272706, 'reputation': 73, 'user_id': 1080060, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/e011a20daf7b23014bee4baa4853f779?s=256&d=identicon&r=PG', 'display_name': 'dantee_87', 'link': 'https://stackoverflow.com/users/1080060/dantee-87'}",True,324,3,0,1669358081,1334135235,10102957,CC BY-SA 3.0,https://stackoverflow.com/questions/10102957/third-party-tool-to-conver-xml-excel-spreadsheets-into-pdf,third party tool to conver XML Excel spreadsheets into PDF,,,,,,,
1,"['c#', 'linq', 'list', 'distinct']","{'account_id': 1280505, 'reputation': 4256, 'user_id': 1234693, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/5f418c7981a6e42312b38cebd4f246e0?s=256&d=identicon&r=PG', 'display_name': 'Darrel Hoffman', 'link': 'https://stackoverflow.com/users/1234693/darrel-hoffman'}",True,584828,6,234,1669243695,1334968293,10255121,CC BY-SA 4.0,https://stackoverflow.com/questions/10255121/get-a-list-of-distinct-values-in-list,Get a list of distinct values in List,10255134.0,1626288212.0,,,,,
2,"['c#', 'treeview']","{'account_id': 875994, 'reputation': 1298, 'user_id': 925629, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/20284463fe30eb865f227058d42f20b4?s=256&d=identicon&r=PG', 'display_name': '537mfb', 'link': 'https://stackoverflow.com/users/925629/537mfb'}",True,15017,1,3,1669207839,1334244815,10126873,CC BY-SA 4.0,https://stackoverflow.com/questions/10126873/c-treeview-collapse-expand-on-parent-select,C# TreeView Collapse/Expand on parent select,16899080.0,1669207839.0,,,,,
3,"['c#', 'mongodb']","{'account_id': 1396189, 'reputation': 291, 'user_id': 1325888, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/e5a841904dfaaa0d827450283ff082cd?s=256&d=identicon&r=PG', 'display_name': 'Himani Talesara', 'link': 'https://stackoverflow.com/users/1325888/himani-talesara'}",True,17447,6,3,1669199969,1334553838,10169064,CC BY-SA 3.0,https://stackoverflow.com/questions/10169064/mongodb-authentication-with-connection-string,mongodb authentication with connection string,10177205.0,,,,,,
4,"['c#', 'asp.net', 'httpwebrequest', 'http-status-code-404']","{'account_id': 30700, 'reputation': 4613, 'user_id': 83825, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/bcfe125a751c42e78308c1514028c89a?s=256&d=identicon&r=PG', 'display_name': 'SelAromDotNet', 'link': 'https://stackoverflow.com/users/83825/selaromdotnet'}",True,35831,3,40,1669172732,1334019234,10081726,CC BY-SA 3.0,https://stackoverflow.com/questions/10081726/why-does-httpwebrequest-throw-an-exception-instead-returning-httpstatuscode-notf,Why does HttpWebRequest throw an exception instead returning HttpStatusCode.NotFound?,10083100.0,,,,,,
5,"['c#', 'visual-studio-2010', 'debugging', 'c#-4.0', 'bitmap']","{'account_id': 38936, 'reputation': 1190, 'user_id': 112091, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ecb2e0660b400330dc6976f751222b08?s=256&d=identicon&r=PG', 'display_name': 'ROWLEX Admin', 'link': 'https://stackoverflow.com/users/112091/rowlex-admin'}",True,17629,7,32,1669120923,1334927121,10246831,CC BY-SA 3.0,https://stackoverflow.com/questions/10246831/how-to-look-at-bitmap-objects-in-visual-studio-debugger,How to look at Bitmap objects in Visual Studio debugger?,10246871.0,,,,,,
6,"['c#', '.net', 'download', 'youtube', 'webclient']","{'user_type': 'does_not_exist', 'display_name': 'user1305153'}",False,2699,1,-1,1668953549,1333223702,9959167,CC BY-SA 3.0,https://stackoverflow.com/questions/9959167/fixing-a-youtube-downloader-class,Fixing a youtube downloader class,,1495541486.0,,,,,
7,"['c#', '.net', 'char']","{'account_id': 1104124, 'reputation': 2175, 'user_id': 1095899, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/1ebc6c4e1d046b118d73f86aca511ea0?s=256&d=identicon&r=PG&f=1', 'display_name': 'abc', 'link': 'https://stackoverflow.com/users/1095899/abc'}",True,35633,7,17,1668920455,1333366381,9975640,CC BY-SA 3.0,https://stackoverflow.com/questions/9975640/check-if-char-isletter,check if char isletter,9975681.0,1347526744.0,,,,,
8,"['c#', 'automation']","{'account_id': 89734, 'reputation': 8007, 'user_id': 247402, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/83f55eae9d9cd2dd73c037a67caacdda?s=256&d=identicon&r=PG&f=1', 'display_name': 'Stacker', 'link': 'https://stackoverflow.com/users/247402/stacker'}",True,20995,3,16,1668908139,1334145330,10105396,CC BY-SA 3.0,https://stackoverflow.com/questions/10105396/given-an-automation-element-how-do-i-simulate-a-single-left-click-on-it,Given an Automation Element how do i simulate a single left click on it,10106437.0,,,,,,
9,"['c#', 'oauth', 'oauth-2.0', 'jwt']","{'account_id': 213767, 'reputation': 7669, 'user_id': 467339, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/Kk0Ox.png?s=256&g=1', 'display_name': 'Levitikon', 'link': 'https://stackoverflow.com/users/467339/levitikon'}",True,163435,7,116,1668741241,1333807623,10055158,CC BY-SA 3.0,https://stackoverflow.com/questions/10055158/is-there-any-json-web-token-jwt-example-in-c,Is there any JSON Web Token (JWT) example in C#?,10106800.0,1519033697.0,1504256437.0,,,,
