,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,bounty_amount,bounty_closes_date,closed_date,closed_reason
0,"['c#', '.net', 'windows']","{'account_id': 26501263, 'reputation': 105, 'user_id': 20138168, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5f9673e7d1f06b47ac45dc42b49e6ffd?s=256&d=identicon&r=PG', 'display_name': 'Willy', 'link': 'https://stackoverflow.com/users/20138168/willy'}",True,81,74587777.0,2,1,1669527715,1666211781,74131599,CC BY-SA 4.0,https://stackoverflow.com/questions/74131599/how-to-dispatch-to-main-thread,How to dispatch to main thread?,,,,,
1,"['c#', 'asp.net', 'railway.js']","{'account_id': 26693557, 'reputation': 1, 'user_id': 20301771, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0L1xahJ9TaZtV6RGo3JYcwFuN7F4wWn72cBMypZA=k-s256', 'display_name': 'Alex Rivera', 'link': 'https://stackoverflow.com/users/20301771/alex-rivera'}",False,96,,1,0,1669509435,1666361251,74154902,CC BY-SA 4.0,https://stackoverflow.com/questions/74154902/railway-asp-net-app-fails-to-build-and-i-cant-figure-out-why,Railway ASP.NET app fails to build and I can&#39;t figure out why,1666361650.0,,,,
2,"['c#', '.net', 'asp.net-core', 'prometheus', 'open-telemetry']","{'account_id': 2329598, 'reputation': 119, 'user_id': 2043343, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/474761ae157d4ec8e0265a75341f8a5b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sunilkumar Mandati', 'link': 'https://stackoverflow.com/users/2043343/sunilkumar-mandati'}",True,110,74482920.0,3,2,1669470650,1666911762,74229129,CC BY-SA 4.0,https://stackoverflow.com/questions/74229129/could-not-load-type-system-serviceproviderextensions-from-assembly-openteleme,"Could not load type &#39;System.ServiceProviderExtensions&#39; from assembly &#39;OpenTelemetry, Version=1.0.0.0, Culture=neutral",1666912087.0,,,,
3,"['c#', 'unity3d', 'leaderboard', 'playfab']","{'account_id': 23151464, 'reputation': 1, 'user_id': 17253401, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bb02f55a79838ffb7833db1c30684d75?s=256&d=identicon&r=PG', 'display_name': 'SKY', 'link': 'https://stackoverflow.com/users/17253401/sky'}",False,60,,1,0,1669412378,1665056043,73973113,CC BY-SA 4.0,https://stackoverflow.com/questions/73973113/sending-leaderboard-in-c-unity-to-playfab,Sending leaderboard in C# Unity to Playfab,1666104988.0,,,,
4,"['c#', 'azure', 'azure-functions', 'azure-durable-functions']","{'account_id': 881558, 'reputation': 2445, 'user_id': 267955, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://www.gravatar.com/avatar/06146b832fdff9a68e58f7ea649cbc24?s=256&d=identicon&r=PG', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/267955/paul'}",False,140,,1,0,1669273530,1664638581,73919626,CC BY-SA 4.0,https://stackoverflow.com/questions/73919626/how-to-identify-why-durable-functions-running-in-parallel-are-still-slow,How to identify why durable functions running in parallel are still slow,,150.0,1669814364.0,,
5,"['c#', 'xamarin', 'xamarin.forms', 'bluetooth', 'bluetooth-lowenergy']","{'account_id': 26450626, 'reputation': 31, 'user_id': 20093880, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9e69d7da81a2e9cad69b6becaab45cf5?s=256&d=identicon&r=PG', 'display_name': 'Raul', 'link': 'https://stackoverflow.com/users/20093880/raul'}",False,88,,0,1,1669255112,1664738103,73928647,CC BY-SA 4.0,https://stackoverflow.com/questions/73928647/program-crashes-on-startscanningfordevicesasync-plugin-ble,Program crashes on StartScanningForDevicesAsync() PLUGIN.BLE,1669255112.0,,,,
6,"['c#', '.net', 'linux', 'console-application', '.net-6.0']","{'account_id': 3458669, 'reputation': 3884, 'user_id': 2896495, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'AlexB', 'link': 'https://stackoverflow.com/users/2896495/alexb'}",True,38,74229345.0,1,0,1669248275,1666908089,74228757,CC BY-SA 4.0,https://stackoverflow.com/questions/74228757/net-6-console-app-on-linux-environment-name-is-empty,.NET 6 console app on Linux - environment name is empty,1669248275.0,,,,
7,"['c#', '.net-6.0', 'restsharp']","{'account_id': 25496441, 'reputation': 11, 'user_id': 19290426, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9291460762ff35b1f8d6ca0e075b456d?s=256&d=identicon&r=PG', 'display_name': 'Abhinandan', 'link': 'https://stackoverflow.com/users/19290426/abhinandan'}",True,25,,1,1,1669238694,1666953566,74234170,CC BY-SA 4.0,https://stackoverflow.com/questions/74234170/parametertype-cookies-in-restsharp-v107,ParameterType.cookies in RestSharp v107,,,,,
8,"['c#', 'nuget-package', 'restsharp', '.net-4.7.2', 'cve']","{'account_id': 26737231, 'reputation': 1, 'user_id': 20338610, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0onlz8rreEnbI3BjEPkQuzVJt0HvGk41NCxBAo0w=k-s256', 'display_name': 'Manoj Buddy', 'link': 'https://stackoverflow.com/users/20338610/manoj-buddy'}",False,101,,1,-2,1669238449,1666809821,74212761,CC BY-SA 4.0,https://stackoverflow.com/questions/74212761/cve-2021-24112-cve-2021-26701-showing-severity-score-as-9-8-on-restsharp-upgrad,"CVE-2021-24112, CVE-2021-26701 showing severity score as 9.8 on Restsharp upgrade",1666859663.0,,,,
9,"['c#', '.net', 'winforms', 'graphics']","{'account_id': 26574921, 'reputation': 81, 'user_id': 20200502, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0SJoU7aNURcXulGVLMyMpecShAd1snMQk95P99=k-s256', 'display_name': 'Rojer Brief', 'link': 'https://stackoverflow.com/users/20200502/rojer-brief'}",True,95,74159167.0,1,3,1669234993,1666373652,74157315,CC BY-SA 4.0,https://stackoverflow.com/questions/74157315/how-to-time-the-presentation-and-extraction-of-frames-from-a-video-file,How to time the presentation and extraction of frames from a video file?,1666403705.0,,,,
