,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,locked_date
0,"['c#', 'api', 'rest']","{'account_id': 17235548, 'reputation': 39, 'user_id': 12479105, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBDYiIIPKUU7gMCYN1IWEmPWiHo6e5UPxGSwxjB=k-s256', 'display_name': 'Nelson Kibet', 'link': 'https://stackoverflow.com/users/12479105/nelson-kibet'}",False,7482,1,0,1668891610,1611242665,1611243727.0,65830495,CC BY-SA 4.0,https://stackoverflow.com/questions/65830495/calling-a-rest-api-with-bearer-token,Calling a Rest API with Bearer token,,,,
1,"['java', 'c#', 'android', 'xamarin']","{'account_id': 6701558, 'reputation': 1, 'user_id': 5167865, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f4195b97d73b8bd8c3e3e6f803818fb9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Илья Петров', 'link': 'https://stackoverflow.com/users/5167865/%d0%98%d0%bb%d1%8c%d1%8f-%d0%9f%d0%b5%d1%82%d1%80%d0%be%d0%b2'}",False,60,2,-1,1668800931,1610989133,1610990871.0,65778884,CC BY-SA 4.0,https://stackoverflow.com/questions/65778884/can-i-write-from-mediarecorder-to-my-android-linux-pipes,Can i write from MediaRecorder to my android / linux pipe&#39;s?,,,,
2,"['c#', '.net', 'pdf', 'pdftotext']","{'account_id': 14639271, 'reputation': 29, 'user_id': 10572371, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2100619493525602/picture?type=large', 'display_name': 'Ivo Kostov', 'link': 'https://stackoverflow.com/users/10572371/ivo-kostov'}",False,1039,1,0,1668766295,1609834404,1609836313.0,65575197,CC BY-SA 4.0,https://stackoverflow.com/questions/65575197/how-can-i-extract-text-from-a-scanned-pdf-document-with-c,How can I extract text from a scanned PDF document with C#?,,,,
3,"['c#', 'asp.net', '.net', 'sqlite', 'iis']","{'account_id': 6431776, 'reputation': 805, 'user_id': 4984594, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f307bec2fd3855e1aef25930af6d574d?s=256&d=identicon&r=PG&f=1', 'display_name': 'FAQi', 'link': 'https://stackoverflow.com/users/4984594/faqi'}",True,10224,8,11,1668763535,1610805896,1668763473.0,65750542,CC BY-SA 4.0,https://stackoverflow.com/questions/65750542/microsoft-data-sqlite-library-e-sqlite3-not-found,Microsoft.Data.SQLite: Library e_sqlite3 not found,65772192.0,,,
4,"['c#', 'asp.net-core', 'popup', 'bootstrap-modal', 'razor-pages']","{'account_id': 8891896, 'reputation': 19, 'user_id': 6638152, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-W-vGZU5__Ok/AAAAAAAAAAI/AAAAAAAAACE/CYIlecxzEvA/photo.jpg?sz=256', 'display_name': 'Hossein Pour', 'link': 'https://stackoverflow.com/users/6638152/hossein-pour'}",False,1197,1,1,1668722695,1611396195,1668722695.0,65857877,CC BY-SA 4.0,https://stackoverflow.com/questions/65857877/login-modal-in-asp-net-core-razor-pages,Login modal in ASP.net Core Razor Pages,,,,
5,"['c#', 'configuration', 'c#-record-type']","{'account_id': 8270383, 'reputation': 331, 'user_id': 6218228, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/db42fcfb6a9666e198d434cf2c0bca89?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rok', 'link': 'https://stackoverflow.com/users/6218228/rok'}",True,1892,3,12,1668693846,1611406525,1611407046.0,65859447,CC BY-SA 4.0,https://stackoverflow.com/questions/65859447/bind-iconfiguration-to-c-record-type,Bind IConfiguration to C# Record Type,,,,
6,"['c#', 'ssis', 'script-task']","{'account_id': 3871333, 'reputation': 55, 'user_id': 3206532, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://graph.facebook.com/100000273835218/picture?type=large', 'display_name': 'Filipe Vilhena', 'link': 'https://stackoverflow.com/users/3206532/filipe-vilhena'}",True,1476,2,2,1668691752,1610122168,,65632495,CC BY-SA 4.0,https://stackoverflow.com/questions/65632495/could-not-load-file-or-assembly-ssis-script-task,Could not load file or assembly SSIS Script Task,,,,
7,"['c#', '.net-core', 'nuget']","{'account_id': 3781521, 'reputation': 3732, 'user_id': 3140853, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/73157a618d54905fae77b8e32a8db426?s=256&d=identicon&r=PG', 'display_name': 'alastairtree', 'link': 'https://stackoverflow.com/users/3140853/alastairtree'}",True,876,1,4,1668475191,1609682019,1668475191.0,65550580,CC BY-SA 4.0,https://stackoverflow.com/questions/65550580/how-to-force-downgrade-a-transitive-dependency-in-dotnet-core,How to force downgrade a transitive dependency in dotnet core,65634540.0,,,
8,"['c#', 'virus', 'trojan', 'kaspersky']","{'account_id': 5628105, 'reputation': 89, 'user_id': 4575355, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-Ca2HbWy6W0E/AAAAAAAAAAI/AAAAAAAAAM8/bbyD99f4wKc/photo.jpg?sz=256', 'display_name': 'Fad Sel', 'link': 'https://stackoverflow.com/users/4575355/fad-sel'}",True,5559,6,1,1668439574,1611739792,,65916286,CC BY-SA 4.0,https://stackoverflow.com/questions/65916286/c-application-detected-by-kaspersky-as-trojan-virus-vhotrojan-msil-convagent,C# Application Detected By Kaspersky As Trojan Virus (VHO:Trojan.MSIL.Convagent.gen),66040931.0,,,
9,"['c#', 'asp.net', 'angular', 'typescript']","{'account_id': 12981922, 'reputation': 50, 'user_id': 9384015, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/37a8a3776cea47142a37ab0b0878adbb?s=256&d=identicon&r=PG&f=1', 'display_name': 'James E', 'link': 'https://stackoverflow.com/users/9384015/james-e'}",False,524,1,1,1668352100,1611241074,1611254817.0,65830036,CC BY-SA 4.0,https://stackoverflow.com/questions/65830036/http-400-input-string-is-not-a-valid-number,HTTP 400: &quot;Input string is not a valid number.&quot;,,,,
