,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,locked_date
0,"['c#', 'json', 'datetime', 'asp.net-core', 'system.text.json']","{'account_id': 13304070, 'reputation': 1571, 'user_id': 9604570, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2eccccd77403f0fd8e5ac97218ca7ff4?s=256&d=identicon&r=PG&f=1', 'display_name': 'D. English', 'link': 'https://stackoverflow.com/users/9604570/d-english'}",True,56392,5,63,1669495640,1569426425,1574729698.0,58102189,CC BY-SA 4.0,https://stackoverflow.com/questions/58102189/formatting-datetime-in-asp-net-core-3-0-using-system-text-json,Formatting DateTime in ASP.NET Core 3.0 using System.Text.Json,,,,,
1,"['c#', 'aws-sdk']","{'account_id': 11678768, 'reputation': 1, 'user_id': 8551290, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1e90a836166b6ca6e29bc9d50dae54ad?s=256&d=identicon&r=PG&f=1', 'display_name': 'samath kumar', 'link': 'https://stackoverflow.com/users/8551290/samath-kumar'}",False,169,1,0,1669384872,1568102256,1568116019.0,57866403,CC BY-SA 4.0,https://stackoverflow.com/questions/57866403/access-cloudwatch-logs,Access CloudWatch Logs,,,,,
2,"['c#', '.net-core', 'sharpziplib']","{'account_id': 77535, 'reputation': 1147, 'user_id': 221226, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/655bc8b8b7cc222f27122484a5cce34f?s=256&d=identicon&r=PG', 'display_name': 'binaryguy', 'link': 'https://stackoverflow.com/users/221226/binaryguy'}",True,2159,1,2,1668766463,1567526367,1567527144.0,57775160,CC BY-SA 4.0,https://stackoverflow.com/questions/57775160/extract-tgz-file-in-memory-and-access-files-in-c,Extract tgz file in memory and access files in C#,57775448.0,,,,
3,"['c#', '.net', 'mobile', 'cors']","{'account_id': 245105, 'reputation': 752, 'user_id': 518404, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/4ddbefe907381362f772e07df96360c6?s=256&d=identicon&r=PG', 'display_name': 'Quintonn', 'link': 'https://stackoverflow.com/users/518404/quintonn'}",True,473,1,1,1668660488,1567334248,,57745254,CC BY-SA 4.0,https://stackoverflow.com/questions/57745254/whats-the-point-of-cors-if-apps-need-it-to-allow-any-origin,What&#39;s the point of CORS if apps need it to allow any origin?,,,,,
4,"['c#', 'windows', 'visual-studio', 'nunit', 'visual-studio-2019']","{'account_id': 7095620, 'reputation': 2219, 'user_id': 5429320, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/e02691284796e5cf261da5a449fdabec?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ross', 'link': 'https://stackoverflow.com/users/5429320/ross'}",True,9661,6,5,1668340110,1569327714,1569330433.0,58080236,CC BY-SA 4.0,https://stackoverflow.com/questions/58080236/vs2019-cannot-run-nunit-tests-issue-with-testhost-x86-exe,Vs2019 cannot run NUnit Tests - Issue with &#39;testhost.x86.exe&#39;,58081522.0,,,,
5,"['c#', 'uwp', 'multi-window', 'window-management']","{'account_id': 557311, 'reputation': 1834, 'user_id': 919700, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/8a56d6e5177348776169e5f3d9099232?s=256&d=identicon&r=PG', 'display_name': 'Cristiano Ghersi', 'link': 'https://stackoverflow.com/users/919700/cristiano-ghersi'}",False,474,1,2,1668284844,1568167201,1568174240.0,57881050,CC BY-SA 4.0,https://stackoverflow.com/questions/57881050/uwp-how-to-detect-when-a-window-changes-its-location,UWP How to detect when a window changes its location,,,,,
6,"['c#', 'json']","{'account_id': 15978569, 'reputation': 43, 'user_id': 11530814, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c0ebc2977296f4a3bafec55799a3a70e?s=256&d=identicon&r=PG&f=1', 'display_name': 'elfenliedtopfan5', 'link': 'https://stackoverflow.com/users/11530814/elfenliedtopfan5'}",False,1052,4,0,1668226232,1567804512,1567804909.0,57828629,CC BY-SA 4.0,https://stackoverflow.com/questions/57828629/how-to-parse-json-in-c-and-find-only-certain-parts,How to parse JSON in C# and find only certain parts,,,,,
7,"['c#', 'asp.net-core', '.net-core', 'automapper']","{'account_id': 1203030, 'reputation': 5008, 'user_id': 1173307, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/661da69d4d513e5b58a94d670a136f5f?s=256&d=identicon&r=PG', 'display_name': 'pantonis', 'link': 'https://stackoverflow.com/users/1173307/pantonis'}",False,3249,2,0,1668075017,1569567863,1569570204.0,58129450,CC BY-SA 4.0,https://stackoverflow.com/questions/58129450/addautomapper-does-not-load-all-assemblies-in-asp-net-core,AddAutoMapper does not load all assemblies in asp.net core,,,,,
8,"['c#', 'json', '.net-core-3.0', 'system.text.json']","{'account_id': 8663731, 'reputation': 983, 'user_id': 6485085, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a68ab54a3d321960bd0fe5f1ae35f42a?s=256&d=identicon&r=PG&f=1', 'display_name': 'SkyStorm', 'link': 'https://stackoverflow.com/users/6485085/skystorm'}",True,49513,16,88,1667853077,1569306711,1574537208.0,58074304,CC BY-SA 4.0,https://stackoverflow.com/questions/58074304/is-polymorphic-deserialization-possible-in-system-text-json,Is polymorphic deserialization possible in System.Text.Json?,59744873.0,,,,
9,"['c#', 'mstest', 'target-framework']","{'account_id': 1582303, 'reputation': 4405, 'user_id': 1467396, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/EhLAn.jpg?s=256&g=1', 'display_name': 'David', 'link': 'https://stackoverflow.com/users/1467396/david'}",True,9397,7,36,1667846070,1568750064,,57981214,CC BY-SA 4.0,https://stackoverflow.com/questions/57981214/error-when-changing-to-targetframeworks-plural-in-net-core-csproj-file,Error when changing to &lt;TargetFrameworks&gt; (plural) in .NET Core csproj file,,,,,
