,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date
0,"['c#', 'visual-studio', 'android-emulator', 'emulation']","{'account_id': 25494796, 'reputation': 41, 'user_id': 19289010, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggf_Bvl35oU7ysQmJu19oh19K_NilQ7OhM5gBZX=k-s256', 'display_name': 'ornamau', 'link': 'https://stackoverflow.com/users/19289010/ornamau'}",False,138,1,2,1669429575,1656369496,72778960,CC BY-SA 4.0,https://stackoverflow.com/questions/72778960/resetting-for-cold-boot-emulation-engine-failed-visual-studio-2022,Resetting for cold boot emulation engine failed Visual Studio 2022,,,,,,
1,"['c#', 'sqlite', 'blazor', 'webassembly']","{'account_id': 6607112, 'reputation': 209, 'user_id': 5451421, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/ESgGg.jpg?s=256&g=1', 'display_name': 'Eugene', 'link': 'https://stackoverflow.com/users/5451421/eugene'}",False,179,1,0,1669397508,1654282027,72493961,CC BY-SA 4.0,https://stackoverflow.com/questions/72493961/how-to-read-import-a-sqlite-database-in-blazor-wasm,How to read/import a Sqlite database in Blazor WASM?,,,,,,
2,"['c#', 'amazon-web-services', 'authentication', '.net-core', 'amazon-opensearch']","{'account_id': 24861754, 'reputation': 1, 'user_id': 18737431, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiiAHArIvREwHWoLcG6V-LM4UM8VKrTTFuHdSDXUw=k-s256', 'display_name': 'Yordan Dimov', 'link': 'https://stackoverflow.com/users/18737431/yordan-dimov'}",False,125,1,0,1669362703,1655311071,72634935,CC BY-SA 4.0,https://stackoverflow.com/questions/72634935/how-to-do-aws-signature-authorization-and-invoke-elastic-search-using-net-core,How to do AWS signature authorization and invoke elastic search using .NET Core client,,,,,,
3,"['c#', 'sharepoint']","{'account_id': 25572918, 'reputation': 1, 'user_id': 19352964, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxKqoROnGQo4wfYtJwNU7Ucp4KM5DJE2WqFGpoo=k-s256', 'display_name': 'Bing Code', 'link': 'https://stackoverflow.com/users/19352964/bing-code'}",False,89,1,0,1669308450,1655392414,72648112,CC BY-SA 4.0,https://stackoverflow.com/questions/72648112/sharepoint-client-in-c-share-a-folder-with-specific-user,Sharepoint Client in C# Share a folder with specific user,1655392884.0,,,,,
4,"['c#', 'sql-server', 'entity-framework-core']","{'account_id': 15922875, 'reputation': 7, 'user_id': 11489349, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1876162929154250/picture?type=large', 'display_name': 'Marquito', 'link': 'https://stackoverflow.com/users/11489349/marquito'}",True,92,1,0,1669243524,1654015869,72451520,CC BY-SA 4.0,https://stackoverflow.com/questions/72451520/c-entity-framework-core-cant-use-dbcontext-find-with-multiple-values,C# Entity Framework Core - Can&#39;t use DbContext.find() with multiple values,1654015981.0,74553753.0,,,,
5,"['c#', 'excel', 'visual-studio', 'ms-office', 'ole']","{'account_id': 25636869, 'reputation': 1, 'user_id': 19406336, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f0e7b8cc5ab4f3a3ee3b95ed4d9a06a?s=256&d=identicon&r=PG', 'display_name': 'Veeramani', 'link': 'https://stackoverflow.com/users/19406336/veeramani'}",False,144,2,0,1669170632,1656064515,72742225,CC BY-SA 4.0,https://stackoverflow.com/questions/72742225/microsoft-excel-is-waiting-for-another-application-to-complete-an-ole-action-err,Microsoft Excel is waiting for another application to complete an OLE action Error,,,,,,
6,"['c#', '.net', 'integration-testing', 'fixtures', 'xunit.net']","{'account_id': 23526687, 'reputation': 1, 'user_id': 17573107, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxrW_mU2AKQNfIVcQA6kkrFNpZqCB1FJJ7f_Uvb=k-s256', 'display_name': 'Manuele Occhialini', 'link': 'https://stackoverflow.com/users/17573107/manuele-occhialini'}",False,198,1,0,1669041580,1654578958,72526214,CC BY-SA 4.0,https://stackoverflow.com/questions/72526214/webapplicationfactory-error-not-throwed-in-debug-mode,"WebApplicationFactory error, not throwed in debug mode",1654624616.0,,,,,
7,"['c#', 'wpf', 'emgucv']","{'account_id': 24709244, 'reputation': 77, 'user_id': 18599640, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/32e7e5c2c4949bd643112d87408653ab?s=256&d=identicon&r=PG', 'display_name': 'Dotnet_Developer10', 'link': 'https://stackoverflow.com/users/18599640/dotnet-developer10'}",False,615,2,0,1669006223,1654972420,72586978,CC BY-SA 4.0,https://stackoverflow.com/questions/72586978/how-to-convert-mat-to-bitmap-in-c-using-emgucv,How to convert Mat to bitmap in C# using EmguCV?,,,,,,
8,"['c#', 'unit-testing', 'mocking']","{'account_id': 346948, 'reputation': 1974, 'user_id': 680773, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/40c4744f582362e22bc14da2db3d8a41?s=256&d=identicon&r=PG', 'display_name': 'Matthew MacFarland', 'link': 'https://stackoverflow.com/users/680773/matthew-macfarland'}",True,194,1,1,1668929110,1656075836,72744538,CC BY-SA 4.0,https://stackoverflow.com/questions/72744538/how-can-the-fileinfo-class-be-mocked-using-system-io-abstractions,How can the FileInfo class be mocked using System.IO.Abstractions?,,73868932.0,,,,
9,"['c#', 'linq', 'sorting', 'dynamic', 'expandoobject']","{'account_id': 1042981, 'reputation': 3444, 'user_id': 1048588, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://graph.facebook.com/1324473728/picture?type=large', 'display_name': 'jstuardo', 'link': 'https://stackoverflow.com/users/1048588/jstuardo'}",False,101,1,0,1668876096,1655928792,72721460,CC BY-SA 4.0,https://stackoverflow.com/questions/72721460/how-to-use-orderby-extension-method-with-a-collection-of-dynamic-objects,How to use OrderBy extension method with a collection of dynamic objects?,1655974211.0,,,,,
10,"['c#', 'mongodb', 'mongodb-.net-driver', 'bsondocument']","{'account_id': 25646847, 'reputation': 1, 'user_id': 19414810, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzdMrUQwNjKJ3ZiTYfhlCNEo-nNI0ZsdZX5gjnD=k-s256', 'display_name': 'Common Work', 'link': 'https://stackoverflow.com/users/19414810/common-work'}",False,31,1,0,1668872306,1656167324,72754694,CC BY-SA 4.0,https://stackoverflow.com/questions/72754694/using-extended-filters-by-field-inside-field-in-mongodb,Using extended filters (by field inside field) in MongoDB,,,,,,
11,"['c#', 'asp.net', 'asp.net-mvc', 'asp.net-core', 'model-view-controller']","{'account_id': 25547289, 'reputation': 5, 'user_id': 19332391, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9d38252b996fcf0ed0647290135feeee?s=256&d=identicon&r=PG', 'display_name': 'qwerty', 'link': 'https://stackoverflow.com/users/19332391/qwerty'}",True,326,2,0,1668842589,1655412816,72651770,CC BY-SA 4.0,https://stackoverflow.com/questions/72651770/adding-a-default-role-to-a-registered-user,Adding a default role to a registered user,,72651905.0,,,,
12,"['c#', 'observablecollection', 'community-toolkit-mvvm']","{'account_id': 1886091, 'reputation': 24464, 'user_id': 1705266, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/eV8wY.png?s=256&g=1', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/1705266/sam'}",True,828,2,2,1668841215,1656200577,72758013,CC BY-SA 4.0,https://stackoverflow.com/questions/72758013/call-method-when-observableproperty-changes-using-communitytoolkit-mvvm,Call method when ObservableProperty changes using CommunityToolkit.Mvvm,,72768284.0,,,,
13,"['c#', 'linq']","{'account_id': 18685715, 'reputation': 5, 'user_id': 13621265, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/91fb77d3d42c56e42ece4b2137f93961?s=256&d=identicon&r=PG&f=1', 'display_name': 'rachit', 'link': 'https://stackoverflow.com/users/13621265/rachit'}",True,101,3,0,1668781819,1655888576,72712573,CC BY-SA 4.0,https://stackoverflow.com/questions/72712573/handling-dictionary-values-incase-if-it-is-null,Handling Dictionary values incase if it is null,1668781819.0,72713161.0,,,,
14,"['c#', '.net', 'api', 'entity-framework']","{'account_id': 16924244, 'reputation': 37, 'user_id': 12240282, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/vYeZe.png?s=256&g=1', 'display_name': 'post office', 'link': 'https://stackoverflow.com/users/12240282/post-office'}",False,25,1,0,1668767582,1655241778,72623512,CC BY-SA 4.0,https://stackoverflow.com/questions/72623512/system-invalidoperationexception-error-while-running-the-app,System.InvalidOperationException Error while Running the app,1655242095.0,,,,,
