,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,community_owned_date,locked_date
0,"['c#', '.net', 'windows', 'winforms', 'winapi']","{'account_id': 115713, 'reputation': 16568, 'user_id': 303696, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/y1AWh.jpg?s=256&g=1', 'display_name': '0x2D', 'link': 'https://stackoverflow.com/users/303696/0x2d'}",False,1917,1,4,1669393621,1646793369,71403685,CC BY-SA 4.0,https://stackoverflow.com/questions/71403685/windows-11-context-menu-style,Windows 11 Context Menu Style,,,,,,,
1,"['c#', 'asp.net-core', 'jwt', 'google-authentication', 'bearer-token']","{'account_id': 9313894, 'reputation': 891, 'user_id': 6914786, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5401K.jpg?s=256&g=1', 'display_name': 'Jos&#233; Salgado', 'link': 'https://stackoverflow.com/users/6914786/jos%c3%a9-salgado'}",True,2447,1,0,1669391260,1647980634,71578486,CC BY-SA 4.0,https://stackoverflow.com/questions/71578486/asp-net-core-6-jwt-bearer-token-exception,ASP.NET Core 6 JWT bearer token exception,71585207.0,,,,,,
2,"['c#', 'asp.net-core', 'virtual-directory']","{'account_id': 20087673, 'reputation': 33, 'user_id': 14728890, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4f640556bad15559b4b1058bfe027b0?s=256&d=identicon&r=PG&f=1', 'display_name': 'stucknubie', 'link': 'https://stackoverflow.com/users/14728890/stucknubie'}",False,997,1,1,1669217119,1647622577,71530602,CC BY-SA 4.0,https://stackoverflow.com/questions/71530602/virtual-directory-path-in-asp-net-core-and-c,Virtual Directory Path in ASP.NET Core and C#,,1647624835.0,,,,,
3,"['c#', 'asp.net', 'ajax', 'asp.net-web-api', 'asp.net-ajax']","{'account_id': 24672060, 'reputation': 1, 'user_id': 18566960, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/212dd5337d8dbccfbaec1b16a7242ec6?s=256&d=identicon&r=PG', 'display_name': 'Edwin K Biju', 'link': 'https://stackoverflow.com/users/18566960/edwin-k-biju'}",False,366,2,0,1669126007,1648272568,71625558,CC BY-SA 4.0,https://stackoverflow.com/questions/71625558/how-to-get-client-domain-name-or-client-ip-address-which-is-trying-to-call-web-a,How to get client domain name or client IP Address which is trying to call web api in web api,,,,,,,
4,"['c#', 'asp.net-mvc', 'microsoft-graph-api', 'msal']","{'account_id': 23301277, 'reputation': 387, 'user_id': 17381872, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/746fcdc95c3c2c58e28d63a5c1d31b67?s=256&d=identicon&r=PG', 'display_name': 'Jashvita', 'link': 'https://stackoverflow.com/users/17381872/jashvita'}",False,232,1,0,1669085193,1646891427,71419395,CC BY-SA 4.0,https://stackoverflow.com/questions/71419395/cache-is-null-on-subsequent-sign-in-to-asp-net-mvc-using-msal,Cache is null on subsequent sign-in to ASP.NET MVC using MSAL,,1646891605.0,,,,,
5,"['c#', '.net', 'winforms', 'icons', 'menuitem']","{'account_id': 5637343, 'reputation': 97, 'user_id': 4462430, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/C2Rjs.png?s=256&g=1', 'display_name': 'SamuelSVD', 'link': 'https://stackoverflow.com/users/4462430/samuelsvd'}",True,67,1,1,1668999377,1648619461,71672128,CC BY-SA 4.0,https://stackoverflow.com/questions/71672128/notify-menu-icon-smaller-size-when-ran-from-program-files-x86,Notify Menu Icon Smaller Size When Ran From Program Files x86,74513746.0,1648622639.0,,,,,
6,"['c#', 'azure', '.net-6.0', 'swashbuckle.aspnetcore']","{'account_id': 9594521, 'reputation': 65, 'user_id': 7124111, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/70135724b00c2743a2c18e3eaa573ba2?s=256&d=identicon&r=PG&f=1', 'display_name': 'John H', 'link': 'https://stackoverflow.com/users/7124111/john-h'}",True,332,3,0,1668973863,1646264792,71330516,CC BY-SA 4.0,https://stackoverflow.com/questions/71330516/cannot-publish-asp-net-web-api-to-azure-app-service-with-swashbuckle,Cannot publish ASP.NET Web API to Azure App Service (with SwashBuckle),71564872.0,1646268139.0,,,,,
7,"['c#', 'api', 'pascal', 'signature', 'hmac']","{'account_id': 22058555, 'reputation': 1, 'user_id': 16321637, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a8327f4df3e0fa27ae9b5ffe3c0634d0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Peter', 'link': 'https://stackoverflow.com/users/16321637/peter'}",True,60,1,0,1668965178,1647795393,71548773,CC BY-SA 4.0,https://stackoverflow.com/questions/71548773/c-patex-api-says-invalid-signature,C-patex api says: Invalid signature,74509556.0,1647848834.0,,,,,
8,"['c#', '.net', 'visual-studio', '.net-6.0', 'visual-studio-2022']","{'account_id': 2006566, 'reputation': 2155, 'user_id': 1934810, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/GVWAh.jpg?s=256&g=1', 'display_name': 'A.B.', 'link': 'https://stackoverflow.com/users/1934810/a-b'}",True,2366,2,8,1668804067,1647800534,71549476,CC BY-SA 4.0,https://stackoverflow.com/questions/71549476/disabling-net-6-features-per-default,Disabling .NET 6 features per default,71551893.0,1647801165.0,,,,,
9,"['c#', 'asp.net-core', 'minimal-apis']","{'account_id': 412464, 'reputation': 2136, 'user_id': 785542, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/6DKSg.jpg?s=256&g=1', 'display_name': 'Giacomo d&#39;Antonio', 'link': 'https://stackoverflow.com/users/785542/giacomo-dantonio'}",True,1893,3,0,1668772971,1646225483,71323013,CC BY-SA 4.0,https://stackoverflow.com/questions/71323013/get-a-response-value-out-of-an-iresult-in-asp-nets-minimal-api,Get a response value out of an IResult in ASP.Net&#39;s minimal API,,,,,,,
10,"['c#', 'asp.net-core', '.net-core', 'blazor', 'rdlc']","{'account_id': 13800718, 'reputation': 73, 'user_id': 9960767, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/753ca3ce7f1b261fd2e8074db55e3d60?s=256&d=identicon&r=PG&f=1', 'display_name': 'muhdamean', 'link': 'https://stackoverflow.com/users/9960767/muhdamean'}",True,960,3,2,1668637409,1647630522,71532088,CC BY-SA 4.0,https://stackoverflow.com/questions/71532088/system-security-policy-evidence-addhostevidence-type-argument-system-security,System.Security.Policy.Evidence.AddHostEvidence: type argument &#39;System.Security.Policy.Zone&#39; violates the constraint of type parameter &#39;T&#39;,71549816.0,1647631503.0,,,,,
11,"['c#', 'visual-studio-code', 'msbuild']","{'account_id': 24689608, 'reputation': 241, 'user_id': 18582305, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzAzZKXDsYCZoSKPcJr4UZunmUVv1f8DPEf14dL=k-s256', 'display_name': 'Giorgos V', 'link': 'https://stackoverflow.com/users/18582305/giorgos-v'}",True,16929,12,23,1668626375,1648236735,71622214,CC BY-SA 4.0,https://stackoverflow.com/questions/71622214/could-not-locate-msbuild-instance-to-register-with-omnisharp,Could not locate MSBuild instance to register with OmniSharp,71626671.0,1648245749.0,,,,,
12,"['c#', '.net']","{'account_id': 22178022, 'reputation': 73, 'user_id': 16422220, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f0a574fa7cc02d92afed7ae90a6fd341?s=256&d=identicon&r=PG&f=1', 'display_name': 'lebber', 'link': 'https://stackoverflow.com/users/16422220/lebber'}",False,246,1,0,1668609610,1648239939,71622734,CC BY-SA 4.0,https://stackoverflow.com/questions/71622734/net-authorization-handler-running-before-middleware,.NET Authorization Handler running before middleware,,,,,,,
13,"['c#', 'android', 'unity3d', 'augmented-reality']","{'account_id': 24279550, 'reputation': 13, 'user_id': 18226312, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b5780a97451dfe7d5f5c522da48832c3?s=256&d=identicon&r=PG', 'display_name': 'RehmanAli', 'link': 'https://stackoverflow.com/users/18226312/rehmanali'}",True,562,2,0,1668503705,1646404935,71353035,CC BY-SA 4.0,https://stackoverflow.com/questions/71353035/how-to-get-live-feed-from-phone-camera-to-unity,How to get Live feed from phone camera to Unity,71361269.0,1646415170.0,,,,,
