,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date
0,"['c#', 'asp.net-core', 'google-oauth', 'asp.net-core-webapi']","{'account_id': 7173699, 'reputation': 2499, 'user_id': 5480409, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ySDx0.png?s=256&g=1', 'display_name': 'Francesco B.', 'link': 'https://stackoverflow.com/users/5480409/francesco-b'}",True,707,1,0,1669414736,1645285782,1645435890.0,71186561,CC BY-SA 4.0,https://stackoverflow.com/questions/71186561/validate-google-jwt-with-net-core-6-always-ending-up-with-a-401,Validate Google JWT with .NET Core 6 - Always ending up with a 401,,,,
1,['c#'],"{'account_id': 24163379, 'reputation': 21, 'user_id': 18126598, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJz3qFLVZJtw-lVBK27-OLZrUE-8uBogwJfgC87k=k-s256', 'display_name': 'Thomas Zimmermann', 'link': 'https://stackoverflow.com/users/18126598/thomas-zimmermann'}",False,237,1,2,1669350426,1644060390,,70997569,CC BY-SA 4.0,https://stackoverflow.com/questions/70997569/how-to-localize-identity-error-message-in-net-6-0,How to localize identity error message in .NET 6.0,,,,
2,"['c#', 'asp.net-core', 'razor-pages']","{'account_id': 3458669, 'reputation': 3884, 'user_id': 2896495, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'AlexB', 'link': 'https://stackoverflow.com/users/2896495/alexb'}",True,352,1,1,1669249072,1645372668,1669249072.0,71196111,CC BY-SA 4.0,https://stackoverflow.com/questions/71196111/net-6-razor-page-partial-tag-helper-model-throws-system-nullreferenceexcepti,.NET 6 Razor Page Partial tag helper - Model throws &#39;System.NullReferenceException&#39;,71332836.0,,,
3,"['c#', '.net', 'powerbi', 'powerbi-embedded']","{'account_id': 4815997, 'reputation': 167, 'user_id': 3971483, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0453e54d7d57c698926f11d9b96e7002?s=256&d=identicon&r=PG', 'display_name': 'Andre Morata', 'link': 'https://stackoverflow.com/users/3971483/andre-morata'}",False,266,1,0,1669220360,1644580661,,71079714,CC BY-SA 4.0,https://stackoverflow.com/questions/71079714/powerbi-api-export-report-to-pdf-error-notfound,PowerBI API + Export Report to PDF Error &#39;NotFound&#39;,,,,
4,"['c#', 'azure']","{'account_id': 2136614, 'reputation': 9207, 'user_id': 1896222, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/d9cd9f8374134b1a04199a235baca452?s=256&d=identicon&r=PG', 'display_name': 'max', 'link': 'https://stackoverflow.com/users/1896222/max'}",True,436,1,0,1669189196,1644395913,,71046328,CC BY-SA 4.0,https://stackoverflow.com/questions/71046328/unittesting-azure-system-io-fileloadexception-could-not-load-file-or-assembly,Unittesting Azure System.IO.FileLoadException: Could not load file or assembly &#39;System.Text.Json&#39;,,,,
5,"['c#', 'powershell', 'invoke-sqlcmd']","{'account_id': 17942867, 'reputation': 89, 'user_id': 13037731, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgE2681O7zADM2iaBGoV_gVcA0rY1NOtBHpGNbNdg=k-s256', 'display_name': 'nrllhcinar', 'link': 'https://stackoverflow.com/users/13037731/nrllhcinar'}",False,271,0,1,1669156931,1644904976,1644906511.0,71121739,CC BY-SA 4.0,https://stackoverflow.com/questions/71121739/executing-powershell-script-file-that-contains-invoke-sqlcmd-from-c-form-applic,Executing PowerShell script file that contains Invoke-Sqlcmd from C# form application,,,,
6,"['c#', 'iis', 'msbuild', '.net-6.0', 'visual-studio-2022']","{'account_id': 984576, 'reputation': 499, 'user_id': 1003425, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/18a1ea49cff9655541746a0ab33b7a2c?s=256&d=identicon&r=PG', 'display_name': 'Spiky', 'link': 'https://stackoverflow.com/users/1003425/spiky'}",True,2129,4,3,1669116451,1645809088,,71269358,CC BY-SA 4.0,https://stackoverflow.com/questions/71269358/in-visual-studio-2022-publish-to-iis-returns-a-build-error-but-publish-to-fold,"In Visual Studio 2022, publish to IIS returns a build error, but publish to Folder is ok (and it was all working fine before)",71293010.0,,,
7,"['c#', 'visual-studio', 'unity3d']","{'account_id': 18412811, 'reputation': 37, 'user_id': 13412586, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9da5efc32d7e4deafc0f25c589f77050?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rohan', 'link': 'https://stackoverflow.com/users/13412586/rohan'}",True,722,2,-1,1669037056,1645514803,1645515549.0,71217371,CC BY-SA 4.0,https://stackoverflow.com/questions/71217371/no-solution-explorer-now-showing-visual-studio,No Solution explorer now showing Visual Studio,,,,
8,"['c#', 'unity3d', 'mapbox']","{'account_id': 17472784, 'reputation': 5, 'user_id': 12668277, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1848e103745e962d680a91ff6ea992a0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nicoa', 'link': 'https://stackoverflow.com/users/12668277/nicoa'}",False,130,1,0,1669027620,1644855052,1644862658.0,71114876,CC BY-SA 4.0,https://stackoverflow.com/questions/71114876/unity-loading-mapbox-scene-asynchronously-before-tiles-are-ready,Unity loading Mapbox scene asynchronously before tiles are ready,,,,
9,"['c#', 'asp.net-core']","{'account_id': 2311182, 'reputation': 1850, 'user_id': 2029276, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/05f5ae7c009416c6cb07373eba31441f?s=256&d=identicon&r=PG', 'display_name': 'Shadow', 'link': 'https://stackoverflow.com/users/2029276/shadow'}",False,158,1,0,1668995589,1644828388,1644829286.0,71109153,CC BY-SA 4.0,https://stackoverflow.com/questions/71109153/how-to-check-if-filebufferingreadstream-is-empty,How to check if FileBufferingReadStream is empty?,,,,
10,"['c#', 'visual-studio', 'msbuild', 'visual-studio-2019']","{'account_id': 77424, 'reputation': 19362, 'user_id': 220984, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/UTpcd.jpg?s=256&g=1', 'display_name': 'Doc Brown', 'link': 'https://stackoverflow.com/users/220984/doc-brown'}",True,430,2,0,1668970242,1644344508,1668970242.0,71038929,CC BY-SA 4.0,https://stackoverflow.com/questions/71038929/preventing-vs-2019-from-rebuilding-a-solution-though-no-source-has-changed,Preventing VS 2019 from rebuilding a solution though no source has changed,71047074.0,,,
11,"['c#', 'asp.net-core', '.net-core', 'swagger', 'openapi']","{'account_id': 15703366, 'reputation': 88, 'user_id': 11330850, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d666c07ba504ff7be5f038503e6e6c0e?s=256&d=identicon&r=PG&f=1', 'display_name': 'David King', 'link': 'https://stackoverflow.com/users/11330850/david-king'}",True,889,1,5,1668739899,1646059457,1646059762.0,71296705,CC BY-SA 4.0,https://stackoverflow.com/questions/71296705/how-do-you-correctly-set-swagger-examples-in-asp-net-core,How do you correctly set Swagger examples in ASP.NET Core?,,,,
12,"['c#', 'odbc', 'kerberos', 'hivedb']","{'account_id': 11750089, 'reputation': 11, 'user_id': 8599627, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b356421129a761649bbabe75c95d6e08?s=256&d=identicon&r=PG&f=1', 'display_name': 'M. Dudala', 'link': 'https://stackoverflow.com/users/8599627/m-dudala'}",False,101,1,1,1668675501,1645064860,,71151747,CC BY-SA 4.0,https://stackoverflow.com/questions/71151747/c-hive-db-connection-sample-with-odbc-driver-using-kerberos-authentication,C# Hive DB Connection sample with ODBC Driver using Kerberos Authentication,,,,
13,"['c#', 'asp.net-core', 'open-telemetry']","{'account_id': 4721551, 'reputation': 169, 'user_id': 3819267, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'SH_SWAT', 'link': 'https://stackoverflow.com/users/3819267/sh-swat'}",True,826,1,2,1668639958,1645539458,1668639958.0,71222918,CC BY-SA 4.0,https://stackoverflow.com/questions/71222918/in-asp-net-core-cant-export-traces-from-opentelemetry-exporter-to-elastic-apm,In Asp.Net Core Can&#39;t export traces from OpenTelemetry exporter to elastic apm,72008911.0,,,
14,"['c#', 'database', 'winforms', 'litedb']","{'account_id': 23890961, 'reputation': 1, 'user_id': 17890633, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiodvRRerzsw9nRI5gJMIUKR9f1y9ktJPO5qfPn=k-s256', 'display_name': 'Орынбай Алишер', 'link': 'https://stackoverflow.com/users/17890633/%d0%9e%d1%80%d1%8b%d0%bd%d0%b1%d0%b0%d0%b9-%d0%90%d0%bb%d0%b8%d1%88%d0%b5%d1%80'}",False,673,1,0,1668609242,1643731033,1643782864.0,70943570,CC BY-SA 4.0,https://stackoverflow.com/questions/70943570/how-do-you-delete-a-record-by-value-in-c-litedb,"How do you delete a record by value in C#, LiteDB?",,,,
15,"['c#', 'unity3d']","{'account_id': 15870333, 'reputation': 358, 'user_id': 11451176, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cfd69f244400db92efe31c39938f0e61?s=256&d=identicon&r=PG&f=1', 'display_name': 'ForceVII', 'link': 'https://stackoverflow.com/users/11451176/forcevii'}",False,197,2,0,1668590048,1644665250,,71091434,CC BY-SA 4.0,https://stackoverflow.com/questions/71091434/unity-wont-skip-splash-screen-on-build,Unity Wont Skip Splash Screen On Build,,,,
