,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from,protected_date
0,"['c#', 'asp.net', 'datetime', 'timezone']","{'account_id': 2094285, 'reputation': 236, 'user_id': 1863426, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/3909c25fc1ab746c505cd805d9e3a9ff?s=256&d=identicon&r=PG', 'display_name': 'Shorttylad', 'link': 'https://stackoverflow.com/users/1863426/shorttylad'}",True,1414,57362515.0,1,2,1669395760,1565021055,1669395760.0,57362272,CC BY-SA 4.0,https://stackoverflow.com/questions/57362272/datetime-tryparse-seems-to-be-losing-the-original-timezone-information-and-conve,DateTime.TryParse seems to be losing the original timezone information and converting to server time,,,,
1,"['c#', 'asp.net-core']","{'account_id': 10185301, 'reputation': 817, 'user_id': 7520496, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/38921ee45c9659c0abccb7f3cf624d13?s=256&d=identicon&r=PG&f=1', 'display_name': 'AliAzra', 'link': 'https://stackoverflow.com/users/7520496/aliazra'}",False,585,,1,1,1669212194,1566605891,,57634228,CC BY-SA 4.0,https://stackoverflow.com/questions/57634228/attach-xlsx-file-to-email-with-mailkit,Attach xlsx file to email with MailKit,,,,
2,"['c#', 'unity3d', 'perlin-noise']","{'account_id': 13830465, 'reputation': 61, 'user_id': 9983506, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/47d68cd11554c392b94fa15d6ce30a3b?s=256&d=identicon&r=PG&f=1', 'display_name': 'SinfonierDominante', 'link': 'https://stackoverflow.com/users/9983506/sinfonierdominante'}",False,1108,,1,2,1669190322,1566481829,1566481986.0,57610924,CC BY-SA 4.0,https://stackoverflow.com/questions/57610924/perlin-noise-and-negative-coordinates,Perlin noise and negative coordinates,,,,
3,"['c#', 'wcf', '.net-core']","{'account_id': 4497110, 'reputation': 459, 'user_id': 3656651, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3656651', 'link': 'https://stackoverflow.com/users/3656651/user3656651'}",False,11435,,1,1,1668845035,1565470761,1624483953.0,57445647,CC BY-SA 4.0,https://stackoverflow.com/questions/57445647/how-to-consume-soap-web-service-from-net-core-3-0-wpf-app,How to consume SOAP web service from .NET Core 3.0 WPF app,,,,
4,"['c#', 'pdf', 'signing', 'x509certificate2', 'evopdf']","{'account_id': 10317362, 'reputation': 56, 'user_id': 7611290, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-GFJCdWCByfc/AAAAAAAAAAI/AAAAAAAAO3s/Th40vyZ_x6I/photo.jpg?sz=256', 'display_name': 'Christoph Biegner', 'link': 'https://stackoverflow.com/users/7611290/christoph-biegner'}",False,120,,1,2,1668526204,1566899100,,57671896,CC BY-SA 4.0,https://stackoverflow.com/questions/57671896/sign-a-pdf-document-using-evopdf,Sign a Pdf Document using EvoPdf,,,,
5,"['c#', 'asp.net', 'asp.net-core']","{'account_id': 11872766, 'reputation': 69, 'user_id': 8688534, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/89e29d1ef4136beb726bd4b9f5df2409?s=256&d=identicon&r=PG&f=1', 'display_name': 'a new one', 'link': 'https://stackoverflow.com/users/8688534/a-new-one'}",True,491,57372398.0,2,0,1668377707,1565006135,,57358118,CC BY-SA 4.0,https://stackoverflow.com/questions/57358118/how-to-route-a-ulong-to-an-asp-net-page,How to route a ulong to an ASP.NET page,,,,
6,"['c#', 'winforms']","{'account_id': 2446571, 'reputation': 549, 'user_id': 2133782, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/1da42116f42b69671d359477a25d9ed4?s=256&d=identicon&r=PG', 'display_name': 'Muckeypuck', 'link': 'https://stackoverflow.com/users/2133782/muckeypuck'}",True,93,57594095.0,1,-1,1668266425,1566397528,1668194058.0,57593908,CC BY-SA 4.0,https://stackoverflow.com/questions/57593908/moving-app-from-single-user-to-multi-session,Moving app from single user to multi session,,,,
7,"['c#', 'asp.net', 'asp.net-core', 'asp.net-web-api', 'swagger']","{'account_id': 3810177, 'reputation': 837, 'user_id': 3161322, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://graph.facebook.com/1215620085130319/picture?type=large', 'display_name': 'antoninkriz', 'link': 'https://stackoverflow.com/users/3161322/antoninkriz'}",True,24958,57454392.0,5,10,1668161574,1565564555,,57454215,CC BY-SA 4.0,https://stackoverflow.com/questions/57454215/asp-net-core-swagger-actions-require-an-explicit-httpmethod-binding-for-swag,ASP.Net Core + Swagger - Actions require an explicit HttpMethod binding for Swagger 2.0,,,,
8,"['c#', '.net', 'asp.net-core', '.net-core']","{'account_id': 3199950, 'reputation': 21, 'user_id': 2702203, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/0Oqri.jpg?s=256&g=1', 'display_name': 'Ajay Pattni', 'link': 'https://stackoverflow.com/users/2702203/ajay-pattni'}",False,8659,,2,1,1667419455,1566990929,1617394334.0,57691118,CC BY-SA 4.0,https://stackoverflow.com/questions/57691118/how-to-set-max-json-length-in-net-core,How to Set Max Json Length in .net core,,,,
9,"['c#', '.net-core', 'configuration', '.net-core-configuration']","{'account_id': 1236645, 'reputation': 1790, 'user_id': 1200114, 'user_type': 'registered', 'accept_rate': 37, 'profile_image': 'https://www.gravatar.com/avatar/ea5ab69f62ea36c35cf6a5dc4e4f1f0d?s=256&d=identicon&r=PG', 'display_name': 'Thomas', 'link': 'https://stackoverflow.com/users/1200114/thomas'}",True,17846,57713554.0,2,13,1667208903,1567092744,1582857074.0,57713484,CC BY-SA 4.0,https://stackoverflow.com/questions/57713484/net-core-environment-variable-returns-null,.NET Core environment variable returns null,,,,
