,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason
0,"['c#', 'json', 'asp.net-mvc', 'visual-studio-2010', 'entity-framework-core']","{'account_id': 3891578, 'reputation': 915, 'user_id': 3221612, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tespy', 'link': 'https://stackoverflow.com/users/3221612/tespy'}",True,32165,8,16,1669385410,1576432179,1576432942.0,59346541,CC BY-SA 4.0,https://stackoverflow.com/questions/59346541/error-occurred-while-access-microsoft-extensions-hostingservices-could-not-pars,Error occurred while access Microsoft.Extensions.HostingServices. Could not parse JSON file,,,,
1,"['c#', '.net', 'wpf', 'window', 'maximize']","{'account_id': 205181, 'reputation': 24572, 'user_id': 453803, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/QDltN.jpg?s=256&g=1', 'display_name': 'Spook', 'link': 'https://stackoverflow.com/users/453803/spook'}",True,766,2,0,1669295924,1576498449,1576501923.0,59356460,CC BY-SA 4.0,https://stackoverflow.com/questions/59356460/restoring-real-window-size-in-wpf,Restoring real window size in WPF,,,,
2,"['c#', '.net', '.net-core', 'entity-framework-core']","{'account_id': 134265, 'reputation': 5042, 'user_id': 336271, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://i.stack.imgur.com/xGX8e.png?s=256&g=1', 'display_name': 'Nour', 'link': 'https://stackoverflow.com/users/336271/nour'}",True,1152,2,1,1669204662,1576648125,1576672408.0,59386161,CC BY-SA 4.0,https://stackoverflow.com/questions/59386161/how-to-check-if-a-list-of-ids-exists-in-db-without-fetching-the-count-and-compar,How to check if a list of ids exists in db without fetching the count and compare it to the list count,59390646.0,,,
3,"['c#', '.net']","{'account_id': 16060017, 'reputation': 479, 'user_id': 11591197, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10158318594023835/picture?type=large', 'display_name': 'Roly Poly', 'link': 'https://stackoverflow.com/users/11591197/roly-poly'}",False,5420,2,2,1669144147,1576303717,1576310510.0,59332763,CC BY-SA 4.0,https://stackoverflow.com/questions/59332763/why-am-i-getting-error-cs1056-unexpected-character-putting-a-mark-here,Why am I getting &quot;error CS1056: Unexpected character &#39;$&#39;&quot; putting a $ mark here? A problem with my compiler?,,,,
4,"['c#', 'orm', 'dto', 'c#-8.0', 'nullable-reference-types']","{'account_id': 3783352, 'reputation': 9716, 'user_id': 3142139, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/kKrve.jpg?s=256&g=1', 'display_name': 'M.Hassan', 'link': 'https://stackoverflow.com/users/3142139/m-hassan'}",True,19739,8,32,1669116624,1575132771,1586552744.0,59118282,CC BY-SA 4.0,https://stackoverflow.com/questions/59118282/nullable-reference-type-in-c8-when-using-dto-classes-with-an-orm,Nullable reference type in C#8 when using DTO classes with an ORM,59118390.0,,,
5,"['c#', '.net', 'entity-framework', 'join', 'entity-framework-core']","{'account_id': 14249507, 'reputation': 1643, 'user_id': 10293483, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JPAT2.png?s=256&g=1', 'display_name': 'Gleb', 'link': 'https://stackoverflow.com/users/10293483/gleb'}",True,46711,5,27,1669115743,1576613919,,59381530,CC BY-SA 4.0,https://stackoverflow.com/questions/59381530/include-with-fromsqlraw-and-stored-procedure-in-ef-core-3-1,Include with FromSqlRaw and stored procedure in EF Core 3.1,59382180.0,,,
6,"['c#', 'monodevelop', 'gnome-terminal']","{'user_type': 'does_not_exist', 'display_name': 'user12536783'}",True,6977,8,15,1669097741,1576334632,1598779872.0,59336129,CC BY-SA 4.0,https://stackoverflow.com/questions/59336129/error-when-trying-to-run-code-debugger-operation-failed-native-error-cannot-f,"Error when trying to run code: Debugger operation failed, Native error= Cannot find the specified file",,,,
7,"['c#', 'asp.net', 'asp.net-core', 'asp.net-web-api']","{'account_id': 2357283, 'reputation': 2427, 'user_id': 2064829, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/RMIie.png?s=256&g=1', 'display_name': 'philreed', 'link': 'https://stackoverflow.com/users/2064829/philreed'}",True,9207,6,16,1668700868,1575546353,1576491846.0,59194442,CC BY-SA 4.0,https://stackoverflow.com/questions/59194442/httpclientfactory-typed-httpclient-with-additional-constructor-arguments,HttpClientFactory: Typed HttpClient with additional constructor arguments,59354650.0,,,
8,"['c#', 'asp.net-core', 'razor', 'razor-pages']","{'account_id': 990745, 'reputation': 816, 'user_id': 1950954, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/wZCiA.jpg?s=256&g=1', 'display_name': 'Jaydeep Jadav', 'link': 'https://stackoverflow.com/users/1950954/jaydeep-jadav'}",True,10614,2,7,1668625564,1575288203,1578375589.0,59138573,CC BY-SA 4.0,https://stackoverflow.com/questions/59138573/how-to-reload-call-onget-or-onpost-method-on-dropdown-change-in-asp-net-razor-pa,How to reload/call OnGet or OnPost method on DropDown change in ASP.NET Razor Page,,,,
9,"['c#', 'visual-studio', 'version-control', 'gitignore']","{'account_id': 25491, 'reputation': 4633, 'user_id': 65545, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/8b125cea9d216da64b0156b9a4a6280b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bernard Vander Beken', 'link': 'https://stackoverflow.com/users/65545/bernard-vander-beken'}",False,438,1,3,1668532759,1576236310,,59321637,CC BY-SA 4.0,https://stackoverflow.com/questions/59321637/can-a-gitignore-file-have-a-generic-pattern-for-xml-documentation-files,Can a gitignore file have a generic pattern for XML documentation files?,,,,
10,"['c#', 'bit-manipulation']","{'account_id': 7558027, 'reputation': 1300, 'user_id': 5736835, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a20959e2ab8649b47ccdf9a97e5d8422?s=256&d=identicon&r=PG&f=1', 'display_name': 'WDUK', 'link': 'https://stackoverflow.com/users/5736835/wduk'}",True,212,3,2,1668340782,1576623137,1576624972.0,59383237,CC BY-SA 4.0,https://stackoverflow.com/questions/59383237/bitwise-unpacking-a-long-into-two-numbers,Bitwise unpacking a long into two numbers,59383698.0,,,
11,"['c#', 'excel', 'charts', 'textfield', 'epplus']","{'account_id': 13989023, 'reputation': 27, 'user_id': 10103411, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ee1c947911949625ea3865de5653cd83?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yamira', 'link': 'https://stackoverflow.com/users/10103411/yamira'}",False,373,1,0,1668226652,1576505670,1576505891.0,59358422,CC BY-SA 4.0,https://stackoverflow.com/questions/59358422/add-textbox-to-chart-using-epplus,Add textbox to chart using EPPlus,,,,
12,"['c#', '.net', 'validation', 'token', 'azure-ad-b2c']","{'account_id': 17193844, 'reputation': 1, 'user_id': 12447091, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c4a59cc649558bb46e4628f4c60f80e8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chris_MSN', 'link': 'https://stackoverflow.com/users/12447091/chris-msn'}",True,932,1,0,1668070900,1576791380,,59417161,CC BY-SA 4.0,https://stackoverflow.com/questions/59417161/how-to-verify-jwt-id-token-produced-by-ms-azure-ad-with-c-and-net,How to verify JWT id_token produced by MS Azure AD with C# and .net?,,,,
13,"['c#', 'entity-framework', 'asp.net-core', '.net-core', 'blazor']","{'account_id': 5323335, 'reputation': 149, 'user_id': 4246133, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/57350d627d479dc5f66a0ffcdfa14504?s=256&d=identicon&r=PG&f=1', 'display_name': 'Medhanie W.', 'link': 'https://stackoverflow.com/users/4246133/medhanie-w'}",True,3093,2,1,1668037461,1576260649,,59327818,CC BY-SA 4.0,https://stackoverflow.com/questions/59327818/blazor-getasync-request-returns-401-status-code,Blazor GetAsync request returns 401 status code,,,,
14,"['c#', 'audio', 'protocols', 'audio-streaming', 'rtsp']","{'account_id': 12730809, 'reputation': 451, 'user_id': 9247542, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Cblq7.jpg?s=256&g=1', 'display_name': 'theburningfire', 'link': 'https://stackoverflow.com/users/9247542/theburningfire'}",True,7184,1,9,1668008445,1577175959,1668008445.0,59465932,CC BY-SA 4.0,https://stackoverflow.com/questions/59465932/how-to-send-audio-data-on-rtsp-backchannel,How to send audio data on rtsp backchannel?,69913842.0,,,
15,"['c#', 'entity-framework-core', 'ef-core-3.0']","{'account_id': 17078340, 'reputation': 71, 'user_id': 12357413, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0f9c4c04771555cf5efb4ec88434221a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joyce Coura&#231;a', 'link': 'https://stackoverflow.com/users/12357413/joyce-coura%c3%a7a'}",True,3421,2,6,1668007912,1577452570,1577460788.0,59501364,CC BY-SA 4.0,https://stackoverflow.com/questions/59501364/how-to-add-description-to-columns-in-entity-framework-core-code-first-using-migr,How to add description to columns in Entity Framework Core code-first using migrations?,,,,
16,"['c#', 'asp.net-mvc', 'asp.net-web-api']","{'account_id': 14901168, 'reputation': 87, 'user_id': 10759944, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-G_WOPESg0EU/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-gCbDUL1dWy1oZioJwaVrJL3c6tWQ/mo/photo.jpg?sz=256', 'display_name': 'Firoza Shaikh', 'link': 'https://stackoverflow.com/users/10759944/firoza-shaikh'}",True,1522,4,5,1667641116,1575127729,,59117580,CC BY-SA 4.0,https://stackoverflow.com/questions/59117580/how-to-identity-whether-it-is-mvc-application-or-web-api-application-i-have-man,How to identity whether It is MVC application or Web API application. I have many projects under one solution,,,,
17,"['c#', 'thread-sleep']","{'account_id': 13914531, 'reputation': 11, 'user_id': 12604460, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-T0DitQ8fS0s/AAAAAAAAAAI/AAAAAAAAADM/60oO5Go3p4k/photo.jpg?sz=256', 'display_name': 'SparrowTheNerd', 'link': 'https://stackoverflow.com/users/12604460/sparrowthenerd'}",False,175,1,0,1667456243,1577419116,1667456243.0,59495812,CC BY-SA 4.0,https://stackoverflow.com/questions/59495812/c-how-to-execute-code-before-thread-sleep,C# how to execute code before Thread.Sleep()?,,,,
18,"['c#', '.net', 'asynchronous', 'events', '.net-standard']","{'account_id': 1087165, 'reputation': 548, 'user_id': 1082604, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/2f4def36c8d99b90cbb36d84f939df7a?s=256&d=identicon&r=PG', 'display_name': 'Kris Craig', 'link': 'https://stackoverflow.com/users/1082604/kris-craig'}",True,368,2,0,1666962933,1575193578,,59124343,CC BY-SA 4.0,https://stackoverflow.com/questions/59124343/is-there-a-built-in-way-to-have-an-async-method-fire-an-event-with-the-return-da,Is there a built-in way to have an async method fire an event with the return data when it completes?,,,,
19,"['c#', 'asp.net-core']","{'account_id': 4653088, 'reputation': 3469, 'user_id': 3769368, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/3301727987157807f500ece485c1446d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rey', 'link': 'https://stackoverflow.com/users/3769368/rey'}",True,35437,9,35,1666957113,1575145177,1646834952.0,59119904,CC BY-SA 4.0,https://stackoverflow.com/questions/59119904/process-terminated-couldnt-find-a-valid-icu-package-installed-on-the-system-in,Process terminated. Couldn&#39;t find a valid ICU package installed on the system in Asp.Net Core 3 - ubuntu,,,,
20,"['c#', 'android', 'unity3d', 'android-app-bundle']","{'account_id': 16206103, 'reputation': 127, 'user_id': 11701227, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/i63kU.jpg?s=256&g=1', 'display_name': 'Kotaro', 'link': 'https://stackoverflow.com/users/11701227/kotaro'}",True,5514,2,0,1666951472,1576034216,1578435102.0,59278427,CC BY-SA 4.0,https://stackoverflow.com/questions/59278427/unity-error-exception-gradle-install-not-valid,Unity error: Exception: Gradle install not valid,64886027.0,,,
21,"['c#', 'asp.net-core', 'entity-framework-core']","{'account_id': 12148572, 'reputation': 1813, 'user_id': 8869823, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/817273378445683/picture?type=large', 'display_name': 'Nazar  Pylyp', 'link': 'https://stackoverflow.com/users/8869823/nazar-pylyp'}",True,210715,19,171,1666791301,1575563755,1580469889.0,59199593,CC BY-SA 4.0,https://stackoverflow.com/questions/59199593/net-core-3-0-possible-object-cycle-was-detected-which-is-not-supported,.Net Core 3.0 possible object cycle was detected which is not supported,59210264.0,1629631392.0,,
22,"['c#', 'generics', 'constraints', 'generic-constraints']","{'account_id': 13945868, 'reputation': 4551, 'user_id': 10070647, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/gR676.png?s=256&g=1', 'display_name': 'Twenty', 'link': 'https://stackoverflow.com/users/10070647/twenty'}",True,202,3,3,1666788586,1576577024,1666786696.0,59371776,CC BY-SA 4.0,https://stackoverflow.com/questions/59371776/generic-constraint-for-bitwise-operators,Generic constraint for bitwise operators,59373822.0,,,
23,"['c#', 'class', 'unity3d', 'methods', 'namespaces']","{'account_id': 9002204, 'reputation': 426, 'user_id': 11273483, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/AWKHf.png?s=256&g=1', 'display_name': 'Hefaz', 'link': 'https://stackoverflow.com/users/11273483/hefaz'}",True,2236,1,0,1666464047,1576196166,1666464047.0,59314506,CC BY-SA 4.0,https://stackoverflow.com/questions/59314506/access-public-method-from-another-namespace-in-unity,Access public method from another namespace in Unity,59317264.0,,,
24,"['c#', 'encryption', 'flutter']","{'account_id': 3298572, 'reputation': 11, 'user_id': 2775222, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user2775222', 'link': 'https://stackoverflow.com/users/2775222/user2775222'}",True,1746,3,1,1666289430,1575538929,1575551194.0,59192195,CC BY-SA 4.0,https://stackoverflow.com/questions/59192195/encryption-and-descyption-issue-in-flutter-and-c,Encryption and Descyption issue in Flutter and C#,,,,
25,"['c#', 'wpf', '.net-core', 'publishing', '.net-core-3.1']","{'account_id': 4419772, 'reputation': 635, 'user_id': 3600189, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/240a6df6b297b8a9006e4b7637f2ef28?s=256&d=identicon&r=PG', 'display_name': 'Christopher Johnson', 'link': 'https://stackoverflow.com/users/3600189/christopher-johnson'}",True,16185,2,10,1665910973,1576551609,,59367037,CC BY-SA 4.0,https://stackoverflow.com/questions/59367037/published-net-core-app-warns-to-install-net-core-but-its-already-installed,Published .Net Core App Warns to Install .Net Core but it&#39;s Already Installed,59379088.0,,,
26,"['c#', 'mongodb', 'enums']","{'account_id': 3191698, 'reputation': 1455, 'user_id': 2695796, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-B9ZcX7SBtSA/AAAAAAAAAAI/AAAAAAAAAAc/3ib3iBa1O_w/photo.jpg?sz=256', 'display_name': 'Jimi', 'link': 'https://stackoverflow.com/users/2695796/jimi'}",True,782,1,1,1665691142,1575899582,,59250333,CC BY-SA 4.0,https://stackoverflow.com/questions/59250333/c-how-to-store-enum-value-as-lowercase-string-in-mongodb,C#: How to store enum value as lowercase string in MongoDB,,,,
27,"['c#', 'jquery', 'asp.net', 'api']","{'account_id': 13476291, 'reputation': 63, 'user_id': 9723172, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f7e7c99f7dc0cde700a0ffb9fd970758?s=256&d=identicon&r=PG&f=1', 'display_name': 'LegendOfZelda', 'link': 'https://stackoverflow.com/users/9723172/legendofzelda'}",True,119,3,0,1665589332,1575403257,1665589332.0,59164493,CC BY-SA 4.0,https://stackoverflow.com/questions/59164493/how-to-get-asp-net-textbox-values-in-jquery,How to get ASP.Net textbox values in jQuery,,,,
