,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,community_owned_date
0,"['c#', 'tabcontrol']","{'account_id': 1455794, 'reputation': 189, 'user_id': 1371389, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/d8dcb99436dc374bf0ab3d2ac086115c?s=256&d=identicon&r=PG', 'display_name': 'Nom', 'link': 'https://stackoverflow.com/users/1371389/nom'}",False,6681,3,0,1669293682,1336010769,1392478989.0,10424153,CC BY-SA 3.0,https://stackoverflow.com/questions/10424153/checking-if-tabpage-exists-then-create-a-new-one-if-it-doesnt,"Checking if tabpage exists, then create a new one if it doesn&#39;t",,,,,
1,"['c#', 'mysql']","{'account_id': 1352553, 'reputation': 1039, 'user_id': 1291744, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/f8fb43f8ef877ee4db3e9a8174b4bee9?s=256&d=identicon&r=PG', 'display_name': 'qwr qwr', 'link': 'https://stackoverflow.com/users/1291744/qwr-qwr'}",True,13458,3,10,1669282889,1337039410,1337039861.0,10592481,CC BY-SA 3.0,https://stackoverflow.com/questions/10592481/what-is-the-return-type-of-sum-in-mysql,What is the return type of SUM() in mysql?,10592527.0,,,,
2,"['c#', 'winforms', 'show-hide']","{'account_id': 1280505, 'reputation': 4256, 'user_id': 1234693, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/5f418c7981a6e42312b38cebd4f246e0?s=256&d=identicon&r=PG', 'display_name': 'Darrel Hoffman', 'link': 'https://stackoverflow.com/users/1234693/darrel-hoffman'}",True,5533,2,3,1669185324,1337474078,1669185324.0,10669888,CC BY-SA 4.0,https://stackoverflow.com/questions/10669888/c-window-height-only-gets-bigger-not-smaller,"C# window height only gets bigger, not smaller",,,,,
3,"['c#', '.net']","{'account_id': 1497058, 'reputation': 3614, 'user_id': 1402749, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/iUyWL.jpg?s=256&g=1', 'display_name': 'Masoud Darvishian', 'link': 'https://stackoverflow.com/users/1402749/masoud-darvishian'}",True,36345,4,16,1669154851,1337609900,1669154643.0,10687016,CC BY-SA 4.0,https://stackoverflow.com/questions/10687016/what-is-e-in-floating-point,What is E in floating point?,10687058.0,,,,
4,"['c#', 'visual-studio-2010', 'cookies', 'httpwebrequest', 'httpwebresponse']","{'account_id': 268882, 'reputation': 2491, 'user_id': 1133359, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/SlGDC.jpg?s=256&g=1', 'display_name': 'confusedMind', 'link': 'https://stackoverflow.com/users/1133359/confusedmind'}",True,10604,2,5,1669066537,1337796516,1337797071.0,10725503,CC BY-SA 3.0,https://stackoverflow.com/questions/10725503/how-to-remove-update-a-cookie-in-cookie-container-c,how to remove/update a cookie in cookie container c#?,10725650.0,,,,
5,"['c#', 'asp.net-mvc-3', 'version-control', 'entity-framework-4.3', 'entity-framework-migrations']","{'account_id': 345717, 'reputation': 31993, 'user_id': 678801, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/kjoNb.jpg?s=256&g=1', 'display_name': 'Christofer Eliasson', 'link': 'https://stackoverflow.com/users/678801/christofer-eliasson'}",True,30675,8,66,1669043734,1336759176,1440417304.0,10556348,CC BY-SA 3.0,https://stackoverflow.com/questions/10556348/how-to-manage-migrations-in-a-project-with-multiple-branches,How to manage Migrations in a project with multiple branches?,18698900.0,,,,
6,"['c#', 'asp.net-mvc', 'asp.net-mvc-3', 'forms', 'razor']","{'account_id': 1210405, 'reputation': 2056, 'user_id': 1179061, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/186b71ff37e68dc66eb9bdfb2edad971?s=256&d=identicon&r=PG', 'display_name': 'mitomed', 'link': 'https://stackoverflow.com/users/1179061/mitomed'}",True,5924,4,3,1668859595,1336556798,1341175065.0,10513634,CC BY-SA 3.0,https://stackoverflow.com/questions/10513634/pass-a-dictionary-as-a-parameter-in-http-post-in-c,Pass a dictionary as a parameter in Http.Post in C#,,,,,
7,"['c#', 'ffmpeg']","{'account_id': 1471508, 'reputation': 351, 'user_id': 1382965, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/720d7842b4c262a749bd2b1e99e02003?s=256&d=identicon&r=PG', 'display_name': 'leepfrog', 'link': 'https://stackoverflow.com/users/1382965/leepfrog'}",True,4042,2,6,1668839568,1336507421,,10505659,CC BY-SA 3.0,https://stackoverflow.com/questions/10505659/c-parsing-ffmpeg-standard-output-when-extracting-images,C# - Parsing ffmpeg standard output when extracting images,10523899.0,,,,
8,"['c#', '.net']","{'account_id': 67276, 'reputation': 35471, 'user_id': 196919, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/iqMS0.png?s=256&g=1', 'display_name': 'NoWar', 'link': 'https://stackoverflow.com/users/196919/nowar'}",True,335498,18,149,1668796970,1336157400,1503755308.0,10454519,CC BY-SA 3.0,https://stackoverflow.com/questions/10454519/best-way-to-compare-two-complex-objects,Best way to compare two complex objects,10454552.0,,,,
9,"['c#', 'enums']","{'account_id': 171254, 'reputation': 16686, 'user_id': 398546, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/ZCojH.jpg?s=256&g=1', 'display_name': 'Aaron Anodide', 'link': 'https://stackoverflow.com/users/398546/aaron-anodide'}",True,14289,7,76,1668768609,1336770320,,10558621,CC BY-SA 3.0,https://stackoverflow.com/questions/10558621/any-trick-to-defining-an-enum-as-flags-powers-of-2-without-eventually-needing-a,Any trick to defining an enum as flags/powers of 2 without eventually needing a calculator?,10558654.0,,,,
10,"['c#', 'enums']","{'account_id': 84889, 'reputation': 3380, 'user_id': 237042, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/EAvPF.png?s=256&g=1', 'display_name': 'bryanjonker', 'link': 'https://stackoverflow.com/users/237042/bryanjonker'}",True,44896,5,30,1668662480,1335979323,,10418651,CC BY-SA 3.0,https://stackoverflow.com/questions/10418651/using-enummemberattribute-and-doing-automatic-string-conversions,Using EnumMemberAttribute and doing automatic string conversions,10418943.0,,,,
11,"['c#', 'asp.net']","{'account_id': 1483991, 'reputation': 21, 'user_id': 1392630, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/175b579cc231e1ed2e745d680d0c23a8?s=256&d=identicon&r=PG', 'display_name': 'monaf_prof', 'link': 'https://stackoverflow.com/users/1392630/monaf-prof'}",True,6150,4,2,1668553445,1336944196,1336944610.0,10575369,CC BY-SA 3.0,https://stackoverflow.com/questions/10575369/how-to-run-exe-file-by-asp-net,how to Run EXE file By ASP.net?,,,,,
12,['c#'],"{'account_id': 1486909, 'reputation': 7999, 'user_id': 1394953, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/9dcc0c35b4da6d4ffbea64f9a2f3c289?s=256&d=identicon&r=PG', 'display_name': 'Alvin', 'link': 'https://stackoverflow.com/users/1394953/alvin'}",True,366798,15,99,1668260575,1337159640,1471975807.0,10615405,CC BY-SA 3.0,https://stackoverflow.com/questions/10615405/how-to-format-string-to-money,How to format string to money,10615450.0,1666571889.0,,,
13,['c#'],"{'account_id': 290463, 'reputation': 957, 'user_id': 592032, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/35252fc071164e641735aa107b73e090?s=256&d=identicon&r=PG', 'display_name': 'Shailender Singh', 'link': 'https://stackoverflow.com/users/592032/shailender-singh'}",True,29717,7,13,1668086617,1338274129,1402400940.0,10794346,CC BY-SA 3.0,https://stackoverflow.com/questions/10794346/how-to-make-a-property-required-in-c,How to make a property required in c#?,10794405.0,,,,
14,"['c#', '.net', 'reference']","{'account_id': 1401014, 'reputation': 602, 'user_id': 1329798, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/261dae7dbdafaa2acc8c9bac996d2a80?s=256&d=identicon&r=PG', 'display_name': 'Tgys', 'link': 'https://stackoverflow.com/users/1329798/tgys'}",True,13241,2,5,1668013913,1337798774,1337798879.0,10726010,CC BY-SA 3.0,https://stackoverflow.com/questions/10726010/store-a-reference-in-another-variable,Store a reference in another variable,10726083.0,,,,
15,"['c#', 'visual-studio-2010', 'azure']","{'account_id': 1467089, 'reputation': 1242, 'user_id': 1379647, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/0zB6x.jpg?s=256&g=1', 'display_name': 'Hope', 'link': 'https://stackoverflow.com/users/1379647/hope'}",True,26496,7,19,1668007872,1338380733,1424288606.0,10816261,CC BY-SA 3.0,https://stackoverflow.com/questions/10816261/the-element-text-beneath-element-target-is-unrecognized-in-azure,The element &lt;#text&gt; beneath element &lt;Target&gt; is unrecognized in Azure,10840647.0,,,,
16,"['c#', 'xunit.net']","{'account_id': 940902, 'reputation': 895, 'user_id': 968996, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c0b62de611208d729af353f1bfdf0880?s=256&d=identicon&r=PG', 'display_name': 'Thach Mai', 'link': 'https://stackoverflow.com/users/968996/thach-mai'}",True,13479,3,10,1667896584,1337777117,1337777729.0,10720198,CC BY-SA 3.0,https://stackoverflow.com/questions/10720198/app-config-for-xunit,App.config for Xunit,10762071.0,,,,
17,"['c#', 'asp.net', 'rest', 'content-type', 'dotnet-httpclient']","{'account_id': 85534, 'reputation': 14674, 'user_id': 238395, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/a6c2ff1305a27aad51fd93a1719b361a?s=256&d=identicon&r=PG', 'display_name': 'mynameiscoffey', 'link': 'https://stackoverflow.com/users/238395/mynameiscoffey'}",True,1212837,21,1042,1667491549,1337570957,1609464715.0,10679214,CC BY-SA 4.0,https://stackoverflow.com/questions/10679214/how-do-you-set-the-content-type-header-for-an-httpclient-request,How do you set the Content-Type header for an HttpClient request?,10679340.0,,,,
18,"['c#', 'linq']","{'account_id': 989774, 'reputation': 493, 'user_id': 1007406, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/bb24c979b793fd252fdb45608e845bba?s=256&d=identicon&r=PG', 'display_name': 'stillsmallvoice', 'link': 'https://stackoverflow.com/users/1007406/stillsmallvoice'}",True,74401,5,36,1667406862,1337896775,1337897515.0,10745900,CC BY-SA 3.0,https://stackoverflow.com/questions/10745900/filter-a-list-by-another-list-c,Filter a list by another list C#,10746091.0,,,,
19,"['c#', 'wpf', 'mvvm', 'wpfdatagrid']","{'account_id': 436297, 'reputation': 12497, 'user_id': 823369, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/pxqyO.jpg?s=256&g=1', 'display_name': 'Kishore Kumar', 'link': 'https://stackoverflow.com/users/823369/kishore-kumar'}",True,29294,7,15,1667392971,1335908005,1340187535.0,10404681,CC BY-SA 3.0,https://stackoverflow.com/questions/10404681/move-focus-to-next-cell-on-enter-key-press-in-wpf-datagrid,Move Focus to Next Cell on Enter Key Press in WPF DataGrid?,10442806.0,,,,
20,"['c#', 'winforms', 'multithreading', 'begininvoke', 'invokerequired']","{'account_id': 117919, 'reputation': 5102, 'user_id': 308565, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/i3Zk7.jpg?s=256&g=1', 'display_name': 'Nagaraj Tantri', 'link': 'https://stackoverflow.com/users/308565/nagaraj-tantri'}",True,4000,1,6,1667159394,1336476390,1667159394.0,10497690,CC BY-SA 4.0,https://stackoverflow.com/questions/10497690/begininvoke-is-blocking-the-ui-whereas-invoke-is-not-why,"BeginInvoke is blocking the UI, whereas Invoke is not. Why?",10498535.0,,,,
21,"['c#', 'linq', 'distinct']","{'account_id': 343403, 'reputation': 7860, 'user_id': 675082, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/68f2e400184f3254bdf02029f66bf060?s=256&d=identicon&r=PG', 'display_name': 'CiccioMiami', 'link': 'https://stackoverflow.com/users/675082/cicciomiami'}",True,233086,10,89,1666943009,1337776118,1337777346.0,10719928,CC BY-SA 3.0,https://stackoverflow.com/questions/10719928/how-to-use-linq-distinct-with-multiple-fields,How to use LINQ Distinct() with multiple fields,10720079.0,1413881024.0,,,
22,"['c#', 'c++', 'string', 'string-formatting']","{'account_id': 1287982, 'reputation': 6609, 'user_id': 1240679, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/817742e06feb1d4b5bece2e7cd043969?s=256&d=identicon&r=PG', 'display_name': 'user1240679', 'link': 'https://stackoverflow.com/users/1240679/user1240679'}",True,136449,7,34,1666769156,1335946526,1506550192.0,10410023,,https://stackoverflow.com/questions/10410023/string-format-alternative-in-c,String.Format alternative in C++,10410031.0,,1429869454.0,Duplicate,
