,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason
0,"['c#', 'unity3d']","{'account_id': 21945123, 'reputation': 11, 'user_id': 16225098, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c6c4807e4a9e6d73f8c458ca250accdb?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hayls99', 'link': 'https://stackoverflow.com/users/16225098/hayls99'}",False,95,1,0,1669201893,1623803793,67994971,CC BY-SA 4.0,https://stackoverflow.com/questions/67994971/transformtileproviderno-location-marker-transform-specified-unity-error,TransformTileProvider:No location marker transform specified Unity error,,,,
1,"['c#', 'xunit', 'autofixture']","{'account_id': 1336017, 'reputation': 61, 'user_id': 1866615, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/774efb8e1089ae1d661884f9e49ffb05?s=256&d=identicon&r=PG', 'display_name': 'Vida', 'link': 'https://stackoverflow.com/users/1866615/vida'}",True,599,1,2,1669070573,1623239695,67903647,CC BY-SA 4.0,https://stackoverflow.com/questions/67903647/i-am-facing-exception-autofixture-objectcreationexceptionwithpath-with-autofix,I am facing exception &quot;AutoFixture.ObjectCreationExceptionWithPath&quot; With AutoFixture in EF Core Code First Approach,1669070573.0,,,
2,"['c#', 'ethereum', 'rpc', 'nethereum']","{'account_id': 21911772, 'reputation': 11, 'user_id': 16196171, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/92482763608356e227e410b3b10b17a8?s=256&d=identicon&r=PG&f=1', 'display_name': 'lito', 'link': 'https://stackoverflow.com/users/16196171/lito'}",False,510,1,0,1669058396,1623777885,67990898,CC BY-SA 4.0,https://stackoverflow.com/questions/67990898/nethereum-will-not-send-eth-payments,Nethereum will not send ETH payments,1669058361.0,,,
3,"['c#', 'android', 'xamarin', 'xamarin.forms', 'xamarin.android']","{'account_id': 12669143, 'reputation': 171, 'user_id': 16140488, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/496e5d53ac383d9503bfddefafcf7971?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/16140488/dan'}",False,1942,2,1,1669031447,1623604871,67960903,CC BY-SA 4.0,https://stackoverflow.com/questions/67960903/firebaseauth-smsretrieverhelper-sms-verification-code-request-failed-unknown,FirebaseAuth -SmsRetrieverHelper -SMS verification code request failed: unknown status code: 17042 Invalid format,1623647439.0,,,
4,"['python', 'c#', 'python.net']","{'account_id': 6708529, 'reputation': 568, 'user_id': 5172655, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/ed146f261d8d135a743cd16b617dfd5e?s=256&d=identicon&r=PG&f=1', 'display_name': 'JChristen', 'link': 'https://stackoverflow.com/users/5172655/jchristen'}",False,2634,3,7,1668795148,1623675162,67970591,CC BY-SA 4.0,https://stackoverflow.com/questions/67970591/pythonnet-dotnet-core-no-module-named,Pythonnet dotnet core &#39;No module named&#39;,,,,
5,"['c#', 'pdf']","{'account_id': 6241536, 'reputation': 29, 'user_id': 4855001, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1050398881656827/picture?type=large', 'display_name': 'Morheb Bek', 'link': 'https://stackoverflow.com/users/4855001/morheb-bek'}",True,114,2,-1,1668765742,1625032148,68189061,CC BY-SA 4.0,https://stackoverflow.com/questions/68189061/c-how-to-generate-password-protected-arabic-pdf-or-word-document,"c# , how to generate password protected arabic pdf or word document",1625033019.0,68927607.0,,
6,"['c#', 'xaml', 'maui']","{'account_id': 454950, 'reputation': 542, 'user_id': 852857, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6550459b637991ad6fd5d5087eea3da0?s=256&d=identicon&r=PG', 'display_name': 'mnemonic', 'link': 'https://stackoverflow.com/users/852857/mnemonic'}",True,9012,9,18,1668750944,1624106884,68046917,CC BY-SA 4.0,https://stackoverflow.com/questions/68046917/new-net-maui-app-project-throws-the-name-initializecomponent-does-not-exist,New .Net MAUI App project throws &#39;The name &#39;InitializeComponent&#39; does not exist in the current context&#39; build errors,1624232001.0,68246612.0,,
7,"['c#', 'asp.net', 'sql-server', 'asp.net-mvc', 'asp.net-core']","{'account_id': 21189164, 'reputation': 321, 'user_id': 15581952, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgJodYFcKYgCWzwINQWkP3fzYeatDaKNbyBaB--=k-s256', 'display_name': 'Mizanur Rahaman', 'link': 'https://stackoverflow.com/users/15581952/mizanur-rahaman'}",True,330,3,0,1668667689,1624127049,68049688,CC BY-SA 4.0,https://stackoverflow.com/questions/68049688/how-to-insert-items-into-a-sql-server-database-using-reflection,How to insert items into a SQL Server database using reflection?,1624127639.0,,,
8,"['c#', 'web-services', '.net-core', 'soap']","{'account_id': 2037049, 'reputation': 348, 'user_id': 1819153, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bcca5495d59d6dc8a6f7a845e07eaeff?s=256&d=identicon&r=PG', 'display_name': 'David May', 'link': 'https://stackoverflow.com/users/1819153/david-may'}",False,2285,1,12,1668615913,1624891750,68165488,CC BY-SA 4.0,https://stackoverflow.com/questions/68165488/soaphttpclientprotocol-equivalent-in-net-core,SoapHttpClientProtocol equivalent in .NET Core,1624892328.0,,,
9,"['c#', 'logging', 'asp.net-web-api', 'polly', 'retry-logic']","{'account_id': 3468683, 'reputation': 1723, 'user_id': 2903635, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/3f3ab51695511d5587f395f215fc2007?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bhav', 'link': 'https://stackoverflow.com/users/2903635/bhav'}",True,1254,1,1,1668264405,1624525646,68112789,CC BY-SA 4.0,https://stackoverflow.com/questions/68112789/how-to-log-something-before-retry-using-polly,How to log something before retry using Polly?,1668264405.0,68114633.0,,
