,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,locked_date,migrated_from
0,"['c#', 'location', 'ip']","{'account_id': 356655, 'reputation': 1493, 'user_id': 696296, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/b1441748dab1cdebb8633ba31fc91d9e?s=256&d=identicon&r=PG', 'display_name': 'icaptan', 'link': 'https://stackoverflow.com/users/696296/icaptan'}",True,4434,9650365.0,3,0,1669370536,1331414596,1379957608.0,9650289,CC BY-SA 3.0,https://stackoverflow.com/questions/9650289/ip-and-location-information,IP and Location information,,,,,,
1,"['c#', 'windows-8', 'microsoft-metro', 'chess']","{'account_id': 1099756, 'reputation': 13, 'user_id': 1092448, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d2d008d5dd317c053c54d0718f5e3e05?s=256&d=identicon&r=PG', 'display_name': 'Nasir Amin', 'link': 'https://stackoverflow.com/users/1092448/nasir-amin'}",True,1532,9656858.0,3,1,1668613142,1331475835,1331484689.0,9655733,CC BY-SA 3.0,https://stackoverflow.com/questions/9655733/chess-board-in-metro-style-apps,Chess Board in Metro Style apps,,,,,,
2,"['c#', 'asp.net', 'regex']","{'account_id': 1109979, 'reputation': 277, 'user_id': 1100631, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/e8cb2956ef0373e27cba8b38753f40b0?s=256&d=identicon&r=PG', 'display_name': 'polohy', 'link': 'https://stackoverflow.com/users/1100631/polohy'}",True,4193,9558058.0,3,1,1668509589,1330888714,1332681354.0,9558015,CC BY-SA 3.0,https://stackoverflow.com/questions/9558015/use-czech-chars-in-regular-expression,Use czech chars in regular expression,,,,,,
3,"['c#', 'list', 'properties', 'find']","{'account_id': 220794, 'reputation': 11276, 'user_id': 478406, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/3f923cc63f1ead90b526c3ab330cf2cd?s=256&d=identicon&r=PG', 'display_name': 'Robert Strauch', 'link': 'https://stackoverflow.com/users/478406/robert-strauch'}",True,694929,9854944.0,8,139,1668442044,1332618196,1476953924.0,9854917,CC BY-SA 3.0,https://stackoverflow.com/questions/9854917/how-can-i-find-a-specific-element-in-a-listt,How can I find a specific element in a List&lt;T&gt;?,,,,,,
4,"['c#', '.net', 'escaping']","{'account_id': 451349, 'reputation': 23579, 'user_id': 847200, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ac14814bcfc842f847af55f9b3ad55b5?s=256&d=identicon&r=PG', 'display_name': 'Arsen Zahray', 'link': 'https://stackoverflow.com/users/847200/arsen-zahray'}",True,1036,22222319.0,3,4,1667978602,1330683242,1330686067.0,9531477,CC BY-SA 3.0,https://stackoverflow.com/questions/9531477/what-is-the-name-of-the-function-which-does-the-opposite-to-httputility-javascr,"What is the name of the function, which does the opposite to HttpUtility.JavaScriptStringEncode?",,,,,,
5,"['c#', 'asp.net', 'file-upload']","{'account_id': 100538, 'reputation': 467, 'user_id': 270960, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/1df4cdd12a3fd41cf3d894d9c05f396d?s=256&d=identicon&r=PG', 'display_name': 'Muzaffar Ali Rana', 'link': 'https://stackoverflow.com/users/270960/muzaffar-ali-rana'}",False,10486,,2,2,1667556290,1332309694,,9799356,CC BY-SA 3.0,https://stackoverflow.com/questions/9799356/how-to-maintain-fileupload-control-s-state-after-postback,How to Maintain FileUpload Control’s State after PostBack,,,,,,
6,"['c#', 'asp.net', 'deployment', 'asp.net-web-api']","{'account_id': 115440, 'reputation': 2271, 'user_id': 303151, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/6018a89f62181649e0ef234eb1645204?s=256&d=identicon&r=PG', 'display_name': 'Bart', 'link': 'https://stackoverflow.com/users/303151/bart'}",False,8198,,1,5,1667178185,1331925645,,9743300,CC BY-SA 3.0,https://stackoverflow.com/questions/9743300/asp-net-web-api-getting-aspnetinitializationexceptionmodule-after-deployment,ASP.NET Web API - Getting AspNetInitializationExceptionModule after deployment,,,,,,
7,"['c#', 'visual-studio', 'visual-studio-2010']","{'account_id': 51509, 'reputation': 26037, 'user_id': 153923, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/804ed3e25812ea0309fd07bc42bf09c2?s=256&d=identicon&r=PG', 'display_name': 'jp2code', 'link': 'https://stackoverflow.com/users/153923/jp2code'}",True,147225,9891700.0,11,315,1666872289,1332858765,,9891656,CC BY-SA 3.0,https://stackoverflow.com/questions/9891656/visual-studio-how-to-show-overloads-in-intellisense,Visual Studio: How to show Overloads in IntelliSense?,,,,,,
8,"['c#', 'wpf', 'multithreading']","{'account_id': 1099664, 'reputation': 2407, 'user_id': 1092381, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/dd2eac300163cfe8266b6c30a797a7d4?s=256&d=identicon&r=PG&f=1', 'display_name': 'philkark', 'link': 'https://stackoverflow.com/users/1092381/philkark'}",True,114191,9602723.0,8,41,1666675623,1331127611,1331127793.0,9602567,CC BY-SA 3.0,https://stackoverflow.com/questions/9602567/how-to-update-ui-from-another-thread-running-in-another-class,How to update UI from another thread running in another class,,,,,,
9,"['c#', 'generics']","{'account_id': 119440, 'reputation': 33918, 'user_id': 311130, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/e66bb815b52eb8f82eab2c06427db8ca?s=256&d=identicon&r=PG', 'display_name': 'Elad Benda', 'link': 'https://stackoverflow.com/users/311130/elad-benda'}",True,64643,9802588.0,12,44,1666599426,1332324397,1332325122.0,9802325,CC BY-SA 3.0,https://stackoverflow.com/questions/9802325/switch-case-and-generics-checking,Switch case and generics checking,,,,,,
