,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date
0,"['c#', 'using']","{'account_id': 21616226, 'reputation': 33, 'user_id': 15941996, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjVwyVNgoZDt7biip5Gcin3FUPtrRHIhqCNHsOICQ=k-s256', 'display_name': 'RealNoobProgrammer', 'link': 'https://stackoverflow.com/users/15941996/realnoobprogrammer'}",True,20338,1621690975.0,67649550.0,5,-5,1669120991,1621686316,1643124825.0,67649425,https://stackoverflow.com/questions/67649425/what-does-using-system-mean-in-c,Not suitable for this site,What does &quot;using System&quot; mean in C#?,,
1,"['c#', 'visual-studio']","{'account_id': 2244054, 'reputation': 16699, 'user_id': 1977871, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/96369eebd8de286a6d4b6db05c2bb1fc?s=256&d=identicon&r=PG', 'display_name': 'VivekDev', 'link': 'https://stackoverflow.com/users/1977871/vivekdev'}",True,102609,,67505486.0,12,164,1669040733,1620828671,1645692245.0,67505347,https://stackoverflow.com/questions/67505347/non-nullable-property-must-contain-a-non-null-value-when-exiting-constructor-co,,Non-nullable property must contain a non-null value when exiting constructor. Consider declaring the property as nullable,CC BY-SA 4.0,
2,"['python', 'c#', 'unity3d', 'websocket']","{'account_id': 11167110, 'reputation': 55, 'user_id': 8195615, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c3d7b3aa70de1c1704c71cf4fb04d0d9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sekmani52', 'link': 'https://stackoverflow.com/users/8195615/sekmani52'}",False,354,,,2,0,1669038445,1622161321,1622193609.0,67731405,https://stackoverflow.com/questions/67731405/communication-between-a-python-server-and-a-c-client-unity,,Communication between a python server and a C# client (Unity),CC BY-SA 4.0,
3,"['c#', 'visual-studio-code']","{'account_id': 10038130, 'reputation': 1537, 'user_id': 7421971, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/aff1518863b508a91cc165288275cba1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vishnu', 'link': 'https://stackoverflow.com/users/7421971/vishnu'}",True,6025,,,2,10,1668809769,1621945196,,67687775,https://stackoverflow.com/questions/67687775/you-dont-have-an-extension-for-debugging-c-should-we-find-a-c-extension-in-t,,"You don&#39;t have an extension for debugging C#, Should we find a C# extension in the Marketplace?",CC BY-SA 4.0,
4,"['c#', 'entity-framework-6', 'ef-code-first']","{'account_id': 8427180, 'reputation': 11, 'user_id': 6324045, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2c4c38cb999ca4f2fdc4390b45977261?s=256&d=identicon&r=PG&f=1', 'display_name': 'Casper Vinther', 'link': 'https://stackoverflow.com/users/6324045/casper-vinther'}",False,371,,,1,0,1668792980,1621252017,1621255498.0,67569054,https://stackoverflow.com/questions/67569054/c-entity-framework-code-first-ignore-missing-columns-in-database,,C# Entity Framework code-first - ignore missing columns in database,CC BY-SA 4.0,
5,"['c#', 'asp.net-core', '.net-core', '.net-5']","{'account_id': 1670690, 'reputation': 12336, 'user_id': 1537195, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/xRBvI.jpg?s=256&g=1', 'display_name': 'silent', 'link': 'https://stackoverflow.com/users/1537195/silent'}",False,851,,,1,9,1668774912,1619986790,,67360779,https://stackoverflow.com/questions/67360779/asp-netcore-use-feature-flags-inside-configureservices,,ASP.NETCORE use feature flags inside ConfigureServices,CC BY-SA 4.0,
6,"['c#', 'asp.net-core', 'entity-framework-core', 'dataverse']","{'account_id': 3904955, 'reputation': 7224, 'user_id': 3231884, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/O5vJr.jpg?s=256&g=1', 'display_name': 'Luis Gouveia', 'link': 'https://stackoverflow.com/users/3231884/luis-gouveia'}",False,376,,,1,1,1668631219,1622454705,1622457424.0,67771538,https://stackoverflow.com/questions/67771538/generating-c-classes-from-dataverse,,Generating C# classes from dataverse,CC BY-SA 4.0,
7,"['c#', 'configuration', 'asp.net-core-mvc', 'moq', 'xunit']","{'account_id': 551497, 'reputation': 237, 'user_id': 916358, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/YfW2P.jpg?s=256&g=1', 'display_name': 'plasteezy', 'link': 'https://stackoverflow.com/users/916358/plasteezy'}",True,3430,,67351686.0,2,2,1668611360,1619891741,1668611360.0,67349339,https://stackoverflow.com/questions/67349339/how-do-i-mock-iconfiguration-with-moq,,How do I mock IConfiguration with Moq?,CC BY-SA 4.0,
8,"['c#', 'wpf', 'datagridview']","{'account_id': 17305826, 'reputation': 5, 'user_id': 15332400, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/FKjSX.jpg?s=256&g=1', 'display_name': 'KcISRAEL', 'link': 'https://stackoverflow.com/users/15332400/kcisrael'}",False,152,,,1,0,1668444974,1621562511,,67629952,https://stackoverflow.com/questions/67629952/how-to-import-only-selecte-row-from-datagridview-to-rdlc-report-in-c,,how to import only selecte row from datagridview to rdlc report in C#,CC BY-SA 4.0,
9,"['c#', 'powershell', 'powerapps', 'dataverse']","{'account_id': 21781514, 'reputation': 1, 'user_id': 16083149, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/52a67933ccd4cf3b4c2eb3b653405c3a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anthorio', 'link': 'https://stackoverflow.com/users/16083149/anthorio'}",False,128,,,0,0,1668420947,1622449377,1668420947.0,67770229,https://stackoverflow.com/questions/67770229/i-cant-create-entities-in-powerapps-database-from-visual-studio,,I can&#39;t create entities in PowerApps Database from Visual Studio,CC BY-SA 4.0,
10,"['c#', 'visual-studio', 'winforms', 'ui-automation']","{'account_id': 20340557, 'reputation': 105, 'user_id': 14953032, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6138e17910d1ba138698e899ef88c564?s=256&d=identicon&r=PG&f=1', 'display_name': 'geek175', 'link': 'https://stackoverflow.com/users/14953032/geek175'}",True,2042,,,1,5,1668405837,1619952974,1668405837.0,67355538,https://stackoverflow.com/questions/67355538/how-to-add-uiautomationclient-dll-and-uiautomationtypes-dll-to-net-core-5-0-pro,,How to add UIAutomationClient.dll and UIAutomationTypes.dll to .Net Core 5.0 project?,CC BY-SA 4.0,
11,"['c#', 'performance', 'asp.net-core', '.net-core']","{'account_id': 2290427, 'reputation': 150, 'user_id': 2013399, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/2460128d226bd1b2af975a0858291f84?s=256&d=identicon&r=PG', 'display_name': 'Riccardo', 'link': 'https://stackoverflow.com/users/2013399/riccardo'}",True,3277,,,2,0,1668343259,1620142357,1620388029.0,67387766,https://stackoverflow.com/questions/67387766/fastest-way-to-replace-occurences-in-small-string-using-span-in-c,,Fastest way to replace occurences in small string using span in c#,CC BY-SA 4.0,
12,"['javascript', 'c#', 'blazor', 'blazor-webassembly']","{'account_id': 2331965, 'reputation': 1954, 'user_id': 2045161, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/ypRRj.jpg?s=256&g=1', 'display_name': 'Andres Talavera', 'link': 'https://stackoverflow.com/users/2045161/andres-talavera'}",True,3594,,,2,1,1668169055,1620238481,1620725985.0,67406662,https://stackoverflow.com/questions/67406662/call-javascript-function-from-external-library-with-blazor,,Call JavaScript function (from external library) with Blazor,CC BY-SA 4.0,
13,"['c#', 'arrays']","{'account_id': 1112946, 'reputation': 157, 'user_id': 1103028, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2cff9aeefbd4804af87c9b64ee3b9d2b?s=256&d=identicon&r=PG', 'display_name': 'John John', 'link': 'https://stackoverflow.com/users/1103028/john-john'}",True,11248,,67735773.0,14,0,1668150754,1622187298,,67734682,https://stackoverflow.com/questions/67734682/returns-the-smallest-positive-integer-greater-than-0-that-does-not-occur-in-ar,,returns the smallest positive integer (greater than 0) that does not occur in Array,CC BY-SA 4.0,1668150887.0
14,"['c#', 'asp.net', '.net', 'c#-4.0', 'c#-3.0']","{'account_id': 15117055, 'reputation': 33, 'user_id': 10909040, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-GdlOQt0piAg/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcZ1gxTq5skYcX7p4vonwIHfJ2odpA/mo/photo.jpg?sz=256', 'display_name': 'marcus', 'link': 'https://stackoverflow.com/users/10909040/marcus'}",False,541,,,3,1,1667608366,1620220846,1620221782.0,67402153,https://stackoverflow.com/questions/67402153/how-to-refactor-this-method-to-reduce-its-cognitive-complexity,,How to refactor this method to reduce its cognitive complexity,CC BY-SA 4.0,
15,"['c#', 'asp.net-mvc', 'asp.net-web-api', 'asp.net-core-webapi', 'blazor-webassembly']","{'account_id': 17248341, 'reputation': 349, 'user_id': 15810913, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8bBri.jpg?s=256&g=1', 'display_name': 'NoviceCoder', 'link': 'https://stackoverflow.com/users/15810913/novicecoder'}",False,1463,,,0,0,1667580728,1620095484,1620133651.0,67378042,https://stackoverflow.com/questions/67378042/newtonsoft-json-jsonreaderexception-unexpected-character-encountered-while-pars,,"Newtonsoft.Json.JsonReaderException: Unexpected character encountered while parsing value: h. Path &#39;&#39;, line 0, position 0",CC BY-SA 4.0,
16,"['c#', 'winforms', 'serialization', 'json.net']","{'user_type': 'does_not_exist', 'display_name': 'user14965594'}",True,226,,67416075.0,1,0,1667506028,1620295547,1667506028.0,67415975,https://stackoverflow.com/questions/67415975/how-do-i-serialize-multiple-items-with-foreach-using-json-in-c,,How do I serialize multiple items with foreach using JSON in c#?,CC BY-SA 4.0,
17,"['c#', 'json', 'system.text.json']","{'account_id': 9885519, 'reputation': 329, 'user_id': 7320149, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/109UZ.png?s=256&g=1', 'display_name': 'AmirAli Samiei', 'link': 'https://stackoverflow.com/users/7320149/amirali-samiei'}",True,140,,67554334.0,1,1,1667505737,1621151154,1667505737.0,67554216,https://stackoverflow.com/questions/67554216/list-to-json-with-jsonserializer-serializer-returns-null,,List to JSON with JsonSerializer.Serializer returns null,CC BY-SA 4.0,
