,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason
0,"['c#', '.net', 'visual-studio-code', 'omnisharp']","{'account_id': 18994407, 'reputation': 726, 'user_id': 14022084, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/178efc3d56287d58146446c4e59f6417?s=256&d=identicon&r=PG', 'display_name': 'Zeyad Shaban', 'link': 'https://stackoverflow.com/users/14022084/zeyad-shaban'}",True,16959,68979296.0,8,13,1669183620,1613535169,66235663,CC BY-SA 4.0,https://stackoverflow.com/questions/66235663/vs-code-problems-with-c-extension-some-projects-have-trouble-loading-due-to-om,"vs code Problems with C# extension, Some projects have trouble loading due to OmniSharp",,,,
1,"['c#', 'entity-framework', 'entity-framework-core']","{'account_id': 2144209, 'reputation': 65, 'user_id': 3348046, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'michael', 'link': 'https://stackoverflow.com/users/3348046/michael'}",True,817,66386142.0,1,1,1669107978,1614299143,66378438,CC BY-SA 4.0,https://stackoverflow.com/questions/66378438/can-i-reuse-code-for-selecting-a-custom-dto-object-for-a-child-property-with-ef,Can I reuse code for selecting a custom DTO object for a child property with EF Core?,,,,
2,"['c#', 'dynamics-crm', 'dynamic-programming', 'microsoft-dynamics']","{'account_id': 17340382, 'reputation': 101, 'user_id': 12561188, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-A6QZ_TjmceY/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcOeo_6IDZThgcRw1AqvrsB6O_cMQ/photo.jpg?sz=256', 'display_name': 'bnb', 'link': 'https://stackoverflow.com/users/12561188/bnb'}",True,1536,66387792.0,4,1,1669051785,1614341666,66385663,CC BY-SA 4.0,https://stackoverflow.com/questions/66385663/how-to-connect-to-dynamics-crm-with-c,How to connect to dynamics crm with c#?,,,,
3,['c#'],"{'account_id': 20826643, 'reputation': 29, 'user_id': 15296963, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6ae3bec8d61dba672bc3f98c5ce350c2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Covet', 'link': 'https://stackoverflow.com/users/15296963/covet'}",True,2773,,5,2,1669051480,1614491786,66406257,CC BY-SA 4.0,https://stackoverflow.com/questions/66406257/c-codility-question-number-of-castles-how-to-solve-it,C# Codility question number of castles how to solve it?,1614493968.0,,,
4,"['c#', 'asp.net-core', 'error-handling', 'asp.net5']","{'account_id': 41816, 'reputation': 2482, 'user_id': 121626, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/7a831efd240c56f74f4c4f2618d9a51a?s=256&d=identicon&r=PG', 'display_name': 'edelwater', 'link': 'https://stackoverflow.com/users/121626/edelwater'}",True,6113,66388483.0,2,9,1668939567,1614349359,66387529,CC BY-SA 4.0,https://stackoverflow.com/questions/66387529/asp-net-5-core-app-useexceptionhandler-not-working,Asp.Net 5/Core app.UseExceptionHandler() not working,1658500472.0,,,
5,"['c#', 'asp.net-mvc', 'authentication', 'two-factor-authentication']","{'account_id': 6296499, 'reputation': 2967, 'user_id': 4892515, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/JHSqd.png?s=256&g=1', 'display_name': 'Antoine Pelletier', 'link': 'https://stackoverflow.com/users/4892515/antoine-pelletier'}",True,5953,66143173.0,1,3,1668789872,1612890504,66123661,CC BY-SA 4.0,https://stackoverflow.com/questions/66123661/using-totp-microsoft-authenticator-for-asp-net-mvc,using TOTP Microsoft authenticator for ASP.NET MVC,1668789872.0,,,
6,"['c#', '.net', 'matrix', 'routes']","{'account_id': 9001139, 'reputation': 192, 'user_id': 6709735, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10153673502237601/picture?type=large', 'display_name': 'Richard Gustavsson', 'link': 'https://stackoverflow.com/users/6709735/richard-gustavsson'}",False,275,,1,0,1668705725,1612475195,66054301,CC BY-SA 4.0,https://stackoverflow.com/questions/66054301/here-matrix-routing-mapping-results-to-original-objects-c,"HERE Matrix Routing - Mapping results to original objects, C#",,,,
7,"['c#', '.net', 'winapi']","{'account_id': 14286861, 'reputation': 55, 'user_id': 10320005, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8a15f94f1ca08a19ffd68777cf628568?s=256&d=identicon&r=PG&f=1', 'display_name': 'dt_overflow', 'link': 'https://stackoverflow.com/users/10320005/dt-overflow'}",True,404,66434412.0,2,2,1668591615,1614361441,66390496,CC BY-SA 4.0,https://stackoverflow.com/questions/66390496/queryfullprocessimagename-returns-error-31,QueryFullProcessImageName returns error 31,1614426148.0,,,
8,"['c#', 'webautomation', 'playwright', 'playwright-sharp']","{'account_id': 3801917, 'reputation': 5545, 'user_id': 3155323, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/907d70b2680a6f5cf836a3d58dd2c375?s=256&d=identicon&r=PG', 'display_name': 'Andreas Willich', 'link': 'https://stackoverflow.com/users/3155323/andreas-willich'}",True,5461,,3,5,1668341063,1613050184,66155711,CC BY-SA 4.0,https://stackoverflow.com/questions/66155711/how-can-you-get-the-selected-option-of-a-dropdown-with-playwright,How can you get the selected option of a dropdown with Playwright,1613056231.0,,,
9,"['c#', 'visual-studio-2019', 'suppress-warnings', 'generated-code']","{'account_id': 2059508, 'reputation': 1911, 'user_id': 1836461, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ZHYf4.jpg?s=256&g=1', 'display_name': 'computercarguy', 'link': 'https://stackoverflow.com/users/1836461/computercarguy'}",True,1436,66653324.0,3,3,1668011814,1614278231,66374508,CC BY-SA 4.0,https://stackoverflow.com/questions/66374508/how-to-disable-compiler-warnings-in-only-generated-code-without-editing-files,How to disable compiler warnings in only generated code without editing file(s),1619181348.0,,,
