,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
0,"['c#', 'winforms', 'visual-studio-2008', 'designer']","{'account_id': 1603165, 'reputation': 5611, 'user_id': 1483826, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/89b0eb6b5ed4f11aa012d215b737caf8?s=256&d=identicon&r=PG', 'display_name': 'mr&#243;wa', 'link': 'https://stackoverflow.com/users/1483826/mr%c3%b3wa'}",True,3385,12109562.0,3,3,1669365749,1345805262,1345806040.0,12107927,CC BY-SA 3.0,https://stackoverflow.com/questions/12107927/disable-setting-of-a-property-in-winforms-designer,Disable setting of a property in winforms designer,,,,,
1,"['c#', 'wcf', 'silverlight-5.0', 'async-ctp']","{'account_id': 367521, 'reputation': 6694, 'user_id': 713777, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/I4ciN.jpg?s=256&g=1', 'display_name': 'Ahmed Ghoneim', 'link': 'https://stackoverflow.com/users/713777/ahmed-ghoneim'}",True,218439,11854435.0,14,83,1669329918,1344372105,1344372970.0,11853812,CC BY-SA 3.0,https://stackoverflow.com/questions/11853812/task-does-not-contain-a-definition-for-getawaiter,Task&lt;&gt; does not contain a definition for &#39;GetAwaiter&#39;,,,,,
2,['c#'],"{'account_id': 181224, 'reputation': 23463, 'user_id': 415078, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/ABa1l.png?s=256&g=1', 'display_name': 'angularrocks.com', 'link': 'https://stackoverflow.com/users/415078/angularrocks-com'}",True,24297,12077299.0,7,12,1669290086,1345651687,1345743591.0,12077182,CC BY-SA 3.0,https://stackoverflow.com/questions/12077182/c-sort-files-by-natural-number-ordering-in-the-name,C# Sort files by natural number ordering in the name?,,,,,
3,"['c#', 'protobuf-net', 'datetimeoffset']","{'account_id': 1759785, 'reputation': 109, 'user_id': 1607211, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/ab77228ad0e4efa1006ff360095ad98f?s=256&d=identicon&r=PG', 'display_name': 'AxelF', 'link': 'https://stackoverflow.com/users/1607211/axelf'}",True,2838,,5,1,1669222660,1345215650,1345454812.0,12008264,CC BY-SA 3.0,https://stackoverflow.com/questions/12008264/protobuf-datetimeoffset,protobuf datetimeoffset,,,,,
4,"['c#', 'asp.net', 'impersonation']","{'account_id': 243525, 'reputation': 7909, 'user_id': 515774, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/HEi63.jpg?s=256&g=1', 'display_name': 'Muthukumar', 'link': 'https://stackoverflow.com/users/515774/muthukumar'}",True,12190,14528546.0,1,5,1669217684,1345234206,1345235796.0,12012558,CC BY-SA 3.0,https://stackoverflow.com/questions/12012558/logon-failure-the-user-has-not-been-granted-the-requested-logon-type-at-this-co,Logon failure: the user has not been granted the requested logon type at this computer,,,,,
5,"['c#', 'x509certificate']","{'account_id': 1691216, 'reputation': 1665, 'user_id': 1553502, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://i.stack.imgur.com/qdK2S.jpg?s=256&g=1', 'display_name': 'Bes Ley', 'link': 'https://stackoverflow.com/users/1553502/bes-ley'}",True,113198,,10,61,1669019691,1345798164,1611613551.0,12106011,CC BY-SA 4.0,https://stackoverflow.com/questions/12106011/system-security-cryptography-cryptographicexception-keyset-does-not-exist,System.Security.Cryptography.CryptographicException: keyset does not exist,,,,,
6,"['c#', 'window', 'modal-dialog']","{'account_id': 1031262, 'reputation': 231, 'user_id': 1039539, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/92342961b978f23915c6d1505256a1b4?s=256&d=identicon&r=PG', 'display_name': 'Bartłomiej Pach', 'link': 'https://stackoverflow.com/users/1039539/bart%c5%82omiej-pach'}",False,7672,,4,0,1668884625,1346256088,,12182021,CC BY-SA 3.0,https://stackoverflow.com/questions/12182021/c-and-modal-windows,C# and Modal Windows,,,,,
7,"['c#', 'algorithm', 'sorting', 'mergesort']","{'account_id': 157393, 'reputation': 873, 'user_id': 375318, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/e92c6aac6fb068308919731a99300d5f?s=256&d=identicon&r=PG', 'display_name': 'hobeau', 'link': 'https://stackoverflow.com/users/375318/hobeau'}",True,3390,12148789.0,4,9,1668715088,1346097394,,12148712,CC BY-SA 3.0,https://stackoverflow.com/questions/12148712/c-merge-sort-performance,C# merge sort performance,,,,,
8,"['c#', 'asp.net', 'google-api', 'oauth-2.0']","{'account_id': 1397214, 'reputation': 6705, 'user_id': 1326765, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/9db2cd34c0be1ce243670c6cb0d09c3f?s=256&d=identicon&r=PG', 'display_name': 'Sagar', 'link': 'https://stackoverflow.com/users/1326765/sagar'}",True,34572,11835134.0,6,11,1667470586,1344275201,1553628929.0,11833281,CC BY-SA 4.0,https://stackoverflow.com/questions/11833281/how-to-get-access-token-for-google-oauth,How to get access token for google oauth?,1631028505.0,,,,
9,['c#'],"{'account_id': 1771281, 'reputation': 81, 'user_id': 1615980, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9145e2716b7382568b3e0be49cf05c1c?s=256&d=identicon&r=PG', 'display_name': 'farshid nasseri', 'link': 'https://stackoverflow.com/users/1615980/farshid-nasseri'}",True,15748,12067533.0,5,4,1667361966,1345617107,1345618104.0,12067452,CC BY-SA 3.0,https://stackoverflow.com/questions/12067452/find-a-file-with-particular-substring-in-name,Find a file with particular substring in name,,,,,
