,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,migrated_from
0,"['javascript', 'typescript', 'amazon-web-services', 'amazon-cloudformation', 'aws-cdk']","{'account_id': 6958337, 'reputation': 894, 'user_id': 5338668, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/f083cecf7b017989d9e12273b08eb78f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jamal H', 'link': 'https://stackoverflow.com/users/5338668/jamal-h'}",True,2389,68434915.0,2,7,1669170563,1626661920,68434528,CC BY-SA 4.0,https://stackoverflow.com/questions/68434528/what-is-the-purpose-of-app-synth-in-aws-cdk,What is the purpose of app.synth() in AWS CDK?,,,,
1,"['javascript', 'reactjs', 'typescript', 'react-hooks', 'state']","{'account_id': 16294634, 'reputation': 77, 'user_id': 11767249, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9004067e272ec0b9d7e0d12ca614f9c3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rakai', 'link': 'https://stackoverflow.com/users/11767249/rakai'}",True,2113,68356858.0,2,0,1669133135,1626144681,68355920,CC BY-SA 4.0,https://stackoverflow.com/questions/68355920/reactjs-how-to-select-one-or-multiple-cards-when-clicked-with-a-state-hook,Reactjs: How to select one or multiple cards when clicked with a state hook?,,,,
2,"['javascript', 'typescript', 'ide', 'jsdoc']","{'account_id': 210629, 'reputation': 13304, 'user_id': 462347, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/d4a844ef3b87269a475befa714ea708d?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/462347/mike'}",True,2557,68422736.0,2,9,1669132383,1626535460,68421854,CC BY-SA 4.0,https://stackoverflow.com/questions/68421854/jsdoc-ide-vs-typescript,JSDoc + IDE vs. TypeScript,1669132383.0,,,
3,"['javascript', 'reactjs', 'typescript', 'ecmascript-6', 'react-hook-form']","{'account_id': 4179298, 'reputation': 5105, 'user_id': 3424817, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/d8feb30f6da10cde1ca3d7359d93a755?s=256&d=identicon&r=PG&f=1', 'display_name': 'Reacting', 'link': 'https://stackoverflow.com/users/3424817/reacting'}",False,3348,,2,2,1669114277,1627544045,68571907,CC BY-SA 4.0,https://stackoverflow.com/questions/68571907/how-can-i-validate-array-field-in-react-hook-form-with-the-usefieldarray-hook,How can I validate array field in React Hook Form with the useFieldArray hook?,,,,
4,"['typescript', 'eslint', 'typescript-eslint']","{'account_id': 9886830, 'reputation': 81, 'user_id': 7321107, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf77f55ca2b64237fe50248a3bff5339?s=256&d=identicon&r=PG&f=1', 'display_name': 'requiem', 'link': 'https://stackoverflow.com/users/7321107/requiem'}",True,590,68388196.0,3,3,1669098134,1626325209,68388164,CC BY-SA 4.0,https://stackoverflow.com/questions/68388164/how-do-i-use-express-router-in-ts-and-eslint-without-error,How do I use express.Router in ts and eslint without error,,,,
5,"['node.js', 'typescript', 'microservices']","{'account_id': 16245605, 'reputation': 617, 'user_id': 11730825, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/48db43fd0b4c78790b61067d2303f554?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mhd', 'link': 'https://stackoverflow.com/users/11730825/mhd'}",True,22574,69241623.0,10,37,1669031023,1626942978,68481686,CC BY-SA 4.0,https://stackoverflow.com/questions/68481686/type-typeof-globalthis-has-no-index-signature,type &#39;typeof globalThis&#39; has no index signature,1631537513.0,,,
6,"['angular', 'typescript', 'monorepo', 'angular-library']","{'account_id': 12250884, 'reputation': 2099, 'user_id': 8941307, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8c8575246af6246f9f289b8aff53ce01?s=256&d=identicon&r=PG&f=1', 'display_name': 'Pieterjan', 'link': 'https://stackoverflow.com/users/8941307/pieterjan'}",True,2273,68300654.0,6,1,1669026352,1625522214,68262454,CC BY-SA 4.0,https://stackoverflow.com/questions/68262454/angular-monorepo-error-ts6059-file-ng-youtube-api-service-ngtypecheck-ts-is-n,Angular monorepo error TS6059: File &#39;ng-youtube-api.service.ngtypecheck.ts&#39; is not under &#39;rootDir&#39;. &#39;rootDir&#39; is expected to contain all source files,1625569189.0,,,
7,"['typescript', 'amazon-web-services', 'amazon-s3', 'aws-sdk']","{'account_id': 77297, 'reputation': 974, 'user_id': 220730, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/3d29d89d63192ec69712203361a1d7a8?s=256&d=identicon&r=PG&f=1', 'display_name': 'ServerMonkey', 'link': 'https://stackoverflow.com/users/220730/servermonkey'}",True,2365,69803144.0,2,5,1669017373,1626245531,68373349,CC BY-SA 4.0,https://stackoverflow.com/questions/68373349/aws-sdk-v3-download-file-with-typescript,AWS-SDK v3 - Download file with Typescript,,,,
8,"['node.js', 'typescript', 'express']","{'account_id': 7514567, 'reputation': 119, 'user_id': 5708449, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/19f3950728792948acd215e4813cf62f?s=256&d=identicon&r=PG&f=1', 'display_name': 'J0rdAn', 'link': 'https://stackoverflow.com/users/5708449/j0rdan'}",True,3271,,2,1,1668994314,1625359626,68240921,CC BY-SA 4.0,https://stackoverflow.com/questions/68240921/serve-static-files-with-expressjs-typescript-nodejs,Serve static files with ExpressJS Typescript NodeJS,1625477443.0,,,
9,"['node.js', 'reactjs', 'typescript', 'docker', 'vite']","{'account_id': 12891195, 'reputation': 1375, 'user_id': 9323122, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ZAklr.png?s=256&g=1', 'display_name': 'Cesar Napoleon Mejia Leiva', 'link': 'https://stackoverflow.com/users/9323122/cesar-napoleon-mejia-leiva'}",True,4222,68595302.0,3,5,1668903940,1627667095,68595151,CC BY-SA 4.0,https://stackoverflow.com/questions/68595151/unable-to-dockerize-vite-react-typescript-project,Unable to Dockerize Vite React-Typescript Project,1627667466.0,,,
