,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason
0,"['javascript', 'angular', 'typescript']","{'account_id': 15143143, 'reputation': 11, 'user_id': 10927628, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2348364945173770/picture?type=large', 'display_name': 'Antonio Di Giulio', 'link': 'https://stackoverflow.com/users/10927628/antonio-di-giulio'}",False,8682,1,0,1669154700,1554366250,55511145,CC BY-SA 4.0,https://stackoverflow.com/questions/55511145/ordering-map-object-angular,Ordering Map Object Angular,,,,
1,"['typescript', 'react-native']","{'account_id': 8428, 'reputation': 4817, 'user_id': 15186, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/y5hs4.jpg?s=256&g=1', 'display_name': 'Olivier MATROT', 'link': 'https://stackoverflow.com/users/15186/olivier-matrot'}",True,6393,3,3,1669114774,1556284605,55868484,CC BY-SA 4.0,https://stackoverflow.com/questions/55868484/referenceerror-cant-find-variable-textencoder,ReferenceError: Can&#39;t find variable: TextEncoder,1556786983.0,,,
2,"['javascript', 'typescript', 'observable', 'axios', 'nestjs']","{'account_id': 975757, 'reputation': 3132, 'user_id': 997040, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ed1960671105020dce2ffff5af572969?s=256&d=identicon&r=PG', 'display_name': 'Chaz', 'link': 'https://stackoverflow.com/users/997040/chaz'}",True,17744,2,21,1668885128,1554845608,55601651,CC BY-SA 4.0,https://stackoverflow.com/questions/55601651/how-to-rethrow-errors-of-httpservice-call-with-nestjs,How to rethrow errors of HttpService call with NestJS?,1554850519.0,55602399.0,,
3,"['reactjs', 'typescript', 'dropzone.js']","{'account_id': 14493607, 'reputation': 283, 'user_id': 10468970, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/kU6Va.png?s=256&g=1', 'display_name': 'Prozak', 'link': 'https://stackoverflow.com/users/10468970/prozak'}",True,1656,2,1,1668647259,1556271723,55864875,CC BY-SA 4.0,https://stackoverflow.com/questions/55864875/image-preview-using-dropzone-extending-file-type,Image preview using Dropzone extending File type,,,,
4,"['typescript', 'jwt', 'nestjs', 'nestjs-passport', 'nestjs-jwt']","{'account_id': 2115105, 'reputation': 1017, 'user_id': 1879605, 'user_type': 'registered', 'accept_rate': 2, 'profile_image': 'https://i.stack.imgur.com/T8uIg.jpg?s=256&g=1', 'display_name': 'Arsene', 'link': 'https://stackoverflow.com/users/1879605/arsene'}",True,12276,6,6,1668203351,1556061240,55820591,CC BY-SA 4.0,https://stackoverflow.com/questions/55820591/nestjs-jwt-authentication-returns-401,NestJs JWT Authentication returns 401,1593455963.0,,,
5,"['javascript', 'angular', 'typescript', 'routerlink']","{'account_id': 9929563, 'reputation': 317, 'user_id': 7350029, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-6dXjwl9DJ0Y/AAAAAAAAAAI/AAAAAAAACOQ/9pnFRmmbOZs/photo.jpg?sz=256', 'display_name': 'June Lee', 'link': 'https://stackoverflow.com/users/7350029/june-lee'}",True,186,3,-1,1668161653,1555825596,55780230,CC BY-SA 4.0,https://stackoverflow.com/questions/55780230/how-to-add-queryparams-without-routerlink-click-in-angular,How to add queryParams without routerLink Click in angular?,,55780375.0,,
6,"['typescript', 'conditional-types']","{'account_id': 3023967, 'reputation': 1075, 'user_id': 2564384, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/82fe0fe87f876c5c131dd3d155a78855?s=256&d=identicon&r=PG', 'display_name': 'Markus Mauch', 'link': 'https://stackoverflow.com/users/2564384/markus-mauch'}",True,2547,3,5,1667977025,1556277382,55866473,CC BY-SA 4.0,https://stackoverflow.com/questions/55866473/infer-constructor-type-in-typescript,Infer constructor type in TypeScript,,,,
7,"['typescript', 'model', 'loopback', 'v4l2loopback']","{'account_id': 9632162, 'reputation': 13, 'user_id': 11389187, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Ozzla90Ztgg/AAAAAAAAAAI/AAAAAAAAAws/iKGxOvwBHkE/photo.jpg?sz=256', 'display_name': 'Gustavo Leme', 'link': 'https://stackoverflow.com/users/11389187/gustavo-leme'}",True,1098,1,1,1667907297,1555795152,55777839,CC BY-SA 4.0,https://stackoverflow.com/questions/55777839/how-should-model-validation-be-implemented-in-loopback-4,How should Model Validation be implemented in Loopback 4?,,55790004.0,,
8,"['typescript', 'discord.js']","{'account_id': 15784037, 'reputation': 21, 'user_id': 11389436, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6e1a17ca29abb89f7429661370cf9ef0?s=256&d=identicon&r=PG&f=1', 'display_name': 'ptm.rankzy', 'link': 'https://stackoverflow.com/users/11389436/ptm-rankzy'}",False,597,3,1,1667306202,1555803615,55778668,CC BY-SA 4.0,https://stackoverflow.com/questions/55778668/getting-error-when-trying-to-edit-my-bot-message-with-discord-js,Getting error when trying to edit my bot message with discord.js,,,,
9,"['javascript', 'node.js', 'typescript', 'parquet']","{'account_id': 6876934, 'reputation': 11105, 'user_id': 5285068, 'user_type': 'registered', 'accept_rate': 35, 'profile_image': 'https://www.gravatar.com/avatar/8967c033e617a2fb6f7d8fd7b5a12eb5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joe', 'link': 'https://stackoverflow.com/users/5285068/joe'}",False,3959,1,10,1666786480,1554341858,55506633,CC BY-SA 4.0,https://stackoverflow.com/questions/55506633/nodejs-reading-parquet-files,NodeJS - reading Parquet files,,,,
