,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date
0,"['angular', 'typescript', 'inheritance', 'constructor', 'angular7']","{'account_id': 18583394, 'reputation': 461, 'user_id': 13542384, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5tXJc.png?s=256&g=1', 'display_name': 'Sumedh Deshpande', 'link': 'https://stackoverflow.com/users/13542384/sumedh-deshpande'}",True,2723,62710745.0,2,2,1668969275,1593761546,62710569,CC BY-SA 4.0,https://stackoverflow.com/questions/62710569/typescripterror-ts2377-constructors-for-derived-classes-must-contain-a-super,Typescript:error TS2377: Constructors for derived classes must contain a &#39;super&#39; call,,,,
1,"['angular', 'typescript', 'visual-studio', 'npm']","{'account_id': 4995434, 'reputation': 1107, 'user_id': 4016197, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/6nmwr.jpg?s=256&g=1', 'display_name': 'Shane Duffy', 'link': 'https://stackoverflow.com/users/4016197/shane-duffy'}",True,1756,62966560.0,2,1,1668883179,1595061221,62966395,CC BY-SA 4.0,https://stackoverflow.com/questions/62966395/getdisplaymedia-is-not-specified-in-typescript-3-8,getDisplayMedia is not specified in TypeScript 3.8,1595061658.0,,,
2,"['javascript', 'typescript', 'jsdoc', 'ts-check']","{'account_id': 6789847, 'reputation': 111, 'user_id': 5227366, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-nuS_yE8zBFc/AAAAAAAAAAI/AAAAAAAAAB4/1oeSdAnNtTw/photo.jpg?sz=256', 'display_name': 'TrogloGeek', 'link': 'https://stackoverflow.com/users/5227366/troglogeek'}",True,418,,1,3,1668802593,1594829713,62919277,CC BY-SA 4.0,https://stackoverflow.com/questions/62919277/how-to-use-template-in-function-jsdoc-to-create-coherence-between-param-and-ret,How to use @template in function JSDoc to create coherence between param and return type?,,,,
3,"['typescript', 'typescript-generics']","{'account_id': 3709219, 'reputation': 366, 'user_id': 3086979, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/162105e44982d7f0299e9c045c019578?s=256&d=identicon&r=PG&f=1', 'display_name': 'CoderApprentice', 'link': 'https://stackoverflow.com/users/3086979/coderapprentice'}",True,1837,62995606.0,1,2,1668682100,1593541468,62663895,CC BY-SA 4.0,https://stackoverflow.com/questions/62663895/typescript-generic-map-with-keys-of-type-tk-mapping-back-to-t-itself,Typescript generic map with keys of type T[K] mapping back to T itself,1668682100.0,,,
4,"['node.js', 'typescript', 'eslint']","{'account_id': 1620855, 'reputation': 37581, 'user_id': 1497454, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/0a1b529539a71d7255c4215112c8385d?s=256&d=identicon&r=PG', 'display_name': 'omega', 'link': 'https://stackoverflow.com/users/1497454/omega'}",True,55557,,6,73,1668289091,1595863297,63118405,CC BY-SA 4.0,https://stackoverflow.com/questions/63118405/how-to-fix-eslintrc-the-file-does-not-match-your-project-config,How to fix eslintrc The file does not match your project config?,1625971701.0,,,
5,"['reactjs', 'typescript', 'graphql', 'apollo-client']","{'account_id': 487787, 'reputation': 4950, 'user_id': 947111, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/b70Fs.jpg?s=256&g=1', 'display_name': 'Anatoly', 'link': 'https://stackoverflow.com/users/947111/anatoly'}",False,859,,2,0,1668287992,1593932377,62737743,CC BY-SA 4.0,https://stackoverflow.com/questions/62737743/cant-generate-query-files-for-apollo-graphql-client,Can&#39;t generate query files for apollo-graphql client,,,,
6,"['node.js', 'typescript', 'mikro-orm']","{'account_id': 379919, 'reputation': 1572, 'user_id': 733612, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ff84d0941c21059bb8a6cfcc8dfea18d?s=256&d=identicon&r=PG', 'display_name': 'kapv89', 'link': 'https://stackoverflow.com/users/733612/kapv89'}",True,4406,63105865.0,1,1,1668161143,1595742486,63096550,CC BY-SA 4.0,https://stackoverflow.com/questions/63096550/mikro-orm-how-to-get-results-from-queries-with-aggregates-into-their-own-entity,Mikro-orm: How to get results from queries with aggregates into their own entity?,,,,
7,"['javascript', 'reactjs', 'typescript', 'import', 'typescript-typings']","{'account_id': 3615467, 'reputation': 6387, 'user_id': 3015453, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/f3fe064bb6bf87b38149ab3520443490?s=256&d=identicon&r=PG&f=1', 'display_name': 'David Z', 'link': 'https://stackoverflow.com/users/3015453/david-z'}",False,148,,1,0,1668018662,1595785719,63103672,CC BY-SA 4.0,https://stackoverflow.com/questions/63103672/could-not-find-a-declaration-file-for-module-react-tilt,Could not find a declaration file for module &#39;react-tilt&#39;,1595786336.0,,,
8,"['javascript', 'mongodb', 'typescript', 'server', 'typescript-generics']","{'account_id': 18289884, 'reputation': 1570, 'user_id': 13316914, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-xJ4eBxQJuuI/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPiFOos06BXvMVJT5Fa6P0PGgLZIA/photo.jpg?sz=256', 'display_name': 'Jon Hernandez', 'link': 'https://stackoverflow.com/users/13316914/jon-hernandez'}",True,7363,62684359.0,2,4,1667996090,1593632479,62684249,CC BY-SA 4.0,https://stackoverflow.com/questions/62684249/typescript-error-code-2366-function-lacks-ending-return-statement-and-return-t,"Typescript Error code: 2366, Function lacks ending return statement and return type does not include &#39;undefined&#39;",,,,
9,"['reactjs', 'typescript', 'react-native', 'type-conversion', 'formik']","{'account_id': 5769281, 'reputation': 3966, 'user_id': 4553162, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/9281f20accf9593a9f3243eb8fdfa820?s=256&d=identicon&r=PG&f=1', 'display_name': 'mahi-man', 'link': 'https://stackoverflow.com/users/4553162/mahi-man'}",True,1262,,2,5,1667986102,1595829660,63109457,CC BY-SA 4.0,https://stackoverflow.com/questions/63109457/react-native-typescript-formik-cast-event-type,React Native Typescript Formik cast event type,,,,
