,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,closed_date,closed_reason,protected_date
0,"['typescript', 'next.js', 'blockchain', 'ethereum', 'smartcontracts']","{'account_id': 14206439, 'reputation': 21745, 'user_id': 10262805, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/zQvN3.jpg?s=256&g=1', 'display_name': 'Yilmaz', 'link': 'https://stackoverflow.com/users/10262805/yilmaz'}",True,484,72081567.0,1,0,1669194554,1651450709,1669194554.0,72081317,CC BY-SA 4.0,https://stackoverflow.com/questions/72081317/how-to-find-the-type-for-ethereum-provider-and-contract,"How to find the type for ethereum, provider, and contract",,,,,
1,"['node.js', 'typescript', 'nestjs']","{'account_id': 25303303, 'reputation': 21, 'user_id': 19127235, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e7fad3894c37649d1d985c5b0413ff64?s=256&d=identicon&r=PG', 'display_name': 'Shem', 'link': 'https://stackoverflow.com/users/19127235/shem'}",True,1054,72285929.0,1,0,1669012459,1652702943,1669012459.0,72258973,CC BY-SA 4.0,https://stackoverflow.com/questions/72258973/nestjs-interceptor-how-to-get-response-status-code-and-body-after-response-is,NestJS Interceptor - how to get response status code and body after response is end,,,,,
2,"['typescript', 'vue.js', 'vite']","{'user_type': 'does_not_exist', 'display_name': 'user19025657'}",True,1114,72375187.0,1,3,1668996654,1653469379,,72374719,CC BY-SA 4.0,https://stackoverflow.com/questions/72374719/what-does-the-typecheck-npm-script-in-vue-projects-using-vite-and-ts-do,What does the &quot;typecheck&quot; npm script in Vue projects using Vite and TS do?,,,,,
3,"['javascript', 'typescript', 'next.js', 'auth0', 'auth0-connection']","{'account_id': 18513745, 'reputation': 159, 'user_id': 13488334, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/LlKA4.png?s=256&g=1', 'display_name': 'wisenickel', 'link': 'https://stackoverflow.com/users/13488334/wisenickel'}",True,730,72178580.0,2,2,1668893157,1651851467,1652036585.0,72144091,CC BY-SA 4.0,https://stackoverflow.com/questions/72144091/auth0-endpoint-api-auth-me-returns-a-404-error-in-next-js-app,Auth0 Endpoint &quot;api/auth/me&quot; returns a 404 Error in Next.js App,,,,,
4,"['javascript', 'node.js', 'typescript', 'npm', 'yarnpkg']","{'account_id': 24038038, 'reputation': 1, 'user_id': 18018074, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzPN5Va6oN4Re39neDTpA99c8o_HNL2oGjlneJU=k-s256', 'display_name': 'Anonymous Cleric', 'link': 'https://stackoverflow.com/users/18018074/anonymous-cleric'}",False,188,,1,0,1668855579,1653807723,1653820263.0,72421597,CC BY-SA 4.0,https://stackoverflow.com/questions/72421597/how-to-use-package-manager-with-deno,How to use package manager with deno?,,,,,
5,"['typescript', 'xpath', 'cypress', 'snapshot']","{'account_id': 25364243, 'reputation': 21, 'user_id': 19179050, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhccOSWpemfO47r0LBKdTqumKrwKC-mo9bYJ4fR=k-s256', 'display_name': 'Hưng Trần', 'link': 'https://stackoverflow.com/users/19179050/h%c6%b0ng-tr%e1%ba%a7n'}",False,62,,0,2,1668792130,1653562561,1653582100.0,72390687,CC BY-SA 4.0,https://stackoverflow.com/questions/72390687/clip-image-did-not-apply-in-typescript-cypress,Clip image did not apply in typescript cypress,,,,,
6,"['javascript', 'angular', 'typescript', 'angular-transfer-state']","{'account_id': 16954484, 'reputation': 561, 'user_id': 12263245, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/EQva8.jpg?s=256&g=1', 'display_name': 'Chris', 'link': 'https://stackoverflow.com/users/12263245/chris'}",False,232,,1,0,1668710450,1654002062,1654003787.0,72448274,CC BY-SA 4.0,https://stackoverflow.com/questions/72448274/angular-ssr-transferstate-getkey-null-returns-null-while-i-can-see-objets-if,"Angular SSR transferState.get(key, null) returns null while I can see objets if logged (both in in browser)",,,,,
7,"['javascript', 'reactjs', 'typescript', 'next.js']","{'account_id': 25411781, 'reputation': 41, 'user_id': 19219445, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c2d0c8fc6bb2a7cf7cc727dc9fa61872?s=256&d=identicon&r=PG', 'display_name': 'tayyaba', 'link': 'https://stackoverflow.com/users/19219445/tayyaba'}",True,2872,,2,4,1668690649,1653730071,,72414465,CC BY-SA 4.0,https://stackoverflow.com/questions/72414465/error-typeerror-react-namespace-usesyncexternalstore-is-not-a-function,error - TypeError: React__namespace.useSyncExternalStore is not a function,,,,,
8,"['javascript', 'typescript', 'redux', 'react-redux', 'redux-toolkit']","{'account_id': 2426203, 'reputation': 2327, 'user_id': 2118062, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/f9e0c6a01ccf80a550b4d521f1d3a1b9?s=256&d=identicon&r=PG', 'display_name': 'RouteMapper', 'link': 'https://stackoverflow.com/users/2118062/routemapper'}",True,444,,1,2,1668642930,1653793984,,72420654,CC BY-SA 4.0,https://stackoverflow.com/questions/72420654/redux-toolkit-extrareducers-listed-after-reducers-causes-issues-ts2322-error,Redux-Toolkit extraReducers listed after reducers causes issues (TS2322 Error),500.0,1669246952.0,,,
9,"['typescript', 'solana', 'nft', 'metaplex']","{'account_id': 24425036, 'reputation': 5, 'user_id': 18350729, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68205a7fac199f1712457a0d1ef8a398?s=256&d=identicon&r=PG', 'display_name': 'max2lax', 'link': 'https://stackoverflow.com/users/18350729/max2lax'}",True,267,,3,-1,1668613525,1652325951,,72209802,CC BY-SA 4.0,https://stackoverflow.com/questions/72209802/trying-to-run-an-generate-art-configuration-in-metaplex-and-it-keeps-returning-t,trying to run an generate art configuration in metaplex and it keeps returning this. I have tried changing up just about everything,,,,,
