,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason
0,"['typescript', 'next.js']","{'account_id': 13847368, 'reputation': 101, 'user_id': 9996211, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-__PFolbpAyo/AAAAAAAAAAI/AAAAAAAAAAA/AB6qoq2ekO25595O1WnOFKtjlq3KPHiSAA/mo/photo.jpg?sz=256', 'display_name': 'Haobo Zhang', 'link': 'https://stackoverflow.com/users/9996211/haobo-zhang'}",True,525,1,4,1669101803,1635816506,69804450,CC BY-SA 4.0,https://stackoverflow.com/questions/69804450/how-to-build-nextjs-to-es5,How to build NextJS to es5?,,,,
1,"['typescript', 'vue.js', 'vuejs3', 'pinia']","{'account_id': 9901114, 'reputation': 1543, 'user_id': 7331107, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eb38005afef63402c5202085735b99b4?s=256&d=identicon&r=PG&f=1', 'display_name': 'avenmia', 'link': 'https://stackoverflow.com/users/7331107/avenmia'}",True,13192,6,14,1669095872,1635989657,69833591,CC BY-SA 4.0,https://stackoverflow.com/questions/69833591/how-to-set-the-type-for-the-state-object-in-pinia,How to set the type for the state object in pinia?,69834198.0,,,
2,"['typescript', 'vue.js', 'jestjs']","{'account_id': 11949701, 'reputation': 347, 'user_id': 8743714, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ad7550596d6f66751279e865a331fb34?s=256&d=identicon&r=PG&f=1', 'display_name': 'Samantha', 'link': 'https://stackoverflow.com/users/8743714/samantha'}",True,29963,3,16,1669077593,1637163863,70007464,CC BY-SA 4.0,https://stackoverflow.com/questions/70007464/jest-worker-encountered-4-child-process-exceptions-exceeding-retry-limit,"Jest worker encountered 4 child process exceptions, exceeding retry limit",70162841.0,,,
3,"['javascript', 'typescript']","{'account_id': 5972957, 'reputation': 15427, 'user_id': 4694781, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/db2063935189c90374d7d1fc11765bb8?s=256&d=identicon&r=PG&f=1', 'display_name': 'PositiveGuy', 'link': 'https://stackoverflow.com/users/4694781/positiveguy'}",True,27591,3,43,1668895630,1637822945,70106880,CC BY-SA 4.0,https://stackoverflow.com/questions/70106880/err-import-assertion-type-missing-for-import-of-json-file,ERR_IMPORT_ASSERTION_TYPE_MISSING for import of json file,70106896.0,1663344365.0,,
4,"['javascript', 'reactjs', 'typescript', 'next.js']","{'account_id': 11268555, 'reputation': 458, 'user_id': 8264672, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/rUO4m.jpg?s=256&g=1', 'display_name': 'schgab', 'link': 'https://stackoverflow.com/users/8264672/schgab'}",True,2081,2,4,1668862647,1636913416,69965829,CC BY-SA 4.0,https://stackoverflow.com/questions/69965829/how-to-extend-nextpage-type-to-add-custom-field-to-page-component,How to extend NextPage type to add custom field to page component?,69968164.0,1636965291.0,,
5,"['javascript', 'typescript']","{'account_id': 23366368, 'reputation': 31, 'user_id': 17437960, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b0d17d98aff4a391f518fc360227f72?s=256&d=identicon&r=PG', 'display_name': 'user17437960', 'link': 'https://stackoverflow.com/users/17437960/user17437960'}",True,1750,1,2,1668851473,1637151371,70004258,CC BY-SA 4.0,https://stackoverflow.com/questions/70004258/ts2774-this-condition-will-always-return-true-since-this-function-is-always-def,TS2774: This condition will always return true since this function is always defined. Did you mean to call it instead,,,,
6,"['typescript', 'eslint']","{'account_id': 1057897, 'reputation': 18335, 'user_id': 1060205, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/afde4ef61e4dfe26ad08982021e78447?s=256&d=identicon&r=PG', 'display_name': 'Samuel Rossille', 'link': 'https://stackoverflow.com/users/1060205/samuel-rossille'}",False,44,1,1,1668720609,1637527532,70058449,CC BY-SA 4.0,https://stackoverflow.com/questions/70058449/in-typescript-is-it-possible-to-benefit-from-eslint-no-relative-parent-imports,"In typescript, is it possible to benefit from eslint no-relative-parent-imports for values, but still be allowed to import types from parents?",,1668720609.0,,
7,"['javascript', 'node.js', 'angular', 'typescript', 'angular12']","{'account_id': 13592438, 'reputation': 75, 'user_id': 9805413, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/izsme.jpg?s=256&g=1', 'display_name': 'Hemant Kumar', 'link': 'https://stackoverflow.com/users/9805413/hemant-kumar'}",True,25054,6,3,1668681562,1635750955,69793676,CC BY-SA 4.0,https://stackoverflow.com/questions/69793676/error-ng6002-appears-in-the-ngmodule-imports-of-appmodule-but-itself-has-error,"error NG6002: Appears in the NgModule.imports of AppModule, but itself has errors",69793983.0,1635751248.0,,
8,"['reactjs', 'typescript', 'react-router', 'react-router-dom']","{'account_id': 11052482, 'reputation': 1290, 'user_id': 8116413, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/MYoPe.jpg?s=256&g=1', 'display_name': 'Veselin Kontić', 'link': 'https://stackoverflow.com/users/8116413/veselin-konti%c4%87'}",True,64759,6,87,1668459104,1636221881,69866581,CC BY-SA 4.0,https://stackoverflow.com/questions/69866581/property-exact-does-not-exist-on-type,Property &#39;exact&#39; does not exist on type,69866593.0,1636632512.0,,
9,"['typescript', 'fastify']","{'account_id': 14215518, 'reputation': 23, 'user_id': 10269550, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-inhDq3w_quE/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaNZ37bo7jk_hfkwB8Zb9zmOIPYAWQ/mo/photo.jpg?sz=256', 'display_name': 'Alejandro Acevedo', 'link': 'https://stackoverflow.com/users/10269550/alejandro-acevedo'}",True,1268,2,1,1668456128,1635708742,69789949,CC BY-SA 4.0,https://stackoverflow.com/questions/69789949/fastify-typescript-body-unknown,Fastify Typescript: body unknown,,1635709212.0,,
