,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason
0,"['asp.net-mvc', 'angular', 'typescript']","{'account_id': 440619, 'reputation': 363, 'user_id': 830287, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/f830096d6701b34dd66d60132e614c1d?s=256&d=identicon&r=PG', 'display_name': 'AnxiousdeV', 'link': 'https://stackoverflow.com/users/830287/anxiousdev'}",False,5926,3,0,1669152974,1557789993,56121075,CC BY-SA 4.0,https://stackoverflow.com/questions/56121075/tsconfig-buildargument-for-lib-option-must-be-es5,Tsconfig Build:Argument for &#39;--lib&#39; option must be: &#39;es5&#39;,,,,,
1,"['javascript', 'typescript', 'vim', 'eslint', 'prettier']","{'account_id': 6469926, 'reputation': 6872, 'user_id': 5010413, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://graph.facebook.com/1073378492675881/picture?type=large', 'display_name': 'Edgaras Karka', 'link': 'https://stackoverflow.com/users/5010413/edgaras-karka'}",True,52234,11,47,1668783194,1559028945,56337176,CC BY-SA 4.0,https://stackoverflow.com/questions/56337176/prettier-and-eslint-indents-not-working-together,Prettier and eslint indents not working together,,,,,
2,"['reactjs', 'typescript', 'react-hooks', 'react-props']","{'account_id': 242239, 'reputation': 5079, 'user_id': 528617, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/4hEuv.png?s=256&g=1', 'display_name': 'Arnab Datta', 'link': 'https://stackoverflow.com/users/528617/arnab-datta'}",True,48304,6,51,1668699014,1557254179,56028635,CC BY-SA 4.0,https://stackoverflow.com/questions/56028635/passing-usestate-as-props-in-typescript,Passing useState as props in typescript,56028976.0,1557254928.0,,,
3,"['mongodb', 'typescript', 'mongoose', 'nestjs']","{'account_id': 5974702, 'reputation': 327, 'user_id': 4696003, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-cdNzPriDdj0/AAAAAAAAAAI/AAAAAAAAAE4/TVP6JXhutz8/photo.jpg?sz=256', 'display_name': 'EigenFool', 'link': 'https://stackoverflow.com/users/4696003/eigenfool'}",True,8825,3,10,1668098532,1557695301,56103518,CC BY-SA 4.0,https://stackoverflow.com/questions/56103518/what-is-the-proper-way-to-do-seed-mongodb-in-nestjs-using-mongoose-and-taking-a,"What is the proper way to do seed mongoDB in NestJS, using mongoose and taking advantage of my already defined schmas",57551638.0,,,,
4,"['json', 'excel', 'angular', 'typescript']","{'account_id': 15966930, 'reputation': 65, 'user_id': 11522246, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5b141249b3ccc301652a51565bf4ecb1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Harshita', 'link': 'https://stackoverflow.com/users/11522246/harshita'}",True,3792,1,0,1667558655,1558231392,56204197,CC BY-SA 4.0,https://stackoverflow.com/questions/56204197/export-json-data-to-an-excel-file-using-angular-4,Export Json data to an excel file using Angular 4,56204327.0,1558260887.0,,,
5,"['angular', 'typescript', 'angular6', 'angular7']","{'account_id': 13219232, 'reputation': 61, 'user_id': 9546610, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-WYii1Plwot4/AAAAAAAAAAI/AAAAAAAAAAc/ZwA052HtDyg/photo.jpg?sz=256', 'display_name': 'Sahil Bhatoa', 'link': 'https://stackoverflow.com/users/9546610/sahil-bhatoa'}",False,2171,2,5,1667329239,1558726072,56298571,CC BY-SA 4.0,https://stackoverflow.com/questions/56298571/error-ts2563-the-containing-function-or-module-body-is-too-large-for-control-fl,Error TS2563: The containing function or module body is too large for control flow analysis,,,,,
6,"['typescript', 'jestjs']","{'account_id': 9737837, 'reputation': 1682, 'user_id': 7220501, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/X2RC3.jpg?s=256&g=1', 'display_name': 'James Mulholland', 'link': 'https://stackoverflow.com/users/7220501/james-mulholland'}",True,5076,4,8,1667328082,1557834435,56129718,CC BY-SA 4.0,https://stackoverflow.com/questions/56129718/how-to-allow-partial-typescript-types-when-mocking-functions-jest-typescript,"How to allow partial TypeScript types when mocking functions - Jest, TypeScript",56131371.0,1557838558.0,,,
7,['typescript'],"{'account_id': 3873585, 'reputation': 9351, 'user_id': 3208258, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/5b88af612572dc21d9c5e80dbc841c94?s=256&d=identicon&r=PG', 'display_name': 'alepeino', 'link': 'https://stackoverflow.com/users/3208258/alepeino'}",True,181,3,2,1667269186,1559248730,56385324,CC BY-SA 4.0,https://stackoverflow.com/questions/56385324/typescript-declaring-a-callable-type-as-a-class-method-type,TypeScript: Declaring a callable type as a class method type,,,,,
8,"['angular', 'typescript', 'primeng']","{'account_id': 11056968, 'reputation': 87, 'user_id': 9534586, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1c03f81dca528019d570d90b6ec00083?s=256&d=identicon&r=PG', 'display_name': 'user8119542', 'link': 'https://stackoverflow.com/users/9534586/user8119542'}",True,2433,4,3,1666628784,1559307383,56395537,CC BY-SA 4.0,https://stackoverflow.com/questions/56395537/how-to-apply-mask-behavior-in-primeng-calendar-p-calendar,How to apply mask behavior in primeng calendar (p-calendar)?,,1651088751.0,,,
9,"['typescript', 'react-native', 'fonts']","{'account_id': 14592239, 'reputation': 113, 'user_id': 10538999, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4542cd0652667b2a2f1c6f7a7d7599b1?s=256&d=identicon&r=PG&f=1', 'display_name': 'matteog', 'link': 'https://stackoverflow.com/users/10538999/matteog'}",True,657,1,4,1666504073,1558088141,56184341,CC BY-SA 4.0,https://stackoverflow.com/questions/56184341/how-can-i-ignore-operating-system-font-in-react-native,How can I ignore operating system font in react-native?,,1558096659.0,,,
