,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,locked_date
0,"['javascript', 'node.js', 'angular', 'typescript', 'bpmn.io']","{'account_id': 8992042, 'reputation': 129, 'user_id': 6703591, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5b750c66ef51b8401bf1c85af6d6d368?s=256&d=identicon&r=PG&f=1', 'display_name': 'Animesh Rawat', 'link': 'https://stackoverflow.com/users/6703591/animesh-rawat'}",False,258,0,1,1669190267,1604915004,64749181,CC BY-SA 4.0,https://stackoverflow.com/questions/64749181/unable-to-use-bpmn-js-bpmn-viewer-js-differ-js-and-change-handler-js-files-in,"Unable to use bpmn.js, bpmn-viewer.js, differ.js and change-handler.js files in angular project",,,,,,
1,"['javascript', 'reactjs', 'typescript', 'create-react-app']","{'account_id': 5002719, 'reputation': 2363, 'user_id': 4021213, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/HGDTv.jpg?s=256&g=1', 'display_name': 'Rafael', 'link': 'https://stackoverflow.com/users/4021213/rafael'}",True,119869,9,172,1669113620,1604371064,64656055,CC BY-SA 4.0,https://stackoverflow.com/questions/64656055/react-refers-to-a-umd-global-but-the-current-file-is-a-module,"&#39;React&#39; refers to a UMD global, but the current file is a module",64677253.0,1655841078.0,,,,
2,"['typescript', 'server', 'model', 'client']","{'account_id': 15755132, 'reputation': 591, 'user_id': 11368518, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/6nWs5.jpg?s=256&g=1', 'display_name': 'Steven Soekha', 'link': 'https://stackoverflow.com/users/11368518/steven-soekha'}",True,9315,3,21,1668868696,1606521353,65045106,CC BY-SA 4.0,https://stackoverflow.com/questions/65045106/share-types-between-client-and-server,Share types between client and server,,,,,,
3,"['json', 'typescript', 'firebase', 'npm', 'google-cloud-functions']","{'account_id': 14160630, 'reputation': 456, 'user_id': 14391752, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/uHuME.png?s=256&g=1', 'display_name': 'NCT 127', 'link': 'https://stackoverflow.com/users/14391752/nct-127'}",True,5626,8,11,1668824949,1606088073,64960780,CC BY-SA 4.0,https://stackoverflow.com/questions/64960780/functions-lib-functions-src-index-ts-does-not-exist-cant-deploy-cloud-function,"functions/lib/functions/src/index.ts does not exist, can&#39;t deploy Cloud Functions",64996734.0,1606263103.0,,,,
4,"['reactjs', 'typescript', 'visual-studio-code', 'create-react-app', 'yarnpkg']","{'account_id': 18921592, 'reputation': 512, 'user_id': 13805550, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggx_8sNZ_vs9cQvxvS54fyHKFlDBdtXS5v33d3O=k-s256', 'display_name': 'Amir Fakhim Babaei', 'link': 'https://stackoverflow.com/users/13805550/amir-fakhim-babaei'}",True,147227,9,45,1668708822,1604784537,64732623,CC BY-SA 4.0,https://stackoverflow.com/questions/64732623/react-typescript-cannot-find-module-or-its-corresponding-type-declaration,"React, Typescript - Cannot find module ... or its corresponding type declarations",,1638064498.0,,,,
5,['typescript'],"{'account_id': 809904, 'reputation': 1646, 'user_id': 911691, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://graph.facebook.com/100000370627011/picture?type=large', 'display_name': 'Steven', 'link': 'https://stackoverflow.com/users/911691/steven'}",False,21,1,0,1668696009,1605369791,64835875,CC BY-SA 4.0,https://stackoverflow.com/questions/64835875/how-do-i-tell-typescript-to-never-use-absolute-paths-except-for-node-modules,How do I tell Typescript to never use absolute paths except for node_modules?,,,,,,
6,"['reactjs', 'typescript', 'onclick', 'react-hooks', 'mapbox-gl-js']","{'account_id': 14202891, 'reputation': 112, 'user_id': 10260325, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b687163fefc9e19e2c3b0f0c637c82d2?s=256&d=identicon&r=PG&f=1', 'display_name': 'habbahans', 'link': 'https://stackoverflow.com/users/10260325/habbahans'}",True,666,1,3,1668198733,1605655134,64884804,CC BY-SA 4.0,https://stackoverflow.com/questions/64884804/click-handler-on-mapboxgl-not-respondig-to-updated-state-using-react-hooks-with,Click handler on mapboxGL not respondig to updated state using react hooks with typescript,,,,,,
7,"['angular', 'typescript', 'testing', 'jasmine', 'primeng']","{'user_type': 'does_not_exist', 'display_name': 'user13628229'}",False,1146,1,1,1668183602,1604986044,64763356,CC BY-SA 4.0,https://stackoverflow.com/questions/64763356/angular-10-unit-testing-primeng-p-dropdown-with-2-way-data-binding,Angular 10 Unit Testing PrimeNG p-dropdown with 2-Way Data Binding,,1606121602.0,,,,
8,['typescript'],"{'account_id': 191248, 'reputation': 6876, 'user_id': 431715, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/88DkD.jpg?s=256&g=1', 'display_name': 'Marcus Riemer', 'link': 'https://stackoverflow.com/users/431715/marcus-riemer'}",True,159,3,1,1668015649,1605703739,64893473,CC BY-SA 4.0,https://stackoverflow.com/questions/64893473/specifying-type-of-value-without-specifying-type-of-key-for-object,Specifying type of value without specifying type of key for object,,1614324321.0,,,,
9,"['angular', 'typescript', 'strong-typing']","{'account_id': 1333944, 'reputation': 2669, 'user_id': 1277159, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/oGFIg.jpg?s=256&g=1', 'display_name': 'guzmanoj', 'link': 'https://stackoverflow.com/users/1277159/guzmanoj'}",True,386,2,5,1667565193,1605858833,64925701,CC BY-SA 4.0,https://stackoverflow.com/questions/64925701/how-to-infer-the-right-types-of-components-input,How to infer the right types of component&#39;s @Input,74317140.0,1605864583.0,,,,
