,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason
0,"['javascript', 'angular', 'typescript']","{'account_id': 11980914, 'reputation': 269, 'user_id': 8766814, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d79a3d76b20345615908a383040083ac?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lennart Thamm', 'link': 'https://stackoverflow.com/users/8766814/lennart-thamm'}",True,692,57094349.0,5,3,1669114814,1563451640,1563456338.0,57094094,CC BY-SA 4.0,https://stackoverflow.com/questions/57094094/how-to-synchronize-http-get-requests-in-angular-when-the-second-request-depends,"How to synchronize http.get requests in Angular, when the second request depends on the first one?",,
1,"['javascript', 'node.js', 'mongodb', 'typescript', 'mongoose']","{'account_id': 1209092, 'reputation': 4909, 'user_id': 1178000, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/YL6KD.jpg?s=256&g=1', 'display_name': 'YardenST', 'link': 'https://stackoverflow.com/users/1178000/yardenst'}",False,2017,,3,5,1668839298,1564146365,,57220703,CC BY-SA 4.0,https://stackoverflow.com/questions/57220703/mongoose-loadclass-issue-with-typescript,Mongoose loadClass issue with TypeScript,,
2,"['angular', 'typescript']","{'account_id': 6683669, 'reputation': 3950, 'user_id': 5155835, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/3d51608584fba7f32d1dc74d120b89ef?s=256&d=identicon&r=PG&f=1', 'display_name': 'user5155835', 'link': 'https://stackoverflow.com/users/5155835/user5155835'}",True,204955,57216166.0,17,169,1668692295,1564129883,,57216110,CC BY-SA 4.0,https://stackoverflow.com/questions/57216110/the-angular-compiler-requires-typescript-3-4-0-and-3-5-0-but-3-5-3-was-found,The Angular Compiler requires TypeScript &gt;=3.4.0 and &lt;3.5.0 but 3.5.3 was found instead,,
3,"['json', 'angular', 'typescript']","{'account_id': 7812454, 'reputation': 178, 'user_id': 5908260, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://lh3.googleusercontent.com/-rDBYEIZJFVY/AAAAAAAAAAI/AAAAAAAAABM/4APj8cfDFyU/photo.jpg?sz=256', 'display_name': 'Akhil RJ', 'link': 'https://stackoverflow.com/users/5908260/akhil-rj'}",False,167,,2,0,1668586251,1562250570,1668582756.0,56890051,CC BY-SA 4.0,https://stackoverflow.com/questions/56890051/convert-dictionary-json-to-typescript-model,Convert Dictionary JSON to Typescript model,,
4,"['typescript', 'azure']","{'account_id': 13251556, 'reputation': 1002, 'user_id': 9568927, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/NOMMZ.jpg?s=256&g=1', 'display_name': 'Sudharshan Nair', 'link': 'https://stackoverflow.com/users/9568927/sudharshan-nair'}",True,14475,,11,6,1668573558,1562221131,1562240322.0,56881688,CC BY-SA 4.0,https://stackoverflow.com/questions/56881688/could-not-find-the-task-func-host-start,Could not find the Task &#39;func : host start&#39;,,
5,"['angular', 'typescript']","{'account_id': 13910256, 'reputation': 359, 'user_id': 10977489, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9797b8d1bd004cfdc3e577a6482b8906?s=256&d=identicon&r=PG&f=1', 'display_name': 'Muhammad Ali', 'link': 'https://stackoverflow.com/users/10977489/muhammad-ali'}",True,2241,56847346.0,5,-1,1668461808,1562051308,,56847085,CC BY-SA 4.0,https://stackoverflow.com/questions/56847085/angular-6-input-form-validation,Angular 6 input form validation,,
6,"['mysql', 'typescript', 'docker', 'nestjs', 'typeorm']","{'account_id': 12411960, 'reputation': 123, 'user_id': 9043642, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-2wjdm_GhFTk/AAAAAAAAAAI/AAAAAAAAAN0/6jLlFgrxAHg/photo.jpg?sz=256', 'display_name': 'Mikolaj Figurski', 'link': 'https://stackoverflow.com/users/9043642/mikolaj-figurski'}",False,7776,,3,1,1667628035,1562088654,,56857479,CC BY-SA 4.0,https://stackoverflow.com/questions/56857479/nestjs-typeorm-cant-create-entity,NestJS typeorm - can&#39;t create entity,,
7,"['typescript', 'types']","{'account_id': 11010625, 'reputation': 325, 'user_id': 8431001, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/23396f07b186686733ca6899622e5a26?s=256&d=identicon&r=PG&f=1', 'display_name': '920smmsmsms', 'link': 'https://stackoverflow.com/users/8431001/920smmsmsms'}",True,10443,,5,17,1667427446,1563924788,,57173433,CC BY-SA 4.0,https://stackoverflow.com/questions/57173433/the-left-hand-side-of-a-for-in-statement-cannot-use-a-type-annotation,The left-hand side of a &#39;for...in&#39; statement cannot use a type annotation,,
8,"['javascript', 'typescript', 'typeorm']","{'account_id': 16019804, 'reputation': 295, 'user_id': 11561561, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ef6c19b29e87794dd811ebd6182c4785?s=256&d=identicon&r=PG&f=1', 'display_name': 'promiseREact5', 'link': 'https://stackoverflow.com/users/11561561/promisereact5'}",True,81322,56971986.0,3,29,1667337573,1562739152,,56964351,CC BY-SA 4.0,https://stackoverflow.com/questions/56964351/select-attributes-on-repository-find-with-relations-typeorm,Select attributes on repository.find() with relations (TypeORM),,
9,"['javascript', 'angular', 'typescript', 'webpack', 'es6-class']","{'account_id': 8428, 'reputation': 4817, 'user_id': 15186, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/y5hs4.jpg?s=256&g=1', 'display_name': 'Olivier MATROT', 'link': 'https://stackoverflow.com/users/15186/olivier-matrot'}",True,96191,59424454.0,11,63,1667058077,1562158519,1562231937.0,56870661,CC BY-SA 4.0,https://stackoverflow.com/questions/56870661/angular-7-2-1-es6-class-referenceerror-cannot-access-x-before-initializatio,Angular: 7.2.1 ES6 class ReferenceError : Cannot access &#39;X&#39; before initialization,,
