,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['angular', 'typescript', 'ngx-pagination']","{'account_id': 17326545, 'reputation': 326, 'user_id': 12550643, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8972751828ab0b2406db8413219c85bd?s=256&d=identicon&r=PG&f=1', 'display_name': 'zafer', 'link': 'https://stackoverflow.com/users/12550643/zafer'}",True,204,2,1,1669189562,1661036259,73430614,CC BY-SA 4.0,https://stackoverflow.com/questions/73430614/ngx-pagination-for-observable-array,ngx pagination for Observable array,,,,,
1,"['node.js', 'typescript']","{'account_id': 541477, 'reputation': 268, 'user_id': 910046, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/1eeab1009c86f6608f7dc61b121ac864?s=256&d=identicon&r=PG', 'display_name': 'user910046', 'link': 'https://stackoverflow.com/users/910046/user910046'}",True,283,2,3,1669147856,1660259884,73327767,CC BY-SA 4.0,https://stackoverflow.com/questions/73327767/typescript-and-subpath-imports,Typescript and Subpath Imports,,,,,
2,"['node.js', 'typescript', 'es6-modules']","{'account_id': 3237, 'reputation': 185897, 'user_id': 4639, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/a9eaafb332f36840447f60dd85b94d19?s=256&d=identicon&r=PG', 'display_name': 'Edward Tanguay', 'link': 'https://stackoverflow.com/users/4639/edward-tanguay'}",False,227,2,-1,1669128270,1661193341,73449628,CC BY-SA 4.0,https://stackoverflow.com/questions/73449628/how-to-force-typescript-in-node-to-not-require-js-extension-when-importing-es6,How to force TypeScript in Node to not require .js extension when importing ES6 modules?,1661245774.0,,,,
3,"['typescript', 'redux-toolkit']","{'account_id': 26133622, 'reputation': 11, 'user_id': 19823949, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/34b7b09c7d4d092f7657f8044ee25d49?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joeri Brinks', 'link': 'https://stackoverflow.com/users/19823949/joeri-brinks'}",False,111,2,1,1669050097,1661205451,73451395,CC BY-SA 4.0,https://stackoverflow.com/questions/73451395/typescript-error-ts2345-argument-of-type-dispatch-dispatch-promisevoid,Typescript error: TS2345: Argument of type &#39;(dispatch: Dispatch) =&gt; Promise&lt;void&gt;&#39; is not assignable to parameter of type &#39;AnyAction&#39;,,,,,
4,"['typescript', 'eslint', 'svelte', 'sveltekit']","{'account_id': 9074311, 'reputation': 359, 'user_id': 6756432, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://lh5.googleusercontent.com/-pgcmOBuNYoA/AAAAAAAAAAI/AAAAAAAAAWI/Jn1s0ZLqUwI/photo.jpg?sz=256', 'display_name': 'Anton &#214;dman', 'link': 'https://stackoverflow.com/users/6756432/anton-%c3%96dman'}",False,2746,3,1,1669032750,1659342180,73190800,CC BY-SA 4.0,https://stackoverflow.com/questions/73190800/cannot-find-module-or-its-corresponding-type-declarations-js2307-when-im,Cannot find module [...] or its corresponding type declarations (js2307) when importing from &quot;$lib&quot; with SvelteKit,1659343092.0,,,,
5,"['typescript', 'svelte', 'sveltekit']","{'account_id': 4441086, 'reputation': 2389, 'user_id': 3615605, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/vBNcE.jpg?s=256&g=1', 'display_name': 'MathankumarK', 'link': 'https://stackoverflow.com/users/3615605/mathankumark'}",True,604,2,6,1668971258,1661006956,73427629,CC BY-SA 4.0,https://stackoverflow.com/questions/73427629/sveltekit-api-response-data-pagedata-not-updated-after-initial-render,SvelteKit - api response data (PageData) not updated after initial render,1661008250.0,73708009.0,,,
6,"['javascript', 'typescript', 'solid-js']","{'account_id': 23707995, 'reputation': 139, 'user_id': 17730226, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1f5270814ad60f48c24951772f47eade?s=256&d=identicon&r=PG', 'display_name': 'clencat', 'link': 'https://stackoverflow.com/users/17730226/clencat'}",True,67,2,3,1668940562,1661140615,73440069,CC BY-SA 4.0,https://stackoverflow.com/questions/73440069/how-to-listen-to-only-a-certain-value-of-an-object-in-solid-js,How to listen to only a certain value of an object in solid-js?,1661498416.0,73872077.0,,,
7,"['typescript', 'rust', 'webassembly', 'wasm-bindgen', 'wasm-pack']","{'account_id': 5345591, 'reputation': 579, 'user_id': 4492495, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/541d097065e9a9c44c7e0836046cc771?s=256&d=identicon&r=PG&f=1', 'display_name': 'mastro', 'link': 'https://stackoverflow.com/users/4492495/mastro'}",False,293,1,1,1668836266,1661293262,73465599,CC BY-SA 4.0,https://stackoverflow.com/questions/73465599/rust-wasm-constructor-uncaught-typeerror-cannot-read-properties-of-undefined,Rust Wasm constructor - Uncaught TypeError: Cannot read properties of undefined,1661294665.0,,,,
8,"['javascript', 'typescript', 'amazon-web-services', 'aws-cdk', 'transpiler']","{'account_id': 11835674, 'reputation': 1086, 'user_id': 8661071, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/182290d977f1f9fdaa010fe8a60f276e?s=256&d=identicon&r=PG&f=1', 'display_name': 'MasterOfTheHouse', 'link': 'https://stackoverflow.com/users/8661071/masterofthehouse'}",True,348,1,0,1668611336,1660181954,73314391,CC BY-SA 4.0,https://stackoverflow.com/questions/73314391/aws-cdk-yarn-synth-o-tmp-artifacts-returning-error-enoent-no-such-file-or-dir,"aws-cdk yarn synth -o /tmp/artifacts returning error ENOENT: no such file or directory, open &#39;/tmp/artifacts/manifest.json&#39;",1660241367.0,73325197.0,,,
9,"['typescript', 'svelte', 'sveltekit', 'svelte-3']","{'account_id': 23158029, 'reputation': 3, 'user_id': 17259033, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f94c9d444306cb2cf1440e3c99238c5?s=256&d=identicon&r=PG', 'display_name': 'Posejdos', 'link': 'https://stackoverflow.com/users/17259033/posejdos'}",True,1656,3,0,1668524496,1660495503,73353392,CC BY-SA 4.0,https://stackoverflow.com/questions/73353392/cannot-access-buffer-buffer-in-client-code-svelte-with-userbase,Cannot access &quot;buffer.Buffer&quot; in client code (Svelte with Userbase),,73429279.0,,,
