,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,accepted_answer_id,closed_reason
0,"['reactjs', 'typescript', 'solidity', 'web3js']","{'account_id': 21756109, 'reputation': 21, 'user_id': 16061447, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5afd66bd4c0e1dae855b3bbd24b8a3b2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Padma Shruthi', 'link': 'https://stackoverflow.com/users/16061447/padma-shruthi'}",False,144,0,0,1669153401,1622726949,1669153401.0,67822402,CC BY-SA 4.0,https://stackoverflow.com/questions/67822402/decentralized-application,Decentralized application,,,
1,"['html', 'reactjs', 'typescript', 'webrtc', 'capturestream']","{'account_id': 17993335, 'reputation': 731, 'user_id': 13076945, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhNl2d6arYh7cEgzgr0xCQEjSkEzUtPX4qELrLGug=k-s256', 'display_name': 'Nithin Sai', 'link': 'https://stackoverflow.com/users/13076945/nithin-sai'}",True,1246,2,3,1668904442,1624087929,1668904442.0,68044611,,https://stackoverflow.com/questions/68044611/property-capturestream-does-not-exist-on-type-htmlvideoelement,Property &#39;captureStream&#39; does not exist on type &#39;HTMLVideoElement&#39;,1624107773.0,68044674.0,Duplicate
2,['typescript'],"{'account_id': 1223495, 'reputation': 1576, 'user_id': 1189625, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/bcbea1285daaef4aba41253d54c87c6e?s=256&d=identicon&r=PG', 'display_name': 'gillyspy', 'link': 'https://stackoverflow.com/users/1189625/gillyspy'}",False,46,1,0,1668823989,1623285758,1668823989.0,67913226,CC BY-SA 4.0,https://stackoverflow.com/questions/67913226/enums-as-keys-for-types-should-this-be-a-record-why,Enums as Keys for Types ... should this be a record. Why?,,,
3,"['typescript', 'unit-testing', 'jestjs', 'navigator', 'ts-jest']","{'account_id': 10729089, 'reputation': 93, 'user_id': 7895726, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/46cfc73fb65923bae743a08f38c2e5c1?s=256&d=identicon&r=PG&f=1', 'display_name': 'ChrisB', 'link': 'https://stackoverflow.com/users/7895726/chrisb'}",True,1541,1,4,1668806939,1622634933,1622938264.0,67804625,CC BY-SA 4.0,https://stackoverflow.com/questions/67804625/how-to-mock-window-navigator-language-in-jest-27,How to mock window.navigator.language in jest 27,,67854825.0,
4,"['javascript', 'typescript', 'cypress']","{'account_id': 17651019, 'reputation': 675, 'user_id': 12811479, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mC4NpJ4nOLN8ABk87e9Nma5rLf-A5-qK6RNH7-O_Q=k-s256', 'display_name': 'Nidhi Dadiya', 'link': 'https://stackoverflow.com/users/12811479/nidhi-dadiya'}",True,315,1,2,1668594453,1623849328,,68003424,CC BY-SA 4.0,https://stackoverflow.com/questions/68003424/change-directory-in-cypress-using-cy-exec,Change directory in Cypress using cy.exec(),,,
5,"['css', 'angular', 'typescript', 'angular-material']","{'account_id': 6532591, 'reputation': 1852, 'user_id': 5053275, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/eed7a51054498f17e353060be3b8047e?s=256&d=identicon&r=PG&f=1', 'display_name': 'user123456789', 'link': 'https://stackoverflow.com/users/5053275/user123456789'}",True,296,2,0,1668279927,1623159039,1623160920.0,67887997,CC BY-SA 4.0,https://stackoverflow.com/questions/67887997/increase-size-of-mat-select-but-not-change-mat-form-field,Increase size of mat-select but not change mat-form-field?,,,
6,"['javascript', 'angular', 'typescript', 'class', 'oop']","{'account_id': 16960825, 'reputation': 95, 'user_id': 12268017, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/3000911949936257/picture?type=large', 'display_name': 'Mor Bargig', 'link': 'https://stackoverflow.com/users/12268017/mor-bargig'}",True,4613,4,3,1668198489,1623941920,1643824959.0,68021829,CC BY-SA 4.0,https://stackoverflow.com/questions/68021829/i-want-to-extend-from-one-class-but-delete-some-property,i want to extend from one class but delete some property,,70362655.0,
7,"['javascript', 'typescript']","{'account_id': 8897902, 'reputation': 357, 'user_id': 6642245, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/5957caa283cbda867dcfbdc78089b7eb?s=256&d=identicon&r=PG&f=1', 'display_name': 'CodeG', 'link': 'https://stackoverflow.com/users/6642245/codeg'}",True,10839,4,2,1668105207,1623178754,,67893052,CC BY-SA 4.0,https://stackoverflow.com/questions/67893052/typescript-argument-of-type-never-is-not-assignable-to-parameter-of-type-setst,Typescript Argument of type never[] is not assignable to parameter of type SetStateAction&lt;never[]&gt;,,67894399.0,
8,"['reactjs', 'typescript', 'react-native', 'visual-studio-code', '.npmrc']","{'account_id': 22071945, 'reputation': 1, 'user_id': 16332818, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwfqPhJtF6u9Hs58R0kLiEa5kn_KH768x7IwaiP=k-s256', 'display_name': 'Savitha DG', 'link': 'https://stackoverflow.com/users/16332818/savitha-dg'}",False,439,1,0,1668095727,1624873106,1624976116.0,68161013,CC BY-SA 4.0,https://stackoverflow.com/questions/68161013/getting-error-while-i-am-trying-to-run-npm-install,Getting error while i am trying to run &quot;npm install&quot;,,,
9,"['html', 'reactjs', 'typescript']","{'account_id': 1975776, 'reputation': 2512, 'user_id': 1773592, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/6f0349bd99a58e30ae88b11111696144?s=256&d=identicon&r=PG', 'display_name': 'schoon', 'link': 'https://stackoverflow.com/users/1773592/schoon'}",True,570,3,1,1667987769,1623663567,,67967973,CC BY-SA 4.0,https://stackoverflow.com/questions/67967973/in-react-how-do-i-automatically-open-another-page,In react how do I automatically open another page?,,67969269.0,
