,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,migrated_from,closed_date,closed_reason
0,"['angular', 'typescript']","{'account_id': 19211841, 'reputation': 133, 'user_id': 14037500, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-ujLxJRPmW2M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-BPJaMfJO6tjwtwj_-Epzsxg4DQ/photo.jpg?sz=256', 'display_name': 'oni3619', 'link': 'https://stackoverflow.com/users/14037500/oni3619'}",True,1801,66957487.0,4,0,1669197289,1617642147,66956773,CC BY-SA 4.0,https://stackoverflow.com/questions/66956773/remove-duplicate-objects-from-an-array,Remove duplicate objects from an Array,,,,
1,"['javascript', 'reactjs', 'typescript', 'material-ui']","{'account_id': 18797610, 'reputation': 1353, 'user_id': 13708712, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2692812710955373/picture?type=large', 'display_name': 'Abdullah Ch', 'link': 'https://stackoverflow.com/users/13708712/abdullah-ch'}",True,9832,,5,6,1669027899,1618207306,67053345,CC BY-SA 4.0,https://stackoverflow.com/questions/67053345/could-not-find-a-declaration-file-for-module-react-jsx-runtime,Could not find a declaration file for module &#39;react/jsx-runtime&#39;,,,,
2,"['angular', 'typescript', 'angular-event-emitter']","{'account_id': 1136458, 'reputation': 3889, 'user_id': 1652954, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/83d5340f3b1db864197d6690d8fa949b?s=256&d=identicon&r=PG', 'display_name': 'LetsamrIt', 'link': 'https://stackoverflow.com/users/1652954/letsamrit'}",True,32709,66938477.0,6,10,1669027039,1617515898,66938398,CC BY-SA 4.0,https://stackoverflow.com/questions/66938398/argument-of-type-event-is-not-assignable-to-parameter-of-type-string,Argument of type &#39;Event&#39; is not assignable to parameter of type &#39;string&#39;,1641486944.0,,,
3,"['javascript', 'typescript', 'graphql-codegen']","{'account_id': 15129720, 'reputation': 360, 'user_id': 10917982, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/l8Hpk.png?s=256&g=1', 'display_name': 'tmc', 'link': 'https://stackoverflow.com/users/10917982/tmc'}",True,3939,66989855.0,2,3,1668612705,1617810468,66989605,CC BY-SA 4.0,https://stackoverflow.com/questions/66989605/convert-maybestring-to-string,Convert Maybe&lt;string&gt;[]&#39; to &#39;string[],,,,
4,"['reactjs', 'typescript', 'redux', 'redux-saga']","{'account_id': 12663691, 'reputation': 402, 'user_id': 9203720, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-SI38a5Nvl3I/AAAAAAAAAAI/AAAAAAAAAA8/Udon53GUiEU/photo.jpg?sz=256', 'display_name': 'Aleksander Sil', 'link': 'https://stackoverflow.com/users/9203720/aleksander-sil'}",True,7387,66895666.0,2,5,1668420441,1617218185,66893967,CC BY-SA 4.0,https://stackoverflow.com/questions/66893967/typing-generator-functions-in-redux-saga-with-typescript,Typing generator functions in Redux-Saga with Typescript,,,,
5,"['typescript', 'google-cloud-platform', 'dockerfile', 'eslint', 'google-cloud-build']","{'account_id': 5572824, 'reputation': 314, 'user_id': 4417425, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/84da62f0f839885f62c3a326dcd95c35?s=256&d=identicon&r=PG&f=1', 'display_name': 'Royal', 'link': 'https://stackoverflow.com/users/4417425/royal'}",False,7666,,2,3,1668243845,1618474859,67104770,CC BY-SA 4.0,https://stackoverflow.com/questions/67104770/how-to-solve-failed-to-load-config-airbnb-typescript-to-extend-from-on-goog,How to solve &quot;Failed to load config &quot;airbnb-typescript&quot; to extend from.&quot; on Google Cloud Build?,1634158348.0,,,
6,['typescript'],"{'account_id': 2910186, 'reputation': 896, 'user_id': 2908277, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7b221a85924deb9ea782adde851df368?s=256&d=identicon&r=PG', 'display_name': 'Ardeshir Izadi', 'link': 'https://stackoverflow.com/users/2908277/ardeshir-izadi'}",True,83,,2,1,1668097463,1618988470,67190764,CC BY-SA 4.0,https://stackoverflow.com/questions/67190764/typescript-function-includes-must-take-same-type-parameter,TypeScript: function `includes` must take same type parameter,,,,
7,"['node.js', 'typescript', 'jestjs', 'nestjs', 'nestjs-testing']","{'account_id': 14761942, 'reputation': 93, 'user_id': 10661026, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ba76e6a25d856146835ab91a84623a5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gowtham Raj', 'link': 'https://stackoverflow.com/users/10661026/gowtham-raj'}",False,1060,,2,0,1668069800,1618998294,67193257,CC BY-SA 4.0,https://stackoverflow.com/questions/67193257/how-to-test-timeout-interceptor-in-nestjs-using-jest,How to Test Timeout Interceptor in Nestjs Using Jest,,,,
8,"['typescript', 'vuejs3']","{'account_id': 21189858, 'reputation': 319, 'user_id': 15582528, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-I4TKJ-89jAA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrlE3JznmiGBoRi-rDMIG-WWosAg/s96-c/photo.jpg?sz=256', 'display_name': 'Nico Sauza', 'link': 'https://stackoverflow.com/users/15582528/nico-sauza'}",False,7517,,2,13,1668024070,1618403472,67091822,CC BY-SA 4.0,https://stackoverflow.com/questions/67091822/what-is-the-meaning-of-options-in-vue-3-with-class-component,What is the meaning of @Options in Vue 3 with class-component?,1632196915.0,,,
9,"['html', 'angularjs', 'typescript', 'firebase', 'ionic-framework']","{'account_id': 17383941, 'reputation': 51, 'user_id': 12595644, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7653b54b11bb34b14ea748feec2c8bab?s=256&d=identicon&r=PG&f=1', 'display_name': '123', 'link': 'https://stackoverflow.com/users/12595644/123'}",True,204,,1,1,1667981200,1617887005,67004577,CC BY-SA 4.0,https://stackoverflow.com/questions/67004577/how-to-implement-a-lazy-loading-on-ion-card,How to implement a lazy loading on Ion-card,,,,
