,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date
0,"['angular', 'typescript']","{'account_id': 936456, 'reputation': 3166, 'user_id': 965302, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://www.gravatar.com/avatar/aaa35c04e33207b424fd6ee48f024e6d?s=256&d=identicon&r=PG', 'display_name': 'coolblue2000', 'link': 'https://stackoverflow.com/users/965302/coolblue2000'}",False,10977,2,0,1668949500,1552648241,55181298,CC BY-SA 4.0,https://stackoverflow.com/questions/55181298/type-is-missing-the-following-properties-from-type,Type is missing the following properties from type,,,,,
1,"['typescript', 'multiple-inheritance', 'encapsulation', 'mixins']","{'account_id': 9987217, 'reputation': 512, 'user_id': 7387935, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a4a70abe43c5848a956861fa903e12e2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Florian Bachmann', 'link': 'https://stackoverflow.com/users/7387935/florian-bachmann'}",True,2435,2,4,1668785030,1553002114,55242196,CC BY-SA 4.0,https://stackoverflow.com/questions/55242196/typescript-allows-to-use-proper-multiple-inheritance-with-mixins-but-fails-to-c,"Typescript allows to use proper multiple inheritance with mixins, but fails to create delcaration files",55242560.0,1553006509.0,,,
2,"['reactjs', 'typescript']","{'account_id': 15581808, 'reputation': 21, 'user_id': 11241350, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-HON3gsP677c/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfLNy5cD8JCCRvYPq1brECxOzWjgw/mo/photo.jpg?sz=256', 'display_name': 'allen yang', 'link': 'https://stackoverflow.com/users/11241350/allen-yang'}",True,181,1,2,1668505391,1553237136,55294227,CC BY-SA 4.0,https://stackoverflow.com/questions/55294227/react-hoc-component-decorator-in-typescript,react Hoc Component Decorator in Typescript,,1553238439.0,,,
3,"['angularjs', 'typescript', 'sonarqube', 'sonarqube-scan', 'sonarscanner']","{'account_id': 5344105, 'reputation': 443, 'user_id': 4260128, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/e6f08c9bcdd27f17b9414d2a24cb0a89?s=256&d=identicon&r=PG&f=1', 'display_name': 'oatcrunch', 'link': 'https://stackoverflow.com/users/4260128/oatcrunch'}",False,7478,1,5,1668412895,1553244494,55295877,CC BY-SA 4.0,https://stackoverflow.com/questions/55295877/how-to-configure-sonarqube-for-typescript-based-angularjs-project,How to configure SonarQube for Typescript based AngularJS project?,,,,,
4,"['javascript', 'typescript', 'joi']","{'account_id': 10727495, 'reputation': 151, 'user_id': 7894573, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b56893ec047f165a2b0398ce22040746?s=256&d=identicon&r=PG&f=1', 'display_name': 'krishna', 'link': 'https://stackoverflow.com/users/7894573/krishna'}",True,4153,3,3,1668262701,1552643642,55179863,CC BY-SA 4.0,https://stackoverflow.com/questions/55179863/how-to-give-interface-for-joi-objectid,how to give interface for joi-objectid?,57749663.0,,,,
5,"['typescript', 'visual-studio-code']","{'account_id': 3429972, 'reputation': 1885, 'user_id': 2874705, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/406c6621f439dbbad8851314fd66fbd4?s=256&d=identicon&r=PG&f=1', 'display_name': 'apieceofbart', 'link': 'https://stackoverflow.com/users/2874705/apieceofbart'}",True,737,5,6,1668120636,1551701519,54983015,CC BY-SA 4.0,https://stackoverflow.com/questions/54983015/how-to-turn-off-typescript-language-basics-suggestions-in-visual-studio-code,How to turn off Typescript Language Basics suggestions in Visual Studio Code?,,,,,
6,"['javascript', 'node.js', 'typescript', 'nestjs']","{'account_id': 2937378, 'reputation': 882, 'user_id': 2516001, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/88b19b3ca5a543be61abd3cb44613d79?s=256&d=identicon&r=PG', 'display_name': 'flogvit', 'link': 'https://stackoverflow.com/users/2516001/flogvit'}",True,48457,3,35,1668111676,1551689823,54979729,CC BY-SA 4.0,https://stackoverflow.com/questions/54979729/howto-get-req-user-in-services-in-nest-js,Howto get req.user in services in Nest JS,54981245.0,1644864288.0,,,
7,['typescript'],"{'account_id': 15473841, 'reputation': 61, 'user_id': 11163034, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-I_lrC-Te-dg/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdVqZFPEL-wMdq2d2BZfbKRsYnl0A/mo/photo.jpg?sz=256', 'display_name': 'joeblow', 'link': 'https://stackoverflow.com/users/11163034/joeblow'}",False,2336,1,6,1667897910,1551927114,55035311,CC BY-SA 4.0,https://stackoverflow.com/questions/55035311/exclude-type-from-typescript-array-of-types,Exclude type from typescript array of types,,1551929373.0,,,
8,"['angular', 'typescript', 'interface', 'lint']","{'account_id': 15532777, 'reputation': 173, 'user_id': 11205763, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-V8tdWzOa03U/AAAAAAAAAAI/AAAAAAAAAA4/QrqjBHtnM5o/photo.jpg?sz=256', 'display_name': 'Gibran Shah', 'link': 'https://stackoverflow.com/users/11205763/gibran-shah'}",True,19502,4,16,1667493460,1553871638,55420228,CC BY-SA 4.0,https://stackoverflow.com/questions/55420228/want-to-extend-empty-interface-but-getting-lint-error-no-empty-interface,Want to extend empty interface but getting lint error: no-empty-interface,,1553871925.0,,,
9,"['typescript', 'knockout.js']","{'account_id': 14626347, 'reputation': 380, 'user_id': 10563591, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/75bb29e27fa203ec0131d95f3bae723f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tom HANAX', 'link': 'https://stackoverflow.com/users/10563591/tom-hanax'}",True,1056,5,2,1666858014,1553074838,55257670,CC BY-SA 4.0,https://stackoverflow.com/questions/55257670/computed-is-not-assignable-to-observable-after-upgrade-to-knockout-js-3-5-0,Computed is not assignable to Observable after upgrade to Knockout.js 3.5.0,58140811.0,,,,
10,"['reactjs', 'typescript', 'formik']","{'account_id': 15297815, 'reputation': 789, 'user_id': 11037276, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b587d7b4b0ae0efb3792709391e37f64?s=256&d=identicon&r=PG&f=1', 'display_name': 'NewCoder', 'link': 'https://stackoverflow.com/users/11037276/newcoder'}",True,66516,12,78,1666561676,1552987514,55237482,CC BY-SA 4.0,https://stackoverflow.com/questions/55237482/formik-onsubmit-function-is-not-working-on-my-code,Formik onSubmit function is not working on my code,,1552987613.0,,,
