,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason
0,"['typescript', 'ts-jest', 'node.js-got']","{'account_id': 14104060, 'reputation': 1816, 'user_id': 10188650, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Oy4Xs.png?s=256&g=1', 'display_name': 'Huckleberry Carignan', 'link': 'https://stackoverflow.com/users/10188650/huckleberry-carignan'}",False,96,1,0,1669204421,1665419020,1666790737.0,74017937,CC BY-SA 4.0,https://stackoverflow.com/questions/74017937/jest-ts-and-got-ts-giving-syntaxerror-cannot-use-import-statement-outside-a-mo,jest.ts and got.ts giving &quot;SyntaxError: Cannot use import statement outside a module&quot;,,,
1,"['typescript', 'vue.js', 'vuejs3', 'vue-router', 'pinia']","{'account_id': 170833, 'reputation': 18242, 'user_id': 397830, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/23830a9037cb8e435a15c3261038b079?s=256&d=identicon&r=PG', 'display_name': 'J4N', 'link': 'https://stackoverflow.com/users/397830/j4n'}",True,194,2,1,1669043663,1664616408,1664619329.0,73917194,CC BY-SA 4.0,https://stackoverflow.com/questions/73917194/how-to-use-vue-router-inside-a-pinia-store,How to use vue-router inside a pinia store?,,,
2,['typescript'],"{'account_id': 1156784, 'reputation': 45654, 'user_id': 1137174, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/361fd9b1b32d13cd1c1dc03e5c6a2127?s=256&d=identicon&r=PG', 'display_name': 'Mike Lischke', 'link': 'https://stackoverflow.com/users/1137174/mike-lischke'}",True,92,2,3,1669022096,1666290346,1666362575.0,74144649,CC BY-SA 4.0,https://stackoverflow.com/questions/74144649/fake-operator-overloading,Fake Operator Overloading,74508566.0,,
3,"['angular', 'typescript', 'ngrx']","{'account_id': 6405512, 'reputation': 1718, 'user_id': 4966877, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/02db551f2b05ae241c2b3dc0cadfbb5b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bora', 'link': 'https://stackoverflow.com/users/4966877/bora'}",False,82,1,1,1669020811,1666794975,,74209597,CC BY-SA 4.0,https://stackoverflow.com/questions/74209597/ngrx-using-generic-type-in-createaction-props,NgRX Using generic type in createAction props,,,
4,"['typescript', 'webpack', 'next.js', 'prisma', 'turborepo']","{'account_id': 26627830, 'reputation': 11, 'user_id': 20245516, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/62d05a25e6826aac8e76ebe9473ff825?s=256&d=identicon&r=PG', 'display_name': 'Benjamin Davis', 'link': 'https://stackoverflow.com/users/20245516/benjamin-davis'}",False,147,0,1,1668978239,1665797369,1668978239.0,74076068,CC BY-SA 4.0,https://stackoverflow.com/questions/74076068/how-can-i-correct-where-my-apps-point-to-my-schema-prisma-in-a-turbo-repo,How can I correct where my apps point to my schema.prisma in a turbo repo,,,
5,"['javascript', 'node.js', 'typescript', 'backend', 'converters']","{'account_id': 26471513, 'reputation': 11, 'user_id': 20112072, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f5e4bd0c0cc1a01423325ec0824f001d?s=256&d=identicon&r=PG', 'display_name': 'sam', 'link': 'https://stackoverflow.com/users/20112072/sam'}",False,74,1,0,1668960326,1665572162,1665574523.0,74040691,CC BY-SA 4.0,https://stackoverflow.com/questions/74040691/converting-all-typescript-to-javascript-in-the-backend,converting all typescript to javascript in the backend,,,
6,"['javascript', 'reactjs', 'typescript', 'android-music-player']","{'account_id': 21302603, 'reputation': 21, 'user_id': 20365604, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0ev1cvbzVqPeF3K0iWIekxGzIyZqYWJ3l8eH_83g=k-s256', 'display_name': 'abhi jain', 'link': 'https://stackoverflow.com/users/20365604/abhi-jain'}",False,53,2,2,1668945252,1667107644,,74250708,CC BY-SA 4.0,https://stackoverflow.com/questions/74250708/how-to-break-instance-of-previous-song,how to break instance of previous song?,,,
7,"['reactjs', 'typescript', 'axios', 'http-headers', 'interceptor']","{'account_id': 3400299, 'reputation': 170, 'user_id': 2852665, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/MLTTr.jpg?s=256&g=1', 'display_name': 'Lev Pleshkov', 'link': 'https://stackoverflow.com/users/2852665/lev-pleshkov'}",True,621,3,4,1668933943,1666468327,1666468655.0,74166648,CC BY-SA 4.0,https://stackoverflow.com/questions/74166648/setrequestheader-fails-to-execute-with-source-code-as-a-header-value-axios-an,"`setRequestHeader` fails to execute with source code as a header value, axios and react",74308583.0,,
8,"['reactjs', 'typescript', 'react-native', 'visual-studio-code', 'expo']","{'account_id': 23869894, 'reputation': 5, 'user_id': 17871743, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/35e8fe60eeebaecf0fa6cec2ce280852?s=256&d=identicon&r=PG', 'display_name': 'Abdullah', 'link': 'https://stackoverflow.com/users/17871743/abdullah'}",False,262,1,0,1668884740,1666923487,,74229993,CC BY-SA 4.0,https://stackoverflow.com/questions/74229993/react-native-file-expo-module-scripsts-tsconfig-base-not-found,React-Native File &#39;expo-module-scripsts/tsconfig.base&#39; not found,,,
9,"['reactjs', 'typescript', 'next.js', 'formik']","{'account_id': 26647799, 'reputation': 83, 'user_id': 20262524, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu2uk3JsqRbzB-bmZyEtO5yn3_VQ5GqIwgWtZpkF=k-s256', 'display_name': 'Frank', 'link': 'https://stackoverflow.com/users/20262524/frank'}",True,2099,5,5,1668871711,1667151831,,74255356,CC BY-SA 4.0,https://stackoverflow.com/questions/74255356/typeerror-react-createcontext-is-not-a-function-nextjs-13-formik-with-typesc,TypeError: React.createContext is not a function (Nextjs 13 &amp; Formik with Typescript),,,
10,"['reactjs', 'typescript', 'next.js', 'next-auth']","{'account_id': 8391268, 'reputation': 91, 'user_id': 6299935, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6610dda17f2d8a3169a3b4f8a3f1a04a?s=256&d=identicon&r=PG&f=1', 'display_name': 'CTRL-In-Knowledge', 'link': 'https://stackoverflow.com/users/6299935/ctrl-in-knowledge'}",False,118,1,2,1668864842,1667056677,,74246463,CC BY-SA 4.0,https://stackoverflow.com/questions/74246463/nextauth-typescript-integration-with-nextjs13,NextAuth Typescript integration with nextjs13,,,
11,['typescript'],"{'account_id': 5156743, 'reputation': 21, 'user_id': 4129786, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7f1ceacc9096963f282df281d7c68891?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/4129786/dan'}",True,61,3,1,1668857531,1665571664,,74040584,CC BY-SA 4.0,https://stackoverflow.com/questions/74040584/how-to-exhaustive-check-the-elements-in-an-array-in-typescript,How to exhaustive check the elements in an array in typescript?,,,
12,"['reactjs', 'typescript', 'try-catch', 'es6-promise', 'recoiljs']","{'account_id': 20744877, 'reputation': 1, 'user_id': 15233667, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhPw1pQZLMqaoZLt0mY1RN5BbqbvOBusIigp6E9Ig=k-s256', 'display_name': 'ojjo', 'link': 'https://stackoverflow.com/users/15233667/ojjo'}",False,22,1,0,1668848094,1667200545,1667268095.0,74259859,CC BY-SA 4.0,https://stackoverflow.com/questions/74259859/why-the-try-catch-state-in-recoil-selectorfamily-catch-promise-object,why the try..catch state in recoil selectorFamily catch promise object?,,,
13,"['typescript', 'next.js', 'callback', 'next-auth']","{'account_id': 4029948, 'reputation': 21, 'user_id': 3316476, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/m58HY.jpg?s=256&g=1', 'display_name': 'probaku1234', 'link': 'https://stackoverflow.com/users/3316476/probaku1234'}",False,48,1,0,1668841378,1666497292,,74168539,CC BY-SA 4.0,https://stackoverflow.com/questions/74168539/next-auth-provide-types-for-callback-functions-parameters,next-auth provide types for callback functions parameters,,,
14,"['typescript', 'next.js', 'styled-components']","{'account_id': 19014074, 'reputation': 1, 'user_id': 13879418, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/PXKH8.jpg?s=256&g=1', 'display_name': 'Morshedul Munna', 'link': 'https://stackoverflow.com/users/13879418/morshedul-munna'}",False,42,1,0,1668831728,1666667916,1666668099.0,74188789,CC BY-SA 4.0,https://stackoverflow.com/questions/74188789/tailwind-styled-component-npm-package-typescript-error-how-can-i-solve-this-err,Tailwind-Styled-Component Npm Package TypeScript Error. How can i solve this Error,,,
15,"['typescript', 'vue.js', 'vite', 'tsconfig', 'nuxtjs3']","{'account_id': 3322011, 'reputation': 2347, 'user_id': 9263418, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/IOML3.jpg?s=256&g=1', 'display_name': 'Anonymous Creator', 'link': 'https://stackoverflow.com/users/9263418/anonymous-creator'}",True,85,1,0,1668811590,1667039225,,74244503,CC BY-SA 4.0,https://stackoverflow.com/questions/74244503/nuxt-3-tsconfig-path-is-not-working-from-parent-directory,Nuxt 3 tsconfig path is not working from parent directory,74496048.0,,
16,"['javascript', 'reactjs', 'typescript', 'forms']","{'account_id': 23627281, 'reputation': 55, 'user_id': 17659606, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/C9cVa.jpg?s=256&g=1', 'display_name': 'Metwesh', 'link': 'https://stackoverflow.com/users/17659606/metwesh'}",True,167,4,0,1668799293,1664888616,1664889470.0,73948305,CC BY-SA 4.0,https://stackoverflow.com/questions/73948305/typescript-error-property-submitter-does-not-exist-on-type-event-when-tryi,Typescript error (Property &#39;submitter&#39; does not exist on type &#39;Event&#39;) when trying to grab value |REACT|,73949228.0,,
17,"['javascript', 'typescript', 'flags', 'inquirer', 'oclif']","{'account_id': 15815759, 'reputation': 238, 'user_id': 11411571, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/A7lU1.jpg?s=256&g=1', 'display_name': 'n3n3', 'link': 'https://stackoverflow.com/users/11411571/n3n3'}",False,20,0,0,1668775135,1666354563,,74153488,CC BY-SA 4.0,https://stackoverflow.com/questions/74153488/is-it-possible-to-validade-oclif-flags-values,Is it possible to validade oclif flags values,,,
18,"['javascript', 'typescript', 'kaltura']","{'account_id': 12201704, 'reputation': 145, 'user_id': 8905823, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://lh3.googleusercontent.com/-YFKS92FDbq0/AAAAAAAAAAI/AAAAAAAAAB8/Ea9USgRMoYo/photo.jpg?sz=256', 'display_name': 'sergi martinez', 'link': 'https://stackoverflow.com/users/8905823/sergi-martinez'}",True,17,1,2,1668753934,1666701664,,74194261,CC BY-SA 4.0,https://stackoverflow.com/questions/74194261/retrieve-attachments-from-a-kaltura-video,Retrieve attachments from a Kaltura video,74485823.0,,
