,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason
0,"['javascript', 'node.js', 'typescript', 'types', 'chalk']","{'account_id': 184276, 'reputation': 3641, 'user_id': 420217, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/d8263b4bb6e7d385d9b6267b700a954d?s=256&d=identicon&r=PG', 'display_name': 'Gary', 'link': 'https://stackoverflow.com/users/420217/gary'}",True,4093,58389163.0,2,1,1669095619,1571123417,58389081,CC BY-SA 4.0,https://stackoverflow.com/questions/58389081/typescript-error-when-dynamically-setting-color-for-chalk-package,TypeScript error when dynamically setting color for `chalk` package,,,
1,"['reactjs', 'typescript', 'visual-studio-code', 'tsx']","{'account_id': 171345, 'reputation': 869, 'user_id': 398692, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/yIBXU.png?s=256&g=1', 'display_name': 'APalmer', 'link': 'https://stackoverflow.com/users/398692/apalmer'}",True,3651,58289466.0,3,4,1668693338,1569899829,58177640,CC BY-SA 4.0,https://stackoverflow.com/questions/58177640/make-vscode-apply-syntax-highlighting-to-tsx-files,Make VSCode apply syntax highlighting to .tsx files,,,
2,"['typescript', 'amazon-web-services', 'debugging', 'terminal', 'angular-cdk']","{'account_id': 7150699, 'reputation': 731, 'user_id': 7640725, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8104ba38e7d02aece2859e4bfa6dd352?s=256&d=identicon&r=PG&f=1', 'display_name': 'blue2609', 'link': 'https://stackoverflow.com/users/7640725/blue2609'}",True,10152,,3,9,1668526430,1571098836,58385591,CC BY-SA 4.0,https://stackoverflow.com/questions/58385591/how-to-output-aws-cdk-synth-to-terminal-web-browser-if-possible,How to output AWS CDK synth to terminal/web browser [if possible],1571126389.0,,
3,"['node.js', 'typescript', 'multer']","{'account_id': 1684944, 'reputation': 16052, 'user_id': 1548432, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/3eccf815d82c84550fa37f1f77c1c23d?s=256&d=identicon&r=PG', 'display_name': 'Kay', 'link': 'https://stackoverflow.com/users/1548432/kay'}",True,12838,58394880.0,3,9,1668516925,1571138846,58393620,CC BY-SA 4.0,https://stackoverflow.com/questions/58393620/uisng-multer-with-typescript-property-file-does-not-exist-on-type-request-t,uisng multer with typescript: Property &#39;file&#39; does not exist on type &#39;Request&#39;.ts(2339),,,
4,['typescript'],"{'account_id': 7091822, 'reputation': 1001, 'user_id': 8817358, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/de135b568ad005bbd9e58ad80af5d0bf?s=256&d=identicon&r=PG&f=1', 'display_name': 'CalibanAngel', 'link': 'https://stackoverflow.com/users/8817358/calibanangel'}",True,39686,58436959.0,10,83,1667996691,1571320562,58434389,CC BY-SA 4.0,https://stackoverflow.com/questions/58434389/typescript-deep-keyof-of-a-nested-object,Typescript: deep keyof of a nested object,,,
5,"['typescript', 'asynchronous', 'cypress']","{'account_id': 4530244, 'reputation': 79, 'user_id': 3680946, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/B5nfF.png?s=256&g=1', 'display_name': 'Xgirl360', 'link': 'https://stackoverflow.com/users/3680946/xgirl360'}",True,3595,,3,3,1667779277,1572029456,58564171,CC BY-SA 4.0,https://stackoverflow.com/questions/58564171/avoiding-wait-in-cypress-for-loading-all-elements,Avoiding .wait() in Cypress for loading all elements,,,
6,"['typescript', 'performance', 'ts-node', 'online-compilation']","{'account_id': 11712153, 'reputation': 81, 'user_id': 8573792, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ed77cd6f7aa805dd86b7e45a9e96303e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Manoj Singh', 'link': 'https://stackoverflow.com/users/8573792/manoj-singh'}",True,13684,,7,8,1666947482,1571931753,58544811,CC BY-SA 4.0,https://stackoverflow.com/questions/58544811/is-there-any-option-to-compile-and-run-a-ts-code-faster-using-tsc-or-ts-node-or,Is there any option to compile and run a ts code faster using tsc or ts-node or anything else?,1572225843.0,,
7,"['reactjs', 'typescript', 'webpack']","{'account_id': 1744318, 'reputation': 853, 'user_id': 1906096, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/G8tRP.jpg?s=256&g=1', 'display_name': 'Eugene', 'link': 'https://stackoverflow.com/users/1906096/eugene'}",True,2930,58515690.0,3,0,1666859509,1571370231,58443646,CC BY-SA 4.0,https://stackoverflow.com/questions/58443646/webpack-dev-server-cannot-find-modules-with-typescript-if-i-use-custom-paths-in,Webpack Dev Server cannot find modules with Typescript if I use custom paths in tsconfig,1571806328.0,,
8,"['angular', 'typescript', 'x-frame-options']","{'account_id': 16636255, 'reputation': 578, 'user_id': 12022853, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6b0a5493bb8bf4c574691d6ec6a997e7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Pravu', 'link': 'https://stackoverflow.com/users/12022853/pravu'}",False,1150,,0,1,1666856287,1571282530,58424432,CC BY-SA 4.0,https://stackoverflow.com/questions/58424432/how-can-i-bypass-the-x-frame-options,How Can I Bypass the X-Frame-Options,,,
9,['typescript'],"{'account_id': 12960077, 'reputation': 5472, 'user_id': 9369606, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ksCFQ.png?s=256&g=1', 'display_name': 'Rafi Henig', 'link': 'https://stackoverflow.com/users/9369606/rafi-henig'}",True,137,58270200.0,1,3,1666530711,1570452857,58269988,CC BY-SA 4.0,https://stackoverflow.com/questions/58269988/assignment-inside-generic-parameter-t-keys-extends-keyof-t-keyof-t,"Assignment inside generic parameter &lt;T, Keys extends keyof T = keyof T&gt;",1666530711.0,,
