,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date
0,"['node.js', 'typescript', 'visual-studio-code', 'configuration', 'tsconfig']","{'account_id': 1589558, 'reputation': 1306, 'user_id': 1473218, 'user_type': 'registered', 'accept_rate': 18, 'profile_image': 'https://www.gravatar.com/avatar/64f68bdff8dffa1367a04008aaf06a54?s=256&d=identicon&r=PG&f=1', 'display_name': 'quantdaddy', 'link': 'https://stackoverflow.com/users/1473218/quantdaddy'}",True,874,1,7,1669021562,1620020828,1669021562.0,67364024,CC BY-SA 4.0,https://stackoverflow.com/questions/67364024/disable-dom-library-type-definitions-in-nodejs-project-vscode,Disable DOM library type definitions in nodejs project VSCode,,,,
1,"['typescript', 'react-native', 'webpack', 'storybook']","{'account_id': 10780155, 'reputation': 143, 'user_id': 7930910, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-cuMz6J0Uxlg/AAAAAAAAAAI/AAAAAAAAACY/dvJulLIG29E/photo.jpg?sz=256', 'display_name': 'Elena Mart&#237;n Castillo', 'link': 'https://stackoverflow.com/users/7930910/elena-mart%c3%adn-castillo'}",False,1725,1,3,1668928171,1620579412,1620592855.0,67460283,CC BY-SA 4.0,https://stackoverflow.com/questions/67460283/you-may-need-an-appropriate-loader-to-handle-this-file-type-currently-no-loader,"You may need an appropriate loader to handle this file type, currently no loaders are configured to process this file (Storybook - React Native &amp; TS:",,,,
2,"['angular', 'typescript']","{'account_id': 21371722, 'reputation': 9, 'user_id': 15739162, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjqGmhCxWgicMiZojamG1p3WxVOTudo2MFlxE4S=k-s256', 'display_name': 'Paul Ivan', 'link': 'https://stackoverflow.com/users/15739162/paul-ivan'}",False,7790,4,1,1668909720,1620571955,,67459086,CC BY-SA 4.0,https://stackoverflow.com/questions/67459086/property-does-not-exist-on-type-string-ts2339,Property does not exist on type &#39;string&#39;.ts(2339),,,,
3,['typescript'],"{'account_id': 9017619, 'reputation': 12767, 'user_id': 6719819, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/HmF9I.jpg?s=256&g=1', 'display_name': 'Daniel', 'link': 'https://stackoverflow.com/users/6719819/daniel'}",True,1449,2,1,1668887307,1621470670,,67612502,CC BY-SA 4.0,https://stackoverflow.com/questions/67612502/property-dataset-does-not-exist-on-type-eventtarget-when-i-apply-dataset-to,Property &#39;dataset&#39; does not exist on type &#39;EventTarget&#39; when I apply dataset to event.target,67612585.0,,,
4,"['typescript', 'postgresql', 'many-to-many', 'typeorm']","{'account_id': 11112327, 'reputation': 121, 'user_id': 8157632, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f3e9df851c8b70d5153543d0b109f512?s=256&d=identicon&r=PG', 'display_name': 'Andersonfrfilho', 'link': 'https://stackoverflow.com/users/8157632/andersonfrfilho'}",False,356,0,1,1668683638,1620825491,,67504454,CC BY-SA 4.0,https://stackoverflow.com/questions/67504454/problem-saving-many-instances-of-manytomany-relationship-typeorm,Problem saving many instances of manyToMany relationship Typeorm,,,,
5,"['typescript', 'vuejs3']","{'account_id': 493848, 'reputation': 509, 'user_id': 1167144, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/guF2T.png?s=256&g=1', 'display_name': 'sainf', 'link': 'https://stackoverflow.com/users/1167144/sainf'}",True,3988,4,6,1668625667,1620386874,,67434135,CC BY-SA 4.0,https://stackoverflow.com/questions/67434135/vue-3-typescript-warning-on-vue-emit-and-event-object-is-possibly-null,Vue 3 Typescript warning on Vue $emit and $event &quot;Object is possibly &#39;null&#39;&quot;,67441785.0,,,
6,"['reactjs', 'typescript', 'react-native', 'lottie', 'use-ref']","{'account_id': 19022892, 'reputation': 121, 'user_id': 13886589, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-z-TC7voxe18/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclIHPGDU4aEaC07MzVmtuJmwbPnPA/photo.jpg?sz=256', 'display_name': 'Sarah', 'link': 'https://stackoverflow.com/users/13886589/sarah'}",True,2084,4,1,1668587710,1621548017,1621550347.0,67628477,CC BY-SA 4.0,https://stackoverflow.com/questions/67628477/how-to-use-ref-prop-and-useref-with-lottie-files-in-typescript,How to use ref prop and useRef with Lottie files in Typescript?,,,,
7,"['typescript', 'postgresql', 'typeorm']","{'account_id': 13255272, 'reputation': 475, 'user_id': 9571575, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6e7c956cd4a67f6c4faf44eaf386b3cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'ugabuga77', 'link': 'https://stackoverflow.com/users/9571575/ugabuga77'}",False,687,2,1,1668437699,1620319487,1620346484.0,67422552,CC BY-SA 4.0,https://stackoverflow.com/questions/67422552/how-to-do-proper-many-to-one-one-to-many-with-typeorm-example-in-the-document,How to do proper many-to-one / one-to-many with TypeORM (example in the documentation does not work in my case),,,,
8,"['reactjs', 'typescript', 'rest', 'web', 'tsyringe']","{'account_id': 1726407, 'reputation': 1069, 'user_id': 1580953, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/DSGCl.png?s=256&g=1', 'display_name': 'Jordan Schnur', 'link': 'https://stackoverflow.com/users/1580953/jordan-schnur'}",True,1784,4,3,1668422599,1621313049,1621429971.0,67580091,CC BY-SA 4.0,https://stackoverflow.com/questions/67580091/react-with-typescript-using-tsyringe-for-dependency-injection,React with TypeScript using tsyringe for dependency injection,67603980.0,,,
9,"['typescript', 'visual-studio-code']","{'account_id': 15753333, 'reputation': 410, 'user_id': 11367165, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-VLq0A6TMQB4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdxrXR_Qg_nmTq0VNVxfOybSFDEGA/mo/photo.jpg?sz=256', 'display_name': 'Daniel K', 'link': 'https://stackoverflow.com/users/11367165/daniel-k'}",False,350,1,0,1668169222,1621715329,,67653897,CC BY-SA 4.0,https://stackoverflow.com/questions/67653897/running-typescript-in-visual-studio-code,running typescript in visual studio code,,,,
