,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date
0,"['typescript', 'vue.js', 'vue-composition-api']","{'account_id': 9300061, 'reputation': 589, 'user_id': 6905839, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/m8zyd.png?s=256&g=1', 'display_name': 'pegido', 'link': 'https://stackoverflow.com/users/6905839/pegido'}",True,30314,64281689.0,3,37,1669037123,1585165242,1668761308.0,60856216,CC BY-SA 4.0,https://stackoverflow.com/questions/60856216/how-to-type-a-computed-property-in-the-new-composition-api,How to type a computed property in the new composition API?,,,
1,"['javascript', 'node.js', 'angular', 'typescript']","{'account_id': 15459498, 'reputation': 1565, 'user_id': 11152509, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-cEWTknUn130/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfX6Q2F4nriojJauxtZcqZ38yxYcQ/mo/photo.jpg?sz=256', 'display_name': 'Georgian Stan', 'link': 'https://stackoverflow.com/users/11152509/georgian-stan'}",True,73790,60936591.0,8,52,1669005334,1585588578,1585590586.0,60935889,CC BY-SA 4.0,https://stackoverflow.com/questions/60935889/cant-do-a-default-import-in-angular-9,Can&#39;t do a default import in Angular 9,,,
2,"['node.js', 'angular', 'typescript', 'npm']","{'account_id': 17894866, 'reputation': 769, 'user_id': 13000512, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cc2dcd317b026a5cac6d1691f3ff9bac?s=256&d=identicon&r=PG&f=1', 'display_name': 'Deba', 'link': 'https://stackoverflow.com/users/13000512/deba'}",True,11654,,1,16,1668589888,1583570338,1583572909.0,60575796,CC BY-SA 4.0,https://stackoverflow.com/questions/60575796/how-to-install-types-for-all-node-modules-automatically,How to install @types for all node modules automatically,,,
3,"['javascript', 'angular', 'typescript']","{'account_id': 17972792, 'reputation': 617, 'user_id': 13061139, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-esH2_Or0BHw/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nCbClpndG7szcTv7qB8M1JhTtwlXA/photo.jpg?sz=256', 'display_name': 'kianoush dortaj', 'link': 'https://stackoverflow.com/users/13061139/kianoush-dortaj'}",True,147571,,22,59,1668457012,1584257833,1603104724.0,60690670,CC BY-SA 4.0,https://stackoverflow.com/questions/60690670/uncaught-in-promise-error-angular-jit-compilation-failed-angular-compiler,Uncaught (in promise): Error: Angular JIT compilation failed: &#39;@angular/compiler&#39; not loaded! in angular 9,,,
4,"['javascript', 'angular', 'typescript', 'rxjs']","{'account_id': 14128823, 'reputation': 597, 'user_id': 10207304, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a05bec89691daff4a1cf45bf56fba715?s=256&d=identicon&r=PG&f=1', 'display_name': 'Magnesium', 'link': 'https://stackoverflow.com/users/10207304/magnesium'}",True,3002,60489440.0,2,2,1668114839,1583153287,,60489200,CC BY-SA 4.0,https://stackoverflow.com/questions/60489200/get-observable-return-value-without-subscribing-in-calling-class,Get observable return value without subscribing in calling class,,,
5,['typescript'],"{'account_id': 14506529, 'reputation': 161, 'user_id': 10478171, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36d8e4b0b9d9c7b5709bbc81e90f6cf5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jellof', 'link': 'https://stackoverflow.com/users/10478171/jellof'}",True,1173,60950437.0,6,4,1668001619,1585572940,1585654164.0,60931022,CC BY-SA 4.0,https://stackoverflow.com/questions/60931022/typescript-ensure-object-literal-extends-interface-but-return-real-object-type,Typescript: ensure object literal extends interface but return real object type,,,
6,"['angular', 'typescript', 'npm']","{'account_id': 1039893, 'reputation': 1972, 'user_id': 1046184, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/49c6adaf420d8003e9c2e568f211f7ae?s=256&d=identicon&r=PG', 'display_name': 'Factor Three', 'link': 'https://stackoverflow.com/users/1046184/factor-three'}",True,7821,60912370.0,4,4,1667855365,1585472874,,60912102,CC BY-SA 4.0,https://stackoverflow.com/questions/60912102/angular-material-version-for-angular-8,Angular Material version for Angular 8,,,
7,"['typescript', 'react-native', 'jestjs', 'ts-jest']","{'account_id': 409875, 'reputation': 8715, 'user_id': 781366, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/5c0e1561200995a99872fff2b7fb0a30?s=256&d=identicon&r=PG', 'display_name': 'ataravati', 'link': 'https://stackoverflow.com/users/781366/ataravati'}",False,2764,,1,1,1667317571,1584049104,1584754261.0,60662181,CC BY-SA 4.0,https://stackoverflow.com/questions/60662181/why-am-i-getting-referenceerror-react-is-not-defined,Why am I getting ReferenceError: React is not defined?,,,
8,"['javascript', 'typescript', 'nestjs', 'webpack-hmr', 'nomachine-nx']","{'account_id': 4660469, 'reputation': 3296, 'user_id': 3794786, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/ZeaFh.png?s=256&g=1', 'display_name': 'Sohel Ahmed Mesaniya', 'link': 'https://stackoverflow.com/users/3794786/sohel-ahmed-mesaniya'}",False,628,,1,8,1666951168,1583073793,,60476245,CC BY-SA 4.0,https://stackoverflow.com/questions/60476245/how-to-setup-webpacks-hmr-in-nestjs-project-in-nx-monorepo,How to setup Webpack&#39;s HMR in NestJS project in Nx monorepo?,,,
9,"['typescript', 'plugins', 'visual-studio-code', 'peer-dependencies']","{'account_id': 5163489, 'reputation': 166, 'user_id': 4134358, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4ff91e8f62a93d945137946ff8b5d611?s=256&d=identicon&r=PG', 'display_name': 'justindra', 'link': 'https://stackoverflow.com/users/4134358/justindra'}",True,400,67868700.0,2,2,1666839959,1583276049,,60516702,CC BY-SA 4.0,https://stackoverflow.com/questions/60516702/how-do-you-fix-peerdependency-when-building-a-ts-plugin-in-vscode,How do you fix peerDependency when building a TS plugin in VSCode,,,
