,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason
0,"['javascript', 'angular', 'typescript']","{'account_id': 15143143, 'reputation': 11, 'user_id': 10927628, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2348364945173770/picture?type=large', 'display_name': 'Antonio Di Giulio', 'link': 'https://stackoverflow.com/users/10927628/antonio-di-giulio'}",False,8682,1,0,1669154700,1554366250,55511145,CC BY-SA 4.0,https://stackoverflow.com/questions/55511145/ordering-map-object-angular,Ordering Map Object Angular,,,,,
1,"['javascript', 'react-native', 'expo']","{'account_id': 13021749, 'reputation': 430, 'user_id': 11181461, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/76327eb1fe7cd4a638b1776a77858d2c?s=256&d=identicon&r=PG&f=1', 'display_name': 'John Doe', 'link': 'https://stackoverflow.com/users/11181461/john-doe'}",True,915,3,1,1669136507,1554078671,55446717,CC BY-SA 4.0,https://stackoverflow.com/questions/55446717/disable-button-on-a-condition-from-function,Disable button on a condition from function,55446915.0,,,,
2,"['javascript', 'lodash']","{'account_id': 998026, 'reputation': 21818, 'user_id': 1013512, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'panthro', 'link': 'https://stackoverflow.com/users/1013512/panthro'}",True,47,2,-2,1669129074,1554396748,55521263,CC BY-SA 4.0,https://stackoverflow.com/questions/55521263/comparing-arrays-and-objects-for-a-filter-system,Comparing arrays and objects for a filter system,55521342.0,1669129009.0,,,
3,"['javascript', 'lodash']","{'account_id': 998026, 'reputation': 21818, 'user_id': 1013512, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'panthro', 'link': 'https://stackoverflow.com/users/1013512/panthro'}",True,249,2,0,1669128872,1554393435,55520343,CC BY-SA 4.0,https://stackoverflow.com/questions/55520343/lodash-filter-with-multiple-options,Lodash filter with multiple options,,1669128627.0,,,
4,"['javascript', 'iframe', 'youtube-iframe-api']","{'account_id': 547967, 'reputation': 813, 'user_id': 2868823, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/6eb9515501fba8da83a1b974f2271831?s=256&d=identicon&r=PG', 'display_name': 'martinh_kentico', 'link': 'https://stackoverflow.com/users/2868823/martinh-kentico'}",False,734,0,7,1669112009,1555494127,55724586,CC BY-SA 4.0,https://stackoverflow.com/questions/55724586/youtube-iframe-without-allow-presentation,YouTube iframe without allow-presentation,,,,,
5,"['javascript', 'html', 'css']","{'account_id': 12555162, 'reputation': 45, 'user_id': 9135173, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5ab9d43d35fe1bcb0bd84950203828d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jamie Ricketts', 'link': 'https://stackoverflow.com/users/9135173/jamie-ricketts'}",False,66,3,0,1669056685,1554580084,55552869,CC BY-SA 4.0,https://stackoverflow.com/questions/55552869/javascript-in-need-of-simplification-collapsible-tabs,Javascript in need of simplification - collapsible tabs,,1669056685.0,,,
6,"['javascript', 'reactjs']","{'account_id': 15823201, 'reputation': 141, 'user_id': 11416945, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c1be13f0dc9caafb3f31000bff926a5f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Stranyka', 'link': 'https://stackoverflow.com/users/11416945/stranyka'}",False,420,1,0,1669026840,1556299040,55872286,CC BY-SA 4.0,https://stackoverflow.com/questions/55872286/this-handlesubmit-is-not-working-when-i-move-my-form-to-a-different-file,This handleSubmit() is not working when I move my Form to a different file,,1556304388.0,,,
7,"['javascript', 'arrays', 'reactjs', 'local-storage', 'react-big-calendar']","{'account_id': 13378049, 'reputation': 1680, 'user_id': 9654310, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9cc3f844f0449466d1002a80f398cb53?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ichrak Mansour', 'link': 'https://stackoverflow.com/users/9654310/ichrak-mansour'}",True,45760,4,6,1669012755,1554882793,55607431,CC BY-SA 4.0,https://stackoverflow.com/questions/55607431/how-to-merge-two-array-of-objects-with-reactjs,How to merge two array of objects with reactjs?,55607558.0,,,,
8,"['javascript', 'jquery', 'html', 'arrays', 'json']","{'account_id': 15726679, 'reputation': 323, 'user_id': 11348123, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f3ed8a3eb99af9727804e7ed53057f6f?s=256&d=identicon&r=PG&f=1', 'display_name': 'House97_', 'link': 'https://stackoverflow.com/users/11348123/house97'}",True,59046,10,25,1668989841,1555316258,55685037,CC BY-SA 4.0,https://stackoverflow.com/questions/55685037/how-to-remove-empty-array-values-from-an-array,How to remove empty array values (&quot;&quot;) from an array?,55685094.0,1619315876.0,,,
9,"['javascript', 'typescript', 'observable', 'axios', 'nestjs']","{'account_id': 975757, 'reputation': 3132, 'user_id': 997040, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ed1960671105020dce2ffff5af572969?s=256&d=identicon&r=PG', 'display_name': 'Chaz', 'link': 'https://stackoverflow.com/users/997040/chaz'}",True,17751,2,21,1668885128,1554845608,55601651,CC BY-SA 4.0,https://stackoverflow.com/questions/55601651/how-to-rethrow-errors-of-httpservice-call-with-nestjs,How to rethrow errors of HttpService call with NestJS?,55602399.0,1554850519.0,,,
