,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,locked_date
0,"['javascript', 'jquery']","{'account_id': 62428, 'reputation': 1863, 'user_id': 185511, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/09d448a985007d3abe42606b28ca7cb2?s=256&d=identicon&r=PG', 'display_name': 'Danil', 'link': 'https://stackoverflow.com/users/185511/danil'}",True,8879,2990394.0,2,2,1668850973,1275920901,1668850973.0,2990346,CC BY-SA 4.0,https://stackoverflow.com/questions/2990346/javascript-parent-page-redirection-from-iframe,JavaScript parent page redirection from iframe,,,,,
1,"['javascript', 'regex', 'datetime', 'iso']","{'account_id': 47521, 'reputation': 35691, 'user_id': 140811, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/db81ad9316f4bfe29eaadaef54978d0b?s=256&d=identicon&r=PG', 'display_name': 'Scott Klarenbach', 'link': 'https://stackoverflow.com/users/140811/scott-klarenbach'}",True,92952,,11,83,1668769943,1277831586,,3143070,CC BY-SA 2.5,https://stackoverflow.com/questions/3143070/javascript-regex-iso-datetime,javascript regex iso datetime,,,,,
2,"['javascript', 'regex', 'camelcasing']","{'account_id': 47521, 'reputation': 35691, 'user_id': 140811, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/db81ad9316f4bfe29eaadaef54978d0b?s=256&d=identicon&r=PG', 'display_name': 'Scott Klarenbach', 'link': 'https://stackoverflow.com/users/140811/scott-klarenbach'}",True,542033,2970588.0,45,268,1668751541,1275607808,1513719605.0,2970525,CC BY-SA 3.0,https://stackoverflow.com/questions/2970525/converting-any-string-into-camel-case,Converting any string into camel case,,,,,
3,['javascript'],"{'account_id': 111819, 'reputation': 26018, 'user_id': 295189, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/eqOkL.png?s=256&g=1', 'display_name': 'Asim Zaidi', 'link': 'https://stackoverflow.com/users/295189/asim-zaidi'}",True,24078,3065950.0,5,12,1668509576,1276811706,1616927504.0,3065941,CC BY-SA 4.0,https://stackoverflow.com/questions/3065941/count-the-elements-in-string,Count the elements in string,,,,,
4,"['javascript', 'arrays', 'loops', 'for-loop']","{'account_id': 116164, 'reputation': 54830, 'user_id': 304725, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/e43ef0e6657fa3ba398a211e1962423e?s=256&d=identicon&r=PG', 'display_name': 'Mark Szymanski', 'link': 'https://stackoverflow.com/users/304725/mark-szymanski'}",True,5022144,,46,3833,1668376361,1276128267,1652030704.0,3010840,CC BY-SA 4.0,https://stackoverflow.com/questions/3010840/loop-through-an-array-in-javascript,Loop through an array in JavaScript,1395023506.0,,,,
5,['javascript'],"{'account_id': 102135, 'reputation': 13869, 'user_id': 274359, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/a7a54a742e6f4cc0963def69d418cbfb?s=256&d=identicon&r=PG', 'display_name': 'scatman', 'link': 'https://stackoverflow.com/users/274359/scatman'}",True,139824,2966102.0,10,43,1668287611,1275569569,,2966076,CC BY-SA 2.5,https://stackoverflow.com/questions/2966076/getting-file-size-in-javascript,getting file size in javascript,,,,,
6,"['javascript', 'jquery', 'jquery-events']","{'account_id': 127918, 'reputation': 142434, 'user_id': 325418, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/eb71c362ddeda80c2668d2575e97bc70?s=256&d=identicon&r=PG', 'display_name': 'nonopolarity', 'link': 'https://stackoverflow.com/users/325418/nonopolarity'}",True,502,3130552.0,8,3,1668260701,1277707650,1668260701.0,3130539,CC BY-SA 4.0,https://stackoverflow.com/questions/3130539/jquerys-click-is-not-clicking,jQuery&#39;s click() is not clicking?,,,,,
7,"['javascript', 'google-chrome', 'google-chrome-extension']","{'account_id': 6393, 'reputation': 8736, 'user_id': 10728, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/8u7b4.png?s=256&g=1', 'display_name': 'Andrey Fedorov', 'link': 'https://stackoverflow.com/users/10728/andrey-fedorov'}",True,99110,12767200.0,30,325,1668174977,1275537994,1467480080.0,2963260,CC BY-SA 3.0,https://stackoverflow.com/questions/2963260/how-do-i-auto-reload-a-chrome-extension-im-developing,How do I auto-reload a Chrome extension I&#39;m developing?,,,,,
8,"['javascript', 'date', 'date-formatting']","{'account_id': 31973, 'reputation': 14710, 'user_id': 88172, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/a311f4aab95579806fce23247da58c1b?s=256&d=identicon&r=PG', 'display_name': 'IVR Avenger', 'link': 'https://stackoverflow.com/users/88172/ivr-avenger'}",True,1369744,3067896.0,52,522,1668099863,1276822452,1598304400.0,3066586,CC BY-SA 4.0,https://stackoverflow.com/questions/3066586/get-string-in-yyyymmdd-format-from-js-date-object,Get String in YYYYMMDD format from JS date object?,1582967334.0,,,,
9,"['javascript', 'ide']","{'account_id': 59851, 'reputation': 17102, 'user_id': 178980, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/6f4c87db4e692b4b234a33c8ef86d4b7?s=256&d=identicon&r=PG', 'display_name': 'Egor Pavlikhin', 'link': 'https://stackoverflow.com/users/178980/egor-pavlikhin'}",True,2526,3137234.0,7,6,1667898972,1277769755,,3137006,CC BY-SA 2.5,https://stackoverflow.com/questions/3137006/validate-javascript-syntax-in-ide-editor,Validate JavaScript syntax in IDE (Editor)?,,,,,
