,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,locked_date
0,['javascript'],"{'account_id': 38302, 'reputation': 11285, 'user_id': 109859, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/4001573d04aa747d6b8c4eaed27a6683?s=256&d=identicon&r=PG', 'display_name': 'ian', 'link': 'https://stackoverflow.com/users/109859/ian'}",True,373024,1514980969.0,1642452.0,6,194,1669114567,1256807340,1607059326.0,1642447,CC BY-SA 4.0,https://stackoverflow.com/questions/1642447/how-to-change-the-content-of-a-textarea-with-javascript,How to change the Content of a &lt;textarea&gt; with JavaScript,,,,
1,"['javascript', 'highlight', 'selection-api']","{'account_id': 65578, 'reputation': 4975, 'user_id': 192901, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/30bb321e401c556ce8529508de2a2c82?s=256&d=identicon&r=PG', 'display_name': 'kakopappa', 'link': 'https://stackoverflow.com/users/192901/kakopappa'}",True,2540,,1605867.0,3,1,1669017784,1256196893,1669017784.0,1605565,CC BY-SA 4.0,https://stackoverflow.com/questions/1605565/how-to-get-span-selected-portion-using-javascript,how to get span selected portion using Javascript,,,,
2,"['javascript', 'html', 'jquery', 'nested', 'expand']","{'account_id': 561315, 'reputation': 6813, 'user_id': 183819, 'user_type': 'unregistered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/23180e7a25d470c04c64e5ab40c47cf6?s=256&d=identicon&r=PG', 'display_name': 'n00b0101', 'link': 'https://stackoverflow.com/users/183819/n00b0101'}",True,35163,,1552582.0,3,5,1668867203,1255318534,1668867203.0,1552572,CC BY-SA 4.0,https://stackoverflow.com/questions/1552572/jquery-collapsing-expanding-divs,jquery - Collapsing / Expanding divs?,,,,
3,"['javascript', 'regex', 'url']","{'account_id': 48032, 'reputation': 5323, 'user_id': 142474, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://graph.facebook.com/4811245/picture?type=large', 'display_name': 'arbales', 'link': 'https://stackoverflow.com/users/142474/arbales'}",True,255533,,1500501.0,14,210,1668356232,1254339700,1359300133.0,1500260,CC BY-SA 3.0,https://stackoverflow.com/questions/1500260/detect-urls-in-text-with-javascript,Detect URLs in text with JavaScript,,,,
4,"['javascript', 'arrays', 'range']","{'account_id': 54975, 'reputation': 20868, 'user_id': 164552, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/2c83da9f629326fa55fe7e8b6a4b8cee?s=256&d=identicon&r=PG', 'display_name': 'rwilliams', 'link': 'https://stackoverflow.com/users/164552/rwilliams'}",True,49231,,1575326.0,11,36,1667888061,1255642889,,1575271,CC BY-SA 2.5,https://stackoverflow.com/questions/1575271/range-of-years-in-javascript-for-a-select-box,Range of Years in JavaScript for a select box,,,,
5,"['javascript', 'html', 'file-upload']","{'account_id': 59999, 'reputation': 32209, 'user_id': 179364, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/e8f1250b965193b05a82004ea45810a4?s=256&d=identicon&r=PG', 'display_name': 'Mask', 'link': 'https://stackoverflow.com/users/179364/mask'}",True,259569,1609390599.0,1593259.0,11,168,1666880509,1256028156,1484179210.0,1593225,CC BY-SA 3.0,https://stackoverflow.com/questions/1593225/how-to-select-multiple-files-with-input-type-file,How to select multiple files with &lt;input type=&quot;file&quot;&gt;?,,,,
6,"['javascript', 'data-structures', 'stack', 'queue']","{'account_id': 25273, 'reputation': 64048, 'user_id': 64878, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/437d018976627b471adcf13c6b31feb7?s=256&d=identicon&r=PG', 'display_name': 'KingNestor', 'link': 'https://stackoverflow.com/users/64878/kingnestor'}",True,546195,1626481374.0,1590262.0,32,890,1666633533,1255976153,,1590247,CC BY-SA 2.5,https://stackoverflow.com/questions/1590247/how-do-you-implement-a-stack-and-a-queue-in-javascript,How do you implement a Stack and a Queue in JavaScript?,,,,
7,"['javascript', 'new-operator']","{'account_id': 47565, 'reputation': 55480, 'user_id': 140937, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/0c4bda44f1d02296589625ef8d19db69?s=256&d=identicon&r=PG', 'display_name': 'Alon Gubkin', 'link': 'https://stackoverflow.com/users/140937/alon-gubkin'}",True,341871,1389810345.0,3658673.0,16,1899,1666574306,1256851965,1437831733.0,1646698,CC BY-SA 3.0,https://stackoverflow.com/questions/1646698/what-is-the-new-keyword-in-javascript,What is the &#39;new&#39; keyword in JavaScript?,,,,
8,"['javascript', 'regex', 'replace']","{'account_id': 17352, 'reputation': 12503, 'user_id': 38751, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/89ec268d347a422368b2d8cbcc5e059b?s=256&d=identicon&r=PG', 'display_name': 'S Pangborn', 'link': 'https://stackoverflow.com/users/38751/s-pangborn'}",True,37161,,1510049.0,6,17,1666260467,1254495259,,1510029,CC BY-SA 2.5,https://stackoverflow.com/questions/1510029/how-do-i-replace-an-asterisk-in-javascript-using-replace,How do I replace an asterisk in Javascript using replace()?,,,,
9,"['javascript', 'arrays']","{'account_id': 59999, 'reputation': 32209, 'user_id': 179364, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/e8f1250b965193b05a82004ea45810a4?s=256&d=identicon&r=PG', 'display_name': 'Mask', 'link': 'https://stackoverflow.com/users/179364/mask'}",True,21043,,,9,7,1666114313,1255504171,1255506030.0,1564700,CC BY-SA 2.5,https://stackoverflow.com/questions/1564700/fastest-way-to-detect-if-duplicate-entry-exists-in-javascript-array,fastest way to detect if duplicate entry exists in javascript array?,,,,
10,"['javascript', 'regex']","{'account_id': 50605, 'reputation': 7222, 'user_id': 151048, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/tAoVh.jpg?s=256&g=1', 'display_name': 'sharat87', 'link': 'https://stackoverflow.com/users/151048/sharat87'}",True,12759,,1508163.0,6,7,1666019870,1254468580,1254470647.0,1508147,CC BY-SA 2.5,https://stackoverflow.com/questions/1508147/generate-an-abbreviation-from-a-string-in-javascript-using-regular-expressions,Generate an abbreviation from a string in JavaScript using regular expressions?,,,,
11,"['javascript', 'string']","{'account_id': 567031, 'reputation': 1191, 'user_id': 195072, 'user_type': 'unregistered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/82ec3a03de9ed17ff9ed9924e50147e3?s=256&d=identicon&r=PG', 'display_name': 'drummer', 'link': 'https://stackoverflow.com/users/195072/drummer'}",True,95567,,1611449.0,18,54,1665946424,1256273514,1572584502.0,1611427,CC BY-SA 4.0,https://stackoverflow.com/questions/1611427/reversing-a-string-in-javascript,Reversing a string in JavaScript,,,,
12,"['javascript', 'function', 'iife']","{'account_id': 12662, 'reputation': 82889, 'user_id': 25068, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/152c39ec9f2570aef287d40f9824c5f2?s=256&d=identicon&r=PG', 'display_name': 'Tom Lehman', 'link': 'https://stackoverflow.com/users/25068/tom-lehman'}",True,6326,,1639214.0,15,81,1665818110,1256754541,1665818110.0,1639180,CC BY-SA 4.0,https://stackoverflow.com/questions/1639180/how-does-the-function-construct-work-and-why-do-people-use-it,How does the (function() {})() construct work and why do people use it?,,,,
13,"['javascript', 'jquery', 'ip-address']","{'account_id': 29402, 'reputation': 4860, 'user_id': 79435, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/0949504ab705ea86dd931f90cb224cda?s=256&d=identicon&r=PG', 'display_name': 'Wondering', 'link': 'https://stackoverflow.com/users/79435/wondering'}",True,114080,,1641881.0,4,47,1665487980,1256796461,1343820394.0,1641868,CC BY-SA 3.0,https://stackoverflow.com/questions/1641868/how-to-get-client-ip-address-using-jquery,How to get client IP address using jQuery,,,,
14,"['javascript', 'date', 'date-format', 'time-format']","{'account_id': 17899, 'reputation': 209872, 'user_id': 40521, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/8faa5e8a474933dd207c86fb886a7f28?s=256&d=identicon&r=PG', 'display_name': 'Shyju', 'link': 'https://stackoverflow.com/users/40521/shyju'}",True,1264721,1567287719.0,1643468.0,40,950,1665477100,1256818754,1525969455.0,1643320,CC BY-SA 4.0,https://stackoverflow.com/questions/1643320/get-month-name-from-date,Get month name from Date,,,,
15,"['javascript', 'json']","{'account_id': 19061, 'reputation': 181316, 'user_id': 44330, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/dd5a7ef1476fb01998a215b1642dfd07?s=256&d=identicon&r=PG', 'display_name': 'Jason S', 'link': 'https://stackoverflow.com/users/44330/jason-s'}",True,243449,,1580682.0,5,441,1665404075,1255730058,,1580647,CC BY-SA 2.5,https://stackoverflow.com/questions/1580647/json-why-are-forward-slashes-escaped,JSON: why are forward slashes escaped?,,,,
16,"['javascript', 'jquery']","{'account_id': 38822, 'reputation': 19394, 'user_id': 111669, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/53d35b3593b23ce05ae00db2e755d929?s=256&d=identicon&r=PG', 'display_name': 'Ben Shelock', 'link': 'https://stackoverflow.com/users/111669/ben-shelock'}",True,5450,,,4,3,1665258269,1255815613,1665258269.0,1583303,CC BY-SA 4.0,https://stackoverflow.com/questions/1583303/search-for-words-replace-with-links,"Search For Words, Replace With Links",,,,
17,['javascript'],"{'account_id': 16933, 'reputation': 4898, 'user_id': 37398, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/cb1b89fceff20c576c96c56c64f3485f?s=256&d=identicon&r=PG', 'display_name': 'Txugo', 'link': 'https://stackoverflow.com/users/37398/txugo'}",True,28155,,1542744.0,4,7,1665173613,1255079514,1255079845.0,1542721,CC BY-SA 2.5,https://stackoverflow.com/questions/1542721/window-open-location-no-does-not-work,Window.open location =no does not work,,,,
18,"['javascript', 'random', 'integer']","{'account_id': 45215, 'reputation': 24892, 'user_id': 133211, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/20e759f88694ef8374754f2d6ef82c64?s=256&d=identicon&r=PG', 'display_name': 'zacharyliu', 'link': 'https://stackoverflow.com/users/133211/zacharyliu'}",True,1829785,1382539330.0,1527820.0,39,2424,1664900580,1254859541,1650289740.0,1527803,CC BY-SA 4.0,https://stackoverflow.com/questions/1527803/generating-random-whole-numbers-in-javascript-in-a-specific-range,Generating random whole numbers in JavaScript in a specific range,,,,
19,"['javascript', 'image', 'preload']","{'account_id': 59529, 'reputation': 9, 'user_id': 178105, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e6e14a2289b87099a8a55f2220b4d547?s=256&d=identicon&r=PG', 'display_name': 'fear2670', 'link': 'https://stackoverflow.com/users/178105/fear2670'}",True,247,,,1,0,1664646749,1254540585,1664646749.0,1512709,CC BY-SA 4.0,https://stackoverflow.com/questions/1512709/javascript-array-pre-load,Javascript Array Pre-load,,,,
20,"['javascript', 'security']","{'account_id': 65944, 'reputation': 5149, 'user_id': 193748, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a977d1323e45639e698b6766a91796f1?s=256&d=identicon&r=PG', 'display_name': 'barkmadley', 'link': 'https://stackoverflow.com/users/193748/barkmadley'}",True,3539,,1631209.0,8,5,1664292547,1256653069,,1631134,CC BY-SA 2.5,https://stackoverflow.com/questions/1631134/is-javascripts-access-to-a-password-fields-value-considered-a-security-risk,Is javascripts access to a password fields value considered a security risk?,,,,
21,"['javascript', 'arrays', 'string', 'return', 'call']","{'user_type': 'does_not_exist', 'display_name': 'Francis'}",True,38149,,,6,8,1664103879,1254671017,,1516695,CC BY-SA 2.5,https://stackoverflow.com/questions/1516695/js-math-random-for-array,JS: Math.random for array,,,,
22,"['javascript', 'date', 'date-formatting']","{'account_id': 34133, 'reputation': 37645, 'user_id': 96180, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/2a6e8a3b32c10243af8f867291f31eab?s=256&d=identicon&r=PG', 'display_name': 'Suresh', 'link': 'https://stackoverflow.com/users/96180/suresh'}",True,3908059,1329033273.0,4929629.0,61,2890,1663413233,1254915542,1610668270.0,1531093,CC BY-SA 4.0,https://stackoverflow.com/questions/1531093/how-do-i-get-the-current-date-in-javascript,How do I get the current date in JavaScript?,,,,
23,"['javascript', 'html', 'jquery', 'internet-explorer', 'html-select']","{'account_id': 1257, 'reputation': 2708, 'user_id': 1672, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/65c8031007fba9649471c2647349f981?s=256&d=identicon&r=PG', 'display_name': 'Josh Bush', 'link': 'https://stackoverflow.com/users/1672/josh-bush'}",True,2764,,1643906.0,2,1,1663317124,1256823876,1663317124.0,1643845,CC BY-SA 4.0,https://stackoverflow.com/questions/1643845/capture-mouse-events-for-html-option-element-on-ie,Capture mouse events for HTML option element on IE,,,,
24,"['javascript', 'anchor', 'href', 'relative-url']","{'account_id': 49442, 'reputation': 1725, 'user_id': 147202, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/7bae109db8ba72314cf4f973f1dcdb9d?s=256&d=identicon&r=PG', 'display_name': 'wfaulk', 'link': 'https://stackoverflow.com/users/147202/wfaulk'}",True,51799,,1550908.0,4,63,1663076380,1255273484,,1550901,CC BY-SA 2.5,https://stackoverflow.com/questions/1550901/how-to-get-raw-href-contents-in-javascript,How to get &quot;raw&quot; href contents in JavaScript,,,,
25,"['javascript', 'jquery', 'html-select']","{'account_id': 45903, 'reputation': 5923, 'user_id': 135498, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/ebe50c0543efe7802bcad307e8264bda?s=256&d=identicon&r=PG', 'display_name': 'user135498', 'link': 'https://stackoverflow.com/users/135498/user135498'}",True,26718,,1518422.0,2,16,1662481250,1254721349,1662481250.0,1518418,CC BY-SA 4.0,https://stackoverflow.com/questions/1518418/jquery-add-an-option-to-a-select,jQuery: add an &lt;option&gt; to a &lt;select&gt;,,,,
26,"['javascript', 'html']","{'account_id': 14576, 'reputation': 18047, 'user_id': 30099, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/539fef7a0aa086c2299fc06ae5e3e5f3?s=256&d=identicon&r=PG', 'display_name': 'Jamey McElveen', 'link': 'https://stackoverflow.com/users/30099/jamey-mcelveen'}",True,118,,1643103.0,5,0,1662473625,1256815811,1662473625.0,1643086,CC BY-SA 4.0,https://stackoverflow.com/questions/1643086/can-i-accept-an-image-that-is-dragging-in-html,Can I accept an image that is dragging in HTML?,,,,
27,"['javascript', 'regex', 'trim']","{'account_id': 50576, 'reputation': 43553, 'user_id': 150939, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/3Q4Eb.jpg?s=256&g=1', 'display_name': 'jamesmhaley', 'link': 'https://stackoverflow.com/users/150939/jamesmhaley'}",True,34792,,1593870.0,8,17,1662452284,1256036893,1662452284.0,1593859,CC BY-SA 4.0,https://stackoverflow.com/questions/1593859/left-trim-in-javascript,Left Trim in Javascript,,,,
28,"['javascript', 'jquery', 'events', 'browser']","{'account_id': 42707, 'reputation': 23152, 'user_id': 124504, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/c6b63e9914149409d4b007918649ae65?s=256&d=identicon&r=PG', 'display_name': 'khelll', 'link': 'https://stackoverflow.com/users/124504/khelll'}",True,467960,1395260727.0,1632004.0,17,165,1661419930,1256660152,1425294952.0,1631959,CC BY-SA 3.0,https://stackoverflow.com/questions/1631959/how-to-capture-the-browser-window-close-event,How to capture the browser window close event?,,,,
29,"['javascript', 'rounding']","{'account_id': 54861, 'reputation': 39257, 'user_id': 164230, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/dd53052f52eabc114751609fc2b40174?s=256&d=identicon&r=PG', 'display_name': 'dotty', 'link': 'https://stackoverflow.com/users/164230/dotty'}",True,26514,,1553728.0,8,30,1660548062,1255341596,1660547557.0,1553704,CC BY-SA 4.0,https://stackoverflow.com/questions/1553704/round-a-number-to-nearest-25-in-javascript,Round a number to nearest .25 in JavaScript,,,,
30,"['javascript', 'pdf', 'text']","{'account_id': 49981, 'reputation': 42403, 'user_id': 149008, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/1a8bd268a2ee0c608ced29e192ffec73?s=256&d=identicon&r=PG', 'display_name': 'nacho4d', 'link': 'https://stackoverflow.com/users/149008/nacho4d'}",True,96978,,20522307.0,8,61,1659954006,1255350388,1659954006.0,1554280,CC BY-SA 4.0,https://stackoverflow.com/questions/1554280/how-to-extract-text-from-a-pdf-in-javascript,How to extract text from a PDF in JavaScript,,,,
31,"['javascript', 'jquery', 'html']","{'account_id': 9437, 'reputation': 13097, 'user_id': 17443, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/abe006dc565c07bf484f7138a260c09c?s=256&d=identicon&r=PG', 'display_name': 'Konstantinos', 'link': 'https://stackoverflow.com/users/17443/konstantinos'}",True,231661,,1553668.0,5,96,1659804747,1255341104,1594798883.0,1553661,CC BY-SA 4.0,https://stackoverflow.com/questions/1553661/how-to-get-the-onclick-calling-object,How to get the onclick calling object?,,,,
32,"['javascript', 'variables', 'static', 'closures']","{'account_id': 38825, 'reputation': 32002, 'user_id': 111683, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/569ddc6f7b2d926abe84c0914ac8afa9?s=256&d=identicon&r=PG', 'display_name': 'Rajat', 'link': 'https://stackoverflow.com/users/111683/rajat'}",True,810899,1479939459.0,1535687.0,43,806,1659727374,1254976285,1484931614.0,1535631,CC BY-SA 3.0,https://stackoverflow.com/questions/1535631/static-variables-in-javascript,Static variables in JavaScript,,,,
33,"['javascript', 'jquery', 'events', 'preventdefault', 'event-bubbling']","{'user_type': 'does_not_exist', 'display_name': 'user188049'}",True,253579,,,20,132,1659631477,1255285845,1477082495.0,1551389,CC BY-SA 3.0,https://stackoverflow.com/questions/1551389/how-to-unbind-a-listener-that-is-calling-event-preventdefault-using-jquery,How to unbind a listener that is calling event.preventDefault() (using jQuery)?,,,,
