,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,community_owned_date,migrated_from,locked_date
0,"['javascript', 'selection-api']","{'account_id': 180554, 'reputation': 682, 'user_id': 953058, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/7abff61df8eb92d7c12eda2244970404?s=256&d=identicon&r=PG', 'display_name': 'Cory', 'link': 'https://stackoverflow.com/users/953058/cory'}",True,25898,1,4,1669017176,1282512390,1669017176.0,3543476,CC BY-SA 4.0,https://stackoverflow.com/questions/3543476/javascript-selectionstart-selectionend,Javascript selectionStart &amp; selectionEnd,,,,,,,
1,"['javascript', 'regex']","{'account_id': 56742, 'reputation': 72085, 'user_id': 169992, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/OeNfG.png?s=256&g=1', 'display_name': 'Lance', 'link': 'https://stackoverflow.com/users/169992/lance'}",True,174909,17,565,1668349448,1282688553,1602605331.0,3561493,CC BY-SA 4.0,https://stackoverflow.com/questions/3561493/is-there-a-regexp-escape-function-in-javascript,Is there a RegExp.escape function in JavaScript?,1442945454.0,3561711.0,,,,,
2,"['javascript', 'html']","{'account_id': 158641, 'reputation': 4411, 'user_id': 377419, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/822de6d779f1c258ba712d8bc78a3244?s=256&d=identicon&r=PG', 'display_name': 'user377419', 'link': 'https://stackoverflow.com/users/377419/user377419'}",True,782151,19,192,1668170200,1282562531,1630419269.0,3547035,CC BY-SA 4.0,https://stackoverflow.com/questions/3547035/getting-html-form-values,Getting HTML form values,,3547078.0,,,,,
3,"['javascript', 'html', 'http', 'asp-classic']","{'account_id': 181769, 'reputation': 89, 'user_id': 415997, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a509830869ed091c953a70e5948e2df1?s=256&d=identicon&r=PG', 'display_name': 'user415997', 'link': 'https://stackoverflow.com/users/415997/user415997'}",True,56757,4,6,1668107508,1281452467,1322592455.0,3450351,CC BY-SA 3.0,https://stackoverflow.com/questions/3450351/how-to-redirect-webpage-from-one-domain-to-another,How to redirect webpage from one domain to another?,,,,,,,
4,['javascript'],"{'account_id': 640542, 'reputation': 551, 'user_id': 417880, 'user_type': 'unregistered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/db6068696ae1d17f9e031e920f73e206?s=256&d=identicon&r=PG', 'display_name': 'roger rover', 'link': 'https://stackoverflow.com/users/417880/roger-rover'}",True,82380,9,28,1668102379,1282763042,1282764150.0,3569329,CC BY-SA 2.5,https://stackoverflow.com/questions/3569329/javascript-to-make-the-page-jump-to-a-specific-location,Javascript to make the page jump to a specific location,,,,,,,
5,"['javascript', 'regex', 'dns']","{'account_id': 50576, 'reputation': 43553, 'user_id': 150939, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/3Q4Eb.jpg?s=256&g=1', 'display_name': 'jamesmhaley', 'link': 'https://stackoverflow.com/users/150939/jamesmhaley'}",True,14647,6,14,1668098106,1281356038,,3439863,CC BY-SA 2.5,https://stackoverflow.com/questions/3439863/javascript-regex-for-finding-just-the-root-domain-name-without-sub-domains,Javascript/Regex for finding just the root domain name without sub domains,,3765309.0,,,,,
6,"['javascript', 'date', 'date-formatting']","{'account_id': 3246, 'reputation': 182189, 'user_id': 4653, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/a525b89ed2980a2bbc41e1f23dc350cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'leora', 'link': 'https://stackoverflow.com/users/4653/leora'}",True,5947714,67,3246,1667797472,1282606106,1658090478.0,3552461,CC BY-SA 4.0,https://stackoverflow.com/questions/3552461/how-do-i-format-a-date-in-javascript,How do I format a date in JavaScript?,1466893301.0,3552493.0,,,,,
7,"['javascript', 'iframe', 'cross-domain']","{'account_id': 638563, 'reputation': 2453, 'user_id': 412517, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/e3d94697f1e6ab81cb7bdd081205d19f?s=256&d=identicon&r=PG', 'display_name': 'chronofwar', 'link': 'https://stackoverflow.com/users/412517/chronofwar'}",True,348658,19,245,1667785376,1281051678,1549125722.0,3420004,CC BY-SA 4.0,https://stackoverflow.com/questions/3420004/access-parent-url-from-iframe,Access parent URL from iframe,,3420026.0,,,,,
8,['javascript'],"{'account_id': 56742, 'reputation': 72085, 'user_id': 169992, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/OeNfG.png?s=256&g=1', 'display_name': 'Lance', 'link': 'https://stackoverflow.com/users/169992/lance'}",True,648181,9,321,1667747194,1282280806,1510575955.0,3528324,CC BY-SA 3.0,https://stackoverflow.com/questions/3528324/how-to-get-the-previous-url-in-javascript,How to get the previous URL in JavaScript?,1558785999.0,3528331.0,,,,,
9,"['javascript', 'django', 'html', 'django-templates', 'refresh']","{'account_id': 141491, 'reputation': 96970, 'user_id': 348545, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/8c45eeae6f3bdb3e49b50a0b8241f6d4?s=256&d=identicon&r=PG', 'display_name': 'Jonathan Livni', 'link': 'https://stackoverflow.com/users/348545/jonathan-livni'}",True,20217,3,17,1667591383,1282907171,,3583534,CC BY-SA 2.5,https://stackoverflow.com/questions/3583534/refresh-div-element-generated-by-a-django-template,Refresh &lt;div&gt; element generated by a django template,,3583608.0,,,,,
10,"['javascript', 'clipboard', 'google-chrome-extension']","{'account_id': 180927, 'reputation': 2050, 'user_id': 414569, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/c129cc1ecd53c66ad26073dd308d343e?s=256&d=identicon&r=PG', 'display_name': 'Kyle Ross', 'link': 'https://stackoverflow.com/users/414569/kyle-ross'}",True,67292,11,60,1667589128,1281302186,,3436102,CC BY-SA 2.5,https://stackoverflow.com/questions/3436102/copy-to-clipboard-in-chrome-extension,Copy to Clipboard in Chrome Extension,,3442165.0,,,,,
11,"['javascript', 'date']","{'account_id': 3246, 'reputation': 182189, 'user_id': 4653, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/a525b89ed2980a2bbc41e1f23dc350cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'leora', 'link': 'https://stackoverflow.com/users/4653/leora'}",True,95073,11,93,1667076796,1282598457,1666885395.0,3551795,CC BY-SA 4.0,https://stackoverflow.com/questions/3551795/how-to-determine-if-date-is-weekend-in-javascript,How to determine if date is weekend in JavaScript,,3551826.0,,,,,
12,"['javascript', 'events', 'text', 'dom-events', 'paste']","{'account_id': 644002, 'reputation': 51, 'user_id': 429029, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/e90892ecdf7617a17a1bb2bf993bcc1b?s=256&d=identicon&r=PG', 'display_name': 'big mo-mo', 'link': 'https://stackoverflow.com/users/429029/big-mo-mo'}",True,6445,5,5,1666973072,1282615714,1629662927.0,3553092,CC BY-SA 4.0,https://stackoverflow.com/questions/3553092/paste-only-plain-text-into-editable-div,Paste only plain-text into editable div,,,,,,,
13,"['javascript', 'dom-events']","{'account_id': 111819, 'reputation': 26018, 'user_id': 295189, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/eqOkL.png?s=256&g=1', 'display_name': 'Asim Zaidi', 'link': 'https://stackoverflow.com/users/295189/asim-zaidi'}",True,561,1,0,1666563556,1281121230,1666563556.0,3426857,,https://stackoverflow.com/questions/3426857/how-to-check-the-parent-window,How to check the parent window,,,1565409399.0,Duplicate,,,
14,"['javascript', 'obfuscation']","{'account_id': 105665, 'reputation': 5272, 'user_id': 281839, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/298fb4682db214be1ca81451ba3acdb9?s=256&d=identicon&r=PG', 'display_name': 'haansi', 'link': 'https://stackoverflow.com/users/281839/haansi'}",True,21129,10,7,1666039493,1281932903,,3490593,,https://stackoverflow.com/questions/3490593/free-javascript-obfuscator,free javascript obfuscator?,,3490598.0,1503386649.0,Not suitable for this site,,,
15,"['javascript', 'html', 'canvas']","{'account_id': 46335, 'reputation': 8405, 'user_id': 136834, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/bac7991ba7feb225b252a133d81daab0?s=256&d=identicon&r=PG', 'display_name': 'Alex Ivasyuv', 'link': 'https://stackoverflow.com/users/136834/alex-ivasyuv'}",True,62113,8,24,1665898811,1281530110,1281531752.0,3458244,CC BY-SA 2.5,https://stackoverflow.com/questions/3458244/removing-an-image-from-a-canvas-in-html5,Removing an image from a canvas in HTML5,,3458304.0,,,,,
16,"['javascript', 'html', 'jquery', 'layout', 'cross-browser']","{'account_id': 177214, 'reputation': 24884, 'user_id': 408393, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/56caa5013ea2d3887dd207bd35e9dbfe?s=256&d=identicon&r=PG', 'display_name': 'turtledove', 'link': 'https://stackoverflow.com/users/408393/turtledove'}",True,2034398,20,2360,1665817171,1281335338,1591693344.0,3437786,CC BY-SA 4.0,https://stackoverflow.com/questions/3437786/get-the-size-of-the-screen-current-web-page-and-browser-window,"Get the size of the screen, current web page and browser window",1545281083.0,3437825.0,,,,,
17,"['javascript', 'string']","{'account_id': 146405, 'reputation': 58867, 'user_id': 356849, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/INqgP.jpg?s=256&g=1', 'display_name': 'NullVoxPopuli', 'link': 'https://stackoverflow.com/users/356849/nullvoxpopuli'}",True,265376,7,122,1665749842,1282759700,1282760070.0,3568921,CC BY-SA 2.5,https://stackoverflow.com/questions/3568921/how-to-remove-part-of-a-string,How to remove part of a string?,1628457268.0,3568968.0,,,,,
18,"['javascript', 'html', 'css', 'dynamic-html']","{'account_id': 23458, 'reputation': 17940, 'user_id': 58805, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/9e65438df95dc28b6024e20e11562dc3?s=256&d=identicon&r=PG', 'display_name': 'Calmarius', 'link': 'https://stackoverflow.com/users/58805/calmarius'}",True,45585,4,30,1665677498,1282072379,1636454381.0,3506050,CC BY-SA 4.0,https://stackoverflow.com/questions/3506050/how-to-reset-the-style-properties-to-their-css-defaults-in-javascript,How to reset the style properties to their CSS defaults in javascript?,,3506077.0,,,,,
19,['javascript'],"{'account_id': 87055, 'reputation': 46174, 'user_id': 241654, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/23efd8fa757f521bb602c8fc1d47b176?s=256&d=identicon&r=PG', 'display_name': 'CodeOverload', 'link': 'https://stackoverflow.com/users/241654/codeoverload'}",True,225209,27,201,1665593943,1282945114,1470844410.0,3588315,CC BY-SA 3.0,https://stackoverflow.com/questions/3588315/how-to-check-if-the-user-can-go-back-in-browser-history-or-not,How to check if the user can go back in browser history or not,,3588420.0,,,,,
20,"['javascript', 'regex']","{'account_id': 155801, 'reputation': 1140, 'user_id': 372696, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/098669efcbacd14bf7ebe523ef638a5c?s=256&d=identicon&r=PG', 'display_name': 'abarr', 'link': 'https://stackoverflow.com/users/372696/abarr'}",True,8268,4,6,1665567411,1281266413,1281266867.0,3434120,CC BY-SA 2.5,https://stackoverflow.com/questions/3434120/regex-for-single-lower-case-word,regex for single lower case word,,3434125.0,,,,,
21,['javascript'],"{'account_id': 50010, 'reputation': 105588, 'user_id': 149080, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/685eca46bfebf9233cc276b415a74ddb?s=256&d=identicon&r=PG', 'display_name': 'AnApprentice', 'link': 'https://stackoverflow.com/users/149080/anapprentice'}",True,135211,18,72,1665310816,1281323994,,3437133,CC BY-SA 2.5,https://stackoverflow.com/questions/3437133/javascript-generate-a-random-number-that-is-9-numbers-in-length,"JavaScript, Generate a Random Number that is 9 numbers in length",,3437139.0,,,,,
22,"['javascript', 'asp.net-3.5', 'devexpress']","{'account_id': 134168, 'reputation': 6470, 'user_id': 336100, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/0a53bc8c101e3325e8dbbc7aab82f8ec?s=256&d=identicon&r=PG', 'display_name': 'shamim', 'link': 'https://stackoverflow.com/users/336100/shamim'}",False,7693,3,0,1664632820,1281160991,,3429334,CC BY-SA 2.5,https://stackoverflow.com/questions/3429334/how-to-control-loading-panel-on-button-click,How to control Loading panel on button click,,,,,,,
23,"['javascript', 'webserver', 'node.js']","{'user_type': 'does_not_exist', 'display_name': 'user372551'}",True,7682,10,12,1664382215,1281427413,1436922468.0,3447063,CC BY-SA 3.0,https://stackoverflow.com/questions/3447063/installing-nodejs-on-windows-machine,Installing NodeJS on windows machine?,,3452720.0,,,,,
24,"['javascript', 'regex', 'url', 'youtube']","{'account_id': 160464, 'reputation': 56365, 'user_id': 380562, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/ShCrU.jpg?s=256&g=1', 'display_name': 'Adam Halasz', 'link': 'https://stackoverflow.com/users/380562/adam-halasz'}",True,353262,48,322,1664370221,1281467637,1502416379.0,3452546,CC BY-SA 3.0,https://stackoverflow.com/questions/3452546/how-do-i-get-the-youtube-video-id-from-a-url,How do I get the YouTube video ID from a URL?,,3452617.0,,,,,
25,"['javascript', 'settimeout']","{'account_id': 46972, 'reputation': 349013, 'user_id': 139010, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/0df2f3c2d3b43605889eb90231fb6884?s=256&d=identicon&r=PG', 'display_name': 'Matt Ball', 'link': 'https://stackoverflow.com/users/139010/matt-ball'}",True,49451,7,130,1664285840,1281622438,,3468607,CC BY-SA 2.5,https://stackoverflow.com/questions/3468607/why-does-settimeout-break-for-large-millisecond-delay-values,Why does setTimeout() &quot;break&quot; for large millisecond delay values?,,3468650.0,,,,,
26,"['javascript', 'cookies']","{'account_id': 178276, 'reputation': 1820, 'user_id': 410137, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/BbqCG.jpg?s=256&g=1', 'display_name': 'Speldosa', 'link': 'https://stackoverflow.com/users/410137/speldosa'}",True,183960,11,95,1664218607,1280869697,1280873074.0,3400759,CC BY-SA 2.5,https://stackoverflow.com/questions/3400759/how-can-i-list-all-cookies-for-the-current-page-with-javascript,How can I list all cookies for the current page with Javascript?,,3400787.0,,,,,
27,['javascript'],"{'account_id': 166325, 'reputation': 4404, 'user_id': 390370, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/c5ad22b6a40157430eb8842359b453c4?s=256&d=identicon&r=PG', 'display_name': 'Khoi', 'link': 'https://stackoverflow.com/users/390370/khoi'}",True,114969,5,96,1663831931,1281698211,1401723449.0,3476255,CC BY-SA 3.0,https://stackoverflow.com/questions/3476255/in-javascript-how-can-i-tell-if-a-field-exists-inside-an-object,In Javascript. how can I tell if a field exists inside an object?,,3476264.0,,,,,
28,"['javascript', 'geolocation']","{'account_id': 69797, 'reputation': 22514, 'user_id': 202895, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/14e157bbff2626b035608d0d73cca14e?s=256&d=identicon&r=PG', 'display_name': 'Gal', 'link': 'https://stackoverflow.com/users/202895/gal'}",True,326372,12,144,1663548491,1281909737,1509460393.0,3489460,,https://stackoverflow.com/questions/3489460/how-to-get-visitors-location-i-e-country-using-geolocation,How to get visitor&#39;s location (i.e. country) using geolocation?,1483973683.0,3528512.0,1667572738.0,Not suitable for this site,,,
