,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,locked_date
0,"['javascript', 'text', 'bookmarklet']","{'account_id': 205452, 'reputation': 634, 'user_id': 454220, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/0b5471f51c413dce11547689e5e8ce1f?s=256&d=identicon&r=PG', 'display_name': 'Denis Bobrovnikov', 'link': 'https://stackoverflow.com/users/454220/denis-bobrovnikov'}",True,1353,1669572998.0,2,0,1669572024,1328639201,1328639799.0,9181707,CC BY-SA 3.0,https://stackoverflow.com/questions/9181707/javascript-bookmarklet-for-clicking-links-with-specific-text,Javascript Bookmarklet for Clicking Links With Specific Text,,,,,
1,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1068040, 'reputation': 65, 'user_id': 1068030, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/d46d15a5a06b1bee149f84ad30d6a477?s=256&d=identicon&r=PG', 'display_name': 'KarzhouAndrew', 'link': 'https://stackoverflow.com/users/1068030/karzhouandrew'}",True,215,,1,1,1669549819,1329733393,1669549819.0,9359550,CC BY-SA 4.0,https://stackoverflow.com/questions/9359550/catching-jquery-event-in-ie8,Catching jQuery event in IE8,,,,,
2,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1105923, 'reputation': 169, 'user_id': 1097320, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/26b1888678c1e83240d1ce9a9b0ec1c0?s=256&d=identicon&r=PG', 'display_name': 'Majid Shahmohammadi', 'link': 'https://stackoverflow.com/users/1097320/majid-shahmohammadi'}",False,672,,3,0,1669549690,1329819234,1669549690.0,9375685,CC BY-SA 4.0,https://stackoverflow.com/questions/9375685/javascript-onselect-for-p-tag,JavaScript onselect for p tag,,,,,
3,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1270683, 'reputation': 79, 'user_id': 1227031, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/1efdd291e8938ac21b4c4c3e185f5596?s=256&d=identicon&r=PG', 'display_name': 'cowmix', 'link': 'https://stackoverflow.com/users/1227031/cowmix'}",True,248,,1,2,1669549548,1329951525,1669549548.0,9404576,CC BY-SA 4.0,https://stackoverflow.com/questions/9404576/jquery-event-performance-vs-memory-usage,Jquery Event Performance vs Memory Usage,9406380.0,,,,
4,"['javascript', 'jquery', 'jquery-events']","{'account_id': 144295, 'reputation': 2624, 'user_id': 353241, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/5e0d4db2ae037d698afccf67be5e552b?s=256&d=identicon&r=PG', 'display_name': 'Sarath', 'link': 'https://stackoverflow.com/users/353241/sarath'}",True,2185,,2,0,1669545106,1329999236,1669545106.0,9412876,CC BY-SA 4.0,https://stackoverflow.com/questions/9412876/blur-does-not-fire-on-p-tag,blur does not fire on p tag,9412921.0,,,,
5,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1249281, 'reputation': 47, 'user_id': 1210042, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/3167a9418d796e9ede83464dbe4b0766?s=256&d=identicon&r=PG', 'display_name': 'TucsonLabs', 'link': 'https://stackoverflow.com/users/1210042/tucsonlabs'}",True,1777,,3,2,1669545052,1329843362,1669545052.0,9381668,CC BY-SA 4.0,https://stackoverflow.com/questions/9381668/jquery-validation-plugin-focus-event-inconsistent-on-key-mouse-events,jQuery validation plugin - focus event inconsistent on key/mouse events,9417141.0,,,,
6,"['javascript', 'jquery', 'jquery-events']","{'account_id': 177441, 'reputation': 9982, 'user_id': 408773, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/d0268404afae44a5d176d1d8144bca1d?s=256&d=identicon&r=PG', 'display_name': 'periklis', 'link': 'https://stackoverflow.com/users/408773/periklis'}",True,316,,2,1,1669545007,1330085797,1669545007.0,9430614,CC BY-SA 4.0,https://stackoverflow.com/questions/9430614/jquery-bind-event-sequence,jQuery bind event sequence,9430699.0,,,,
7,"['javascript', 'jquery', 'jquery-events']","{'account_id': 422823, 'reputation': 10125, 'user_id': 801820, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/3fbcb3b3afbf7b191024cc0b53f1ee96?s=256&d=identicon&r=PG', 'display_name': '9-bits', 'link': 'https://stackoverflow.com/users/801820/9-bits'}",True,2675,,3,0,1669544966,1330091261,1669544966.0,9431792,CC BY-SA 4.0,https://stackoverflow.com/questions/9431792/will-attaching-multiple-js-click-handlers-slow-down-a-page,Will attaching multiple JS click handlers slow down a page?,9431864.0,,,,
8,"['javascript', 'jquery']","{'account_id': 86178, 'reputation': 41253, 'user_id': 1444475, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/b51b5cc4ac03ec4f688fc9ae5908a663?s=256&d=identicon&r=PG', 'display_name': 'matt', 'link': 'https://stackoverflow.com/users/1444475/matt'}",True,1990,,2,1,1669488786,1328517972,1669488786.0,9157547,CC BY-SA 4.0,https://stackoverflow.com/questions/9157547/jquery-animate-addclass-expand-container,jQuery: animate addClass() - expand container?,9157652.0,,,,
9,"['javascript', 'jquery', 'jquery-events']","{'account_id': 126889, 'reputation': 10985, 'user_id': 323698, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/2cbf1f4321b5863af35e1fd634d85506?s=256&d=identicon&r=PG', 'display_name': 'jini', 'link': 'https://stackoverflow.com/users/323698/jini'}",True,137,,1,1,1669488439,1330239127,1669488439.0,9451171,CC BY-SA 4.0,https://stackoverflow.com/questions/9451171/why-am-i-not-getting-the-complete-url-parameters-using-jquery,Why am I not getting the complete URL parameters using jQuery?,9451256.0,,,,
