,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,closed_date,closed_reason
0,"['javascript', 'reactjs', 'react-ref']","{'account_id': 383060, 'reputation': 102, 'user_id': 738672, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/de42aa33c64cd22bdd0cbe4c1bccbfd6?s=256&d=identicon&r=PG', 'display_name': 'werdnanoslen', 'link': 'https://stackoverflow.com/users/738672/werdnanoslen'}",True,335,73611662.0,2,0,1669555305,1661692728,1662614689.0,73519009,CC BY-SA 4.0,https://stackoverflow.com/questions/73519009/react-ref-null-after-re-rendering-element,React ref null after re-rendering element,,,,
1,"['javascript', 'node.js', 'reactjs', 'mongodb', 'httprequest']","{'account_id': 20215295, 'reputation': 55, 'user_id': 14826306, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhCPMmMLfSAdqs-kFlF939W9F79hQU5FmZT4Q16vjo=k-s256', 'display_name': 'Cole Ogden', 'link': 'https://stackoverflow.com/users/14826306/cole-ogden'}",True,267,,3,2,1669523794,1661446171,,73491122,CC BY-SA 4.0,https://stackoverflow.com/questions/73491122/http-requests-in-react-app-not-working-over-network-connection-but-working-on-lo,HTTP requests in react app not working over network connection but working on local host,50.0,1669890586.0,,
2,"['javascript', 'arrow-functions', 'executioncontext']","{'account_id': 20830529, 'reputation': 9, 'user_id': 15299937, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-6EV__HcWx-E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl-dTca5eyjHBeE6vy6rtcF1ZhWQg/s96-c/photo.jpg?sz=256', 'display_name': 'Ankit', 'link': 'https://stackoverflow.com/users/15299937/ankit'}",True,94,,3,0,1669522179,1661181448,1661181752.0,73447425,CC BY-SA 4.0,https://stackoverflow.com/questions/73447425/arrow-functions-execution-context,Arrow Functions Execution Context,,,,
3,"['javascript', 'schema', 'joi']","{'account_id': 1287942, 'reputation': 3246, 'user_id': 1240649, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/35a6f4ba2c16792398851d1db61fc9c9?s=256&d=identicon&r=PG', 'display_name': 'Wayneio', 'link': 'https://stackoverflow.com/users/1240649/wayneio'}",False,177,,1,2,1669491142,1660906844,,73415737,CC BY-SA 4.0,https://stackoverflow.com/questions/73415737/how-to-make-joi-warning-on-non-existant-property,How To Make Joi Warning On Non-Existant property,,,,
4,"['javascript', 'node.js', 'discord', 'discord.js']","{'account_id': 25807222, 'reputation': 13, 'user_id': 19548591, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c7e4963124d0b9ce16aca4719f819f1?s=256&d=identicon&r=PG', 'display_name': 'Ravioli', 'link': 'https://stackoverflow.com/users/19548591/ravioli'}",True,664,73369912.0,4,0,1669473892,1660541641,,73357232,CC BY-SA 4.0,https://stackoverflow.com/questions/73357232/why-is-my-messagecreate-event-not-working-discord-js,Why is my messageCreate event not working? (discord.js),,,,
5,"['javascript', 'node.js', 'arrays']","{'account_id': 19606876, 'reputation': 1509, 'user_id': 14350333, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/NvQIE.png?s=256&g=1', 'display_name': 'Yusuf', 'link': 'https://stackoverflow.com/users/14350333/yusuf'}",False,1088,,2,1,1669458115,1659719289,1659719908.0,73253207,CC BY-SA 4.0,https://stackoverflow.com/questions/73253207/typeerror-products-groupby-is-not-a-function,TypeError: products.groupBy is not a function,,,,
6,"['javascript', 'arrays', 'json', 'merge']","{'account_id': 1661585, 'reputation': 2053, 'user_id': 1529770, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/645c84b872a933579db354de670d3832?s=256&d=identicon&r=PG', 'display_name': 'Genspec', 'link': 'https://stackoverflow.com/users/1529770/genspec'}",False,58,,1,0,1669451243,1660540305,1669451243.0,73357133,CC BY-SA 4.0,https://stackoverflow.com/questions/73357133/update-json-array-from-another-json-array-with-javascript,Update json array from another json array with javascript,,,,
7,"['javascript', 'html', 'forms', 'libraries', 'remix.run']","{'account_id': 15253686, 'reputation': 1, 'user_id': 11006215, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HmJpp.jpg?s=256&g=1', 'display_name': 'Maieul', 'link': 'https://stackoverflow.com/users/11006215/maieul'}",False,129,,0,-1,1669384987,1661494117,,73496729,,https://stackoverflow.com/questions/73496729/how-to-handle-client-side-form-valudation-in-remix,How to handle Client-side Form valudation in Remix?,,,1669399269.0,Not suitable for this site
8,"['javascript', 'node.js', 'reactjs', 'local-storage']","{'account_id': 9416807, 'reputation': 261, 'user_id': 7004312, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6bc3493d9e184e9c271ec74d43d33e43?s=256&d=identicon&r=PG&f=1', 'display_name': 'S Ahmed Naim', 'link': 'https://stackoverflow.com/users/7004312/s-ahmed-naim'}",False,121,,1,0,1669363081,1660822246,1660823099.0,73402325,CC BY-SA 4.0,https://stackoverflow.com/questions/73402325/reactjs-local-storage-taking-time-to-store-token-and-login-page-is-unable-to-r,"ReactJS: Local Storage taking time to store token, and login page is unable to redirect first time to dashboard route",,,,
9,"['javascript', 'reactjs', 'material-ui']","{'account_id': 22213940, 'reputation': 1, 'user_id': 16452660, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwzsl_p-8r1rYYD_DOd8bFLkR5ZcGbpphH98KoF=k-s256', 'display_name': 'Ahmad Fareed work', 'link': 'https://stackoverflow.com/users/16452660/ahmad-fareed-work'}",False,162,,2,0,1669358112,1661422067,,73485684,CC BY-SA 4.0,https://stackoverflow.com/questions/73485684/how-to-open-reactjs-mui-datepicker-popup-when-click-inside-it-to-edit-date-witho,How to open Reactjs MUI DatePicker popup when click inside it to edit date without using openPickerButton?,,,,
