,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,migrated_from,community_owned_date
0,"['javascript', 'html']","{'account_id': 1206969, 'reputation': 87, 'user_id': 1176367, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/e667dc114ea52b16fc62502b396d6b94?s=256&d=identicon&r=PG', 'display_name': 'zhaobaloth', 'link': 'https://stackoverflow.com/users/1176367/zhaobaloth'}",True,15071,12424209.0,8,4,1669559089,1347624238,12424185,CC BY-SA 3.0,https://stackoverflow.com/questions/12424185/limit-min-max-integer-on-javascript-variable,Limit min/max integer on javascript variable,,,,,,
1,"['javascript', 'jquery', 'iphone', 'ipad', 'mobile-safari']","{'account_id': 472248, 'reputation': 17978, 'user_id': 880619, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/z2G6A.jpg?s=256&g=1', 'display_name': 'Jasper de Vries', 'link': 'https://stackoverflow.com/users/880619/jasper-de-vries'}",True,69326,12472477.0,7,39,1669401153,1346947254,12304012,CC BY-SA 3.0,https://stackoverflow.com/questions/12304012/preventing-default-context-menu-on-longpress-longclick-in-mobile-safari-ipad,Preventing default context menu on longpress / longclick in mobile Safari (iPad / iPhone),1523523414.0,,,,,
2,"['javascript', 'jquery', 'wordpress']","{'account_id': 1808859, 'reputation': 609, 'user_id': 1645326, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a445c0b467455980e40b20f65609e60?s=256&d=identicon&r=PG', 'display_name': 'user1645326', 'link': 'https://stackoverflow.com/users/1645326/user1645326'}",True,159716,,13,60,1669219608,1346741963,12258282,CC BY-SA 4.0,https://stackoverflow.com/questions/12258282/typeerror-is-not-a-function-wordpress,TypeError: $ is not a function WordPress,1555177981.0,,,,,
3,"['javascript', 'arrays']","{'account_id': 94735, 'reputation': 14619, 'user_id': 258482, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/1e5078a857acb4ce01a9ae3923890285?s=256&d=identicon&r=PG', 'display_name': 'Arlen Beiler', 'link': 'https://stackoverflow.com/users/258482/arlen-beiler'}",True,1363562,12462387.0,20,604,1669123103,1347895191,12462318,,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,Find a value in an array of objects in Javascript,1347896073.0,1520212158.0,Duplicate,,,
4,"['javascript', 'node.js', 'fs']","{'account_id': 1477871, 'reputation': 2970, 'user_id': 1387844, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/8b001da7294d6bb1bff60193e2eed54e?s=256&d=identicon&r=PG', 'display_name': 'gtmtg', 'link': 'https://stackoverflow.com/users/1387844/gtmtg'}",True,1129,12451312.0,2,5,1669102505,1347834676,12451285,CC BY-SA 3.0,https://stackoverflow.com/questions/12451285/fs-in-node-js-doesnt-understand,fs in Node.js Doesn&#39;t Understand ~/,,,,,,
5,"['javascript', 'jquery', 'html', 'css']","{'account_id': 948983, 'reputation': 29832, 'user_id': 975566, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/75f945ecacb75c315681710b709fb207?s=256&d=identicon&r=PG', 'display_name': 'Samantha J T Star', 'link': 'https://stackoverflow.com/users/975566/samantha-j-t-star'}",True,124,12366865.0,3,3,1669020637,1347356374,12366845,CC BY-SA 3.0,https://stackoverflow.com/questions/12366845/is-there-any-possible-reason-why-i-should-specify-type-button-for-my-button-el,Is there any possible reason why I should specify type=&quot;button&quot; for my button element?,,,,,,
6,"['javascript', 'jquery', 'textselection', 'selection-api']","{'account_id': 1763232, 'reputation': 38953, 'user_id': 1609729, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/f8572977c1b0afc39a670b2f654a3611?s=256&d=identicon&r=PG', 'display_name': 'Oto Shavadze', 'link': 'https://stackoverflow.com/users/1609729/oto-shavadze'}",True,5779,12446459.0,1,1,1669017221,1347794598,12446449,,https://stackoverflow.com/questions/12446449/how-can-i-utilize-selectionstart,How can I utilize selectionStart?,1669017221.0,1360528408.0,exact duplicate,,,
7,"['javascript', 'twitter-bootstrap', 'accordion']","{'account_id': 250621, 'reputation': 7282, 'user_id': 527460, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/0cece5abd2f9ad9056f5ac3830ac0bfe?s=256&d=identicon&r=PG', 'display_name': 'mightybyte', 'link': 'https://stackoverflow.com/users/527460/mightybyte'}",True,11440,12678347.0,2,10,1668875759,1348861755,12646455,CC BY-SA 4.0,https://stackoverflow.com/questions/12646455/accordion-doesnt-collapse,Accordion doesn&#39;t collapse,1668875759.0,,,,,
8,"['javascript', 'angularjs', 'expand']","{'account_id': 354075, 'reputation': 1146, 'user_id': 692197, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/05cf58239f8c3fd93fe0ddd9522cb828?s=256&d=identicon&r=PG&f=1', 'display_name': 'yaegerbomb', 'link': 'https://stackoverflow.com/users/692197/yaegerbomb'}",True,130692,14296257.0,6,23,1668835877,1348667843,12603425,CC BY-SA 4.0,https://stackoverflow.com/questions/12603425/expand-and-collapse-with-angularjs,Expand and collapse with AngularJS,1668835877.0,,,,,
9,"['javascript', 'graph', 'google-visualization', 'pie-chart']","{'account_id': 362934, 'reputation': 3148, 'user_id': 706394, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/803f403032e915ea369dc0b66922f15e?s=256&d=identicon&r=PG', 'display_name': 'juminoz', 'link': 'https://stackoverflow.com/users/706394/juminoz'}",True,6386,12429721.0,2,4,1668534290,1347586145,12417009,CC BY-SA 3.0,https://stackoverflow.com/questions/12417009/google-pie-chart-not-showing-all-data-rows,Google Pie Chart not Showing All Data Rows,,,,,,
10,"['javascript', 'ckeditor', 'richtext', 'dom', 'execcommand']","{'account_id': 169123, 'reputation': 3881, 'user_id': 395029, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://i.stack.imgur.com/iWHeY.jpg?s=256&g=1', 'display_name': 'Brent', 'link': 'https://stackoverflow.com/users/395029/brent'}",True,11882,,3,24,1668468142,1346691125,12251629,CC BY-SA 3.0,https://stackoverflow.com/questions/12251629/is-there-something-better-than-document-execcommand,Is there something better than document.execCommand?,1346692131.0,,,,,
