,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,accepted_answer_id,closed_reason,community_owned_date,locked_date
0,['javascript'],"{'account_id': 569006, 'reputation': 10853, 'user_id': 201886, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/81a5755451381d33484b213952f878ac?s=256&d=identicon&r=PG', 'display_name': 'HankH', 'link': 'https://stackoverflow.com/users/201886/hankh'}",True,1376821,1418871360.0,58,1081,1669104895,1257272306,1613648439.0,1669190,CC BY-SA 4.0,https://stackoverflow.com/questions/1669190/find-the-min-max-element-of-an-array-in-javascript,Find the min/max element of an array in JavaScript,,,,,
1,"['javascript', 'jquery']","{'account_id': 73148, 'reputation': 5753, 'user_id': 210809, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/0fed39e0e06dc4780100a5e9451aeb72?s=256&d=identicon&r=PG', 'display_name': 'ckknight', 'link': 'https://stackoverflow.com/users/210809/ckknight'}",True,363002,,6,433,1668763354,1258592433,1495540510.0,1760250,,https://stackoverflow.com/questions/1760250/how-to-tell-if-browser-tab-is-active,How to tell if browser/tab is active,1355863794.0,1760268.0,exact duplicate,,
2,"['javascript', 'dom-events']","{'account_id': 17171, 'reputation': 36951, 'user_id': 38172, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/5b5506e29d988e9b4f3408d50d8bc9c9?s=256&d=identicon&r=PG', 'display_name': 'praveenjayapal', 'link': 'https://stackoverflow.com/users/38172/praveenjayapal'}",True,129698,,10,51,1668625718,1259237558,1566663889.0,1803338,CC BY-SA 4.0,https://stackoverflow.com/questions/1803338/how-to-advance-to-the-next-form-input-when-the-current-input-has-a-value,How to advance to the next form input when the current input has a value?,,,,,
3,"['javascript', 'jquery']","{'account_id': 65592, 'reputation': 5231, 'user_id': 192923, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/11d883d52f696be825e4f17fc47bc6c5?s=256&d=identicon&r=PG&f=1', 'display_name': 'nimi', 'link': 'https://stackoverflow.com/users/192923/nimi'}",True,33303,,5,7,1668457113,1257144353,1257144398.0,1659766,CC BY-SA 2.5,https://stackoverflow.com/questions/1659766/how-to-remove-li-li-from-ul,How to remove &lt;li&gt;&lt;/li&gt; from ul?,,1659775.0,,,
4,"['javascript', 'jquery', 'html', 'hotkeys']","{'account_id': 50116, 'reputation': 18798, 'user_id': 149367, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/760651162448ebb12c6a03bcee2b980a?s=256&d=identicon&r=PG', 'display_name': 'HP.', 'link': 'https://stackoverflow.com/users/149367/hp'}",True,67934,,9,105,1667292543,1257461154,1651178179.0,1684196,CC BY-SA 4.0,https://stackoverflow.com/questions/1684196/ctrl-enter-using-jquery-in-a-textarea,Ctrl + Enter using jQuery in a TEXTAREA,,1684236.0,,,
5,"['javascript', 'html', 'html5-canvas']","{'account_id': 155035, 'reputation': 15889, 'user_id': 371407, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/600ad48eea92da6bdab1e6d2b51bf819?s=256&d=identicon&r=PG', 'display_name': 'devyn', 'link': 'https://stackoverflow.com/users/371407/devyn'}",True,647155,1436879959.0,19,452,1667151180,1257213727,1563680204.0,1664785,CC BY-SA 4.0,https://stackoverflow.com/questions/1664785/resize-html5-canvas-to-fit-window,Resize HTML5 canvas to fit window,,3078427.0,,,
6,"['javascript', 'html', 'input-type-file']","{'user_type': 'does_not_exist', 'display_name': 'user188962'}",True,339771,,20,271,1667024709,1257795273,1619394701.0,1703228,CC BY-SA 4.0,https://stackoverflow.com/questions/1703228/how-can-i-clear-an-html-file-input-with-javascript,How can I clear an HTML file input with JavaScript?,,,,,
7,"['javascript', 'performance', 'md5']","{'account_id': 11618, 'reputation': 39920, 'user_id': 22470, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/782ed167b5c2c2563480ad62727f6b08?s=256&d=identicon&r=PG', 'display_name': 'powtac', 'link': 'https://stackoverflow.com/users/22470/powtac'}",True,482735,1460404423.0,21,304,1666704833,1257027351,1437597392.0,1655769,CC BY-SA 3.0,https://stackoverflow.com/questions/1655769/fastest-md5-implementation-in-javascript,fastest MD5 Implementation in JavaScript,,1655795.0,,,
8,"['javascript', 'string', 'substring', 'string-matching']","{'account_id': 44798, 'reputation': 18685, 'user_id': 131679, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/4cb7f78dca34d0e27931f743f3aa1f30?s=256&d=identicon&r=PG', 'display_name': 'gramm', 'link': 'https://stackoverflow.com/users/131679/gramm'}",True,7445772,1351859467.0,3,7412,1666075663,1259067869,1554297428.0,1789945,CC BY-SA 4.0,https://stackoverflow.com/questions/1789945/how-to-check-whether-a-string-contains-a-substring-in-javascript,How to check whether a string contains a substring in JavaScript?,,1789952.0,,1388363490.0,1522910801.0
9,"['javascript', 'html', 'file-upload', 'preset']","{'account_id': 47565, 'reputation': 55480, 'user_id': 140937, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/0c4bda44f1d02296589625ef8d19db69?s=256&d=identicon&r=PG', 'display_name': 'Alon Gubkin', 'link': 'https://stackoverflow.com/users/140937/alon-gubkin'}",True,859380,1514401394.0,10,432,1665922373,1257694347,1592454081.0,1696877,CC BY-SA 4.0,https://stackoverflow.com/questions/1696877/how-to-set-a-value-to-a-file-input-in-html,How to set a value to a file input in HTML?,,1696884.0,,,
