,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,community_owned_date,locked_date
0,"['javascript', 'iframe', 'asp.net-ajax', 'callback']","{'account_id': 76936, 'reputation': 3733, 'user_id': 219929, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/e9f13bae2ff9ac362456f7e9bb90e560?s=256&d=identicon&r=PG', 'display_name': 'Matty F', 'link': 'https://stackoverflow.com/users/219929/matty-f'}",True,10277,4251931.0,5,1,1669106850,1289795722,1290475864.0,4181433,CC BY-SA 2.5,https://stackoverflow.com/questions/4181433/creating-a-javascript-callback-in-an-iframe,Creating a JavaScript callback in an iframe,,,,,,
1,"['javascript', 'arrays', 'object']","{'account_id': 73045, 'reputation': 104151, 'user_id': 210578, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/9b414342cb0e6b1c7b4fb31f6223b2a6?s=256&d=identicon&r=PG', 'display_name': 'David Hellsing', 'link': 'https://stackoverflow.com/users/210578/david-hellsing'}",True,1495613,36388401.0,45,755,1669106139,1290090154,1646921908.0,4215737,CC BY-SA 4.0,https://stackoverflow.com/questions/4215737/convert-array-to-object,Convert Array to Object,1572429102.0,,,,,
2,"['javascript', 'html', 'dom', 'selection', 'range']","{'account_id': 671020, 'reputation': 195, 'user_id': 512856, 'user_type': 'unregistered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/85fc3d5789089e30ee3357eeb9bc4b35?s=256&d=identicon&r=PG', 'display_name': 'cria', 'link': 'https://stackoverflow.com/users/512856/cria'}",True,8538,4220888.0,4,11,1669025749,1290120845,,4220478,CC BY-SA 2.5,https://stackoverflow.com/questions/4220478/get-all-dom-block-elements-for-selected-texts,Get all DOM block elements for selected texts,,,,,,
3,"['javascript', 'jquery', 'internet-explorer', 'internet-explorer-8', 'html-input']","{'account_id': 75676, 'reputation': 14809, 'user_id': 217019, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/ede807eedb7fe77242664741f91627f7?s=256&d=identicon&r=PG', 'display_name': 'Mateusz Dymczyk', 'link': 'https://stackoverflow.com/users/217019/mateusz-dymczyk'}",True,11237,4255855.0,1,6,1669019838,1290504889,1669019838.0,4254562,CC BY-SA 4.0,https://stackoverflow.com/questions/4254562/cursor-moves-to-the-beginning-of-a-text-field,Cursor moves to the beginning of a text field,,,,,,
4,"['javascript', 'selection-api']","{'account_id': 110463, 'reputation': 83205, 'user_id': 292291, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/e31d9d39e9fb0ec4cc5573a5e5b01ce7?s=256&d=identicon&r=PG', 'display_name': 'Jiew Meng', 'link': 'https://stackoverflow.com/users/292291/jiew-meng'}",True,280,4312981.0,2,4,1669017890,1291114698,1669017890.0,4312945,CC BY-SA 4.0,https://stackoverflow.com/questions/4312945/where-to-find-javascript-documentation,Where to find JavaScript documentation?,,,,,,
5,"['javascript', 'object', 'properties']","{'account_id': 216397, 'reputation': 10372, 'user_id': 471628, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/dfae05c8dd5d3d57bfc2443c2c187948?s=256&d=identicon&r=PG', 'display_name': 'RichW', 'link': 'https://stackoverflow.com/users/471628/richw'}",True,583067,4244912.0,17,930,1668624789,1290425012,1668624789.0,4244896,CC BY-SA 4.0,https://stackoverflow.com/questions/4244896/accessing-an-object-property-with-a-dynamically-computed-name,Accessing an object property with a dynamically-computed name,1444035646.0,,,,,
6,"['javascript', 'arrays']","{'account_id': 655481, 'reputation': 13981, 'user_id': 454062, 'user_type': 'unregistered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/19d866394045834909d07a5000937ba7?s=256&d=identicon&r=PG', 'display_name': 'bba', 'link': 'https://stackoverflow.com/users/454062/bba'}",True,1511083,4156145.0,19,1138,1668620871,1289489598,1556192406.0,4156101,CC BY-SA 4.0,https://stackoverflow.com/questions/4156101/copy-array-items-into-another-array,Copy array items into another array,1451927579.0,,,,,
7,"['javascript', 'jquery', 'keyboard']","{'account_id': 118548, 'reputation': 12679, 'user_id': 309641, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/YuQvL.jpg?s=256&g=1', 'display_name': 'David Zorychta', 'link': 'https://stackoverflow.com/users/309641/david-zorychta'}",True,421184,4220182.0,34,588,1668573692,1290118384,1657697317.0,4220126,CC BY-SA 4.0,https://stackoverflow.com/questions/4220126/run-javascript-function-when-user-finishes-typing-instead-of-on-key-up,Run javascript function when user finishes typing instead of on key up?,1637139938.0,,,,,
8,"['javascript', 'string']","{'account_id': 110463, 'reputation': 83205, 'user_id': 292291, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/e31d9d39e9fb0ec4cc5573a5e5b01ce7?s=256&d=identicon&r=PG', 'display_name': 'Jiew Meng', 'link': 'https://stackoverflow.com/users/292291/jiew-meng'}",True,710173,4314050.0,19,440,1668329328,1291120859,1540583398.0,4313841,CC BY-SA 4.0,https://stackoverflow.com/questions/4313841/insert-a-string-at-a-specific-index,Insert a string at a specific index,,,,,,
9,"['javascript', 'jquery', 'html', 'iframe']","{'account_id': 78491, 'reputation': 41964, 'user_id': 223367, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/WnWys.png?s=256&g=1', 'display_name': 'Matt Elhotiby', 'link': 'https://stackoverflow.com/users/223367/matt-elhotiby'}",True,349718,4249889.0,18,162,1668207390,1290456942,1471907911.0,4249809,CC BY-SA 3.0,https://stackoverflow.com/questions/4249809/reload-an-iframe-with-jquery,Reload an iframe with jQuery,,,,,,
