,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason
0,"['javascript', 'laravel', 'laravel-livewire']","{'account_id': 2055758, 'reputation': 2180, 'user_id': 1833562, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/3939e880e544d9b9b1e6f0507356244c?s=256&d=identicon&r=PG', 'display_name': 'eskimo', 'link': 'https://stackoverflow.com/users/1833562/eskimo'}",True,6778,6,4,1669183118,1584134968,60677433,CC BY-SA 4.0,https://stackoverflow.com/questions/60677433/bootstrap-select-not-working-after-laravel-livewire-render,Bootstrap select not working after Laravel livewire render,,,,,
1,"['javascript', 'java', 'build', 'ant', 'nashorn']","{'account_id': 4578717, 'reputation': 13, 'user_id': 3716460, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/100001860215923/picture?type=large', 'display_name': 'ScottD', 'link': 'https://stackoverflow.com/users/3716460/scottd'}",True,1306,1,0,1669151713,1583188730,60497654,CC BY-SA 4.0,https://stackoverflow.com/questions/60497654/replacing-javascript-nashornmozilla-compat-js-use-in-ant-script,Replacing javascript nashorn:mozilla_compat.js use in ant script,60515528.0,1583189109.0,,,
2,"['javascript', 'node.js', 'es6-promise', 'es6-modules', 'es6-module-loader']","{'account_id': 210629, 'reputation': 13304, 'user_id': 462347, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/d4a844ef3b87269a475befa714ea708d?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/462347/mike'}",True,2288,1,2,1669134120,1585396320,60900778,CC BY-SA 4.0,https://stackoverflow.com/questions/60900778/imported-commonjs-cjs-into-es-module-mjs-leads-to-typeerror-module-is-not,Imported CommonJS (CJS) into ES Module (MJS) leads to &quot;TypeError: module is not a function&quot; error,60900876.0,1669134120.0,,,
3,"['javascript', 'node.js', 'async-await', 'data-access-layer', 'mysql2']","{'account_id': 210629, 'reputation': 13304, 'user_id': 462347, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/d4a844ef3b87269a475befa714ea708d?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/462347/mike'}",True,1412,2,1,1669130530,1584209694,60685879,CC BY-SA 4.0,https://stackoverflow.com/questions/60685879/err-stream-write-after-end-when-executing-query-with-mysql2-running-on-node-js,ERR_STREAM_WRITE_AFTER_END when executing query with MySQL2 running on Node.js,60686069.0,1669130530.0,,,
4,"['javascript', 'node.js', 'es6-modules', 'commonjs', 'es6-module-loader']","{'account_id': 210629, 'reputation': 13304, 'user_id': 462347, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/d4a844ef3b87269a475befa714ea708d?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/462347/mike'}",True,2227,1,5,1669129660,1585413291,60903616,CC BY-SA 4.0,https://stackoverflow.com/questions/60903616/cant-import-mysql2-promise-into-es-module-mjs-on-node-js-13-14,Can&#39;t import &quot;mysql2/promise&quot; into ES module (MJS) on Node.js 13 / 14,60908634.0,1669129660.0,,,
5,"['javascript', 'python', 'dictionary', 'flask', 'folium']","{'account_id': 16250127, 'reputation': 131, 'user_id': 11734310, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cdd3ba23acc93b012196e34f7cf02237?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ahmed Tawfik', 'link': 'https://stackoverflow.com/users/11734310/ahmed-tawfik'}",True,3801,2,7,1669046780,1583098478,60479995,CC BY-SA 4.0,https://stackoverflow.com/questions/60479995/adding-javascript-to-folium-map,Adding JavaScript to Folium map,,,,,
6,"['javascript', 'angular', 'peerjs']","{'account_id': 14059890, 'reputation': 11, 'user_id': 10156240, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-lWo1HkW2mow/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7qwZ2xyhXLQEOmkSJpeH_iXOl88-g/mo/photo.jpg?sz=256', 'display_name': 'Vusal Alizade', 'link': 'https://stackoverflow.com/users/10156240/vusal-alizade'}",True,1044,3,1,1669031436,1585491615,60915547,CC BY-SA 4.0,https://stackoverflow.com/questions/60915547/how-change-streams-in-peerjs,How change streams in peerJS,,,,,
7,"['javascript', 'node.js', 'angular', 'typescript']","{'account_id': 15459498, 'reputation': 1565, 'user_id': 11152509, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-cEWTknUn130/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfX6Q2F4nriojJauxtZcqZ38yxYcQ/mo/photo.jpg?sz=256', 'display_name': 'Georgian Stan', 'link': 'https://stackoverflow.com/users/11152509/georgian-stan'}",True,73809,8,52,1669005334,1585588578,60935889,CC BY-SA 4.0,https://stackoverflow.com/questions/60935889/cant-do-a-default-import-in-angular-9,Can&#39;t do a default import in Angular 9,60936591.0,1585590586.0,,,
8,"['javascript', 'jquery']","{'account_id': 17934375, 'reputation': 43, 'user_id': 13031008, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e6d61c2e63eb4e5e58205fbbc9df2470?s=256&d=identicon&r=PG&f=1', 'display_name': 'hamza', 'link': 'https://stackoverflow.com/users/13031008/hamza'}",True,4163,1,0,1668834096,1584438557,60719835,CC BY-SA 4.0,https://stackoverflow.com/questions/60719835/how-can-we-use-google-charts-offline,How can we use google charts offline?,60719933.0,,,,
9,"['javascript', 'reactjs', 'mongodb', 'mongoose', 'next.js']","{'account_id': 17957739, 'reputation': 81, 'user_id': 13049359, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f58b583987c5942594722469aebb34ae?s=256&d=identicon&r=PG&f=1', 'display_name': 'Montusker', 'link': 'https://stackoverflow.com/users/13049359/montusker'}",True,17002,5,8,1668796710,1584040262,60660488,CC BY-SA 4.0,https://stackoverflow.com/questions/60660488/is-it-possible-to-run-mongoose-inside-next-js-api,Is it possible to run Mongoose inside next.js api?,,1668796710.0,,,
