,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,locked_date,migrated_from
0,"['javascript', 'unique', 'arrays']","{'account_id': 48869, 'reputation': 82040, 'user_id': 145346, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/9df80e51701bd6a791383150038d09e1?s=256&d=identicon&r=PG', 'display_name': 'Mottie', 'link': 'https://stackoverflow.com/users/145346/mottie'}",True,2800546,1510197347.0,14438954.0,90,2534,1668793220,1261715303,1630696513.0,1960473,CC BY-SA 4.0,https://stackoverflow.com/questions/1960473/get-all-unique-values-in-a-javascript-array-remove-duplicates,Get all unique values in a JavaScript array (remove duplicates),,,,,
1,"['javascript', 'html', 'escaping', 'xml-rpc']","{'account_id': 30352, 'reputation': 14608, 'user_id': 82733, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/a9cd063ebcce45ead965dce637eebfd3?s=256&d=identicon&r=PG', 'display_name': 'Joseph Turian', 'link': 'https://stackoverflow.com/users/82733/joseph-turian'}",True,296563,,1912522.0,32,275,1668783708,1260941241,1638821652.0,1912501,CC BY-SA 4.0,https://stackoverflow.com/questions/1912501/unescape-html-entities-in-javascript,Unescape HTML entities in JavaScript?,,,,,
2,['javascript'],"{'account_id': 65881, 'reputation': 1562, 'user_id': 193577, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/cec5906a55440e08734c3099fee344e6?s=256&d=identicon&r=PG', 'display_name': 'Tinku', 'link': 'https://stackoverflow.com/users/193577/tinku'}",False,7838,,,2,5,1668715465,1259848435,,1839983,CC BY-SA 2.5,https://stackoverflow.com/questions/1839983/image-dpi-using-javascript,Image Dpi using javascript,,,,,
3,"['javascript', 'jquery', 'fancybox']","{'account_id': 69185, 'reputation': 10164, 'user_id': 201469, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/k3Myh.png?s=256&g=1', 'display_name': 'Phil Jackson', 'link': 'https://stackoverflow.com/users/201469/phil-jackson'}",True,218812,,3118743.0,17,62,1668601024,1259705634,1259705745.0,1829319,CC BY-SA 2.5,https://stackoverflow.com/questions/1829319/close-fancy-box-from-function-from-within-open-fancybox,close fancy box from function from within open &#39;fancybox&#39;,,,,,
4,"['javascript', 'translation', 'google-api']","{'account_id': 38121, 'reputation': 8732, 'user_id': 109227, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/3mIMp.jpg?s=256&g=1', 'display_name': 'Tommaso Taruffi', 'link': 'https://stackoverflow.com/users/109227/tommaso-taruffi'}",True,11989,,1900203.0,3,4,1668455838,1260787840,1560754165.0,1900192,CC BY-SA 4.0,https://stackoverflow.com/questions/1900192/google-api-translate-only-a-div-into-page,"google API translate, only a div into page",,,,,
5,"['javascript', 'class', 'toggle', 'getelementbyid', 'getelementsbyclassname']","{'account_id': 577623, 'reputation': 1013, 'user_id': 235208, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/ce0a19c5be310b72fde20bbb13091e97?s=256&d=identicon&r=PG', 'display_name': 'Alan', 'link': 'https://stackoverflow.com/users/235208/alan'}",True,429142,,1933609.0,7,101,1668181427,1261244326,1517703815.0,1933602,CC BY-SA 3.0,https://stackoverflow.com/questions/1933602/how-to-getelementbyclass-instead-of-getelementbyid-with-javascript,How to getElementByClass instead of GetElementById with JavaScript?,,,,,
6,"['javascript', 'ajax', 'cross-browser', 'browser-history']","{'account_id': 36610, 'reputation': 8047, 'user_id': 104461, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/Yca56.png?s=256&g=1', 'display_name': 'Zack Burt', 'link': 'https://stackoverflow.com/users/104461/zack-burt'}",True,76526,,1844577.0,11,84,1668175608,1259893475,1557938875.0,1844491,CC BY-SA 4.0,https://stackoverflow.com/questions/1844491/intercepting-call-to-the-back-button-in-my-ajax-application,Intercepting call to the back button in my AJAX application,,,,,
7,"['javascript', 'html', 'canvas']","{'account_id': 85404, 'reputation': 535, 'user_id': 238121, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/86db98b7a6f7afd090e4f0a10c6c3ad1?s=256&d=identicon&r=PG', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/238121/john'}",True,84275,,,6,50,1667714156,1261642754,1512999899.0,1957346,CC BY-SA 3.0,https://stackoverflow.com/questions/1957346/programmatically-use-rgba-values-in-fillstyle-in-canvas,Programmatically use RGBa values in fillStyle in &lt;canvas&gt;?,,,,,
8,"['javascript', 'string', 'character', 'repeat']","{'account_id': 44787, 'reputation': 51367, 'user_id': 131640, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/288ecb3cc93b05f92b2c7145a8b80c55?s=256&d=identicon&r=PG', 'display_name': 'Steve', 'link': 'https://stackoverflow.com/users/131640/steve'}",True,357598,1534910006.0,1877479.0,25,801,1667700353,1260398917,1611284605.0,1877475,CC BY-SA 4.0,https://stackoverflow.com/questions/1877475/repeat-a-string-in-javascript-a-number-of-times,Repeat a string in JavaScript a number of times,,,,,
9,"['javascript', 'arrays', 'rotation']","{'account_id': 80814, 'reputation': 11575, 'user_id': 228259, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/850c45ade5e219a9d0328372de7bdfac?s=256&d=identicon&r=PG', 'display_name': 'Jean Vincent', 'link': 'https://stackoverflow.com/users/228259/jean-vincent'}",True,135583,,1985471.0,41,113,1667668165,1262263450,1580136682.0,1985260,CC BY-SA 4.0,https://stackoverflow.com/questions/1985260/rotate-the-elements-in-an-array-in-javascript,Rotate the elements in an array in JavaScript,,,,,
