,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date,locked_date
0,"['javascript', 'web', 'mobile', 'zooming', 'pinchzoom']","{'account_id': 14044283, 'reputation': 541, 'user_id': 10144963, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Czmls.jpg?s=256&g=1', 'display_name': 'Th0rgal', 'link': 'https://stackoverflow.com/users/10144963/th0rgal'}",False,63,1,0,1669215732,1664918078,73953708,CC BY-SA 4.0,https://stackoverflow.com/questions/73953708/adding-zoom-to-pinch-on-a-mobile-web-map-app,Adding zoom to pinch on a mobile web map app,,,,,,,
1,"['javascript', 'php', 'laravel', 'customization', 'jwplayer']","{'account_id': 24428134, 'reputation': 1, 'user_id': 18353434, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b705379a9157fb0915daa0d95b965b20?s=256&d=identicon&r=PG', 'display_name': 'Masum Patel', 'link': 'https://stackoverflow.com/users/18353434/masum-patel'}",False,22,1,0,1669208624,1665743152,74067867,CC BY-SA 4.0,https://stackoverflow.com/questions/74067867/upload-custom-thumbnail-to-jw-player-video-laravel,Upload custom thumbnail to JW player video Laravel,,,,,,,
2,"['javascript', 'reactjs', 'select', 'material-ui', 'textfield']","{'account_id': 3494389, 'reputation': 1350, 'user_id': 2923116, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/36e1d0887f812cd3f24ea65cf5815ef5?s=256&d=identicon&r=PG', 'display_name': 'Jayesh Babu', 'link': 'https://stackoverflow.com/users/2923116/jayesh-babu'}",False,44,1,-1,1669203584,1665461229,74022878,CC BY-SA 4.0,https://stackoverflow.com/questions/74022878/why-getelementbyid-not-working-on-select-component,Why getElementById not working on select component?,1669203584.0,,,,,,
3,"['javascript', 'infinite-scroll', 'google-dfp']","{'account_id': 14033908, 'reputation': 341, 'user_id': 10137046, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-f3lEk8R1ckI/AAAAAAAAAAI/AAAAAAAAACw/KWSwHekQHVE/photo.jpg?sz=256', 'display_name': 'Tapu Das', 'link': 'https://stackoverflow.com/users/10137046/tapu-das'}",False,54,1,2,1669190796,1666177925,74124353,CC BY-SA 4.0,https://stackoverflow.com/questions/74124353/infinite-scroll-can-not-serve-multiple-ads-on-same-page-using-same-ad-unit,infinite scroll - can not serve multiple ads on same page using same ad unit,,,,,,,
4,"['javascript', 'react-native', 'react-native-maps']","{'account_id': 26213385, 'reputation': 23, 'user_id': 19891844, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc854a3ca84de771f03968e852fd94ce?s=256&d=identicon&r=PG', 'display_name': 'user19891844', 'link': 'https://stackoverflow.com/users/19891844/user19891844'}",True,27,1,0,1669170027,1665210896,73994920,CC BY-SA 4.0,https://stackoverflow.com/questions/73994920/how-to-display-3-latitude-longitude-marker-in-one-map,how to display 3 latitude &amp; longitude (Marker) in one map?,1665211403.0,74541081.0,,,,,
5,"['javascript', 'reactjs', 'react-native', 'api', 'spotify']","{'account_id': 22508102, 'reputation': 1, 'user_id': 16703392, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/31b3ff6e86d7c0543364432acbd2662c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bonkquaza', 'link': 'https://stackoverflow.com/users/16703392/bonkquaza'}",False,40,1,0,1669168926,1665152096,73988512,CC BY-SA 4.0,https://stackoverflow.com/questions/73988512/spotify-api-authentication-error-in-reactnative,Spotify API authentication error in ReactNative,,,,,,,
6,"['javascript', 'python', 'node.js', 'python-3.x', 'express']","{'account_id': 26096569, 'reputation': 59, 'user_id': 19792621, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmlxOkxzIbMimEbB1agF_sJIi4ms2ckZHSERqGr-=k-s256', 'display_name': 'Steven', 'link': 'https://stackoverflow.com/users/19792621/steven'}",True,47,1,1,1669164099,1666262294,74138480,CC BY-SA 4.0,https://stackoverflow.com/questions/74138480/running-a-python-file-on-the-button-click-in-node-js,Running a python file on the button click in Node JS,1666336914.0,74163184.0,,,,,
7,"['javascript', 'html', 'css']","{'account_id': 25776583, 'reputation': 39, 'user_id': 19522878, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JiTdX.jpg?s=256&g=1', 'display_name': 'Stan Law', 'link': 'https://stackoverflow.com/users/19522878/stan-law'}",True,76,2,1,1669157945,1664707230,73925164,CC BY-SA 4.0,https://stackoverflow.com/questions/73925164/how-to-make-a-slider-loop-with-js,How to make a slider loop with JS?,1664707979.0,73925390.0,,,,,
8,"['javascript', 'reactjs', 'socket.io', 'webrtc', 'peerjs']","{'account_id': 21351573, 'reputation': 113, 'user_id': 15721021, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi9Pi40GwoQB0UPai5a9fMUReggKeK_U8cTG3u4Og=k-s256', 'display_name': 'Circuit Planet', 'link': 'https://stackoverflow.com/users/15721021/circuit-planet'}",True,60,1,0,1669153876,1664603168,73916093,,https://stackoverflow.com/questions/73916093/react-domexception-failed-to-execute-setlocaldescription-on-rtcpeerconnecti,React: DOMException: Failed to execute &#39;setLocalDescription&#39; on &#39;RTCPeerConnection&#39;: Failed to set local answer sdp: Called in wrong state: stable,1669153876.0,73916094.0,1669153657.0,Duplicate,,,
9,"['javascript', 'parse-platform', 'back4app']","{'account_id': 23808222, 'reputation': 1, 'user_id': 20375118, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg6_dTl1U3974J6JDRzK20p40fYIv1YYsNYJD3gMTQ=k-s256', 'display_name': 'Karim', 'link': 'https://stackoverflow.com/users/20375118/karim'}",False,35,1,-1,1669144090,1667176075,74257695,CC BY-SA 4.0,https://stackoverflow.com/questions/74257695/how-do-i-delete-every-parse-column-in-a-class,How do i delete every parse column in a class?,1667256605.0,,,,,,
