,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date,community_owned_date
0,"['javascript', 'npm', 'coffeescript', 'dependency-management']","{'account_id': 216107, 'reputation': 31732, 'user_id': 471136, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/70505981ff01b23b2d6da7ccb3c67785?s=256&d=identicon&r=PG', 'display_name': 'pathikrit', 'link': 'https://stackoverflow.com/users/471136/pathikrit'}",True,44708,1485205373.0,26954819.0,16,95,1669535234,1350294321,1669514652.0,12893046,https://stackoverflow.com/questions/12893046/how-can-i-manage-client-side-javascript-dependencies,Not suitable for this site,How can I manage client-side JavaScript dependencies?,,,
1,"['javascript', 'visual-studio-2012', 'typescript', 'tsc']","{'account_id': 20104, 'reputation': 8369, 'user_id': 47672, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/47b46981e5313aba6ce771fcbf94da1b?s=256&d=identicon&r=PG', 'display_name': '0x49D1', 'link': 'https://stackoverflow.com/users/47672/0x49d1'}",True,133347,,12686232.0,12,61,1669390700,1349162379,1358416488.0,12685995,https://stackoverflow.com/questions/12685995/cant-find-typescript-compiler-command-tsc-is-not-valid,,Can&#39;t find Typescript compiler: Command &quot;tsc&quot; is not valid,CC BY-SA 3.0,,
2,"['javascript', 'twitter-bootstrap']","{'account_id': 343108, 'reputation': 2328, 'user_id': 674613, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/403eddc225db07aad7b1e942fd53ae01?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tomas Jacobsen', 'link': 'https://stackoverflow.com/users/674613/tomas-jacobsen'}",True,335654,,12915237.0,5,62,1669355267,1350392151,1608892659.0,12915222,https://stackoverflow.com/questions/12915222/bootstrap-modal-close-modal-when-call-to-action-button-is-clicked,,Bootstrap modal - close modal when &quot;call to action&quot; button is clicked,CC BY-SA 4.0,,
3,"['javascript', 'css', 'html']","{'account_id': 454793, 'reputation': 711, 'user_id': 852602, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a41a46a4730a75900f0c31cadbdf37f3?s=256&d=identicon&r=PG', 'display_name': 'Akhil Paul', 'link': 'https://stackoverflow.com/users/852602/akhil-paul'}",True,6142,,12790911.0,1,11,1669258719,1349737093,1349739208.0,12790645,https://stackoverflow.com/questions/12790645/how-to-scroll-a-background-image-together-with-text-in-textarea,,How to scroll a background image together with text in textarea?,CC BY-SA 3.0,,
4,"['javascript', 'html', 'printing']","{'account_id': 923741, 'reputation': 4805, 'user_id': 954930, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/1pEmC.png?s=256&g=1', 'display_name': 'Gregor Menih', 'link': 'https://stackoverflow.com/users/954930/gregor-menih'}",True,170806,,12997207.0,18,86,1669205030,1350816268,,12997123,https://stackoverflow.com/questions/12997123/print-specific-part-of-webpage,,Print specific part of webpage,CC BY-SA 3.0,,
5,"['javascript', 'wordpress', 'onmouseover']","{'account_id': 1993064, 'reputation': 134, 'user_id': 1786634, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/tpbwA.jpg?s=256&g=1', 'display_name': 'svsdnb', 'link': 'https://stackoverflow.com/users/1786634/svsdnb'}",True,4921,,13464707.0,1,3,1669186220,1351626208,,13146517,https://stackoverflow.com/questions/13146517/mm-swapimage-onmouseover-not-working-in-ie,,MM_swapImage OnMouseOver not working in IE,CC BY-SA 3.0,,
6,"['javascript', 'knockout.js', 'revealing-module-pattern']","{'account_id': 133011, 'reputation': 5223, 'user_id': 334060, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/A4Tag.jpg?s=256&g=1', 'display_name': 'Tom W Hall', 'link': 'https://stackoverflow.com/users/334060/tom-w-hall'}",True,2557,,13082516.0,3,6,1669083218,1351220937,1669083218.0,13080207,https://stackoverflow.com/questions/13080207/javascript-revealing-module-pattern-exposing-initialization-variables-after-fu,,Javascript Revealing Module pattern - exposing initialization variables after function has returned,CC BY-SA 4.0,,
7,"['javascript', 'arrays']","{'account_id': 1118871, 'reputation': 173, 'user_id': 1107614, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/07dc0efdba5b6ccfc7db31020748a448?s=256&d=identicon&r=PG', 'display_name': 'Kama', 'link': 'https://stackoverflow.com/users/1107614/kama'}",True,558,,12792021.0,2,0,1668801490,1349749116,,12791992,https://stackoverflow.com/questions/12791992/unit-converter-using-javascript-arrays-or-objects,,Unit Converter using Javascript arrays (or objects),CC BY-SA 3.0,,
8,"['javascript', 'node.js', 'mongodb', 'mongoose']","{'account_id': 1849857, 'reputation': 1751, 'user_id': 1676610, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://i.stack.imgur.com/ES1QA.jpg?s=256&g=1', 'display_name': 'dany', 'link': 'https://stackoverflow.com/users/1676610/dany'}",True,19345,,13065224.0,2,9,1668709642,1351155795,,13065121,https://stackoverflow.com/questions/13065121/selecting-particular-fields-in-mongoosejs,,Selecting particular fields in MongooseJs,CC BY-SA 3.0,,
9,"['javascript', 'jquery', 'rounding', 'number-formatting', 'shorthand']","{'account_id': 256329, 'reputation': 331, 'user_id': 536988, 'user_type': 'registered', 'accept_rate': 32, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'denis', 'link': 'https://stackoverflow.com/users/536988/denis'}",True,17451,,,10,8,1668701755,1350320014,1454340984.0,12900332,https://stackoverflow.com/questions/12900332/how-do-i-round-millions-and-thousands-in-javascript,,How do I round millions and thousands in JavaScript?,CC BY-SA 3.0,,
