,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from,locked_date
0,"['javascript', 'overloading']","{'account_id': 1014615, 'reputation': 80037, 'user_id': 1026459, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/pv5mS.png?s=256&g=1', 'display_name': 'Travis J', 'link': 'https://stackoverflow.com/users/1026459/travis-j'}",True,125351,1412434324.0,10855939.0,16,113,1669403566,1338577172,1669403566.0,10855908,CC BY-SA 4.0,https://stackoverflow.com/questions/10855908/how-to-overload-functions-in-javascript,How to overload functions in javascript?,,,,
1,"['javascript', 'xslt']","{'account_id': 1497216, 'reputation': 189, 'user_id': 1402867, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/9012dd2afc2ce978b4be8e9faaeaefc4?s=256&d=identicon&r=PG', 'display_name': 'user1402867', 'link': 'https://stackoverflow.com/users/1402867/user1402867'}",True,5825,,10976931.0,3,5,1669082203,1339150842,,10947035,CC BY-SA 3.0,https://stackoverflow.com/questions/10947035/how-to-access-a-javascript-variable-inside-xslt,how to access a javascript variable inside xslt,,,,
2,"['javascript', 'jquery', 'jquery-events']","{'account_id': 276507, 'reputation': 15362, 'user_id': 569976, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/7872694d27b3b6fd8d71297a4799a82b?s=256&d=identicon&r=PG', 'display_name': 'neubert', 'link': 'https://stackoverflow.com/users/569976/neubert'}",True,688,,10844977.0,2,0,1669059488,1338529198,1669059488.0,10844962,CC BY-SA 4.0,https://stackoverflow.com/questions/10844962/firing-multiple-jquery-event-listeners-consecutively,Firing multiple jQuery event listeners consecutively,,,,
3,"['javascript', 'jquery', 'jquery-events']","{'account_id': 512626, 'reputation': 45, 'user_id': 1432461, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b2464f1839ada490d074f48acac9314d?s=256&d=identicon&r=PG', 'display_name': 'ghost-rider', 'link': 'https://stackoverflow.com/users/1432461/ghost-rider'}",True,1875,,10862864.0,3,3,1669059451,1338645190,1669059451.0,10862827,CC BY-SA 4.0,https://stackoverflow.com/questions/10862827/how-to-make-an-element-mouse-unclickable-but-clickable-through-javascript,How to make an element mouse unclickable but clickable through javascript?,,,,
4,"['javascript', 'jquery', 'jquery-events']","{'account_id': 557887, 'reputation': 1268, 'user_id': 920499, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/dfdb25b44e07f510ad6da6dc061bf6c0?s=256&d=identicon&r=PG', 'display_name': 'KryptoniteDove', 'link': 'https://stackoverflow.com/users/920499/kryptonitedove'}",True,985,,10863847.0,1,3,1669059400,1338652957,1669059400.0,10863843,CC BY-SA 4.0,https://stackoverflow.com/questions/10863843/jquery-on-delegate-correct-syntax,jQuery on/delegate correct syntax,,,,
5,"['javascript', 'android', 'selection-api']","{'account_id': 382741, 'reputation': 151, 'user_id': 738160, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8bcebb46d87e5341fd25df43bbc70dff?s=256&d=identicon&r=PG', 'display_name': 'Bodil', 'link': 'https://stackoverflow.com/users/738160/bodil'}",True,1174,,,1,2,1669017392,1339412409,1669017392.0,10978825,CC BY-SA 4.0,https://stackoverflow.com/questions/10978825/why-the-setselectionrange-cant-work-on-android-2-3-platform-browser,Why the setSelectionRange can&#39;t work on android 2.3 platform browser,,,,
6,"['javascript', 'html', 'jquery', 'events', 'dom-events']","{'account_id': 337927, 'reputation': 2013, 'user_id': 666487, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/btosI.jpg?s=256&g=1', 'display_name': 'Deep Frozen', 'link': 'https://stackoverflow.com/users/666487/deep-frozen'}",True,103744,,52679620.0,7,52,1669015990,1340626276,1669015990.0,11189136,CC BY-SA 4.0,https://stackoverflow.com/questions/11189136/fire-oninput-event-with-jquery,Fire oninput event with jQuery,,,,
7,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1282407, 'reputation': 73, 'user_id': 1236210, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/5e771122094652b50a0ff84c00861bb2?s=256&d=identicon&r=PG', 'display_name': 'Happy', 'link': 'https://stackoverflow.com/users/1236210/happy'}",True,460,,10874282.0,1,0,1668989573,1338733223,1668989573.0,10871086,CC BY-SA 4.0,https://stackoverflow.com/questions/10871086/how-to-create-image-buttons-that-activate-jquery-js-function,How to create image buttons that activate jQuery/js function,,,,
8,"['javascript', 'jquery', 'jquery-events']","{'user_type': 'does_not_exist', 'display_name': 'user1261800'}",False,123,,,1,0,1668989493,1338848832,1668989493.0,10889275,CC BY-SA 4.0,https://stackoverflow.com/questions/10889275/youtube-video-on-load-through-jquery-js,Youtube video on load through jQuery/JS,,,,
9,"['javascript', 'jquery', 'jquery-events']","{'account_id': 994993, 'reputation': 2341, 'user_id': 1011185, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/73784895d01343f8b23d09388fd86ebe?s=256&d=identicon&r=PG', 'display_name': 'AdrianoCelentano', 'link': 'https://stackoverflow.com/users/1011185/adrianocelentano'}",True,385,,10897264.0,1,0,1668989393,1338898893,1668989393.0,10897218,CC BY-SA 4.0,https://stackoverflow.com/questions/10897218/jquery-mouse-events-dont-fire,jQuery mouse events don&#39;t fire,,,,
