,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,protected_date,community_owned_date,migrated_from
0,"['javascript', 'ace-editor']","{'account_id': 178236, 'reputation': 29468, 'user_id': 410072, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/22f57fe1a55d01c728d33cbcfda204b5?s=256&d=identicon&r=PG', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/410072/james'}",True,7044,4,7,1669548322,1356607156,14053820,CC BY-SA 3.0,https://stackoverflow.com/questions/14053820/how-to-set-the-source-path-in-ace-editor,How to set the source path in Ace editor,,,,,,,
1,"['javascript', 'jquery-mobile']","{'account_id': 1207798, 'reputation': 553, 'user_id': 1176981, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/ced846b1de805566b6814c749fbaf2be?s=256&d=identicon&r=PG', 'display_name': 'Niles11', 'link': 'https://stackoverflow.com/users/1176981/niles11'}",False,776,0,1,1669488377,1354552632,13687689,CC BY-SA 4.0,https://stackoverflow.com/questions/13687689/making-some-elements-in-a-collapsible-set-not-expandable-with-jquery-mobile,Making some elements in a collapsible-set not expandable with JQuery Mobile,1669488377.0,,,,,,
2,"['javascript', 'date']","{'account_id': 1099173, 'reputation': 9043, 'user_id': 1092007, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/mwueU.png?s=256&g=1', 'display_name': 'Roland', 'link': 'https://stackoverflow.com/users/1092007/roland'}",True,361859,9,227,1669050222,1355593687,13894632,CC BY-SA 3.0,https://stackoverflow.com/questions/13894632/get-time-difference-between-two-dates-in-seconds,Get time difference between two dates in seconds,,13894670.0,,,,,
3,"['javascript', 'innerhtml', 'selection-api']","{'account_id': 2146822, 'reputation': 4404, 'user_id': 1904273, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/148a92184e1750879e411ca2c2f80383?s=256&d=identicon&r=PG', 'display_name': 'user1904273', 'link': 'https://stackoverflow.com/users/1904273/user1904273'}",True,3343,1,7,1669017814,1355496496,13880913,CC BY-SA 4.0,https://stackoverflow.com/questions/13880913/getting-selectionstart-from-a-spans-innerhtml,Getting `selectionStart` from a span&#39;s innerHTML,1669017814.0,13881588.0,,,,,
4,"['javascript', 'jquery', 'seo', 'http-status-code-301']","{'account_id': 1057798, 'reputation': 1711, 'user_id': 1060138, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/e958a61980d462eca8f32c401f4c5967?s=256&d=identicon&r=PG&f=1', 'display_name': 'Caleb Doucet', 'link': 'https://stackoverflow.com/users/1060138/caleb-doucet'}",True,35419,5,34,1668435096,1355338816,13846738,CC BY-SA 4.0,https://stackoverflow.com/questions/13846738/are-301-redirects-possible-using-javascript-or-jquery,Are 301 redirects possible using javascript or jQuery?,1549442743.0,13846778.0,,,,,
5,"['javascript', 'json']","{'account_id': 2144546, 'reputation': 1833, 'user_id': 1902467, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c90684193f3bafce7896b012969462f4?s=256&d=identicon&r=PG', 'display_name': 'user1902467', 'link': 'https://stackoverflow.com/users/1902467/user1902467'}",True,135221,5,182,1668418877,1355437736,13869627,,https://stackoverflow.com/questions/13869627/unable-to-access-json-property-with-dash,Unable to access JSON property with &quot;-&quot; dash,1355437896.0,13869651.0,1668418795.0,Duplicate,,,
6,"['javascript', 'jquery', 'html', 'dom-events']","{'account_id': 1401654, 'reputation': 107, 'user_id': 1330315, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/789d9fbf2b3d6d4eff7b26021db812eb?s=256&d=identicon&r=PG', 'display_name': 'Faisal Amjad', 'link': 'https://stackoverflow.com/users/1330315/faisal-amjad'}",True,23279,13,8,1667668235,1356964994,14102912,CC BY-SA 4.0,https://stackoverflow.com/questions/14102912/execute-statement-after-return-statement-in-javascript,Execute statement after return statement in Javascript,1569335075.0,14102934.0,,,,,
7,"['javascript', 'boolean', 'flip', 'shorthand']","{'account_id': 1682987, 'reputation': 14179, 'user_id': 1546844, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/ac5e2787eb9367020473f8d146222279?s=256&d=identicon&r=PG', 'display_name': 'chtenb', 'link': 'https://stackoverflow.com/users/1546844/chtenb'}",True,19213,6,33,1667528827,1356008838,13972887,CC BY-SA 3.0,https://stackoverflow.com/questions/13972887/shorthand-for-flipping-a-boolean-variable,Shorthand for flipping a boolean variable,1499461986.0,13972910.0,,,,,
8,['javascript'],"{'account_id': 556779, 'reputation': 4115, 'user_id': 918978, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/9577affe8bfed0ddda24a132f574e151?s=256&d=identicon&r=PG', 'display_name': 'OpenGG', 'link': 'https://stackoverflow.com/users/918978/opengg'}",True,103374,28,177,1667471196,1355211416,13815640,CC BY-SA 3.0,https://stackoverflow.com/questions/13815640/a-proper-wrapper-for-console-log-with-correct-line-number,A proper wrapper for console.log with correct line number?,,42057148.0,,,,,
9,"['javascript', 'amd', 'commonjs']","{'account_id': 354020, 'reputation': 761, 'user_id': 692108, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/b6d65e3f36f215321118283865c155aa?s=256&d=identicon&r=PG', 'display_name': 'slobo', 'link': 'https://stackoverflow.com/users/692108/slobo'}",True,10697,7,36,1667437222,1354479046,13673346,CC BY-SA 3.0,https://stackoverflow.com/questions/13673346/supporting-both-commonjs-and-amd,supporting both CommonJS and AMD,,13674079.0,,,,,
