,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason
0,"['javascript', 'parallel-processing', 'snowflake-cloud-data-platform']","{'account_id': 2644906, 'reputation': 1325, 'user_id': 2287816, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/lAHN4.jpg?s=256&g=1', 'display_name': 'jymbo', 'link': 'https://stackoverflow.com/users/2287816/jymbo'}",True,1221,3,1,1669120844,1596507250,63239313,CC BY-SA 4.0,https://stackoverflow.com/questions/63239313/executing-insert-statements-in-parallel-in-snowflake,Executing Insert Statements in Parallel in Snowflake,,,,,
1,"['javascript', 'html', 'css', 'browser']","{'account_id': 6410311, 'reputation': 185, 'user_id': 4970292, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://lh5.googleusercontent.com/-YwkA6SoBRjE/AAAAAAAAAAI/AAAAAAAABw0/ZZV1Q5HiITw/photo.jpg?sz=256', 'display_name': 'Sijo Jose', 'link': 'https://stackoverflow.com/users/4970292/sijo-jose'}",False,318,1,0,1669106207,1598509815,63610358,CC BY-SA 4.0,https://stackoverflow.com/questions/63610358/add-to-home-screen-pop-up-in-a-non-pwa-web-app,&quot;Add to Home Screen&quot; pop up in a non PWA web app,,,,,
2,"['javascript', 'vue.js', 'model', 'summernote']","{'account_id': 16512504, 'reputation': 1, 'user_id': 11930852, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a590a4757ecd5d5245e882bcc645fd0f?s=256&d=identicon&r=PG&f=1', 'display_name': 'kalakeli', 'link': 'https://stackoverflow.com/users/11930852/kalakeli'}",False,643,3,0,1669095330,1596711519,63282138,CC BY-SA 4.0,https://stackoverflow.com/questions/63282138/vue-and-summernote-content-from-model-not-showing-in-form-when-loaded-from-db,Vue and Summernote - content from model not showing in form when loaded from db,,,,,
3,"['javascript', 'node.js', 'excel', 'xlsx', 'appendfile']","{'account_id': 19334928, 'reputation': 1, 'user_id': 14135693, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-7k7XU6PWTus/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckwfAkk6Qsfrm1030cpeBzoEMX8Jg/photo.jpg?sz=256', 'display_name': 'Javascript Coder', 'link': 'https://stackoverflow.com/users/14135693/javascript-coder'}",False,7474,1,0,1669053895,1597907401,63499964,CC BY-SA 4.0,https://stackoverflow.com/questions/63499964/exceljs-append-row,Exceljs append row,1597911286.0,,,,
4,"['javascript', 'html', 'css']","{'account_id': 19392940, 'reputation': 43, 'user_id': 14181189, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1661c4fa8713cfec38dd7cbd5f6a77f?s=256&d=identicon&r=PG&f=1', 'display_name': 'benimsson', 'link': 'https://stackoverflow.com/users/14181189/benimsson'}",False,131,1,1,1669043304,1598606412,63630958,CC BY-SA 4.0,https://stackoverflow.com/questions/63630958/navigate-inside-collapse-menu-with-href-tag,Navigate inside collapse menu with HREF tag,1669043304.0,,,,
5,"['javascript', 'reactjs', 'npm', 'input', 'selection-api']","{'account_id': 12707177, 'reputation': 49, 'user_id': 9232041, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ae059576e703bcdd9fbcc03a314c26b?s=256&d=identicon&r=PG&f=1', 'display_name': 'mcmcphillips', 'link': 'https://stackoverflow.com/users/9232041/mcmcphillips'}",True,225,1,0,1669017908,1596570474,63254120,CC BY-SA 4.0,https://stackoverflow.com/questions/63254120/how-can-i-access-current-cursor-location-using-npm-package-react-mentions,How can I access current cursor location using npm package react-mentions,1669017908.0,63254195.0,,,
6,"['javascript', 'typescript', 'dom', 'types', 'inputevent']","{'account_id': 12496006, 'reputation': 3751, 'user_id': 9095988, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yyfWH.jpg?s=256&g=1', 'display_name': 'Krzysztof Kaczyński', 'link': 'https://stackoverflow.com/users/9095988/krzysztof-kaczy%c5%84ski'}",True,252,1,3,1669015401,1596661775,63273548,CC BY-SA 4.0,https://stackoverflow.com/questions/63273548/why-input-event-has-event-type-of-event-instead-of-inputevent,Why &#39;input&#39; event has `Event` type of event instead of `InputEvent`,1669015401.0,63279036.0,,,
7,"['javascript', 'strapi']","{'account_id': 16217181, 'reputation': 231, 'user_id': 11709709, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d9effa740882eee22cc4aa1be89169c6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tales', 'link': 'https://stackoverflow.com/users/11709709/tales'}",True,1901,1,1,1668961196,1597844561,63488329,CC BY-SA 4.0,https://stackoverflow.com/questions/63488329/how-to-upload-an-image-in-strapi-to-the-collection-type-fields,How to upload an image in strapi to the collection type fields?,1597844945.0,,,,
8,"['javascript', 'reactjs', 'webrtc', 'mobile-safari', 'getusermedia']","{'account_id': 17312714, 'reputation': 302, 'user_id': 12539904, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8a2e1d2af8ed6517e7004c2effd2ac66?s=256&d=identicon&r=PG&f=1', 'display_name': 'deluxan', 'link': 'https://stackoverflow.com/users/12539904/deluxan'}",True,6204,2,1,1668885737,1596807458,63303001,CC BY-SA 4.0,https://stackoverflow.com/questions/63303001/mediadevices-getusermedia-support-for-ios,MediaDevices.getUserMedia() support for ios,1597324853.0,,,,
9,"['javascript', 'webpack', 'source-maps']","{'account_id': 14227691, 'reputation': 499, 'user_id': 10277836, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-l-WpbwzDOkY/AAAAAAAAAAI/AAAAAAAAAAA/bh0yALSf_Do/photo.jpg?sz=256', 'display_name': 'jared jessup', 'link': 'https://stackoverflow.com/users/10277836/jared-jessup'}",True,45440,9,24,1668807246,1596213507,63195843,CC BY-SA 4.0,https://stackoverflow.com/questions/63195843/webpack-module-warning-failed-to-parse-source-map-from-data-url,Webpack Module Warning: Failed to parse source map from &quot;data&quot; URL,1621935359.0,,,,
