,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,migrated_from,locked_date
0,"['javascript', 'mouse', 'simulate']","{'account_id': 57959, 'reputation': 8444, 'user_id': 173623, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/16d13062465b02f174b6961eedd05165?s=256&d=identicon&r=PG', 'display_name': 'thedp', 'link': 'https://stackoverflow.com/users/173623/thedp'}",True,5960,1426326.0,3,9,1668876080,1253008897,1468047815.0,1426256,CC BY-SA 3.0,https://stackoverflow.com/questions/1426256/can-i-simulate-text-selection-with-the-mouse-in-javascript,Can I simulate text selection with the mouse in JavaScript?,,,,,,
1,"['javascript', 'focus', 'onchange']","{'account_id': 5295, 'reputation': 1991, 'user_id': 8437, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/9b67cbdeb94f2c3dd4bf29b3f8182eda?s=256&d=identicon&r=PG', 'display_name': 'tpk', 'link': 'https://stackoverflow.com/users/8437/tpk'}",True,17816,,6,14,1668509047,1251906179,,1368487,CC BY-SA 2.5,https://stackoverflow.com/questions/1368487/onchange-without-losing-focus,onchange without losing focus?,,,,,,
2,"['javascript', 'math', 'max']","{'account_id': 38822, 'reputation': 19394, 'user_id': 111669, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/53d35b3593b23ce05ae00db2e755d929?s=256&d=identicon&r=PG', 'display_name': 'Ben Shelock', 'link': 'https://stackoverflow.com/users/111669/ben-shelock'}",True,56793,1418646.0,6,45,1668505239,1252868229,,1418569,CC BY-SA 2.5,https://stackoverflow.com/questions/1418569/javascript-max-function-for-3-numbers,Javascript max() function for 3 numbers,,,,,,
3,"['javascript', 'function', 'design-patterns', 'singleton']","{'account_id': 27479, 'reputation': 84252, 'user_id': 72583, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/16a5eec5eca4550033c0e19dba3b32b8?s=256&d=identicon&r=PG', 'display_name': 'Jakub Arnold', 'link': 'https://stackoverflow.com/users/72583/jakub-arnold'}",True,293387,1479341.0,46,437,1668484499,1253909151,1608412602.0,1479319,CC BY-SA 4.0,https://stackoverflow.com/questions/1479319/simplest-cleanest-way-to-implement-a-singleton-in-javascript,Simplest/cleanest way to implement a singleton in JavaScript,1326305089.0,,,,,
4,"['javascript', 'regex', 'time']","{'account_id': 179729, 'reputation': 3148, 'user_id': 412569, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/deba1ce2f00e0b17732f2f9242e7a8ae?s=256&d=identicon&r=PG', 'display_name': 'rswolff', 'link': 'https://stackoverflow.com/users/412569/rswolff'}",True,53869,1494700.0,15,46,1668421830,1254255146,1412792846.0,1494671,CC BY-SA 3.0,https://stackoverflow.com/questions/1494671/regular-expression-for-matching-time-in-military-24-hour-format,Regular expression for matching time in military (24 hour) format,,,,,,
5,"['javascript', 'arrays', 'concatenation']","{'account_id': 10015, 'reputation': 53310, 'user_id': 18745, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/8ba0489ea90652c08d1406f2afe2e0e2?s=256&d=identicon&r=PG', 'display_name': 'DzinX', 'link': 'https://stackoverflow.com/users/18745/dzinx'}",True,887574,1374131.0,20,1345,1668227102,1251991650,1539625790.0,1374126,CC BY-SA 4.0,https://stackoverflow.com/questions/1374126/how-to-extend-an-existing-javascript-array-with-another-array-without-creating,"How to extend an existing JavaScript array with another array, without creating a new array",,,,,,
6,"['javascript', 'html', 'z-index']","{'user_type': 'does_not_exist', 'display_name': 'Nishima'}",True,40573,,2,19,1667309169,1252308451,1266944155.0,1388007,CC BY-SA 2.5,https://stackoverflow.com/questions/1388007/getting-the-z-index-of-a-div-in-javascript,Getting the z-index of a DIV in JavaScript?,,,,,,
7,"['javascript', 'error-handling']","{'account_id': 10962, 'reputation': 21086, 'user_id': 20946, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/V6x39.jpg?s=256&g=1', 'display_name': 'cllpse', 'link': 'https://stackoverflow.com/users/20946/cllpse'}",True,104702,1433608.0,7,152,1667238475,1253113224,1253118206.0,1433558,CC BY-SA 2.5,https://stackoverflow.com/questions/1433558/handling-specific-errors-in-javascript-think-exceptions,Handling specific errors in JavaScript (think exceptions),,,,,,
8,"['javascript', 'html']","{'account_id': 51127, 'reputation': 18678, 'user_id': 152668, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/d88cede8d2d011ea7af0b8dca20df7fc?s=256&d=identicon&r=PG', 'display_name': 'mck89', 'link': 'https://stackoverflow.com/users/152668/mck89'}",True,76441,1367597.0,5,36,1666867358,1251896707,1437490746.0,1367587,CC BY-SA 3.0,https://stackoverflow.com/questions/1367587/how-do-i-get-the-html-source-from-the-page,How do I get the HTML source from the page?,,,,,,
9,"['javascript', 'jquery', 'passwords', 'logic']","{'account_id': 54371, 'reputation': 5511, 'user_id': 162668, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/45ef4b946d12e6fa88722dfbbcf575c5?s=256&d=identicon&r=PG', 'display_name': 'Evernoob', 'link': 'https://stackoverflow.com/users/162668/evernoob'}",True,58990,1388732.0,15,36,1666713892,1252318621,,1388609,CC BY-SA 2.5,https://stackoverflow.com/questions/1388609/jquery-password-strength-checker,jQuery password strength checker,,,,,,
