,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from
0,"['javascript', 'html', 'csv', 'save', 'jspsych']","{'account_id': 26399569, 'reputation': 11, 'user_id': 20050218, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8eefe0604442ce366718737cd2af6174?s=256&d=identicon&r=PG', 'display_name': 'carolinehommel', 'link': 'https://stackoverflow.com/users/20050218/carolinehommel'}",False,47,1,0,1669207848,1664529157,73906452,CC BY-SA 4.0,https://stackoverflow.com/questions/73906452/saving-jspsych-data-from-html-as-csv,Saving JsPsych data from HTML as CSV,,,,,
1,"['javascript', 'typescript', 'schema', 'zod']","{'account_id': 2417832, 'reputation': 8245, 'user_id': 2111515, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/f79c482b1a1beaadc634378aa952a2af?s=256&d=identicon&r=PG', 'display_name': 'Barry Michael Doyle', 'link': 'https://stackoverflow.com/users/2111515/barry-michael-doyle'}",True,1809,3,1,1669206173,1662120024,73582246,CC BY-SA 4.0,https://stackoverflow.com/questions/73582246/zod-schema-how-to-make-a-field-optional-or-have-a-minimum-string-contraint,Zod Schema: How to make a field optional OR have a minimum string contraint?,74028632.0,,,,
2,"['javascript', 'reactjs', 'api', 'axios', 'axios-mock-adapter']","{'account_id': 25356095, 'reputation': 57, 'user_id': 19172195, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxhSbVNxjmP3cd6_bMjqmXbtLHcM5kiwGqHK3M_=k-s256', 'display_name': 'Sharanjeet Singh', 'link': 'https://stackoverflow.com/users/19172195/sharanjeet-singh'}",False,281,1,1,1669201061,1663815291,73808856,CC BY-SA 4.0,https://stackoverflow.com/questions/73808856/axios-network-error-on-post-request-react-js-but-works-on-postman,Axios Network error on post request React.js but works on Postman,,1663816742.0,,,
3,"['javascript', 'reactjs', 'sanity']","{'account_id': 21024560, 'reputation': 1, 'user_id': 15450169, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Giy0mvJ0p6I2ifFAYmLsmh3-CSup4prDRE7ttaxLQ=k-s256', 'display_name': 'Prathamesh Potabatti', 'link': 'https://stackoverflow.com/users/15450169/prathamesh-potabatti'}",False,174,4,0,1669190541,1662139310,73586071,CC BY-SA 4.0,https://stackoverflow.com/questions/73586071/sanity-cms-data-is-not-showing-on-the-react-app,Sanity CMS data is not showing on the react app,,1662139625.0,,,
4,"['javascript', 'reactjs']","{'account_id': 19826766, 'reputation': 27, 'user_id': 14908182, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/653a6eac24c1e13511bd797927031bca?s=256&d=identicon&r=PG&f=1', 'display_name': 'DanyaTangens', 'link': 'https://stackoverflow.com/users/14908182/danyatangens'}",True,144,2,0,1669178493,1662888724,73678187,CC BY-SA 4.0,https://stackoverflow.com/questions/73678187/react-link-mui-without-reloading-page,React. Link MUI without reloading page,73678575.0,1662892889.0,,,
5,"['javascript', 'html', 'three.js', 'webgl']","{'account_id': 19798323, 'reputation': 5, 'user_id': 14499883, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/72d2f849342934211187967b8040c975?s=256&d=identicon&r=PG&f=1', 'display_name': 'ErfanQSN', 'link': 'https://stackoverflow.com/users/14499883/erfanqsn'}",True,92,1,0,1669157959,1663042826,73697523,CC BY-SA 4.0,https://stackoverflow.com/questions/73697523/threejs-how-to-change-text-particles-color,ThreeJS how to change text particles color,73747903.0,1663347135.0,,,
6,"['javascript', 'vue.js', 'nuxt.js']","{'account_id': 12518552, 'reputation': 33, 'user_id': 9110785, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2eea7b98ceaca7cc2ef59f01a921bcf5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yeabsira Ashenafi', 'link': 'https://stackoverflow.com/users/9110785/yeabsira-ashenafi'}",False,21,1,0,1669151981,1664204684,73856120,CC BY-SA 4.0,https://stackoverflow.com/questions/73856120/nuxt-add-dynamic-script-tag,Nuxt add dynamic script tag,,,,,
7,"['javascript', 'html', 'regex', 'validation']","{'account_id': 24295287, 'reputation': 25, 'user_id': 18239600, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5eb63e10803c6f8bbd307e8742c81e45?s=256&d=identicon&r=PG', 'display_name': 'Jeremy Leys', 'link': 'https://stackoverflow.com/users/18239600/jeremy-leys'}",True,185,2,0,1669138406,1662609807,73643605,CC BY-SA 4.0,https://stackoverflow.com/questions/73643605/regex-validation-working-with-javascript-but-not-with-html5-input-validation-pat,Regex validation working with JavaScript but not with HTML5 input validation pattern,73661851.0,1669138406.0,,,
8,"['javascript', 'phaser-framework']","{'account_id': 20460798, 'reputation': 363, 'user_id': 15079400, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/747ded72825779e158e011ed132a2a47?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gabriel Edu', 'link': 'https://stackoverflow.com/users/15079400/gabriel-edu'}",False,125,1,1,1669135953,1663608014,73777082,CC BY-SA 4.0,https://stackoverflow.com/questions/73777082/phaser-3-reset-the-whole-scene,phaser 3 reset the whole scene,,1663614376.0,,,
9,"['javascript', 'reactjs', 'react-router', 'react-router-dom']","{'account_id': 13177201, 'reputation': 163, 'user_id': 9517800, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2faef4c79d3e97908a8a75950249b0c3?s=256&d=identicon&r=PG&f=1', 'display_name': 'dani_l_n', 'link': 'https://stackoverflow.com/users/9517800/dani-l-n'}",True,50,1,1,1669134839,1664444552,73893421,CC BY-SA 4.0,https://stackoverflow.com/questions/73893421/a-defaultprops-element-considered-undefined,A defaultProps element considered undefined,73898708.0,1664468217.0,,,
