,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['javascript', 'html5-video']","{'account_id': 3164831, 'reputation': 707, 'user_id': 2675087, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/d0e36c1a063a7be5fa32c9e764ad5e06?s=256&d=identicon&r=PG', 'display_name': 'sheodox', 'link': 'https://stackoverflow.com/users/2675087/sheodox'}",True,1534,64852201.0,1,0,1669209282,1605397709,64839836,CC BY-SA 4.0,https://stackoverflow.com/questions/64839836/playing-one-of-multiple-audio-tracks-in-sync-with-a-video,Playing one of multiple audio tracks in sync with a video,,,,,
1,"['javascript', 'checkboxlist', 'radio-group']","{'account_id': 19879795, 'reputation': 1, 'user_id': 14564058, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-j4jbkYYDeX0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm6pb11NWDBfqM92YkVKPBJoG3M7Q/s96-c/photo.jpg?sz=256', 'display_name': 'Farhan Ali', 'link': 'https://stackoverflow.com/users/14564058/farhan-ali'}",False,196,,1,0,1669208850,1604322866,64646285,CC BY-SA 4.0,https://stackoverflow.com/questions/64646285/how-to-make-2-checkboxes-to-act-as-radio-buttons-in-a-group-of-checkboxes,How to Make 2 checkboxes to act as radio buttons in a group of checkboxes,1604323769.0,,,,
2,['javascript'],"{'account_id': 1566412, 'reputation': 5950, 'user_id': 1455108, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/zaRtd.jpg?s=256&g=1', 'display_name': 'Jo&#227;o Paulo', 'link': 'https://stackoverflow.com/users/1455108/jo%c3%a3o-paulo'}",True,1778,64955816.0,1,7,1669196669,1606056701,64955584,CC BY-SA 4.0,https://stackoverflow.com/questions/64955584/requestanimationframe-with-higher-rate-than-60-fps,requestAnimationFrame with higher rate than 60 fps,1606057645.0,,,,
3,"['javascript', 'node.js', 'angular', 'typescript', 'bpmn.io']","{'account_id': 8992042, 'reputation': 129, 'user_id': 6703591, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5b750c66ef51b8401bf1c85af6d6d368?s=256&d=identicon&r=PG&f=1', 'display_name': 'Animesh Rawat', 'link': 'https://stackoverflow.com/users/6703591/animesh-rawat'}",False,258,,0,1,1669190267,1604915004,64749181,CC BY-SA 4.0,https://stackoverflow.com/questions/64749181/unable-to-use-bpmn-js-bpmn-viewer-js-differ-js-and-change-handler-js-files-in,"Unable to use bpmn.js, bpmn-viewer.js, differ.js and change-handler.js files in angular project",,,,,
4,"['javascript', 'reactjs', 'typescript', 'create-react-app']","{'account_id': 5002719, 'reputation': 2363, 'user_id': 4021213, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/HGDTv.jpg?s=256&g=1', 'display_name': 'Rafael', 'link': 'https://stackoverflow.com/users/4021213/rafael'}",True,119907,64677253.0,9,172,1669113620,1604371064,64656055,CC BY-SA 4.0,https://stackoverflow.com/questions/64656055/react-refers-to-a-umd-global-but-the-current-file-is-a-module,"&#39;React&#39; refers to a UMD global, but the current file is a module",1655841078.0,,,,
5,"['javascript', 'node.js', 'cookies', 'graphql']","{'account_id': 19474235, 'reputation': 1, 'user_id': 14245912, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/238dbfd356b5cede148efb6c95b755fd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yoni Kohn', 'link': 'https://stackoverflow.com/users/14245912/yoni-kohn'}",False,245,,0,0,1669103819,1604263986,64636888,CC BY-SA 4.0,https://stackoverflow.com/questions/64636888/cookie-set-when-im-using-graphiql-but-not-when-im-using-my-frontend,Cookie set when I&#39;m using graphiql but not when I&#39;m using my frontend,1604268694.0,,,,
6,"['javascript', 'webpack', 'import', 'export', 'es6-modules']","{'account_id': 18887569, 'reputation': 577, 'user_id': 13778638, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhUcn96zaS0H7xYTwKY1b-0FGdsEBsJikr64V-xAw=k-s256', 'display_name': 'Joel Fernando', 'link': 'https://stackoverflow.com/users/13778638/joel-fernando'}",True,46815,,11,40,1669046758,1606483928,65038253,CC BY-SA 4.0,https://stackoverflow.com/questions/65038253/uncaught-referenceerror-cannot-access-webpack-default-export-before-initi,Uncaught ReferenceError: Cannot access &#39;__WEBPACK_DEFAULT_EXPORT__&#39; before initialization,1663085679.0,,,,
7,"['javascript', 'safari', 'html5-audio', 'web-mediarecorder', 'capturestream']","{'account_id': 14647258, 'reputation': 1152, 'user_id': 10578234, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-1K5xTAURHwA/AAAAAAAAAAI/AAAAAAAAAAA/ABtNlbAjG3xA2lI9t0MVpPYeVTUQpo6rjQ/mo/photo.jpg?sz=256', 'display_name': 'dan', 'link': 'https://stackoverflow.com/users/10578234/dan'}",False,324,,0,2,1668904642,1605175553,64801824,CC BY-SA 4.0,https://stackoverflow.com/questions/64801824/audio-capturestream-is-not-a-function-in-safari,(Audio) captureStream is not a function in Safari,1668904642.0,,,,
8,"['javascript', 'reactjs', 'webrtc']","{'user_type': 'does_not_exist', 'display_name': 'user12228909'}",True,3216,64831387.0,2,2,1668884303,1605333120,64831341,CC BY-SA 4.0,https://stackoverflow.com/questions/64831341/typeerror-navigator-getusermedia-is-not-a-function,TypeError: navigator.getUserMedia is not a function,,,,,
9,"['javascript', 'vue.js', 'vue-component', 'vuejs3']","{'account_id': 8528948, 'reputation': 193, 'user_id': 6393414, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/01449e05fab5362a29024237dec3f15f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yovi Prasetyo', 'link': 'https://stackoverflow.com/users/6393414/yovi-prasetyo'}",True,8597,64746328.0,5,6,1668834107,1604897612,64746051,CC BY-SA 4.0,https://stackoverflow.com/questions/64746051/vue3-use-v-model-in-child-components,Vue3 use v-model in Child Components,,,,,
