,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,migrated_from
0,"['javascript', 'asp.net', 'google-apps-script', 'updatepanel', 'recaptcha']","{'account_id': 2374514, 'reputation': 1961, 'user_id': 2078265, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/aae0314049288d471f30844af2f98050?s=256&d=identicon&r=PG', 'display_name': 'Computer', 'link': 'https://stackoverflow.com/users/2078265/computer'}",True,32620,5,8,1669203116,1547037910,54110489,CC BY-SA 4.0,https://stackoverflow.com/questions/54110489/recaptcha-has-already-been-rendered-in-this-element,reCAPTCHA has already been rendered in this element,,,,,,
1,"['javascript', 'undo-redo']","{'account_id': 15072849, 'reputation': 373, 'user_id': 10877760, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a7c78716db5596acf30ef832dd4f9eec?s=256&d=identicon&r=PG&f=1', 'display_name': 'RainerS', 'link': 'https://stackoverflow.com/users/10877760/rainers'}",True,22720,1,20,1669109646,1548748863,54416318,CC BY-SA 4.0,https://stackoverflow.com/questions/54416318/how-to-make-a-undo-redo-function,How to make a undo/redo function,54416376.0,1598971813.0,,,,
2,"['javascript', 'bootstrap-4', 'tooltip']","{'account_id': 4075073, 'reputation': 2278, 'user_id': 3346970, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/T32N2.png?s=256&g=1', 'display_name': 'ValRob', 'link': 'https://stackoverflow.com/users/3346970/valrob'}",True,13839,7,5,1669033601,1546948375,54091272,CC BY-SA 4.0,https://stackoverflow.com/questions/54091272/tooltip-the-data-placement-right-is-not-working-edit,tooltip the data-placement=&quot;right&quot; is not working [edit],54094576.0,1605395597.0,,,,
3,"['javascript', 'printing']","{'account_id': 15141460, 'reputation': 359, 'user_id': 10926343, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/686efeae03c98eed394f613820f38069?s=256&d=identicon&r=PG&f=1', 'display_name': 'AppleCiderYummy', 'link': 'https://stackoverflow.com/users/10926343/applecideryummy'}",False,26667,1,0,1668924501,1548753697,54417594,CC BY-SA 4.0,https://stackoverflow.com/questions/54417594/save-pdf-from-window-print-in-javascript,Save PDF from window.print in Javascript,,,,,,
4,"['javascript', 'reactjs', 'next.js']","{'account_id': 11727154, 'reputation': 519, 'user_id': 8584021, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/1b17c8f19b0e35edc3f90ad447d0e7de?s=256&d=identicon&r=PG&f=1', 'display_name': 'ANUBIS', 'link': 'https://stackoverflow.com/users/8584021/anubis'}",True,96311,7,26,1668757520,1546821649,54067291,CC BY-SA 4.0,https://stackoverflow.com/questions/54067291/next-js-loads-script-tags-but-it-doesnt-execute-them,Next.js Loads &lt;script&gt; tags but it doesn&#39;t execute them,54080354.0,1568203193.0,,,,
5,"['javascript', 'html', 'django', 'typescript']","{'account_id': 14866516, 'reputation': 49, 'user_id': 10735454, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bf3a66024e3c33fd958b29f1671713ab?s=256&d=identicon&r=PG&f=1', 'display_name': 'Noobfor', 'link': 'https://stackoverflow.com/users/10735454/noobfor'}",False,856,1,1,1668729032,1546376446,53998907,CC BY-SA 4.0,https://stackoverflow.com/questions/53998907/calling-function-from-typescript-in-html-not-working,Calling function from typescript in html not working,,1546379571.0,,,,
6,"['javascript', 'validation', 'formik', 'yup']","{'account_id': 47312, 'reputation': 9331, 'user_id': 140070, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/c9dbfa2f4e8a894964374baf37a9126d?s=256&d=identicon&r=PG', 'display_name': 'IProblemFactory', 'link': 'https://stackoverflow.com/users/140070/iproblemfactory'}",True,18007,6,13,1668703423,1546957662,54093909,CC BY-SA 4.0,https://stackoverflow.com/questions/54093909/how-to-test-for-uniqueness-of-value-in-yup-array,How to test for uniqueness of value in Yup.array?,59423867.0,,,,,
7,"['javascript', 'reactjs', 'visual-studio-code', 'prettier']","{'user_type': 'does_not_exist', 'display_name': 'user9925236'}",True,12258,5,7,1668683504,1548944150,54462519,CC BY-SA 4.0,https://stackoverflow.com/questions/54462519/why-vscode-is-not-recognizing-react-code-as-react-javascript-instead-it-format-i,why vscode is not recognizing react code as react javascript instead it format it as vanilla javascript,54462998.0,,,,,
8,"['javascript', 'node.js', 'electron']","{'account_id': 2406942, 'reputation': 205, 'user_id': 2103129, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/VN1hB.gif?s=256&g=1', 'display_name': 'FearGannicus', 'link': 'https://stackoverflow.com/users/2103129/feargannicus'}",True,3272,1,4,1668653996,1548725410,54412645,CC BY-SA 4.0,https://stackoverflow.com/questions/54412645/electron-preload-js-doesnt-function-the-way-it-is-suppose-to,Electron preload.js doesn&#39;t function the way it is suppose to,54432205.0,1548745336.0,,,,
9,"['javascript', 'angular']","{'account_id': 15146292, 'reputation': 49, 'user_id': 10929931, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-cDJ2Ywf0c0Q/AAAAAAAAAAI/AAAAAAAAABY/oQLR9eD6kuc/photo.jpg?sz=256', 'display_name': 'Ximenthis', 'link': 'https://stackoverflow.com/users/10929931/ximenthis'}",True,936,2,1,1668592050,1547752410,54242769,CC BY-SA 4.0,https://stackoverflow.com/questions/54242769/display-dynamically-filtered-array-in-angular,Display dynamically filtered array in Angular,54243046.0,1547757372.0,,,,
