,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,locked_date
0,"['javascript', 'jquery', 'dom', 'dom-manipulation']","{'account_id': 18169, 'reputation': 1079, 'user_id': 41384, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/49de45ee082f76270296eb529ba156f9?s=256&d=identicon&r=PG', 'display_name': 'grega g', 'link': 'https://stackoverflow.com/users/41384/grega-g'}",True,538,2884125.0,2,2,1668896465,1273863684,1668896465.0,2836839,CC BY-SA 4.0,https://stackoverflow.com/questions/2836839/take-all-elements-matching-a-selector-put-them-in-a-dialog-hide-everything-els,"Take all elements matching a selector, put them in a dialog, hide everything else on the page",,,,,
1,"['javascript', 'oop', 'class']","{'account_id': 84023, 'reputation': 6899, 'user_id': 235146, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/a2ffcadce1f8df6419084de7e0aad6a0?s=256&d=identicon&r=PG', 'display_name': 'Glycerine', 'link': 'https://stackoverflow.com/users/235146/glycerine'}",True,40733,2752889.0,14,81,1668884643,1272789445,1668884643.0,2752868,CC BY-SA 4.0,https://stackoverflow.com/questions/2752868/does-javascript-have-classes,Does JavaScript have classes?,,,,,
2,"['javascript', 'formatting', 'numbers']","{'account_id': 13963, 'reputation': 92450, 'user_id': 28324, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/TohYl.jpg?s=256&g=1', 'display_name': 'Elias Zamaria', 'link': 'https://stackoverflow.com/users/28324/elias-zamaria'}",True,1900147,2901298.0,50,2492,1668451463,1274744551,1668451463.0,2901102,CC BY-SA 4.0,https://stackoverflow.com/questions/2901102/how-to-format-a-number-with-commas-as-thousands-separators,How to format a number with commas as thousands separators?,1432590999.0,,,,
3,"['javascript', 'jquery', 'html']","{'account_id': 140546, 'reputation': 5034, 'user_id': 346953, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/5eeef6cc83b7ba2f95ffc423d6026fea?s=256&d=identicon&r=PG', 'display_name': 'Ramakrishnan', 'link': 'https://stackoverflow.com/users/346953/ramakrishnan'}",True,319308,2904944.0,20,202,1668434608,1274785648,1658934448.0,2903991,CC BY-SA 4.0,https://stackoverflow.com/questions/2903991/how-to-detect-ctrlv-ctrlc-using-javascript,"How to detect Ctrl+V, Ctrl+C using JavaScript?",,,,,
4,"['javascript', 'escaping', 'xss', 'sanitization']","{'account_id': 16309, 'reputation': 9448, 'user_id': 35344, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/vzShD.png?s=256&g=1', 'display_name': 'I GIVE TERRIBLE ADVICE', 'link': 'https://stackoverflow.com/users/35344/i-give-terrible-advice'}",True,153386,2794366.0,7,66,1667917919,1273323551,1661245927.0,2794137,CC BY-SA 4.0,https://stackoverflow.com/questions/2794137/sanitizing-user-input-before-adding-it-to-the-dom-in-javascript,Sanitizing user input before adding it to the DOM in Javascript,,,,,
5,"['javascript', 'arrays', 'function', 'call']","{'account_id': 67371, 'reputation': 4194, 'user_id': 197181, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/3fb737a30d2c22a594944b09c632d71b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Robert', 'link': 'https://stackoverflow.com/users/197181/robert'}",True,740376,2856069.0,12,350,1667560768,1274175720,1482141770.0,2856059,CC BY-SA 3.0,https://stackoverflow.com/questions/2856059/passing-an-array-as-a-function-parameter-in-javascript,Passing an array as a function parameter in JavaScript,1667736327.0,,,,
6,"['javascript', 'jquery', 'dom']","{'account_id': 122241, 'reputation': 220109, 'user_id': 315935, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/d2fe88fb2ca8a2047771bde11d39814c?s=256&d=identicon&r=PG', 'display_name': 'Oleg', 'link': 'https://stackoverflow.com/users/315935/oleg'}",True,17657,2857261.0,3,7,1666990863,1274185169,,2857126,CC BY-SA 2.5,https://stackoverflow.com/questions/2857126/how-get-body-element-from-the-html-which-one-have-as-a-string,How get &lt;body&gt; element from the html which one have as a string,,,,,
7,"['javascript', 'netbeans']","{'account_id': 83168, 'reputation': 4360, 'user_id': 233370, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/0a84380e7a0498f051758a0adfc40fa0?s=256&d=identicon&r=PG', 'display_name': 'Matt Zukowski', 'link': 'https://stackoverflow.com/users/233370/matt-zukowski'}",True,6975,2926474.0,4,15,1666705187,1275015075,1666705187.0,2926379,CC BY-SA 4.0,https://stackoverflow.com/questions/2926379/pure-javascript-projects-in-netbeans,Pure-JavaScript projects in NetBeans?,,,,,
8,"['javascript', 'optimization', 'syntax-error']","{'account_id': 48726, 'reputation': 30838, 'user_id': 144833, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/GHAT8.jpg?s=256&g=1', 'display_name': 'Oscar Godson', 'link': 'https://stackoverflow.com/users/144833/oscar-godson'}",True,232299,2933472.0,13,230,1666517014,1275083458,1602005709.0,2932754,CC BY-SA 4.0,https://stackoverflow.com/questions/2932754/ternary-operators-in-javascript-without-an-else,Ternary operators in JavaScript without an &quot;else&quot;,,,,,
9,"['javascript', 'onload', 'onload-event']","{'user_type': 'does_not_exist', 'display_name': 'user321068'}",True,124643,2811552.0,12,63,1665744956,1273582569,1345536697.0,2810825,CC BY-SA 3.0,https://stackoverflow.com/questions/2810825/javascript-event-window-onload-not-triggered,JavaScript event window.onload not triggered,,,,,
10,"['javascript', 'dom-events']","{'account_id': 45959, 'reputation': 5458, 'user_id': 135675, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/34c42fe5a173815369944d3d313ae063?s=256&d=identicon&r=PG', 'display_name': 'Ruth', 'link': 'https://stackoverflow.com/users/135675/ruth'}",True,501323,2788202.0,10,49,1665666346,1273231997,1567712652.0,2788191,CC BY-SA 4.0,https://stackoverflow.com/questions/2788191/how-to-check-whether-a-button-is-clicked-by-using-javascript,How to check whether a Button is clicked by using JavaScript,,,,,
