,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,protected_date
0,"['javascript', 'locomotive-scroll']","{'account_id': 21446734, 'reputation': 31, 'user_id': 15800202, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cd6e78620404af8c786d062ce4d0557c?s=256&d=identicon&r=PG&f=1', 'display_name': 'golds1981', 'link': 'https://stackoverflow.com/users/15800202/golds1981'}",True,1523,2,0,1669170423,1619797992,67336929,CC BY-SA 4.0,https://stackoverflow.com/questions/67336929/locomotive-scroll-elements-disappearing-on-scroll-and-footer-cut-off,Locomotive scroll elements disappearing on scroll and footer cut off,,,,,
1,"['javascript', 'reactjs', 'redirect', 'react-hooks', 'browser-history']","{'account_id': 20575591, 'reputation': 64, 'user_id': 15102854, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2c4a5a907fc0dc25fba9c1e3b21b7f25?s=256&d=identicon&r=PG&f=1', 'display_name': 'alia', 'link': 'https://stackoverflow.com/users/15102854/alia'}",False,1954,4,2,1669140875,1621651310,67645613,CC BY-SA 4.0,https://stackoverflow.com/questions/67645613/how-to-use-usehistory-hook-outside-functional-component-in-react-js,How to use useHistory() hook outside functional component in React js?,,,,,
2,"['javascript', 'asynchronous', 'clipboard']","{'account_id': 3285632, 'reputation': 184, 'user_id': 4899258, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/100007684441286/picture?type=large', 'display_name': 'Ivaylo Milanov', 'link': 'https://stackoverflow.com/users/4899258/ivaylo-milanov'}",True,731,2,3,1669138529,1620659459,67473023,CC BY-SA 4.0,https://stackoverflow.com/questions/67473023/async-clipboard-api-clipboardchange-event-not-fired,Async Clipboard API - clipboardchange event not fired,,,,,
3,"['javascript', 'reactjs', 'ethereum', 'web3-react']","{'account_id': 8599591, 'reputation': 111, 'user_id': 6582337, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-6F5Jonk0LSk/AAAAAAAAAAI/AAAAAAAAD2w/Hm1DNBL8BcU/photo.jpg?sz=256', 'display_name': 'Utkarsh Gupta', 'link': 'https://stackoverflow.com/users/6582337/utkarsh-gupta'}",True,12187,1,8,1669058644,1621406409,67598109,CC BY-SA 4.0,https://stackoverflow.com/questions/67598109/how-to-integrate-walletconnect-in-your-dapp-using-web3-react,How to integrate WalletConnect in your Dapp using web3-react?,1669058644.0,,,,
4,"['javascript', 'css', 'accordion', 'submenu']","{'account_id': 14369713, 'reputation': 13, 'user_id': 10379795, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1858899664187167/picture?type=large', 'display_name': 'Anas Belmadani', 'link': 'https://stackoverflow.com/users/10379795/anas-belmadani'}",False,150,1,1,1669043879,1621780718,67660926,CC BY-SA 4.0,https://stackoverflow.com/questions/67660926/open-only-one-submenu-when-clicked-on-the-parent,Open only one submenu when clicked on the parent,1669043879.0,,,,
5,"['javascript', 'html', 'css', 'html-select']","{'account_id': 19485499, 'reputation': 236, 'user_id': 14254954, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4e2f5f075073d50c3250d95c29d67308?s=256&d=identicon&r=PG', 'display_name': 'blackplan', 'link': 'https://stackoverflow.com/users/14254954/blackplan'}",True,1254,2,0,1669009487,1621972228,67694729,CC BY-SA 4.0,https://stackoverflow.com/questions/67694729/how-to-display-a-hidden-inputfield-with-select,How to display a hidden inputfield with select,,67694793.0,,,
6,"['javascript', 'html', 'svg']","{'account_id': 20037060, 'reputation': 73, 'user_id': 14688542, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d66e5b1a60f42475f80f7967495ba7d7?s=256&d=identicon&r=PG&f=1', 'display_name': 'jmbds', 'link': 'https://stackoverflow.com/users/14688542/jmbds'}",True,142,4,1,1668973344,1621538567,67626780,CC BY-SA 4.0,https://stackoverflow.com/questions/67626780/onclick-not-being-triggered-when-using-empty-svg-nested-inside-of-other-svg,OnClick not being triggered when using empty SVG nested inside of other SVG,1621541625.0,,,,
7,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 18587994, 'reputation': 581, 'user_id': 13545849, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/s0pvO.jpg?s=256&g=1', 'display_name': 'FreePhoenix888', 'link': 'https://stackoverflow.com/users/13545849/freephoenix888'}",True,387,1,2,1668949146,1622022893,67702572,CC BY-SA 4.0,https://stackoverflow.com/questions/67702572/how-to-create-auto-growing-shrinking-input-by-using-react,How to create auto growing-shrinking input by using React?,1668944915.0,67702573.0,,,
8,"['javascript', 'reactjs', 'canvas', 'html5-canvas', 'capturestream']","{'account_id': 19493156, 'reputation': 283, 'user_id': 14260983, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5010f1da7637d8ef89993ef8de98f46?s=256&d=identicon&r=PG&f=1', 'display_name': 'golgetahir', 'link': 'https://stackoverflow.com/users/14260983/golgetahir'}",False,217,0,1,1668904292,1620655289,67471902,CC BY-SA 4.0,https://stackoverflow.com/questions/67471902/reactjs-canvas-has-no-capturestream,ReactJS Canvas has no captureStream,1668904292.0,,,,
9,"['javascript', 'alpine.js']","{'account_id': 7380904, 'reputation': 53, 'user_id': 5617652, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/89bf18600afc578a6df0b010d85007fa?s=256&d=identicon&r=PG', 'display_name': 'Muhammad Saim', 'link': 'https://stackoverflow.com/users/5617652/muhammad-saim'}",True,3953,2,4,1668888892,1619939074,67353812,CC BY-SA 4.0,https://stackoverflow.com/questions/67353812/get-data-attributes-on-click-element-alpinejs,Get data attributes on click element alpinejs,,67362253.0,,,
