,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,locked_date,migrated_from,community_owned_date
0,['javascript'],"{'account_id': 8246, 'reputation': 18445, 'user_id': 14752, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/3o1uR.jpg?s=256&g=1', 'display_name': 'jbcedge', 'link': 'https://stackoverflow.com/users/14752/jbcedge'}",True,88162,10712253.0,6,23,1669572083,1337735513,1337746221.0,10712219,CC BY-SA 3.0,https://stackoverflow.com/questions/10712219/remove-onclick-event-from-img-tag,Remove onclick event from img tag,,,,,,
1,"['javascript', 'random']","{'account_id': 65683, 'reputation': 5142, 'user_id': 193134, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/e537e383c84e8b4bae4810b42ebf6df3?s=256&d=identicon&r=PG', 'display_name': 'Pavel', 'link': 'https://stackoverflow.com/users/193134/pavel'}",True,339188,10727155.0,21,278,1669412425,1337802872,,10726909,CC BY-SA 3.0,https://stackoverflow.com/questions/10726909/random-alpha-numeric-string-in-javascript,Random alpha-numeric string in JavaScript?,1636852512.0,,,,,
2,"['javascript', 'node.js', 'profiling']","{'account_id': 82864, 'reputation': 6529, 'user_id': 232694, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/f75a94dcdfe35bc9d388b51418458fda?s=256&d=identicon&r=PG', 'display_name': 'Stormshadow', 'link': 'https://stackoverflow.com/users/232694/stormshadow'}",True,320434,18427652.0,12,429,1669315226,1337165735,1580172331.0,10617070,CC BY-SA 4.0,https://stackoverflow.com/questions/10617070/how-do-i-measure-the-execution-time-of-javascript-code-with-callbacks,How do I measure the execution time of JavaScript code with callbacks?,,,,,,
3,"['javascript', 'node.js', 'date']","{'account_id': 1240933, 'reputation': 72148, 'user_id': 1203556, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/aca772bc8ed79a86894211c7efd920aa?s=256&d=identicon&r=PG', 'display_name': 'Tampa', 'link': 'https://stackoverflow.com/users/1203556/tampa'}",True,715769,13219636.0,23,341,1669301558,1337308050,1536783600.0,10645994,CC BY-SA 4.0,https://stackoverflow.com/questions/10645994/how-to-format-a-utc-date-as-a-yyyy-mm-dd-hhmmss-string-using-nodejs,How to format a UTC date as a `YYYY-MM-DD hh:mm:ss` string using NodeJS?,,,,,,
4,"['javascript', 'jquery', 'jquery-events']","{'account_id': 309338, 'reputation': 1010, 'user_id': 621728, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/8ac2fe15586b03ca2149a1c86d636103?s=256&d=identicon&r=PG', 'display_name': 'krische', 'link': 'https://stackoverflow.com/users/621728/krische'}",True,11813,10390097.0,3,37,1669231100,1335817028,1669231100.0,10390010,CC BY-SA 4.0,https://stackoverflow.com/questions/10390010/jquery-click-is-triggering-when-selecting-highlighting-text,jQuery .click() is triggering when selecting/highlighting text,,,,,,
5,"['javascript', 'jquery', 'dom-events']","{'account_id': 469248, 'reputation': 1528, 'user_id': 875731, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/gcSzO.jpg?s=256&g=1', 'display_name': 'thandasoru', 'link': 'https://stackoverflow.com/users/875731/thandasoru'}",True,123,10412998.0,3,1,1669231074,1335958222,1669231074.0,10412855,CC BY-SA 4.0,https://stackoverflow.com/questions/10412855/plain-js-version-for-the-jquery-function,Plain JS version for the jQuery function,,,,,,
6,"['javascript', 'jquery', 'jquery-events']","{'account_id': 111819, 'reputation': 26018, 'user_id': 295189, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/eqOkL.png?s=256&g=1', 'display_name': 'Asim Zaidi', 'link': 'https://stackoverflow.com/users/295189/asim-zaidi'}",True,102,10419986.0,3,0,1669231012,1335929372,1669231012.0,10407331,CC BY-SA 4.0,https://stackoverflow.com/questions/10407331/how-do-i-get-the-data-out-of-a-javascript-function,How do I get the data out of a JavaScript function,,,,,,
7,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1299340, 'reputation': 140846, 'user_id': 1249581, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/yANBN.jpg?s=256&g=1', 'display_name': 'VisioN', 'link': 'https://stackoverflow.com/users/1249581/vision'}",True,123,10422785.0,2,1,1669158998,1335997769,1669158998.0,10422606,CC BY-SA 4.0,https://stackoverflow.com/questions/10422606/how-to-call-previously-bound-event-after-the-current,How to call previously bound event after the current?,,,,,,
8,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1239250, 'reputation': 8259, 'user_id': 1211395, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/5d450052e86cbe8e5d8c7e5df919ddad?s=256&d=identicon&r=PG', 'display_name': 'Imp', 'link': 'https://stackoverflow.com/users/1211395/imp'}",True,192,10439213.0,3,0,1669158972,1336075207,1669158972.0,10438497,CC BY-SA 4.0,https://stackoverflow.com/questions/10438497/an-event-when-document-stops-loading,An event when document stops loading,,,,,,
9,"['javascript', 'jquery', 'jquery-events']","{'account_id': 420705, 'reputation': 6053, 'user_id': 798539, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/9d8464ce0f5687d90a2f5c30a8b9b928?s=256&d=identicon&r=PG', 'display_name': 'ExceptionLimeCat', 'link': 'https://stackoverflow.com/users/798539/exceptionlimecat'}",True,211,10441900.0,1,1,1669158898,1336098391,1669158898.0,10441883,CC BY-SA 4.0,https://stackoverflow.com/questions/10441883/js-events-not-attaching-to-elements-created-after-load,JS Events not attaching to elements created after load,,,,,,
10,"['javascript', 'jquery', 'jquery-events']","{'account_id': 439727, 'reputation': 1879, 'user_id': 828859, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/168811994cf848b9e454ae15141e96f0?s=256&d=identicon&r=PG', 'display_name': 'MrJD', 'link': 'https://stackoverflow.com/users/828859/mrjd'}",True,776,10508517.0,2,1,1669140015,1336524532,1669140015.0,10508469,CC BY-SA 4.0,https://stackoverflow.com/questions/10508469/differentiate-change-event-incurred-by-user-or-script,Differentiate change event incurred by user or script,,,,,,
