,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,last_edit_date,closed_reason,accepted_answer_id,community_owned_date,migrated_from,locked_date
0,"['javascript', 'jquery', 'css', 'xhtml']","{'account_id': 30799, 'reputation': 144745, 'user_id': 84201, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/5cce99e9bf6154703d8ecdf474a750bd?s=256&d=identicon&r=PG', 'display_name': 'Jitendra Vyas', 'link': 'https://stackoverflow.com/users/84201/jitendra-vyas'}",True,120502,1669023506.0,7,28,1669023214,1264161952,2117046,CC BY-SA 2.5,https://stackoverflow.com/questions/2117046/how-to-show-live-preview-in-a-small-popup-of-linked-page-on-mouse-over-on-link,How to show live preview in a small popup of linked page on mouse over on link?,,,,,,,
1,"['javascript', 'html', 'diff']","{'account_id': 93546, 'reputation': 119, 'user_id': 255882, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/16ccd7438447ab3fb445de0ccb2fc5a5?s=256&d=identicon&r=PG', 'display_name': 'Steve', 'link': 'https://stackoverflow.com/users/255882/steve'}",True,11345,,5,11,1668692647,1264429874,2132914,,https://stackoverflow.com/questions/2132914/is-there-a-js-diff-library-against-htmlstring-just-like-google-diff-match-patch,Is there a JS diff library against htmlstring just like google-diff-match-patch on plain text?,1668692746.0,1484950422.0,Not suitable for this site,,,,
2,"['javascript', 'favicon']","{'account_id': 78500, 'reputation': 145216, 'user_id': 223386, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/tfslu.jpg?s=256&g=1', 'display_name': 'hsz', 'link': 'https://stackoverflow.com/users/223386/hsz'}",True,30691,,6,41,1668530975,1263395427,2057636,CC BY-SA 4.0,https://stackoverflow.com/questions/2057636/how-do-i-get-a-websites-favicon-using-javascript,How do I Get a website&#39;s favicon using JavaScript?,,1668530975.0,,2057815.0,,,
3,"['javascript', 'floating-point']","{'account_id': 54861, 'reputation': 39257, 'user_id': 164230, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/dd53052f52eabc114751609fc2b40174?s=256&d=identicon&r=PG', 'display_name': 'dotty', 'link': 'https://stackoverflow.com/users/164230/dotty'}",True,6637,,6,3,1668012201,1262787826,2013511,CC BY-SA 3.0,https://stackoverflow.com/questions/2013511/convert-negative-float-to-positive-in-javascript,Convert negative float to positive in JavaScript,,1349275461.0,,2013516.0,,,
4,['javascript'],"{'account_id': 574237, 'reputation': 33, 'user_id': 227380, 'user_type': 'unregistered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/3c43651896613fd3c07050fe34b21921?s=256&d=identicon&r=PG', 'display_name': '404ram', 'link': 'https://stackoverflow.com/users/227380/404ram'}",True,3846,,3,0,1667586290,1264867155,2168453,CC BY-SA 4.0,https://stackoverflow.com/questions/2168453/how-can-i-jump-to-the-next-cell-in-a-table,How can I jump to the next cell in a table?,,1667586290.0,,,,,
5,"['javascript', 'html', 'canvas', 'html5-canvas', 'composite']","{'account_id': 42254, 'reputation': 13570, 'user_id': 123048, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/5c82e898061afc2931fc6284f2f323af?s=256&d=identicon&r=PG', 'display_name': 'richard', 'link': 'https://stackoverflow.com/users/123048/richard'}",True,1148600,1371982328.0,25,1224,1667530025,1264539042,2142535,CC BY-SA 3.0,https://stackoverflow.com/questions/2142535/how-to-clear-the-canvas-for-redrawing,How to clear the canvas for redrawing,,1474076147.0,,2142549.0,,,
6,"['javascript', 'regex']","{'account_id': 68061, 'reputation': 183, 'user_id': 198823, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/859ce6b9257e8ddbbe895a389ffc38b4?s=256&d=identicon&r=PG', 'display_name': 'Fares Farhan', 'link': 'https://stackoverflow.com/users/198823/fares-farhan'}",True,34809,,5,18,1667395724,1264575463,2145073,CC BY-SA 2.5,https://stackoverflow.com/questions/2145073/match-dynamic-string-using-regex,Match dynamic string using regex,,1264577931.0,,2145082.0,,,
7,"['javascript', 'regex', 'validation', 'function']","{'account_id': 573079, 'reputation': 391, 'user_id': 222491, 'user_type': 'unregistered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/b26b5580b955e4001191ee4eac575732?s=256&d=identicon&r=PG', 'display_name': 'Zoom Pat', 'link': 'https://stackoverflow.com/users/222491/zoom-pat'}",True,30934,,7,27,1667301258,1262716965,2008279,CC BY-SA 2.5,https://stackoverflow.com/questions/2008279/validate-a-javascript-function-name,Validate a JavaScript function name,,1262767086.0,,2008353.0,,,
8,"['javascript', 'date']","{'account_id': 68024, 'reputation': 60148, 'user_id': 198729, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/3b104e63986f3650917b545a243a04a4?s=256&d=identicon&r=PG', 'display_name': 'user198729', 'link': 'https://stackoverflow.com/users/198729/user198729'}",True,778138,,19,359,1667162963,1262785044,2013255,CC BY-SA 2.5,https://stackoverflow.com/questions/2013255/how-to-get-year-month-day-from-a-date-object,How to get year/month/day from a date object?,,,,2013332.0,,,
9,"['javascript', 'html']","{'account_id': 40617, 'reputation': 54709, 'user_id': 117700, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/1a350b4a18da2ffab7bde4bc753909bd?s=256&d=identicon&r=PG', 'display_name': 'Alex Gordon', 'link': 'https://stackoverflow.com/users/117700/alex-gordon'}",True,389531,,9,106,1666906436,1264705797,2157180,CC BY-SA 3.0,https://stackoverflow.com/questions/2157180/onclick-open-window-and-specific-size,onclick open window and specific size,,1404200611.0,,2157204.0,,,
10,"['javascript', 'html', 'insert']","{'account_id': 19892, 'reputation': 12371, 'user_id': 47013, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/eNLkM.jpg?s=256&g=1', 'display_name': 'William Troup', 'link': 'https://stackoverflow.com/users/47013/william-troup'}",True,183900,,7,88,1666856072,1264077772,2109205,CC BY-SA 2.5,https://stackoverflow.com/questions/2109205/open-window-in-javascript-with-html-inserted,Open window in JavaScript with HTML inserted,,,,2109227.0,,,
