,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,community_owned_date,closed_date,closed_reason,locked_date
0,"['javascript', 'html']","{'account_id': 5559, 'reputation': 527813, 'user_id': 9021, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/f092dfd45793e9483281d4205b674823?s=256&d=identicon&r=PG', 'display_name': 'nickf', 'link': 'https://stackoverflow.com/users/9021/nickf'}",True,237116,432201.0,22,360,1668583214,1231639334,1495542398.0,432174,CC BY-SA 3.0,https://stackoverflow.com/questions/432174/how-to-store-arbitrary-data-for-some-html-tags,How to store arbitrary data for some HTML tags,,,,,
1,"['javascript', 'date', 'datetime', 'compare']","{'account_id': 18204, 'reputation': 37975, 'user_id': 41508, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/154f32db8f5a8b42bf1e108a5f3d3086?s=256&d=identicon&r=PG', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/41508/alex'}",True,3116009,493018.0,43,2632,1668409840,1233256446,1582832235.0,492994,CC BY-SA 4.0,https://stackoverflow.com/questions/492994/compare-two-dates-with-javascript,Compare two dates with JavaScript,1444036888.0,,,,
2,"['javascript', 'html', 'css', 'dom', 'position']","{'user_type': 'does_not_exist', 'display_name': 'monaung'}",True,2088394,,30,2151,1668342732,1231925703,1632431176.0,442404,CC BY-SA 4.0,https://stackoverflow.com/questions/442404/retrieve-the-position-x-y-of-an-html-element,"Retrieve the position (X,Y) of an HTML element",1284467580.0,,,,
3,"['javascript', 'url', 'parsing', 'parameters', 'query-string']","{'account_id': 23722, 'reputation': 6457, 'user_id': 59661, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9f0791f5d53b2e1631e843bb6315eee3?s=256&d=identicon&r=PG', 'display_name': 'Lessan Vaezi', 'link': 'https://stackoverflow.com/users/59661/lessan-vaezi'}",True,935600,487049.0,36,453,1667784558,1233131592,,486896,CC BY-SA 2.5,https://stackoverflow.com/questions/486896/adding-a-parameter-to-the-url-with-javascript,Adding a parameter to the URL with JavaScript,1530742914.0,,,,
4,['javascript'],"{'user_type': 'does_not_exist', 'display_name': 'apple4'}",True,37324,,4,22,1667383106,1232545504,1667383106.0,465355,CC BY-SA 4.0,https://stackoverflow.com/questions/465355/what-type-of-language-is-javascript,What “type” of language is JavaScript?,,,,,
5,['javascript'],"{'account_id': 21635, 'reputation': 41648, 'user_id': 52745, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/323cb7698e0eab070705643fe11b95c1?s=256&d=identicon&r=PG', 'display_name': 'Jin Yong', 'link': 'https://stackoverflow.com/users/52745/jin-yong'}",True,546413,423385.0,21,408,1666521756,1231393412,1485358468.0,423376,CC BY-SA 3.0,https://stackoverflow.com/questions/423376/how-to-get-the-file-name-from-a-full-path-using-javascript,How to get the file name from a full path using JavaScript?,1455206563.0,,,,
6,"['asp.net', 'javascript', 'drop-down-menu']","{'account_id': 19898, 'reputation': 18547, 'user_id': 47036, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Peanut', 'link': 'https://stackoverflow.com/users/47036/peanut'}",True,10027,,5,7,1665676498,1231243311,1313784995.0,416263,CC BY-SA 3.0,https://stackoverflow.com/questions/416263/asp-net-losing-selection-of-dropdownlist-populated-via-javascript,ASP.NET - losing selection of dropdownlist populated via javascript,,,,,
7,"['javascript', 'jquery', 'scroll']","{'account_id': 778, 'reputation': 20575, 'user_id': 1011, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ae98ec38ec28f129a33a424e5eba5769?s=256&d=identicon&r=PG', 'display_name': 'yoavf', 'link': 'https://stackoverflow.com/users/1011/yoavf'}",True,859840,488073.0,46,1345,1665494500,1233136855,1593719953.0,487073,CC BY-SA 4.0,https://stackoverflow.com/questions/487073/how-to-check-if-element-is-visible-after-scrolling,How to check if element is visible after scrolling?,1444035733.0,,,,
8,"['javascript', 'css', 'animation']","{'account_id': 2388, 'reputation': 29919, 'user_id': 3314, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/57f635ea728cfbdb6111d468f7392295?s=256&d=identicon&r=PG&f=1', 'display_name': 'Daniel Magliola', 'link': 'https://stackoverflow.com/users/3314/daniel-magliola'}",True,2097,485346.0,4,1,1665092413,1233091437,1665092413.0,485323,CC BY-SA 4.0,https://stackoverflow.com/questions/485323/how-can-i-undo-the-setting-of-element-style-properties,How can I undo the setting of element.style properties?,,,,,
9,"['javascript', 'random', 'seed']","{'account_id': 4144, 'reputation': 61507, 'user_id': 6144, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/282eed17fcb9682bb2816697482b64ec?s=256&d=identicon&r=PG', 'display_name': 'scunliffe', 'link': 'https://stackoverflow.com/users/6144/scunliffe'}",True,170279,2192521.0,11,184,1665084941,1231422684,1394487969.0,424292,CC BY-SA 3.0,https://stackoverflow.com/questions/424292/seedable-javascript-random-number-generator,Seedable JavaScript random number generator,,,,,
